word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS
th\n,ὁ,article,de\,δέ,particle,prote/rhn,πρότερος,adjective,i)de/hn,ἰδέα,noun,e)calla/ssei,ἐξαλλάσσω,verb,e)/stin,εἰμί,verb,o(/te,ὅτε,conjunction,kai\,καί,conjunction,ta\s,ὁ,article,prote/ras,πρότερος,adjective,e)ch,,,mau/rwsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
du/namis,δύναμις,adjective,de\,δέ,particle,trofh=s,τροφεύς,noun,a)fiknei=tai,ἀφικνέομαι,verb,kai\,καί,conjunction,e)s,εἰς,preposition,o)ste/on,ὀστέον,noun,kai\,καί,conjunction,pa/nta,πᾶς,adjective,ta\,ὁ,article,me/rea,μέρος,noun,au)tou=,αὐτός,pronoun,kai\,καί,conjunction,e)s,εἰς,preposition,neu=ron,νεῦρον,noun,kai\,καί,conjunction,e)s,εἰς,preposition,fle/ba,φλέψ,noun,kai\,καί,conjunction,e)s,εἰς,preposition,a)rthri/hn,ἀρτηρία,noun,kai\,καί,conjunction,e)s,εἰς,preposition,mu=n,μῦς,noun,kai\,καί,conjunction,e)s,εἰς,preposition,u(me/na,ὑμήν,noun,kai\,καί,conjunction,sa/rka,σάρξ,adjective,kai\,καί,conjunction,pimelh\n,πιμελή,noun,kai\,καί,conjunction,ai(=ma,αἷμα,noun,kai\,καί,conjunction,fle/gma,φλέγμα,noun,kai\,καί,conjunction,muelo\n,μυελός,noun,kai\,καί,conjunction,e)gke/falon,ἐγκέφαλος,noun,kai\,καί,conjunction,nwtiai=on,νωτιαῖος,adjective,kai\,καί,conjunction,ta\,ὁ,article,e)ntosqi/dia,ἐντοσθίδια,noun,kai\,καί,conjunction,pa/nta,πᾶς,adjective,ta\,ὁ,article,me/rea,μέρος,noun,au)tw=n,αὐτός,pronoun,kai\,καί,conjunction,dh\,δή,particle,kai\,καί,conjunction,e)s,εἰς,preposition,qermasi/hn,θερμασία,noun,kai\,καί,conjunction,pneu=ma,πνεῦμα,noun,kai\,καί,conjunction,u(grasi/hn,ὑγρασία,noun
trofh\,τροφή,noun,de\,δέ,particle,to\,ὁ,article,tre/fon,τρέφω,verb,trofh\,τροφή,noun,de\,δέ,particle,to\,ὁ,article,oi(=on,οἷος,adjective,trofh\,τροφή,noun,de\,δέ,particle,to\,ὁ,article,me/llon,μέλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)rxh\,ἀρχή,noun,de\,δέ,particle,pa/ntwn,πᾶς,adjective,mi/a,εἷς,adjective,kai\,καί,conjunction,teleuth\,τελευτή,noun,pa/ntwn,πᾶς,adjective,mi/a,εἷς,adjective,kai\,καί,conjunction,h(,ὁ,article,au)th\,αὐτός,pronoun,teleuth\,τελευτή,noun,kai\,καί,conjunction,a)rxh/,ἀρχή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,o(/sa,ὅσος,adjective,kata\,κατά,preposition,me/ros,μέρος,noun,e)n,ἐν,preposition,trofh=|,τροφεύς,noun,kalw=s,καλός,noun,kai\,καί,conjunction,kakw=s,κακός,adjective,dioikei=tai,διοικέω,verb,kalw=s,καλός,noun,me\n,μέν,particle,o(/sa,ὅσος,adjective,proei/rhtai,προερέω,verb,kakw=s,κακός,adjective,de\,δέ,particle,o(/sa,ὅσος,adjective,tou/tois,οὗτος,pronoun,th\n,ὁ,article,e)nanti/hn,ἐναντίος,adjective,e)/xei,ἔχω,verb,ta/cin,τάξις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xuloi\,χυλός,noun,poiki/loi,ποικίλος,adjective,kai\,καί,conjunction,xrw/masi,χρῶμα,noun,kai\,καί,conjunction,duna/mesi,δύναμις,adjective,kai\,καί,conjunction,e)s,εἰς,preposition,blabh\n,,,kai\,καί,conjunction,e)s,εἰς,preposition,w)feli/hn,ὠφέλεια,noun,kai\,καί,conjunction,ou)/te,οὔτε,adverb,bla/ptein,βλάπτω,verb,ou)/te,οὔτε,adverb,w)felei=n,ὠφελέω,verb,kai\,καί,conjunction,plh/qei,πλῆθος,noun,kai\,καί,conjunction,u(perbolh=|,ὑπερβολή,noun,kai\,καί,conjunction,e)llei/yei,ἐλλείπω,verb,kai\,καί,conjunction,diaplokh=|,διαπλοκή,noun,w(=n,ὅς,pronoun,me/n,μέν,particle,w(=n,ὅς,pronoun,de\,δέ,particle,ou)/,οὐ,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,pa/ntwn,πᾶς,adjective,e)s,εἰς,preposition,qermasi/hn,θερμασία,noun,bla/ptei,βλάπτω,verb,kai\,καί,conjunction,w)felei=,ὠφελέω,verb,e)s,εἰς,preposition,yu/cin,,,bla/ptei,βλάπτω,verb,kai\,καί,conjunction,w)felei=,ὠφελέω,verb,e)s,εἰς,preposition,du/namin,δύναμις,adjective,bla/ptei,βλάπτω,verb,kai\,καί,conjunction,w)felei=,ὠφελέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duna/mios,δύναμις,adjective,de\,δέ,particle,poiki/lai,ποικίλος,adjective,fu/sies,φύσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xumoi\,χυμός,noun,fqei/rontes,φθείρω,verb,kai\,καί,conjunction,o(/lon,ὅλος,adjective,kai\,καί,conjunction,me/ros,μέρος,noun,kai\,καί,conjunction,e)/cwqen,ἔξωθεν,adverb,kai\,καί,conjunction,e)/ndoqen,ἔνδοθεν,adverb,au)to/matoi,αὐτόματος,adjective,ou)k,οὐ,adverb,au)to/matoi,αὐτόματος,adjective,h(mi=n,ἐγώ,pronoun,me\n,μέν,particle,au)to/matoi,αὐτόματος,adjective,ai)ti/h|,αἰτία,noun,de\,δέ,particle,ou)k,οὐ,adverb,au)to/matoi,αὐτόματος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai)ti/hs,αἰτία,noun,de\,δέ,particle,ta\,ὁ,article,me\n,μέν,particle,dh=la,δῆλος,adjective,ta\,ὁ,article,de\,δέ,particle,a)/dhla,ἄδηλος,adjective,kai\,καί,conjunction,ta\,ὁ,article,me\n,μέν,particle,dunata\,δυνατός,adjective,ta\,ὁ,article,de\,δέ,particle,a)du/nata,ἀδύνατος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fu/sis,φύσις,noun,e)carkei=,ἐξαρκής,adjective,pa/nta,πᾶς,adjective,pa=si,πᾶς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)s,εἰς,preposition,de\,δέ,particle,tau/thn,οὗτος,pronoun,e)/cwqen,ἔξωθεν,adverb,me\n,μέν,particle,kata/plasma,κατάπλασμα,noun,kata/xrisma,κατάχρισμα,noun,a)/leimma,ἄλειμμα,noun,gumno/ths,γυμνότης,noun,o(/lou,ὅλος,adjective,kai\,καί,conjunction,me/reos,μέρος,noun,kai\,καί,conjunction,ske/ph,σκέπη,noun,o(/lou,ὅλος,adjective,kai\,καί,conjunction,me/reos,μέρος,noun,qermasi/h,θερμασία,noun,kai\,καί,conjunction,yu/cis,ψῦξις,noun,kata\,κατά,preposition,to\n,ὁ,article,au)to\n,αὐτός,pronoun,lo/gon,λόγος,noun,kai\,καί,conjunction,stu/yis,στῦψις,noun,kai\,καί,conjunction,e(/lkwsis,ἕλκωσις,noun,kai\,καί,conjunction,dhgmo\s,δηγμός,noun,kai\,καί,conjunction,li/pasma,λίπασμα,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/ndoqen,ἔνδοθεν,adverb,de\,δέ,particle,tina/,τις,pronoun,te,τε,particle,tw=n,ὁ,article,ei)rhme/nwn,ἐρῶ,verb,kai\,καί,conjunction,e)pi\,ἐπί,preposition,tou/tois,οὗτος,pronoun,ai)ti/h,αἰτία,noun,a)/dhlos,ἄδηλος,adjective,kai\,καί,conjunction,me/rei,μέρος,noun,kai\,καί,conjunction,o(/lw|,ὅλος,adjective,tini/,τις,pronoun,te,τε,particle,kai\,καί,conjunction,ou)/,οὐ,adverb,tini,τις,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)apokri/sies,ἀπόκρισις,noun,kata\,κατά,preposition,fu/sin,φύσις,noun,koili/hs,κοιλία,noun,ou)/rwn,οὖρον,noun,i(drw=tos,ἱδρώς,noun,ptua/lou,,,mu/chs,μύξα,noun,u(ste/rhs,ὕστερος,adjective,kaq',κατά,preposition,ai(morroi+da,,,qu/mon,θύμος,noun,le/prhn,λέπρα,noun,fu=ma,φῦμα,noun,karki/nwma,καρκίνωμα,noun,e)k,ἐκ,preposition,r(inw=n,ῥίνη,noun,e)k,ἐκ,preposition,pleu/monos,πλεύμων,adjective,e)k,ἐκ,preposition,koili/hs,κοιλία,noun,e)c,ἐκ,preposition,e(/drhs,ἕδρα,noun,e)k,ἐκ,preposition,kaulou=,καυλός,noun,kata\,κατά,preposition,fu/sin,φύσις,noun,kai\,καί,conjunction,para\,παρά,preposition,fu/sin,φύσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai(,ὁ,article,diakri/sies,διάκρισις,noun,tou/twn,οὗτος,pronoun,a)/lloisi,ἄλλος,adjective,pro\s,πρός,preposition,a)/llon,ἄλλος,adjective,lo/gon,λόγος,noun,a)/llote,ἄλλοτε,adverb,kai\,καί,conjunction,a)lloi/ws,ἀλλοῖος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mi/a,εἷς,adjective,fu/sis,φύσις,noun,e)sti\,εἰμί,verb,tau=ta,οὗτος,pronoun,pa/nta,πᾶς,adjective,kai\,καί,conjunction,ou),οὐ,adverb,mi/a,εἷς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pollai\,πολύς,adjective,fu/sie/s,φύσις,noun,ei)si,εἰμί,verb,tau=ta,οὗτος,pronoun,pa/nta,πᾶς,adjective,kai\,καί,conjunction,mi/a,εἷς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmakei/h,φαρμακεία,noun,a)/nw,ἄνω,adverb,kai\,καί,conjunction,ka/tw,κάτος,adjective,ou)/te,οὔτε,adverb,a)/nw,ἄνω,adverb,ou)/te,οὔτε,adverb,ka/tw,κάτος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
