word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS
kai\,καί,conjunction,w(sau/tws,ὡσαύτως,adverb,to\,ὁ,article,e(/teron,ἕτερος,adjective,kw=lon,κῶλον,noun,o(/ti,ὅστις,pronoun,'presbu/teros,πρέσβυς,noun,me\n,μέν,particle,*)artace/rchs,Ἀρταξέρξης,proper,new/teros,νέος,adjective,de\,δέ,particle,*ku=ros',κῦρος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(/ste,ὥστε,conjunction,to\,ὁ,article,me\n,μέν,particle,kw=lon,κῶλον,noun,w(s,ὡς,conjunction,fhmi/,φημί,verb,dia/noian,διάνοια,noun,perie/cei,περιέχω,verb,tina\,τις,pronoun,pa/nth,πάντῃ,adverb,pa/ntws,πάντως,adverb,h)/toi,ἤτοι,particle,o(/lhn,ὅλος,adjective,h)\,ἠέ,conjunction,me/ros,μέρος,noun,o(/lhs,ὅλος,adjective,o(/lon,ὅλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*dei=,δέομαι,verb,de\,δέ,particle,ou)/te,οὔτε,adverb,pa/nu,πάνυ,adverb,makra\,μακρός,adjective,poiei=n,ποιέω,verb,ta\,ὁ,article,kw=la,κῶλον,noun,e)pei/,ἐπεί,conjunction,toi,σύ,pronoun,gi/netai,γίγνομαι,verb,a)/metros,ἄμετρος,adjective,h(,ὁ,article,su/nqesis,σύνθεσις,noun,h)\,ἠέ,conjunction,dusparakolou/qhtos,δυσπαρακολούθητος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)de\,οὐδέ,particle,ga\r,γάρ,particle,h(,ὁ,article,poihtikh\,ποιητικός,adjective,u(pe\r,ὑπέρ,preposition,e(ca/metron,ἑξάμετρος,adjective,h)=lqen,ἔρχομαι,verb,ei),εἰ,conjunction,mh/,μή,conjunction,pou,πού,adverb,e)n,ἐν,preposition,o)li/gois,ὀλίγος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geloi=on,γέλοιος,adjective,ga\r,γάρ,particle,to\,ὁ,article,me/tron,μέτρον,noun,a)/metron,ἄμετρος,adjective,ei)=nai,εἰμί,verb,kai\,καί,conjunction,katalh/gontos,καταλήγω,verb,tou=,ὁ,article,me/trou,μέτρον,noun,e)pilelh=sqai,ἐπιλανθάνομαι,verb,h(ma=s,ἐγώ,pronoun,po/te,πότε,adverb,h)/rcato,ἄρχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/te,οὔτε,adverb,dh\,δή,particle,to\,ὁ,article,mh=kos,μῆκος,adjective,tw=n,ὁ,article,kw/lwn,κῶλον,noun,pre/pon,πρέπω,verb,toi=s,ὁ,article,lo/gois,λόγος,noun,dia\,διά,preposition,th\n,ὁ,article,a)metri/an,ἀμετρία,noun,ou)/te,οὔτε,adverb,h(,ὁ,article,mikro/ths,μικρότης,noun,e)pei/,ἐπεί,conjunction,toi,σύ,pronoun,gi/noit',γίγνομαι,verb,a)\n,ἄν,particle,h(,ὁ,article,legome/nh,λέγω,verb,chra\,ξηρός,adjective,su/nqesis,σύνθεσις,noun,oi(=on,οἷος,adjective,h(,ὁ,article,toia/de,τοιόσδε,adjective,'o(,ὁ,article,bi/os,βίος,adjective,braxu/s,βραχύς,adjective,h(,ὁ,article,te/xnh,τέχνη,noun,makra/,μακρός,adjective,o(,ὁ,article,kairo\s,καιρός,noun,o)cu/s',ὀξύς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
katakekomme/nh,κατακόπτω,verb,ga\r,γάρ,particle,e)/oiken,ἔοικα,verb,h(,ὁ,article,su/nqesis,σύνθεσις,noun,kai\,καί,conjunction,kekermatisme/nh,κερματίζω,verb,kai\,καί,conjunction,eu)katafro/nhtos,εὐκαταφρόνητος,adjective,dia\,διά,preposition,to\,ὁ,article,mikra\,μικρός,adjective,su/mpanta,σύμπας,adjective,e)/xein,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*gi/netai,γίγνομαι,verb,me\n,μέν,particle,ou)=n,οὖν,particle,pote,ποτέ,particle,kai\,καί,conjunction,makrou=,μακρός,adjective,kw/lou,κῶλον,noun,kairo/s,καιρός,noun,oi(=on,οἷος,adjective,e)n,ἐν,preposition,toi=s,ὁ,article,mege/qesin,μέγεθος,adjective,w(s,ὡς,conjunction,o(,ὁ,article,*pla/twn,Πλάτων,proper,fhsi/,φημί,verb,'to\,ὁ,article,ga\r,γάρ,particle,dh\,δή,particle,pa=n,πᾶς,adjective,to/de,ὅδε,pronoun,tote\,τοτέ,adverb,me\n,μέν,particle,au)to\s,αὐτός,pronoun,o(,ὁ,article,qeo\s,θεός,noun,poreuo/menon,πορεύω,verb,sumpodhgei=,συμποδηγέω,verb,kai\,καί,conjunction,sugkuklei=',συγκυκλέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sxedo\n,σχεδόν,adverb,ga\r,γάρ,particle,tw=|,ὁ,article,mege/qei,μέγεθος,adjective,tou=,ὁ,article,kw/lou,κῶλον,noun,sunech=rtai,συνεξαίρω,verb,kai\,καί,conjunction,o(,ὁ,article,lo/gos,λόγος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dia\,διά,preposition,tou=to,οὗτος,pronoun,kai\,καί,conjunction,e(ca/metron,ἑξάμετρος,adjective,h(rw=|o/n,ἡρῷον,noun,te,τε,particle,o)noma/zetai,ὀνομάζω,verb,u(po\,ὑπό,preposition,tou=,ὁ,article,mh/kous,μῆκος,adjective,kai\,καί,conjunction,pre/pon,πρέπω,verb,h(/rwsin,ἥρως,noun,kai\,καί,conjunction,ou)k,οὐ,adverb,a)\n,ἄν,particle,th\n,ὁ,article,*(omh/rou,Ὅμηρος,proper,*)ilia/da,Ἰλιάς,proper,prepo/ntws,πρεπόντως,adverb,tis,τις,pronoun,gra/yeien,γράφω,verb,toi=s,ὁ,article,*)arxilo/xou,Ἀρχίλοχος,proper,braxe/sin,βραχύς,adjective,oi(=on,οἷος,adjective,a)xnume/nh,ἀχεύω,verb,skuta/lh,σκυτάλη,adjective,kai\,καί,conjunction,ti/s,τίς,pronoun,sa\s,σός,adjective,parh/eire,παραείρω,verb,fre/nas,φρήν,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)de\,οὐδέ,particle,toi=s,ὁ,article,*)anakre/ontos,Ἀνακρέων,proper,w(s,ὡς,conjunction,to\,ὁ,article,fe/r),φέρω,verb,u(/dwr,ὕδωρ,noun,fe/r),φέρω,verb,oi)=non,οἶνον,noun,w)=,ὦ,interjection,pai=,παῖς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mequ/ontos,μεθύω,verb,ga\r,γάρ,particle,o(,ὁ,article,r(uqmo\s,ῥυθμός,noun,a)texnw=s,ἄτεχνος,adverb,ge/rontos,γέρων,noun,ou),οὐ,adverb,maxome/nou,μάχομαι,verb,h(/rwos,ἥρως,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*makrou=,μακρός,adjective,me\n,μέν,particle,dh\,δή,particle,kw/lou,κῶλον,noun,kairo\s,καιρός,noun,gi/noit',γίγνομαι,verb,a)/n,ἄν,particle,pote,ποτέ,particle,dia\,διά,preposition,tau=ta,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gi/noito,γίγνομαι,verb,d',δέ,particle,a)/n,ἄν,particle,pote,ποτέ,particle,kai\,καί,conjunction,braxe/os,βραχύς,adjective,oi(=on,οἷος,adjective,h)/toi,ἤτοι,particle,mikro/n,μικρός,adjective,ti,τις,pronoun,h(mw=n,ἐγώ,pronoun,lego/ntwn,λέγω,verb,w(s,ὡς,conjunction,o(,ὁ,article,*cenofw=n,Ξενοφῶν,proper,fhsin,φημί,verb,o(/ti,ὅστις,pronoun,a)fi/konto,ἀφικνέομαι,verb,oi(,ὁ,article,*(/ellhnes,Ἕλλην,proper,e)pi\,ἐπί,preposition,to\n,ὁ,article,*thlebo/an,Τηλεβόης,proper,potamo/n,ποταμός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
