word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/2/lemma/@_entry,word/2/lemma/@_POS,word/14/@_form,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/14/lemma/@_entry,word/14/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/40/lemma/@_entry,word/40/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS
polloi=s,πολύς,adjective,de\,δέ,particle,kwkutoi=sin,ai)xmalwti/dwn,αἰχμαλωτίς,noun,boa=|,βοάω,verb,*ska/mandros,Σκάμανδρος,proper,despo/tas,δεσπότης,adjective,klhroume/nwn,κληρόω,verb,,,,,,,,,,,,,,,,,,,κωκυτός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ta\s,ὁ,article,me\n,*)arka/s,Ἀρκάς,proper,ta\s,ὁ,article,de\,δέ,particle,*qessalo\s,Θεσσαλός,proper,lew\s,λαός,noun,ei)/lhx',λαγχάνω,verb,*)aqhnai/wn,Ἀθήναια,proper,te,τε,particle,*qhsei=dai,Θησεῖδαι,proper,pro/moi,πρόμος,noun,,,,μέν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/sai,ὅσος,adjective,d',δέ,particle,a)/klhroi,*trw|a/dwn,Τρῳάς,proper,u(po\,ὑπό,preposition,ste/gais,στέγη,noun,tai=sd',ὅδε,pronoun,ei)si/,εἰμί,verb,toi=s,ὁ,article,prw/toisin,πρότερος,adjective,e)ch|rhme/nai,ἐξαιρέω,verb,stratou=,στρατός,noun,su\n,σύν,preposition,au)tai=s,αὐτός,pronoun,ἄκληρος,adjective,d',h(,ὁ,article,*la/kaina,Λάκαινα,proper,*tundari\s,Τυνδάρεος,proper,*(ele/nh,Ἑλένη,proper,nomisqei=s',νομίζω,verb,ai)xma/lwtos,αἰχμάλωτος,adjective,e)ndi/kws,ἔνδικος,adjective,,,,,,,,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th\n,ὁ,article,d',δέ,particle,a)qli/an,th/nd',ὅδε,pronoun,ei)/,εἰ,conjunction,tis,τις,pronoun,ei)sora=n,εἰσοράω,verb,qe/lei,ἐθέλω,verb,pa/restin,πάρειμι,verb,*(eka/bhn,Ἑκάβη,proper,keime/nhn,κεῖμαι,verb,pulw=n,πύλη,adjective,pa/ros,πάρος,preposition,da/krua,δάκρυον,noun,ἄθλιος,adjective,xe/ousan,polla\,πολύς,adjective,kai\,καί,conjunction,pollw=n,πολύς,adjective,u(/per,ὑπέρ,preposition,,,,,,,,,,,,,,,,,,,χάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(=|,ὅς,pronoun,pai=s,πᾶς,adjective,me\n,a)mfi\,ἀμφί,preposition,mnh=m',μνήμη,noun,*)axillei/ou,Ἀχίλλειος,proper,ta/fou,τάφος,noun,la/qra,λάθρῃ,adverb,te/qnhke,θνήσκω,verb,tlhmo/nws,τλημόνως,adverb,*poluce/nh,Πολυξένη,proper,,,,,,,,,,μέν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frou=dos,φροῦδος,adjective,de\,δέ,particle,*pri/amos,kai\,καί,conjunction,te/kn',τέκνον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,Πρίαμος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(\n,ὅς,pronoun,de\,δέ,particle,parqe/non,meqh=k',μεθήκω,verb,*)apo/llwn,Ἀπόλλων,proper,droma/da,δρομάς,noun,*kasa/ndran,Κασάνδρη,proper,a)/nac,ἄναξ,noun,to\,ὁ,article,tou=,ὁ,article,qeou=,θεός,noun,te,τε,particle,paralipw\n,παραλείπω,verb,to/,ὁ,article,παρθένος,noun,t',eu)sebe\s,εὐσεβής,adjective,gamei=,γαμέω,verb,biai/ws,βίαιος,adjective,sko/tion,σκότιος,adjective,*)agame/mnwn,Ἀγαμέμνων,proper,le/xos,λέχος,noun,,,,,,,,,,,,,τε,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,w)=,ὦ,interjection,pot',eu)tuxou=sa,εὐτυχέω,verb,xai=re/,χαίρω,verb,moi,ἐγώ,pronoun,po/lis,πόλις,adjective,cesto/n,ξεστός,adjective,te,τε,particle,pu/rgwm',πύργωμα,noun,,,,,,,,,,,,,ποτέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)/,εἰ,conjunction,se,σύ,pronoun,mh\,diw/lesen,διόλλυμι,verb,*palla\s,Παλλάς,proper,*dio\s,Ζεύς,proper,pai=s,πᾶς,adjective,h)=sq',ἔσθω,verb,a)\n,ἄν,particle,e)n,ἐν,preposition,ba/qrois,βάθρον,noun,e)/ti,ἔτι,adverb,,,,,,,μή,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/cesti,ἔξεστι,verb,to\n,ὁ,article,ge/nei,me\n,μέν,particle,a)/gxiston,ἄγχιστος,adjective,patro\s,πατήρ,noun,me/gan,μέγας,adverb,te,τε,particle,dai/mon',δαίμων,adjective,e)n,ἐν,preposition,qeoi=s,θεός,noun,te,τε,particle,ti/mion,τίμιος,adjective,lu/sasan,λύω,verb,γένος,noun,e)/xqran,th\n,ὁ,article,pa/ros,πάρος,preposition,prosenne/pein,προσεννέπω,verb,,,,,,,,,,,,,,,,,,,,,,ἔχθρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai(,ὁ,article,ga\r,γάρ,particle,suggenei=s,o(mili/ai,ὁμιλία,noun,a)/nass',ἄνασσα,adjective,*)aqa/na,Ἀθήνη,proper,fi/ltron,φίλτρον,noun,ou),οὐ,adverb,smikro\n,μικρός,adjective,frenw=n,φρήν,noun,,,,,,,,,,,,,συγγενεύς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)ph/|nes',ἐπαινέω,verb,o)rga\s,ὀργάς,noun,h)pi/ous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἤπιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe/rw,φέρω,verb,de\,δέ,particle,soi\,koinou\s,κοινός,adjective,e)mauth=|,ἐμαυτοῦ,pronoun,t',τε,particle,e)s,εἰς,preposition,me/son,μέσος,adjective,lo/gous,λόγος,noun,a)/nac,ἄναξ,noun,,,,,,,,,,,,,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mw=n,μῶν,adverb,e)k,ἐκ,preposition,qew=n,tou,τις,pronoun,kaino\n,καινός,adjective,a)ggelei=s,ἀγγέλλω,verb,e)/pos,ἔπος,adjective,h)\,ἠέ,conjunction,*zhno\s,Ζεύς,proper,h)\,ἠέ,conjunction,kai\,καί,conjunction,daimo/nwn,δαίμων,adjective,tino\s,τις,pronoun,pa/ra,παρά,preposition,θέα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/k,οὐ,adverb,a)lla\,ἀλλά,adverb,*troi/as,ou(/nek',οὕνεκα,conjunction,e)/nqa,ἔνθα,adverb,bai/nomen,βαίνω,verb,pro\s,πρός,preposition,sh\n,σός,adjective,a)fi=gmai,ἀφικνέομαι,verb,du/namin,δύναμις,adjective,w(s,ὡς,conjunction,koinh\n,κοινός,adjective,la/bw,λαμβάνω,verb,,,,Τροία,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
