word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS
kai\,καί,conjunction,a)/llo,ἄλλος,adjective,tou=,ὁ,article,*filhsi/ou,Φιλήσιος,proper,tetra/poun,τετράπους,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,a)po\,ἀπό,preposition,tro/pou,τρόπος,noun,dokei=,δοκέω,verb,moi,ἐγώ,pronoun,su/nnaos,σύνναος,adjective,kai\,καί,conjunction,su/mbwmos,σύμβωμος,adjective,e)/sesqai,εἰμί,verb,tw=|,ὁ,article,propa/tori,προπάτωρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,o(\,ὅς,pronoun,me/n,μέν,particle,tis,τις,pronoun,tw=|,ὁ,article,*(ermh=|,Ἑρμῆς,proper,o(\,ὅς,pronoun,de\,δέ,particle,tw=|,ὁ,article,*filhsi/w|,Φιλήσιος,proper,o(\,ὅς,pronoun,de\,δέ,particle,kai\,καί,conjunction,a)mfoi=n,ἄμφω,noun,qu/sei,θύσις,noun,pariw/n,πάρειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xariou=ntai,χαρίζομαι,verb,de\,δέ,particle,kai\,καί,conjunction,ou(=toi,οὗτος,pronoun,ka)kei=noi,ἐκεῖνος,pronoun,tw=|,ὁ,article,te,τε,particle,*(ermh=|,Ἑρμῆς,proper,kai\,καί,conjunction,tw=|,ὁ,article,*filhsi/w|,Φιλήσιος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=|,ὁ,article,me/n,μέν,particle,*(ermh=|,Ἑρμῆς,proper,o(/ti,ὅστις,pronoun,to\n,ὁ,article,e)/ggonon,ἔγγονος,noun,au)tou=,αὐτός,pronoun,timw=sin,τιμάω,verb,tw=|,ὁ,article,de\,δέ,particle,*filhsi/w|,Φιλήσιος,proper,o(/ti,ὅστις,pronoun,to\n,ὁ,article,au)tou=,αὐτός,pronoun,propa/tora,προπάτωρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,e)/gwge,ἐγώ,pronoun,kai\,καί,conjunction,e)bouqu/thsa,βουθυτέω,verb,e)ntau=qa,ἐνταῦθα,adverb,ou)x,οὐ,adverb,w(/sper,ὥσπερ,adverb,o(,ὁ,article,*cenofw=n,Ξενοφῶν,proper,e)kei=nos,ἐκεῖνος,pronoun,e)n,ἐν,preposition,*ka/lphs,κάλπη,noun,lime/ni,λιμήν,noun,u(f',ὑπό,preposition,a(ma/chs,ἄμαξα,noun,bou=n,βοῦς,noun,labw\n,λαμβάνω,verb,di',διά,preposition,a)pori/an,ἀπορία,noun,i(erei/wn,ἱερεῖον,noun,a)lla\,ἀλλά,adverb,tw=n,ὁ,article,*trapezounti/wn,Τραπεζούντιος,proper,au)tw=n,αὐτός,pronoun,paraskeuasa/ntwn,παρασκευάζω,verb,i(erei=on,ἱερεῖον,noun,ou)k,οὐ,adverb,a)genne/s,ἀγεννής,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e)splagxneusa/meqa,σπλαγχνεύω,verb,au)to/qi,αὐτόθι,adverb,kai\,καί,conjunction,toi=s,ὁ,article,spla/gxnois,σπλάγχνον,noun,e)pespei/samen,ἐπισπένδω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/tw|,ὅστις,pronoun,de\,δέ,particle,prw/tw|,πρότερος,adjective,ta)gaqa\,ἀγαθός,adjective,hu)xo/meqa,εὔχομαι,verb,ou),οὐ,adverb,lanqa/nome/n,λανθάνω,verb,se,σύ,pronoun,to/n,ὁ,article,te,τε,particle,tro/pon,τρόπος,noun,to\n,ὁ,article,h(me/teron,ἡμέτερος,adjective,ou)k,οὐ,adverb,a)gnoou=nta,ἀγνοέω,verb,kai\,καί,conjunction,sautw=|,σαυτοῦ,pronoun,suneido/ta,σύνοιδα,verb,o(/ti,ὅστις,pronoun,a)/cios,ἄξιος,adjective,ei)=,εἶμι,verb,u(pe\r,ὑπέρ,preposition,o(/tou,ὅστις,pronoun,pa/ntes,πᾶς,adjective,a(\n,ὅς,pronoun,eu)/cainto,εὔχομαι,verb,ta)gaqa\,ἀγαθός,adjective,ka)\n,κἀν,conjunction,o(/soi,ὅσος,adjective,h(mw=n,ἐγώ,pronoun,e)/latton,ἐλάσσων,adjective,u(po\,ὑπό,preposition,sou=,σύ,pronoun,eu)=,εὖ,adverb,pepo/nqasin,πάσχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/k,ἐκ,preposition,*trapezou=ntos,Τραπεζόεις,proper,de\,δέ,particle,o(rmhqe/ntes,ὁρμάω,verb,th=|,ὁ,article,me\n,μέν,particle,prw/th|,πρότερος,adjective,e)s,εἰς,preposition,*(/ussou,ὑσσω,verb,lime/na,λιμήν,noun,kath/ramen,καταίρω,verb,kai\,καί,conjunction,tou\s,ὁ,article,pezou\s,πεζός,adjective,tou\s,ὁ,article,tau/th|,ταύτῃ,adverb,e)gumna/samen,γυμνάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,ga\r,γάρ,particle,ta/cis,τάξις,noun,au(/th,οὗτος,pronoun,w(s,ὡς,conjunction,oi)=sqa,οἶδα,verb,pezw=n,πεζός,adjective,e)stin,εἰμί,verb,kai\,καί,conjunction,i(ppe/as,ἱππεύς,noun,ei)/kosin,εἴκοσι,verb,e)s,εἰς,preposition,diakoni/an,διακονία,noun,e)/xei,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,kai\,καί,conjunction,tou/tous,οὗτος,pronoun,ta\s,ὁ,article,lo/gxas,λόγχη,noun,a)konti/sai,ἀκοντίζω,verb,e)de/hsen,δέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)nqe/nde,ἐνθένδε,adverb,e)ple/omen,πλέω,verb,ta\,ὁ,article,me\n,μέν,particle,prw=ta,πρότερος,adjective,tai=s,ὁ,article,au)/rais,αὔρα,noun,tai=s,ὁ,article,e)k,ἐκ,preposition,tw=n,ὁ,article,potamw=n,ποταμός,noun,pneou/sais,πνέω,verb,e(/wqen,ἕωθεν,adverb,kai\,καί,conjunction,a(/ma,ἅμα,adverb,tai=s,ὁ,article,kw/pais,κώπη,noun,diaxrw/menoi,διαχράομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yuxrai\,ψυχρός,adjective,me\n,μέν,particle,ga\r,γάρ,particle,h)=san,εἰμί,verb,ai(,ὁ,article,au)=rai,αὔρα,noun,w(s,ὡς,conjunction,le/gei,λέγω,verb,kai\,καί,conjunction,*(/omhros,Ὅμηρος,proper,ou)x,οὐ,adverb,i(kanai\,ἱκανός,adjective,de\,δέ,particle,toi=s,ὁ,article,taxunautei=n,ταχύναυτέω,verb,boulome/nois,βούλομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=ta,εἶτα,adverb,galh/nh,γαλήνη,noun,e)pe/laben,ἐπιλαμβάνω,verb,w(/ste,ὥστε,conjunction,th=|,ὁ,article,ei)resi/a|,εἰρεσία,noun,mo/nh|,μόνος,adjective,e)xrw/meqa,χράομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/peita,ἔπειτα,adverb,de\,δέ,particle,a)/fnw,ἄφνω,adverb,nefe/lh,νεφέλη,noun,e)panasta=sa,ἐπανίστημι,verb,e)cerra/gh,ἐξαράσσω,verb,kat',κατά,preposition,eu)=ron,,,ma/lista,μάλιστα,adverb,kai\,καί,conjunction,e)ph/negken,ἐπιφέρω,verb,pneu=ma,πνεῦμα,noun,e)cai/sion,ἐξαίσιος,adjective,kai\,καί,conjunction,tou=to,οὗτος,pronoun,a)kribw=s,ἀκριβῶς,adverb,e)nanti/on,ἐναντίος,adjective,o(/per,ὅσπερ,adjective,ka)\n,κἀν,conjunction,mo/non,μόνος,adjective,a)pw/lesen,ἀπόλλυμι,verb,h(ma=s,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
koi/lhn,κόιλος,adjective,me\n,μέν,particle,ga\r,γάρ,particle,di',διά,preposition,o)li/gou,ὀλίγος,adjective,th\n,ὁ,article,qa/lassan,θάλασσα,noun,e)poi/hsen,ποιέω,verb,w(s,ὡς,conjunction,mh\,μή,conjunction,kata\,κατά,preposition,ta\s,ὁ,article,kw/pas,κώπη,noun,mo/non,μόνος,adjective,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,u(pe\r,ὑπέρ,preposition,ta\s,ὁ,article,pareceiresi/as,παρεξειρεσία,noun,e)pesrei=n,,,h(mi=n,ἐγώ,pronoun,e(kate/rwqen,ἑκατέρωθεν,adverb,a)fqo/nws,ἄφθονος,adjective,tou=,ὁ,article,u(/datos,ὕδωρ,noun,tou=to,οὗτος,pronoun,dh\,δή,particle,to\,ὁ,article,tragiko/n,τραγικός,adjective,'kai\,καί,conjunction,th\n,ὁ,article,me\n,μέν,particle,e)chntlou=men,ἐξαντλέω,verb,h(\,ὅς,pronoun,d',δέ,particle,e)pesre/ei',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,ou),οὐ,adverb,pla/gio/n,πλάγιος,adjective,ge,γε,particle,h)=n,εἰμί,verb,to\,ὁ,article,kludw/nion,κλυδώνιον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
