word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS
kai\,καί,conjunction,me\n,μέν,particle,o(,ὁ,article,dakruo/eis,δακρυόεις,adjective,a)naba/lletai,ἀναβάλλω,verb,a)/lgea,ἄλγος,noun,pe/tros,πέτρος,noun,o(/stis,ὅστις,pronoun,e)ni\,ἐν,preposition,*frugi/hi,Φρύγιος,proper,diero\s,διερός,adjective,li/qos,λίθος,adjective,e)sth/riktai,στηρίζω,verb,ma/rmaron,μάρμαρον,noun,a)nti\,ἀντί,preposition,gunaiko\s,γυνή,noun,o)izuro/n,ὀιζυρός,adjective,ti,τις,pronoun,xanou/shs,χάσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i(h\,,,i(h\,,,fqe/ggesqe,φθέγγομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kako\n,κακός,adjective,maka/ressin,μάκαρ,noun,e)ri/zein,ἐρίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(\s,ὅς,pronoun,ma/xetai,μάχομαι,verb,maka/ressin,μάκαρ,noun,e)mw=i,ἐμός,adjective,basilh=i,βασιλεύς,noun,ma/xoito,μάχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/stis,ὅστις,pronoun,e)mw=i,ἐμός,adjective,basilh=i,βασιλεύς,noun,kai\,καί,conjunction,*)apo/llwni,Ἀπόλλων,proper,ma/xoito,μάχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\n,ὁ,article,xoro\n,χορός,noun,w(po/llwn,,,o(/,ὅς,pronoun,ti,τις,pronoun,oi(,ὁ,article,kata\,κατά,preposition,qumo\n,θυμός,noun,a)ei/dei,ἀείδω,verb,timh/sei,τιμάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
du/natai,δύναμαι,verb,ga/r,γάρ,particle,e)pei\,ἐπεί,conjunction,*dii\,Ζεύς,proper,decio\s,δεξιός,adjective,h(=stai,ἧμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)d',οὐδέ,particle,o(,ὁ,article,xoro\s,χορός,noun,to\n,ὁ,article,*foi=bon,Φοῖβος,proper,e)f',ἐπί,preposition,e(\n,εἷς,adjective,mo/non,μόνος,adjective,h)=mar,ἦμαρ,noun,a)ei/sei,ἀείδω,verb,e)/sti,εἰμί,verb,ga\r,γάρ,particle,eu)/umnos,εὔυμνος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/s,τίς,pronoun,a)\n,ἄν,particle,ou),οὐ,adverb,r(e/a,ῥέα,adverb,*foi=bon,Φοῖβος,proper,a)ei/doi,ἀείδω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xru/sea,χρύσεος,adjective,tw)po/llwni,Ἀπόλλων,proper,to/,ὁ,article,t',τε,particle,e)nduto\n,ἐνδυτός,adjective,h(/,ὅς,pronoun,t',τε,particle,e)piporpi/s,ἐπιπορπίς,noun,h(/,ὅς,pronoun,te,τε,particle,lu/rh,λύρα,adjective,to/,ὁ,article,t',τε,particle,a)/emma,ἄεμμα,noun,to\,ὁ,article,*lu/ktion,Λύκτιος,proper,h(/,ὅς,pronoun,te,τε,particle,fare/trh,φαρέτρα,noun,xru/sea,χρύσεος,adjective,kai\,καί,conjunction,ta\,ὁ,article,pe/dila,πέδιλον,noun,,,,,,,,,,,,,,,,,,,,,,,,
polu/xrusos,πολύχρυσος,adjective,ga\r,γάρ,particle,*)apo/llwn,Ἀπόλλων,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,de\,δέ,particle,polukte/anos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*puqw=ni/,Πυθών,proper,ke,ἄν,particle,tekmh/raio,τεκμαίρομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,me\n,μέν,particle,a)ei\,ἀεί,adverb,kalo\s,καλός,noun,kai\,καί,conjunction,a)ei\,ἀεί,adverb,ne/os,νέος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/pote,οὔποτε,adverb,*foi/bou,Φοῖβος,proper,qhlei/his',,,ou)d',οὐδέ,particle,o(/sson,ὅσος,adjective,e)pi\,ἐπί,preposition,xno/os,χνόος,noun,h)=lqe,ἔρχομαι,verb,pareiai=s,παρειά,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai(,ὁ,article,de\,δέ,particle,ko/mai,κόμη,noun,quo/enta,θυόεις,adjective,pe/dwi,πέδον,noun,lei/bousin,λείβω,verb,e)/laia,ἔλαιον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,li/pos,λίπος,adjective,*)apo/llwnos,Ἀπόλλων,proper,a)posta/zousin,ἀποστάζω,verb,e)/qeirai,ἔθειρα,noun,a)ll',ἀλλά,adverb,au)th\n,αὐτός,pronoun,pana/keian,πανάκεια,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,a)/stei+,ἄστυ,noun,d',δέ,particle,w)=i,ὄις,noun,ken,ἄν,particle,e)kei=nai,ἐκεῖνος,pronoun,prw=kes,πρώξ,noun,e)/raze,ἔραζε,adverb,pe/swsin,πίπτω,verb,a)kh/ria,ἀκήριος,adjective,pa/nt',πᾶς,adjective,e)ge/nonto,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
te/xnhi,τέχνη,noun,d',δέ,particle,a)mfilafh\s,ἀμφιλαφής,adverb,ou)/,οὐ,adverb,tis,τις,pronoun,to/son,τόσος,adjective,o(/sson,ὅσος,adjective,*)apo/llwn,Ἀπόλλων,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kei=nos,ἐκεῖνος,pronoun,o)isteuth\n,ὀιστευτής,noun,e)/lax',λάσκω,verb,a)ne/ra,ἀνήρ,noun,kei=nos,ἐκεῖνος,pronoun,a)oido/n,ἀοιδός,noun,*foi/bwi,Φοῖβος,proper,ga\r,γάρ,particle,kai\,καί,conjunction,to/con,τόξον,noun,e)pitre/petai,ἐπιτρέπω,verb,kai\,καί,conjunction,a)oidh/),ἀοιδός,noun,kei/nou,ἐκεῖνος,pronoun,de\,δέ,particle,qriai\,,,kai\,καί,conjunction,ma/nties,μάντις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)k,ἐκ,preposition,de/,δέ,particle,nu,νῦν,adverb,*foi/bou,Φοῖβος,proper,i)htroi\,ἰατρός,noun,deda/asin,δαίω,verb,a)na/blhsin,ἀνάβλησις,noun,qana/toio,θάνατος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*foi=bon,Φοῖβος,proper,kai\,καί,conjunction,*no/mion,νόμιος,adjective,kiklh/skomen,κικλήσκω,verb,e)ce/ti,ἐξέτι,preposition,kei/nou,ἐκεῖνος,pronoun,e)co/t',ἐξότε,adverb,e)p',ἐπί,preposition,*)amfrussw=i,,,zeugi/tidas,ζευγῖτις,noun,e)/trefen,τρέφω,verb,i(/ppous,ἵππος,noun,h)iqe/ou,ἠίθεος,noun,u(p',ὑπό,preposition,e)/rwti,ἔρως,noun,kekaume/nos,καίω,verb,*)admh/toio,Ἄδμητος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r(ei=a/,ῥεῖα,adverb,ke,ἄν,particle,boubo/sion,βουβόσιον,noun,tele/qoi,τελέθω,verb,ple/on,πλέος,adjective,ou)de/,οὐδέ,particle,ken,ἄν,particle,ai)=ges,αἴξ,adjective,deu/ointo,δέω,verb,brefe/wn,βρέφος,noun,e)pimhla/des,,,h(=isin,ὅς,pronoun,*)apo/llwn,Ἀπόλλων,proper,boskome/nhis',,,o)fqalmo\n,ὀφθαλμός,noun,e)ph/gagen,ἐπάγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)d',οὐδέ,particle,a)ga/laktes,,,oi)/ies,ὄις,noun,ou)d',οὐδέ,particle,a)/kuqoi,ἄκυθος,adjective,pa=sai,πᾶς,adjective,de/,δέ,particle,ken,ἄν,particle,ei)=en,εἶεν,particle,u(/parnoi,ὕπαρνος,adjective,h(,ὁ,article,de/,δέ,particle,ke,ἄν,particle,mounoto/kos,,,didumhto/kos,διδυμητόκος,adjective,ai)=ya,αἶψα,adverb,ge/noito,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*foi/bwi,Φοῖβος,proper,d',δέ,particle,e(spo/menoi,ἕπομαι,verb,po/lias,πόλις,adjective,diemetrh/santo,διαμετρέω,verb,a)/nqrwpoi,ἄνθρωπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*foi=bos,Φοῖβος,proper,ga\r,γάρ,particle,a)ei\,ἀεί,adverb,poli/essi,πόλις,adjective,filhdei=,φιληδής,adjective,ktizome/nhis',,,au)to\s,αὐτός,pronoun,de\,δέ,particle,qemei/lia,θέμεθλα,noun,*foi=bos,Φοῖβος,proper,u(fai/nei,ὑφαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tetrae/ths,τετραετής,adjective,ta\,ὁ,article,prw=ta,πρότερος,adjective,qemei/lia,θέμεθλα,noun,*foi=bos,Φοῖβος,proper,e)/phce,ἐφήκω,verb,kalh=i,καλός,noun,e)n,ἐν,preposition,*)ortugi/hi,Ὀρτυγία,proper,perihge/os,περιηγής,adjective,e)ggu/qi,ἐγγύθι,adverb,li/mnhs,λίμνη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)/artemis,Ἄρτεμις,proper,a)grw/ssousa,ἀγρώσσω,verb,karh/ata,κάρα,noun,sunexe\s,συνεχής,adverb,ai)gw=n,αἴξ,adjective,*kunqia/dwn,,,fore/esken,φορέω,verb,o(\,ὅς,pronoun,d',δέ,particle,e)/pleke,πλέκω,verb,bwmo\n,βωμός,noun,*)apo/llwn,Ἀπόλλων,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dei/mato,δέμω,verb,me\n,μέν,particle,kera/essin,κέρας,noun,e)de/qlia,ἐδέθλιον,noun,ph=ce,πήγνυμι,verb,de\,δέ,particle,bwmo\n,βωμός,noun,e)k,ἐκ,preposition,kera/wn,κέρας,noun,keraou\s,κεραός,adjective,de\,δέ,particle,pe/ric,πέριξ,preposition,u(peba/lleto,ὑποβάλλω,verb,toi/xous,τοῖχος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(=d',ὧδε,adverb,e)/maqen,μανθάνω,verb,ta\,ὁ,article,prw=ta,πρότερος,adjective,qemei/lia,θέμεθλα,noun,*foi=bos,Φοῖβος,proper,e)gei/rein,ἐγείρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*foi=bos,Φοῖβος,proper,kai\,καί,conjunction,baqu/geion,βαθύγειος,adjective,e)mh\n,ἐμός,adjective,po/lin,πόλις,adjective,e)/frase,φράζω,verb,*ba/ttwi,,,kai\,καί,conjunction,*libu/hn,Λιβύη,proper,e)sio/nti,εἴσειμι,verb,ko/rac,κόραξ,noun,h(gh/sato,ἁγέομαι,verb,law=i,λαός,noun,decio\s,δεξιός,adjective,oi)kisth=ri,οἰκιστήρ,noun,kai\,καί,conjunction,w)/mose,ὄμνυμι,verb,tei/xea,τεῖχος,noun,dw/sein,δίδωμι,verb,h(mete/rois,ἡμέτερος,adjective,basileu=sin,βασιλεύς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ei\,ἀεί,adverb,d',δέ,particle,eu)/orkos,εὔορκος,adjective,*)apo/llwn,Ἀπόλλων,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)/pollon,,,polloi/,πολύς,adjective,se,σύ,pronoun,*bohdro/mion,Βοηδρόμιος,proper,kale/ousi,καλέω,verb,polloi\,πολύς,adjective,de\,δέ,particle,*kla/rion,Κλάριος,proper,pa/nth,πάντῃ,adverb,de/,δέ,particle,toi,τοι,particle,ou)/noma,ὄνομα,adjective,poulu/,πολύς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)ta\r,ἀτάρ,particle,e)gw\,ἐγώ,pronoun,*karnei=on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)moi\,ἐγώ,pronoun,patrw/ion,πατρώιος,adjective,ou(/tw,οὕτως,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*spa/rth,Σπάρτη,proper,toi,σύ,pronoun,*karnei=e,,,to\,ὁ,article,dh\,δή,particle,prw/tiston,πρώτιστος,adjective,e)/deqlon,ἔδεθλον,noun,deu/teron,δεύτερος,adjective,au)=,αὖ,interjection,*qh/rh,Θήρα,proper,tri/tato/n,τρίτατος,adjective,ge,γε,particle,me\n,μέν,particle,a)/stu,ἄστυ,noun,*kurh/nhs,Κυρήνη,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)k,ἐκ,preposition,me/n,μέν,particle,se,σύ,pronoun,*spa/rths,Σπάρτη,proper,e(/kton,ἕκτος,adjective,ge/nos,γένος,noun,*oi)dipo/dao,Οἰδιπόδης,proper,h)/gage,ἄγω,verb,*qhrai/hn,θηράω,verb,e)s,εἰς,preposition,a)po/ktisin,ἀπόκτισις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)k,ἐκ,preposition,de/,δέ,particle,se,σύ,pronoun,*qh/rhs,Θήρα,proper,ou)=los,οὖλος,adjective,*)aristote/lhs,Ἀριστοτέλης,proper,*)asbusti/di,,,pa/rqeto,παρατίθημι,verb,gai/hi,γαῖα,noun,dei=me,δέμω,verb,de/,δέ,particle,toi,σύ,pronoun,ma/la,μάλα,adverb,kalo\n,καλός,noun,a)na/ktoron,ἀνάκτορον,noun,e)n,ἐν,preposition,de\,δέ,particle,po/lhi,πόλις,adjective,qh=ke,τίθημι,verb,telesfori/hn,τελεσφορία,noun,e)peth/sion,ἐπετήσιος,adjective,h(=i,ᾗ,adverb,e)ni\,ἐν,preposition,polloi/,πολύς,adjective,u(sta/tion,ὑστάτιος,adjective,pi/ptousin,πίπτω,verb,e)p',ἐπί,preposition,i)sxi/on,ἰσχίον,noun,w)=,ὦ,interjection,a)/na,ἄναξ,noun,tau=roi,ταῦρος,noun
