word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS
ta\,ὁ,article,skeu/h,σκεῦος,noun,toi/nun,τοίνυν,particle,o(/sa,ὅσος,adjective,dei=,δέομαι,verb,pare/xein,παρέχω,verb,th\n,ὁ,article,po/lin,πόλις,adjective,toi=s,ὁ,article,trihra/rxois,τριήραρχος,noun,e)gw\,ἐγώ,pronoun,me\n,μέν,particle,e)k,ἐκ,preposition,tw=n,ὁ,article,i)di/wn,ἴδιος,adjective,a)nh/lwsa,ἀναλίσκω,verb,kai\,καί,conjunction,tw=n,ὁ,article,dhmosi/wn,δημόσιος,adjective,e)/labon,λαμβάνω,verb,ou)de/n,οὐδείς,pronoun,ou(=toi,οὗτος,pronoun,d',δέ,particle,u(mete/rois,ὑμέτερος,adjective,ke/xrhntai,χράω,verb,kai\,καί,conjunction,tw=n,ὁ,article,sfete/rwn,σφέτερος,adjective,ou)de\n,οὐδείς,pronoun,ei)s,εἰς,preposition,tau=ta,οὗτος,pronoun,proei=ntai,προίημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,mh\n,μήν,particle,ou)d',οὐδέ,particle,a)\n,ἄν,particle,e)kei=no/,ἐκεῖνος,pronoun,g',γε,particle,e)/xoien,ἔχω,verb,ei)pei=n,εἶπον,verb,w(s,ὡς,conjunction,a)nepeirw=nt',ἀναπειράομαι,verb,e)mou=,ἐγώ,pronoun,pro/teroi,πρότερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pri\n,πρίν,adverb,ga\r,γάρ,particle,h(=fqai,ἅπτω,verb,mo/non,μόνος,adjective,th=s,ὁ,article,trih/rous,τριήρης,noun,tou/tous,οὗτος,pronoun,e)peplh/rwto/,ἐπιπληρόω,verb,moi,ἐγώ,pronoun,kai\,καί,conjunction,pa/ntes,πᾶς,adjective,e(wra=q',ὁράω,verb,u(mei=s,σύ,pronoun,a)napeirwme/nhn,ἀναπειράομαι,verb,th\n,ὁ,article,nau=n,ναῦς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/ti,ἔτι,adverb,toi/nun,τοίνυν,particle,u(phresi/an,ὑπηρεσία,noun,th\n,ὁ,article,krati/sthn,κράτιστος,adjective,e)/labon,λαμβάνω,verb,pollw=|,πολύς,adjective,plei=ston,πλεῖστος,adjective,a)rgu/rion,ἀργύριον,adjective,dou/s,δίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(=toi,οὗτος,pronoun,d',δέ,particle,ei),εἰ,conjunction,me\n,μέν,particle,ei)=xon,ἔχω,verb,xei/ron',χείρων,adverb,h(mw=n,ἐγώ,pronoun,ou)de\n,οὐδείς,pronoun,a)\n,ἄν,particle,h)=n,εἰμί,verb,deino/n,δεινός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,d',δέ,particle,ou)d',οὐδέ,particle,o(poiantinou=n,ὁποῖος,adjective,memi/sqwntai,μισθόω,verb,peri\,περί,preposition,tou=,ὁ,article,plei/onos,πλείων,verb,a)ntile/gontes,ἀντιλέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/toi,καίτοι,particle,pw=s,πῶς,adverb,ei)sin,εἰμί,verb,di/kaioi,δίκαιος,adjective,tau=ta,οὗτος,pronoun,me\n,μέν,particle,u(/steron,ὕστερος,adjective,e)canaplhrou=n,ἐξαναπληρόω,verb,nu=n,νῦν,adverb,d',δέ,particle,w(s,ὡς,conjunction,prw=toi,πρότερος,adjective,paraskeuasa/menoi,παρασκευάζω,verb,to\n,ὁ,article,ste/fanon,στέφανος,noun,labei=n,λαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(gou=mai,ἡγέομαι,verb,toi/nun,τοίνυν,particle,o(/ti,ὅστις,pronoun,me\n,μέν,particle,dikaio/tat',δίκαιος,adjective,a)\n,ἄν,particle,stefanw/sait',στεφανόω,verb,e)me/,ἐγώ,pronoun,kai\,καί,conjunction,mhde\n,μηδείς,pronoun,ei)po/ntos,εἶπον,verb,e)mou=,ἐγώ,pronoun,gignw/skein,γιγνώσκω,verb,u(ma=s,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,ὅστις,pronoun,d',δέ,particle,ou)k,οὐ,adverb,e)/nesti,ἔνειμι,verb,mo/nois,μόνος,adjective,tou/tois,οὗτος,pronoun,peri\,περί,preposition,tou=,ὁ,article,stefa/nou,στέφανος,noun,lo/gos,λόγος,noun,tou=t',οὗτος,pronoun,e)pidei=cai,ἐπιδείκνυμι,verb,bou/lomai,βούλομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po/qen,πόθεν,adverb,ou)=n,οὖν,particle,tou=to,οὗτος,pronoun,ma/list',μάλιστα,adverb,e)/stai,εἰμί,verb,dh=lon,δῆλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)f',ἀπό,preposition,w(=n,ὅς,pronoun,au)toi\,αὐτός,pronoun,pepoih/kasin,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skeya/menoi,σκέπτομαι,verb,ga\r,γάρ,particle,to\n,ὁ,article,e)c,ἐκ,preposition,e)laxi/stou,ἐλάχιστος,adjective,trihrarxei=n,τριηραρχέω,verb,boulo/menon,βούλομαι,verb,memisqw/kasi,μισθόω,verb,th\n,ὁ,article,lh|tourgi/an,λειτουργία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/toi,καίτοι,particle,pw=s,πῶς,adverb,ou)k,οὐ,adverb,a)/dikon,ἄδικος,adjective,tw=n,ὁ,article,me\n,μέν,particle,a)nalwma/twn,ἀνάλωμα,adjective,a)festhke/nai,ἀφίστημι,verb,tw=n,ὁ,article,de\,δέ,particle,gignome/nwn,γίγνομαι,verb,di',διά,preposition,e)kei=na,ἐκεῖνος,pronoun,timw=n,τιμάω,verb,a)ciou=n,ἀξιόω,verb,au(toi=s,ἑαυτοῦ,pronoun,metei=nai,μέτειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tou=,ὁ,article,me\n,μέν,particle,mh\,μή,conjunction,periormi/sai,περιορμίζω,verb,th\n,ὁ,article,nau=n,ναῦς,noun,to/te,τότε,adverb,to\n,ὁ,article,memisqwme/non,μισθόω,verb,ai)tia=sqai,αἰτιάομαι,verb,tw=n,ὁ,article,de\,δέ,particle,kalw=s,καλός,noun,dediakonhme/nwn,διακονέω,verb,nu=n,νῦν,adverb,au(toi=s,ἑαυτοῦ,pronoun,keleu/ein,κελεύω,verb,xa/rin,χάρις,noun,u(ma=s,σύ,pronoun,e)/xein,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dei=,δέομαι,verb,toi/nun,τοίνυν,particle,u(ma=s,σύ,pronoun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,mh\,μή,conjunction,mo/non,μόνος,adjective,e)k,ἐκ,preposition,tou/twn,οὗτος,pronoun,skopei=n,σκοπάω,verb,to\,ὁ,article,di/kaion,δίκαιος,adjective,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,e)c,ἐκ,preposition,w(=n,ὅς,pronoun,au)toi\,αὐτός,pronoun,pro/teron,πρότερος,adjective,pepoih/kate,ποιέω,verb,tau)ta\,ταυτός,adjective,tinw=n,τις,pronoun,diapracame/nwn,διαπράσσω,verb,tou/tois,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
