word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/8/@_form,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/lemma/@_entry,word/8/lemma/@_POS,word/35/lemma/@_entry,word/35/lemma/@_POS,word/48/lemma/@_entry,word/48/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS
a)/lla,ἄλλος,adjective,d',δέ,particle,e)pe/mpeto,πέμπω,verb,polla\,πολύς,adjective,para\,παρά,preposition,tw=n,ὁ,article,gunaikw=n,γυνή,noun,kai\,tw=n,e(tai/rwn,ἑταῖρος,noun,w(/ste,ὥστε,conjunction,xrhma/twn,χρῆμα,adjective,e(/neka,ἕνεκα,preposition,kai\,καί,conjunction,plou/tou,πλοῦτος,noun,lampro\n,λαμπρός,adjective,e)n,ἐν,preposition,toi=s,ὁ,article,*(/ellhsin,Ἕλλην,proper,ei)=nai,εἰμί,verb,kai\,καί,conjunction,diafanh=nai,διαφαίνω,verb,th=|,ὁ,article,tou=,ὁ,article,fuga/dos,φυγάς,noun,eu)pori/a|,εὐπορία,noun,th\n,ὁ,article,th=s,ὁ,article,turanni/dos,τυραννίς,noun,du/namin,δύναμις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*pla/twna,Πλάτων,proper,de\,δέ,particle,*dionu/sios,Διονύσιος,proper,eu)qu\s,εὐθύς,adverb,me\n,μέν,particle,ei)s,εἰς,preposition,th\n,ὁ,article,a)kro/polin,mete/sthsen,e)/ntimon,ἔντιμος,adjective,au)tw=|,αὐτός,pronoun,sxh/mati,σχῆμα,noun,ceni/as,ξενία,noun,filanqrw/pou,φιλάνθρωπος,adjective,froura\n,φρουρά,noun,mhxanhsa/menos,μηχανάομαι,verb,w(s,ὡς,conjunction,mh\,μή,conjunction,sumple/oi,συμπλέω,verb,*di/wni,Δίων,proper,ma/rtus,μάρτυς,noun,w(=n,ὅς,pronoun,h)di/khto,ἀδικέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀκρόπολις,noun,μεθίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xro/nw|,χρόνος,noun,de\,δέ,particle,kai\,καί,conjunction,sundiaith/sei,συνδιαιτάομαι,verb,kaqa/per,καθά,adverb,yau/ein,ψαύω,verb,a)nqrw/pou,ἄνθρωπος,noun,qhri/on,e)qisqei\s,u(pome/nein,ὑπομένω,verb,th/n,ὁ,article,te,τε,particle,o(mili/an,ὁμιλία,noun,au)tou=,αὐτός,pronoun,kai\,καί,conjunction,to\n,ὁ,article,lo/gon,λόγος,noun,h)ra/sqh,ἀράζω,verb,turanniko\n,τυραννικός,adjective,e)/rwta,ἔρως,noun,mo/nos,μόνος,adjective,a)ciw=n,ἀξιάω,verb,u(po\,ὑπό,preposition,*pla/twnos,Πλάτων,proper,a)ntera=sqai,ἀντεράω,verb,kai\,καί,conjunction,qauma/zesqai,θαυμάζω,verb,ma/lista,μάλιστα,adverb,pa/ntwn,πᾶς,adjective,e(/toimos,ἑτοῖμος,adjective,w)\n,εἰμί,verb,e)pitre/pein,ἐπιτρέπω,verb,ta\,ὁ,article,pra/gmata,πρᾶγμα,noun,kai\,καί,conjunction,th\n,turanni/da,τυραννίς,noun,mh\,μή,conjunction,protimw=nti,προτιμάω,verb,th\n,ὁ,article,pro\s,πρός,preposition,*di/wna,Δίων,proper,fili/an,φιλία,noun,th=s,ὁ,article,pro\s,πρός,preposition,au)to/n,αὐτός,pronoun,h)=n,εἰμί,verb,ou)=n,οὖν,particle,tw=|,*pla/twni,Πλάτων,proper,sumfora\,συμφορά,noun,to\,ὁ,article,pa/qos,πάθος,adjective,au)tou=,αὐτός,pronoun,tou=to,οὗτος,pronoun,mainome/nou,μαίνομαι,verb,kaqa/per,καθά,adverb,oi(,ὁ,article,duse/rwtes,δύσερως,adjective,u(po\,ὑπό,preposition,zhlotupi/as,ζηλοτυπία,noun,kai\,καί,conjunction,polla\s,πολύς,adjective,me\n,μέν,particle,o)rga\s,ὀργάς,noun,e)n,ἐν,preposition,o)li/gw|,ὀλίγος,adjective,xro/nw|,χρόνος,noun,polla\s,πολύς,adjective,de\,δέ,particle,diallaga\s,διαλλαγή,noun,kai\,καί,conjunction,deh/seis,δέησις,noun,poioume/nou,ποιέω,verb,pro\s,πρός,preposition,au)to/n,αὐτός,pronoun,a)kroa=sqai,ἀκροάομαι,verb,θηρίον,noun,ἐθίζω,verb,ὁ,article,ὁ,article,de\,δέ,particle,tw=n,ὁ,article,lo/gwn,λόγος,noun,kai\,καί,conjunction,koinwnei=n,κοινωνέω,verb,th=s,ὁ,article,peri\,περί,preposition,filosofi/an,φιλοσοφία,noun,pragmatei/as,πραγματεία,noun,spouda/zontos,σπουδάζω,verb,me\n,μέν,particle,u(perfuw=s,ὑπερφυής,adverb,ai)doume/nou,αἰδέομαι,verb,de\,δέ,particle,tou\s,ὁ,article,a)potre/pontas,ἀποτρέπω,verb,w(s,ὡς,conjunction,diafqarhsome/nou,διαφθείρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,tou/tw|,οὗτος,pronoun,de\,δέ,particle,pole/mou,πόλεμος,noun,tino\s,τις,pronoun,e)mpeso/ntos,ἐμπίτνω,verb,a)pope/mpei,ἀποπέμπω,verb,to\n,*pla/twna,sunqe/menos,συντίθημι,verb,ei)s,εἰς,preposition,w(/ran,ὥρα,adjective,e)/tous,ἔτος,noun,metape/myasqai,μεταπέμπω,verb,*di/wna,Δίων,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,Πλάτων,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tou=to,οὗτος,pronoun,me\n,μέν,particle,eu)qu\s,εὐθύς,adverb,e)yeu/sato,ψεύδω,verb,ta\s,ὁ,article,de\,δέ,particle,proso/dous,tw=n,kthma/twn,κτῆμα,noun,a)pe/pempen,ἀποπέμπω,verb,au)tw=|,αὐτός,pronoun,a)ciw=n,ἀξιάω,verb,*pla/twna,Πλάτων,proper,suggnw=nai,συγγιγνώσκω,verb,peri\,περί,preposition,tou=,ὁ,article,xro/nou,χρόνος,noun,dia\,διά,preposition,to\n,ὁ,article,po/lemon,πόλεμος,noun,ei)rh/nhs,εἰρήνη,noun,ga\r,γάρ,particle,genome/nhs,γίγνομαι,verb,ta/xista,τάχιστος,adjective,metape/myesqai,μεταπέμπω,verb,to\n,ὁ,article,*di/wna,Δίων,proper,kai\,καί,conjunction,a)ciou=n,ἀξιόω,verb,au)to\n,αὐτός,pronoun,h(suxi/an,ἡσυχία,noun,a)/gein,ἄγω,verb,kai\,καί,conjunction,mhde\n,μηδείς,pronoun,newteri/zein,mhde\,μηδέ,particle,blasfhmei=n,βλασφημέω,verb,kat',κατά,preposition,au)tou=,αὐτός,pronoun,pro\s,πρός,preposition,tou\s,ὁ,article,*(/ellhnas,Ἕλλην,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πρόσοδος,noun,ὁ,article,νεωτερίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau=ta,οὗτος,pronoun,e)peira=to,πειράω,verb,poiei=n,ποιέω,verb,*pla/twn,Πλάτων,proper,kai\,καί,conjunction,*di/wna,Δίων,proper,tre/yas,τρέπω,verb,e)pi\,filosofi/an,e)n,ἐν,preposition,*)akadhmei/a|,Ἀκαδήμεια,proper,sunei=xen,συνόχωκα,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐπί,preposition,φιλοσοφία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)/|kei,ὀίζω,verb,me\n,μέν,particle,ou)=n,οὖν,particle,e)n,ἐν,preposition,a)/stei,ἄστυ,noun,para\,παρά,preposition,*kalli/ppw|,Κάλλιππος,proper,tini\,tw=n,gnwri/mwn,γνώριμος,adjective,a)gro\n,ἀγρός,noun,de\,δέ,particle,diagwgh=s,διαγωγεύς,noun,xa/rin,χάρις,noun,e)kth/sato,κτάομαι,verb,kai\,καί,conjunction,tou=ton,οὗτος,pronoun,u(/steron,ὕστερος,adjective,ei)s,εἰς,preposition,*sikeli/an,Σικελία,proper,ple/wn,πλέω,verb,*speusi/ppw|,Σπεύσιππος,proper,dwrea\n,δωρεά,noun,e)/dwken,δίδωμι,verb,w(=|,ὅς,pronoun,ma/lista,μάλιστα,adverb,tw=n,ὁ,article,*)aqh/nhsi,Ἀθήνευς,proper,fi/lwn,φίλος,adjective,e)xrh=to,χράομαι,verb,kai\,καί,conjunction,sundih|ta=to,συνδιαιτάομαι,verb,boulome/nou,βούλομαι,verb,tou=,ὁ,article,*pla/twnos,Πλάτων,proper,o(mili/a|,xa/rin,χάρις,noun,e)xou/sh|,ἔχω,verb,kai\,καί,conjunction,paidia=s,παιδιή,noun,e)mmelou=s,ἐμμελής,adjective,kata\,κατά,preposition,kairo\n,καιρός,noun,a(ptome/nh|,ἅπτω,verb,kerannu/menon,κεράννυμι,verb,a)fhdu/nesqai,,,tou=,ὁ,article,*di/wnos,Δίων,proper,to\,h)=qos,ἦθος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τις,pronoun,ὁ,article,ὁμιλία,noun,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toiou=tos,τοιοῦτος,adjective,de/,δέ,particle,tis,τις,pronoun,o(,ὁ,article,*speu/sippos,Σπεύσιππος,proper,h)=n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(=|,ὅς,pronoun,kai\,καί,conjunction,skw=yai,εἰσλάω,verb,a)gaqo\n,ἀγαθός,adjective,au)to\n,αὐτός,pronoun,e)n,ἐν,preposition,toi=s,ὁ,article,*si/llois,o(,*ti/mwn,Τίμων,proper,proshgo/reusen,προσαγορεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Σίλλος,proper,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)tw=|,αὐτός,pronoun,de\,δέ,particle,*pla/twni,Πλάτων,proper,xorhgou=nti,χορηγέω,verb,pai/dwn,παῖς,adjective,xorw=|,χορός,noun,to/n,ὁ,article,te,xoro\n,h)/skhsen,ἀσκέω,verb,o(,ὁ,article,*di/wn,Δίος,proper,kai\,καί,conjunction,to\,ὁ,article,dapa/nhma,δαπάνημα,noun,pa=n,πᾶς,adjective,e)te/lese,τελέω,verb,par',παρά,preposition,e(autou=,ἑαυτοῦ,pronoun,sugxwrou=ntos,συγχωρέω,verb,tou=,ὁ,article,*pla/twnos,Πλάτων,proper,th\n,ὁ,article,toiau/thn,τοιοῦτος,adjective,filotimi/an,φιλοτιμία,noun,pro\s,πρός,preposition,tou\s,ὁ,article,*)aqhnai/ous,Ἀθήναιος,proper,w(s,ὡς,conjunction,e)kei/nw|,ἐκεῖνος,pronoun,ma=llon,μᾶλλον,adverb,eu)/noian,εὔνοια,noun,h)\,ἠέ,conjunction,do/can,δόξα,noun,au)tw=|,αὐτός,pronoun,fe/rousan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τε,particle,χορός,noun,φέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pefoi/ta,ἐπιφοιτάω,verb,de\,δέ,particle,kai\,καί,conjunction,tai=s,ὁ,article,a)/llais,ἄλλος,adjective,po/lesin,πόλις,adjective,o(,ὁ,article,*di/wn,kai\,sunesxo/laze,συσχολάζω,verb,kai\,καί,conjunction,sunepanhgu/rize,συμπανηγυρίζω,verb,toi=s,ὁ,article,a)ri/stois,ἄριστος,adjective,kai\,καί,conjunction,politikwta/tois,πολιτικός,adjective,a)ndra/sin,ἀνήρ,noun,ou)de\n,οὐδείς,pronoun,e)n,ἐν,preposition,th=|,ὁ,article,diai/th|,δίαιτα,noun,so/loikon,σόλοικος,adjective,e)pideiknu/menos,ἐπιδείκνυμι,verb,ou)de\,οὐδέ,particle,turanniko\n,τυραννικός,adjective,ou)de\,οὐδέ,particle,e)piteqrumme/non,,,a)lla\,ἀλλά,adverb,swfrosu/nhn,σωφροσύνη,noun,kai\,καί,conjunction,a)reth\n,ἀρετή,noun,kai\,καί,conjunction,a)ndrei/an,ἀνδρεία,noun,kai\,καί,conjunction,peri\,περί,preposition,lo/gous,kai\,καί,conjunction,peri\,περί,preposition,filosofi/an,φιλοσοφία,noun,eu)sxh/monas,εὐσχήμων,adjective,diatriba/s,διατριβή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Δίος,proper,καί,conjunction,λόγος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)f',ἐπί,preposition,oi(=s,ὅς,pronoun,eu)/noia,εὔνοια,noun,para\,παρά,preposition,pa/ntwn,πᾶς,adjective,e)gi/neto,γίγνομαι,verb,kai\,καί,conjunction,zh=los,au)tw=|,timai/,τιμή,noun,te,τε,particle,dhmo/siai,δημόσιος,adjective,kai\,καί,conjunction,yhfi/smata,ψήφισμα,noun,para\,παρά,preposition,tw=n,ὁ,article,po/lewn,πόλις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ζῆλος,noun,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*lakedaimo/nioi,Λακεδαιμόνιος,proper,de\,δέ,particle,kai\,καί,conjunction,*spartia/thn,Σπαρτιάτης,proper,au)to\n,αὐτός,pronoun,e)poih/santo,ποιέω,verb,th=s,ὁ,article,*dionusi/ou,katafronh/santes,o)rgh=s,ὀργή,noun,kai/per,καίπερ,particle,au)toi=s,αὐτός,pronoun,to/te,τότε,adverb,proqu/mws,πρόθυμος,adjective,e)pi\,ἐπί,preposition,tou\s,ὁ,article,*qhbai/ous,Θηβαῖος,proper,summaxou=ntos,συμμαχέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Διονύσιον,proper,καταφρονέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
