word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS
a)ll',ἀλλά,adverb,e)/s,εἰς,preposition,t',τε,particle,e)pa/lceis,ἔπαλξις,noun,kai\,καί,conjunction,pu/las,πύλη,adjective,purgwma/twn,πύργωμα,noun,o(rma=sqe,ὁρμάω,verb,pa/ntes,πᾶς,adjective,sou=sqe,σεύω,verb,su\n,σύν,preposition,panteuxi/a|,παντευχία,noun,plhrou=te,πληρόω,verb,qwrakei=a,θωρακεῖον,noun,ka)pi\,ἐπί,preposition,se/lmasin,σέλμα,noun,pu/rgwn,πύργος,noun,sta/qhte,ἵστημι,verb,kai\,καί,conjunction,pulw=n,πύλη,adjective,e)p',ἐπί,preposition,e)co/dois,ἔξοδος,noun,mi/mnontes,μίμνω,verb,eu)=,εὖ,adverb,qarsei=te,θαρσέω,verb,mhd',μηδέ,particle,e)phlu/dwn,ἔπηλυς,noun,tarbei=t',ταρβέω,verb,a)/gan,ἄγαν,adverb,o(/milon,ὅμιλος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu)=,εὖ,adverb,telei=,τέλλω,verb,qeo/s,θεός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skopou\s,σκοπός,noun,de\,δέ,particle,ka)gw\,ἐγώ,pronoun,kai\,καί,conjunction,katopth=ras,κατόπτης,noun,stratou=,στρατός,noun,e)/pemya,πέμπω,verb,tou\s,ὁ,article,pe/poiqa,πείθω,verb,mh\,μή,conjunction,mata=n,ματάω,verb,o(dw=|,ὁδός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tw=nd',ὅδε,pronoun,a)kou/sas,ἀκέω,verb,ou)/,οὐ,adverb,ti,τις,pronoun,mh\,μή,conjunction,lhfqw=,λαμβάνω,verb,do/lw|,δόλος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)eteo/klees,,,fe/riste,φέριστος,adjective,*kadmei/wn,Καδμεῖος,proper,a)/nac,ἄναξ,noun,h(/kw,ἥκω,verb,safh=,σαφής,adverb,ta)kei=qen,ἐκεῖθεν,adverb,e)k,ἐκ,preposition,stratou=,στρατός,noun,fe/rwn,φέρω,verb,au)to\s,αὐτός,pronoun,kato/pths,κατόπτης,noun,d',δέ,particle,ei)/m',εἰμί,verb,e)gw\,ἐγώ,pronoun,tw=n,ὁ,article,pragma/twn,πρᾶγμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/ndres,ἀνήρ,noun,ga\r,γάρ,particle,e(pta/,ἑπτά,noun,qou/rioi,θούριος,adjective,loxage/tai,λοχαγέτης,noun,taurosfagou=ntes,ταυροσφαγέω,verb,e)s,εἰς,preposition,mela/ndeton,μελάνδετος,adjective,sa/kos,σάκκος,noun,kai\,καί,conjunction,qigga/nontes,θιγγάνω,verb,xersi\,χείρ,noun,taurei/ou,ταύρειος,adjective,fo/nou,φόνος,noun,*)/arh,Ἄρης,proper,t',τε,particle,*)enuw/,Ἐνυώ,proper,kai\,καί,conjunction,filai/maton,φιλαίματος,adjective,*fo/bon,Φόβος,proper,w(rkwmo/thsan,ὁρκωμοτέω,verb,h)\,ἠέ,conjunction,po/lei,πόλις,adjective,kataskafa\s,κατασκαφή,noun,qe/ntes,τίθημι,verb,lapa/cein,λαπάσσω,verb,a)/stu,ἄστυ,noun,*kadmei/wn,Καδμεῖος,proper,bi/a|,βία,adjective,h)\,ἠέ,conjunction,gh=n,γῆ,noun,qano/ntes,θνήσκω,verb,th/nde,ὅδε,pronoun,fura/sein,φυράω,verb,fo/nw|,φόνος,noun,,,,,,,,,,,,,,,,,,,,,
mnhmei=a/,μνημεῖον,noun,q',τε,particle,au(tw=n,ἑαυτοῦ,pronoun,toi=s,ὁ,article,tekou=sin,τίκτω,verb,e)s,εἰς,preposition,do/mous,δόμος,noun,pro\s,πρός,preposition,a(/rm',ἅρμα,noun,*)adra/stou,Ἄδραστος,proper,xersi\n,χείρ,noun,e)/stefon,στέφω,verb,da/kru,δάκρυον,noun,lei/bontes,λείβω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi)=ktos,οἶκτος,noun,d',δέ,particle,ou)/tis,οὔτις,pronoun,h)=n,εἰμί,verb,dia\,διά,preposition,sto/ma,στόμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sidhro/frwn,σιδηρόφρων,adjective,ga\r,γάρ,particle,qumo\s,θυμός,noun,a)ndrei/a|,ἀνδρεία,noun,fle/gwn,φλέγω,verb,e)/pnei,πνέω,verb,leo/ntwn,λέων,noun,w(s,ὡς,conjunction,*)/arh,Ἄρης,proper,dedorko/twn,δέρκομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tw=nde,ὅδε,pronoun,pu/stis,πύστις,noun,ou)k,οὐ,adverb,o)/knw|,ὄκνος,noun,xroni/zetai,χρονίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klhroume/nous,κληρόω,verb,d',δέ,particle,e)/leipon,λείπω,verb,w(s,ὡς,conjunction,pa/lw|,πᾶλος,noun,laxw\n,λαγχάνω,verb,e(/kastos,ἕκαστος,adjective,au)tw=n,αὐτός,pronoun,pro\s,πρός,preposition,pu/las,πύλη,adjective,a)/goi,ἄγω,verb,lo/xon,λόχος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro\s,πρός,preposition,tau=t',οὗτος,pronoun,a)ri/stous,ἄριστος,adjective,a)/ndras,ἀνήρ,noun,e)kkri/tous,ἔκκριτος,adjective,po/lews,πόλις,adjective,pulw=n,πύλη,adjective,e)p',ἐπί,preposition,e)co/doisi,ἔξοδος,noun,ta/geusai,ταγεύω,verb,ta/xos,τάχος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)ggu\s,ἐγγύς,adverb,ga\r,γάρ,particle,h)/dh,ἤδη,adverb,pa/noplos,πάνοπλος,adjective,*)argei/wn,Ἀργᾶς,proper,strato\s,στρατός,noun,xwrei=,χωρέω,verb,koni/ei,κονίω,verb,pedi/a,πεδίον,noun,d',δέ,particle,a)rghsth\s,ἀργής,noun,a)fro\s,ἀφρός,noun,xrai/nei,χραίνω,verb,stalagmoi=s,σταλαγμός,noun,i(ppikw=n,ἱππικός,adjective,e)k,ἐκ,preposition,pleumo/nwn,πλεύμων,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
su\,σύ,pronoun,d',δέ,particle,w(/ste,ὥστε,conjunction,nao\s,ναός,noun,kedno\s,κεδνός,adjective,oi)akostro/fos,οἰακοστρόφος,noun,fra/cai,φράσσω,verb,po/lisma,πόλισμα,noun,pri\n,πρίν,adverb,kataigi/sai,καταιγίζω,verb,pnoa\s,πνοή,noun,*)/arews,Ἄρης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boa=|,βοάω,verb,ga\r,γάρ,particle,ku=ma,κῦμα,noun,xersai=on,χερσαῖος,adjective,stratou=,στρατός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tw=nde,ὅδε,pronoun,kairo\n,καιρός,noun,o(/stis,ὅστις,pronoun,w)/kistos,ὠκύς,adjective,labe/,λαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ka)gw\,ἐγώ,pronoun,ta\,ὁ,article,loipa\,λοιπός,adjective,pisto\n,πιστός,adjective,h(merosko/pon,ἡμεροσκόπος,adjective,o)fqalmo\n,ὀφθαλμός,noun,e(/cw,ἔχω,verb,kai\,καί,conjunction,safhnei/a|,σαφήνεια,noun,lo/gou,λόγος,noun,ei)dw\s,οἶδα,verb,ta\,ὁ,article,tw=n,ὁ,article,qu/raqen,θύραθεν,adverb,a)blabh\s,ἀβλαβής,adjective,e)/sh|,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,*zeu=,Ζεύς,proper,te,τε,particle,kai\,καί,conjunction,*gh=,Γαῖα,proper,kai\,καί,conjunction,polissou=xoi,πολισσοῦχος,adjective,qeoi/,θεός,noun,*)ara/,Ἀρή,proper,t',τε,particle,*)erinu\s,Ἐρινύς,proper,patro\s,πατήρ,noun,h(,ὁ,article,megasqenh/s,μεγασθενής,adjective,mh/,μή,conjunction,moi,ἐγώ,pronoun,po/lin,πόλις,adjective,ge,γε,particle,prumno/qen,πρυμνόθεν,adverb,panw/leqron,πανώλεθρος,adjective,e)kqamni/shte,ἐκθαμνίζω,verb,dh|a/lwton,δηιάλωτος,adjective,*(ella/dos,Ἑλλάς,proper,fqo/ggon,φθόγγος,noun,xe/ousan,χάω,verb,kai\,καί,conjunction,do/mous,δόμος,noun,e)festi/ous,ἐφέστιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)leuqe/ran,ἐλεύθερος,adjective,de\,δέ,particle,gh=n,γῆ,noun,te,τε,particle,kai\,καί,conjunction,*ka/dmou,Κάδμος,proper,po/lin,πόλις,adjective,zugoi=si,ζυγόν,noun,douli/oisi,,,mh/pote,μήποτε,adverb,sxeqei=n,σχέθω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ge/nesqe,γίγνομαι,verb,d',δέ,particle,a)lkh/,ἀλκή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cuna\,ξυνός,adjective,d',δέ,particle,e)lpi/zw,ἐλπίζω,verb,le/gein,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po/lis,πόλις,adjective,ga\r,γάρ,particle,eu)=,εὖ,adverb,pra/ssousa,πράσσω,verb,dai/monas,δαίμων,adjective,ti/ei,τίω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qre/omai,θράομαι,verb,fobera\,φοβερός,adjective,mega/l',μέγας,adverb,a)/xh,ἄχος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meqei=tai,μεθίημι,verb,strato/s,στρατός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strato/pedon,στρατόπεδον,noun,lipw\n,λείπω,verb,r(ei=,ῥέομαι,verb,polu\s,πολύς,adjective,o(/de,ὅδε,pronoun,lew\s,λαός,noun,pro/dromos,πρόδρομος,adjective,i(ppo/tas,ἱππότης,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai)qeri/a,αἰθέριος,adjective,ko/nis,κόνις,noun,me,ἐγώ,pronoun,pei/qei,πείθω,verb,fanei=s',φαίνω,verb,a)/naudos,ἄναυδος,adjective,safh\s,σαφής,adverb,e)/tumos,ἔτυμος,adjective,a)/ggelos,ἄγγελος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/ti,ἔτι,adverb,de\,δέ,particle,ga=s,γῆ,noun,e)ma=s,ἐμός,adjective,pedi/',πεδίον,noun,o(plo/ktup',,,w)ti\,οὖς,noun,xri/mptei,χρίμπτω,verb,boa/n,βοή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pota=tai,ποτάομαι,verb,bre/mei,βρέμω,verb,d',δέ,particle,a)maxe/tou,ἀμάχετος,adjective,di/kan,δίκη,adjective,u(/datos,ὕδωρ,noun,o)rotu/pou,ὀροτύπος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i)w\,ἰώ,interjection,i)w\,ἰώ,interjection,i)w\,ἰώ,interjection,qeoi\,θεός,noun,qeai/,θεά,noun,t',τε,particle,o)ro/menon,ὄρνυμι,verb,kako\n,κακός,adjective,boa=|,βοάω,verb,teixe/wn,τεῖχος,noun,u(/per,ὑπέρ,preposition,a)leu/sate,ἀλεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
