word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS
tw=n,ὁ,article,de\,δέ,particle,martu/rwn,μάρτυρος,noun,a)khko/ate,ἀκούω,verb,oi(\,ἕ,pronoun,parh=san,πάρειμι,verb,paroinou=nti,παροινέω,verb,au)tw=|,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(ma=s,σύ,pronoun,de\,δέ,particle,xrh\,χρή,verb,th=|,ὁ,article,te,τε,particle,a)nomi/a|,ἀνομία,noun,tou=,ὁ,article,paqh/matos,πάθημα,noun,a)mu/nontas,ἀμύνω,verb,th/n,ὁ,article,te,τε,particle,u(/brin,ὕβρις,noun,kola/zontas,κολάζω,verb,a)ci/ws,ἄξιος,adjective,tou=,ὁ,article,pa/qous,πάθος,adjective,th\n,ὁ,article,bouleu/sasan,βουλεύω,verb,yuxh\n,ψυχή,noun,a)ntafele/sqai,ἀνταφαιρέω,verb,au)to/n,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,ὅστις,pronoun,me\n,μέν,particle,braxei=s,βραχύς,adjective,tou\s,ὁ,article,lo/gous,λόγος,noun,e)poih/santo,ποιέω,verb,ou),οὐ,adverb,qauma/zw,θαυμάζω,verb,au)tw=n,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,w(s,ὡς,conjunction,mh\,μή,conjunction,pa/qwsin,πάσχω,verb,o(,ὁ,article,ki/ndunos,κίνδυνος,noun,au)toi=s,αὐτός,pronoun,e)stin,εἰμί,verb,a)ll',ἀλλά,adverb,w(s,ὡς,conjunction,e)me\,ἐγώ,pronoun,mh\,μή,conjunction,dikai/ws,δίκαιος,adjective,di',διά,preposition,e)/xqran,ἔχθρα,noun,diafqei/rwsin,διαφθείρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,ὅστις,pronoun,d',δέ,particle,e)cisou=n,ἐξισόω,verb,toi=s,ὁ,article,megi/stois,μέγας,adverb,e)gklh/masin,ἔγκλημα,noun,h)/qelon,ἐθέλω,verb,to\,ὁ,article,pra=gma,πρᾶγμα,noun,ou(=,ἕ,pronoun,o(,ὁ,article,a)poqanw\n,ἀποθνήσκω,verb,au(tw=|,ἑαυτοῦ,pronoun,ai)/tios,αἴτιος,adjective,kai\,καί,conjunction,ma=llon,μᾶλλον,adverb,h)\,ἠέ,conjunction,e)gw\,ἐγώ,pronoun,e)ge/neto,γίγνομαι,verb,ei)ko/tws,ἐοικότως,adverb,a)\n,ἄν,particle,a)ganaktei=n,ἀγανακτέω,verb,moi,ἐγώ,pronoun,dokw=,δοκάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/rxwn,ἄρχων,noun,ga\r,γάρ,particle,xeirw=n,χείρ,noun,a)di/kwn,ἄδικος,adjective,kai\,καί,conjunction,paroinw=n,παροινέω,verb,ei)s,εἰς,preposition,a)/ndra,ἀνήρ,noun,polu\,πολύς,adjective,au(tou=,ἑαυτοῦ,pronoun,swfrone/steron,σώφρων,noun,ou)x,οὐ,adverb,au(tw=|,ἑαυτοῦ,pronoun,mo/non,μόνος,adjective,th=s,ὁ,article,sumfora=s,συμφορά,noun,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,e)moi\,ἐγώ,pronoun,ai)/tios,αἴτιος,adjective,tou=,ὁ,article,e)gklh/matos,ἔγκλημα,noun,ge/gonen,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi)=mai,οἴομαι,verb,me\n,μέν,particle,ou)=n,οὖν,particle,e)/gwge,ἐγώ,pronoun,ou)/te,οὔτε,adverb,di/kaia,δίκαιος,adjective,tou/tous,οὗτος,pronoun,ou)/q',οὔτε,adverb,o(/sia,ὅσιος,adjective,dra=n,δράω,verb,e)gkalou=ntas,ἐγκαλέω,verb,e)moi/,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\n,ὁ,article,ga\r,γάρ,particle,a)/rcanta,ἄρχω,verb,th=s,ὁ,article,plhgh=s,πληγή,noun,ei),εἰ,conjunction,me\n,μέν,particle,sidh/rw|,σίδηρον,noun,h)\,ἠέ,conjunction,li/qw|,λίθος,adjective,h)\,ἠέ,conjunction,cu/lw|,ξύλον,adjective,h)muna/mhn,ἀμύνω,verb,au)to/n,αὐτός,pronoun,h)di/koun,ἀδικέω,verb,me\n,μέν,particle,ou)d',οὐδέ,particle,ou(/tws,οὕτως,adverb,ou),οὐ,adverb,ga\r,γάρ,particle,tau)ta\,ταυτός,adjective,a)lla\,ἀλλά,adverb,mei/zona,μέγας,adverb,kai\,καί,conjunction,plei/ona,πλείων,verb,di/kaioi,δίκαιος,adjective,oi(,ὁ,article,a)/rxontes,ἄρχων,noun,a)ntipa/sxein,ἀντιπάσχω,verb,ei)si/n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tai=s,ὁ,article,de\,δέ,particle,xersi\,χείρ,noun,tupto/menos,τύπτω,verb,u(p',ὑπό,preposition,au)tou=,αὐτός,pronoun,tai=s,ὁ,article,xersi\n,χείρ,noun,a(/per,ὅς,pronoun,e)/pasxon,πάσχω,verb,a)ntidrw=n,ἀντιδράω,verb,po/tera,πότερος,adjective,h)di/koun,ἀδικέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)rei=,ἐράομαι,verb,de/,δέ,particle,a)ll',ἀλλά,adverb,o(,ὁ,article,no/mos,νόμος,noun,ei)/rgwn,ἔργω,verb,mh/te,μήτε,particle,dikai/ws,δίκαιος,adjective,mh/te,μήτε,particle,a)di/kws,ἄδικος,adjective,a)poktei/nein,ἀποκτείνω,verb,e)/noxon,ἔνοχος,adjective,tou=,ὁ,article,fo/nou,φόνος,noun,toi=s,ὁ,article,e)pitimi/ois,ἐπιτίμιον,noun,a)pofai/nei,ἀποφαίνω,verb,se,σύ,pronoun,o)/nta,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,ga\r,γάρ,particle,a)nh\r,ἀνήρ,noun,te/qnhken,θνήσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,de\,δέ,particle,deu/teron,δεύτερος,adjective,kai\,καί,conjunction,tri/ton,τρίτος,adjective,ou)k,οὐ,adverb,a)poktei=nai/,ἀποκτείνω,verb,fhmi,φημί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,me\n,μέν,particle,ga\r,γάρ,particle,u(po\,ὑπό,preposition,tw=n,ὁ,article,plhgw=n,πλήξ,noun,o(,ὁ,article,a)nh\r,ἀνήρ,noun,paraxrh=ma,παραχρῆμα,adverb,a)pe/qanen,ἀποθνήσκω,verb,u(p',ὑπό,preposition,e)mou=,ἐγώ,pronoun,me\n,μέν,particle,dikai/ws,δίκαιος,adjective,d',δέ,particle,a)\n,ἄν,particle,e)teqnh/kei,θνήσκω,verb,ou),οὐ,adverb,ga\r,γάρ,particle,tau)ta\,ταυτός,adjective,a)lla\,ἀλλά,adverb,mei/zona,μέγας,adverb,kai\,καί,conjunction,plei/ona,πλείων,verb,oi(,ἕ,pronoun,a)/rcantes,ἄρχω,verb,di/kaioi,δίκαιος,adjective,a)ntipa/sxein,ἀντιπάσχω,verb,ei)si/,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,de\,δέ,particle,pollai=s,πολύς,adjective,h(me/rais,ἡμέρα,noun,u(/steron,ὕστερος,adjective,moxqhrw=|,μοχθηρός,adjective,i)atrw=|,ἰατρός,noun,e)pitrefqei\s,ἐπιτρέφω,verb,dia\,διά,preposition,th\n,ὁ,article,tou=,ὁ,article,i)atrou=,ἰατρός,noun,moxqhri/an,μοχθηρία,noun,kai\,καί,conjunction,ou),οὐ,adverb,dia\,διά,preposition,ta\s,ὁ,article,plhga\s,πληγάς,noun,a)pe/qane,ἀποθνήσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prolego/ntwn,προλέγω,verb,ga\r,γάρ,particle,au)tw=|,αὐτός,pronoun,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,i)atrw=n,ἰατρός,noun,ei),εἰ,conjunction,tau/thn,οὗτος,pronoun,th\n,ὁ,article,qerapei/an,θεραπεία,noun,qerapeu/soito,θεραπεύω,verb,o(/ti,ὅστις,pronoun,i)a/simos,ἰάσιμος,adjective,w)\n,εἰμί,verb,diafqarh/soito,διαφθείρω,verb,di',διά,preposition,u(ma=s,σύ,pronoun,tou\s,ὁ,article,sumbou/lous,σύμβουλος,noun,diafqarei\s,διαφθείρω,verb,e)moi\,ἐγώ,pronoun,a)no/sion,ἀνόσιος,adjective,e)/gklhma,ἔγκλημα,noun,prose/balen,προσδαίω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)polu/ei,ἀπολύω,verb,de/,δέ,particle,me,ἐγώ,pronoun,kai\,καί,conjunction,o(,ὁ,article,no/mos,νόμος,noun,kaq',κατά,preposition,o(\n,ὅς,pronoun,diw/komai,διώκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
