word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/6/lemma/@_entry,word/6/lemma/@_POS,word/16/lemma/@_entry,word/16/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS
*(/agnwn,Ἅγνων,proper,me\n,μέν,particle,ga\r,γάρ,particle,ou(tosi\,οὗτος,pronoun,kai\,καί,conjunction,*(agno/qeos,,,*qrasuma/xou,e)pegra/yanto,ἐπιγράφω,verb,to\n,ὁ,article,*niko/straton,Νικόστρατος,proper,kai\,καί,conjunction,e(autou\s,ἑαυτοῦ,pronoun,e)kei/nw|,ἐκεῖνος,pronoun,a)neyiou\s,ἀνεψιός,noun,a)pofai/nousi,ἀποφαίνω,verb,kai\,καί,conjunction,tou/twn,ma/rturas,μάρτυς,noun,pare/xontai,παρέχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,Θρασύμαχος,proper,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*xaria/dhs,,,de\,δέ,particle,kai\,καί,conjunction,oi(,ἕ,pronoun,sundikou=ntes,συνδικέω,verb,au)tw=|,αὐτός,pronoun,*smi/krou,me\n,μέν,particle,patro\s,πατήρ,noun,ei)=nai/,εἰμί,verb,fasi,φημί,verb,to\n,ὁ,article,*niko/straton,Νικόστρατος,proper,a)mfisbhtou=si,ἀμφισβητέω,verb,de\,δέ,particle,tou=,ὁ,article,*qrasuma/xou,u(ou=,υἱός,noun,klh/rou,κλῆρος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,Θρασύμαχος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,oi(/de,ὅδε,pronoun,me\n,μέν,particle,ou)de\n,οὐδείς,pronoun,prospoiou=ntai,προσποιέω,verb,e)kei/nou,ἐκεῖνος,pronoun,tou=,o)no/matos,ὄνομα,adjective,ou)/te,οὔτε,adverb,gignw/skein,γιγνώσκω,verb,ou)/te,οὔτε,adverb,prosh/kein,προσήκω,verb,au(toi=s,ἑαυτοῦ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fasi\,φημί,verb,me\n,μέν,particle,ou)=n,οὖν,particle,ei)=nai,εἰμί,verb,*qrasuma/xou,Θρασύμαχος,proper,*niko/straton,Νικόστρατος,proper,tou/tou,de\,δέ,particle,o(moi/ws,ὅμοιος,adjective,th=s,ὁ,article,ou)si/as,οὐσία,adjective,a)mfisbhtou=si,ἀμφισβητέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ei),εἰ,conjunction,me\n,μέν,particle,to\,ὁ,article,o)/noma,ὄνομα,adjective,patro/qen,πατρόθεν,adverb,to\,au)to\,αὐτός,pronoun,w(molo/goun,ὁμολογέω,verb,ei)=nai,εἰμί,verb,tou=,ὁ,article,*nikostra/tou,Νικόστρατος,proper,peri\,περί,preposition,de\,δέ,particle,tou=,ὁ,article,klh/rou,κλῆρος,adjective,mo/nou,diefe/ronto,διαφέρω,verb,ou)de\n,οὐδείς,pronoun,a)\n,ἄν,particle,e)/dei,δέω,verb,u(ma=s,σύ,pronoun,ske/yasqai,σκέπτομαι,verb,a)ll',ἀλλά,adverb,lth)\gt,,,ei)/,εἰ,conjunction,ti,τις,pronoun,ὁ,article,μόνος,adjective,die/qeto,διατίθημι,verb,e)kei=nos,ἐκεῖνος,pronoun,o(,ὁ,article,*niko/stratos,Νικόστρατος,proper,o(\n,ὅς,pronoun,a)mfo/teroi,ἀμφότερος,adjective,w(molo/goun,ὁμολογέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,de\,δέ,particle,pw=s,πῶς,adverb,oi(=o/n,οἷος,adjective,te,τε,particle,tw=|,ὁ,article,a)ndri\,du/o,δύο,adjective,pate/ras,πατήρ,noun,e)pigra/yasqai,ἐπιγράφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀνδρίς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=to,οὗτος,pronoun,ga\r,γάρ,particle,*xaria/dhs,,,pepoi/hken,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)to/s,αὐτός,pronoun,te,τε,particle,ga\r,γάρ,particle,e)/laxe,λαγχάνω,verb,lttw=ngt,,,tou=,ὁ,article,*smi/krou,*nikostra/tou,Νικόστρατος,proper,tou/tois,οὗτος,pronoun,te,τε,particle,lttw=ngt,,,tou=,ὁ,article,*qrasuma/xou,Θρασύμαχος,proper,laxou=si,λαγχάνω,verb,parakate/balen,παρακαταβάλλω,verb,w(s,ὡς,conjunction,to\n,au)to\n,αὐτός,pronoun,o)/nta,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/sti,εἰμί,verb,me\n,μέν,particle,ou)=n,οὖν,particle,a(/panta,ἅπας,adjective,tau=ta,οὗτος,pronoun,e)ph/reia,ἐπήρεια,noun,kai\,paraskeuh/,παρασκευή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(gou=ntai,ἡγέομαι,verb,ga\r,γάρ,particle,tou/tous,οὗτος,pronoun,a(plou=,ἁπλόος,adjective,me\n,μέν,particle,o)/ntos,εἰμί,verb,tou=,pra/gmatos,πρᾶγμα,noun,kai\,καί,conjunction,mhdemia=s,μηδείς,pronoun,au)toi=s,αὐτός,pronoun,taraxh=s,ταραχή,noun,e)ggignome/nhs,ἐγγίγνομαι,verb,ou),οὐ,adverb,xalepw=s,χαλεπός,adjective,e)pidei/cein,ἐπιδείκνυμι,verb,o(/ti,ou)de\n,οὐδείς,pronoun,*niko/stratos,Νικόστρατος,proper,die/qeto,διατίθημι,verb,,,,,,,,,,,,,,,,,,,,,,ὁ,article,ὅστις,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)a\n,ἐάν,conjunction,de\,δέ,particle,mh\,μή,conjunction,to\n,ὁ,article,pate/ra,πατήρ,noun,to\n,ὁ,article,au)to\n,ei)=nai,εἰμί,verb,fw=si,φάος,adjective,tou=,ὁ,article,de\,δέ,particle,klh/rou,κλῆρος,adjective,mhde\n,μηδείς,pronoun,h(=tton,ἥσσων,adverb,a)mfisbhtw=sin,ἀμφισβητέω,verb,a)kribw=s,ἀκριβῶς,adverb,i)/sasin,o(/ti,ὅστις,pronoun,plei/oni,πλείων,verb,lo/gw|,λόγος,noun,ei)pei=n,εἶπον,verb,toutousi\,οὗτος,pronoun,deh/sei,δέησις,noun,w(s,ὡς,conjunction,*niko/stratos,Νικόστρατος,proper,*qrasuma/xou,Θρασύμαχος,proper,h)=n,εἰμί,verb,αὐτός,pronoun,οἶδα,verb,h)\,ἠέ,conjunction,w(s,ὡς,conjunction,ou)de\n,οὐδείς,pronoun,die/qeto,διατίθημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/ti,ἔτι,adverb,de\,δέ,particle,kai\,καί,conjunction,o(mologou=ntes,ὁμολογέω,verb,*qrasuma/xou,Θρασύμαχος,proper,me\n,μέν,particle,ei)=nai,to\n,ὁ,article,*niko/straton,Νικόστρατος,proper,ou)k,οὐ,adverb,a)\n,ἄν,particle,ei)=xon,ἔχω,verb,e)cele/gcai,ἐξελέγχω,verb,tou/sde,ὅδε,pronoun,w(s,ὡς,conjunction,ou)k,οὐ,adverb,ei)si\n,e)kei/nw|,ἐκεῖνος,pronoun,a)neyioi/,ἀνεψιός,noun,,,,,,,,,,,,,,,,,,,,,,,,,εἰμί,verb,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/llon,ἄλλος,adjective,de\,δέ,particle,pate/ra,πατήρ,noun,tw=|,ὁ,article,teqnew=ti,θνήσκω,verb,kataskeua/zontes,κατασκευάζω,verb,ou),mo/non,μόνος,adjective,peri\,περί,preposition,tw=n,ὁ,article,diaqhkw=n,διαθήκη,noun,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,peri\,περί,preposition,tou=,ὁ,article,ge/nous,γένος,noun,lo/gon,e)mbeblh/kasin,ἐμβάλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὐ,adverb,λόγος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)k,οὐ,adverb,e)k,ἐκ,preposition,tou/twn,οὗτος,pronoun,de\,δέ,particle,mo/non,μόνος,adjective,gnoi/ht',γιγνώσκω,verb,a)\n,o(/ti,ὅστις,pronoun,a)llo/trioi/,ἀλλότριος,adjective,tines,τις,pronoun,ei)sin,εἰμί,verb,oi(,ἕ,pronoun,tau=ta,οὗτος,pronoun,e)pi\,ἐπί,preposition,toutousi\,οὗτος,pronoun,e)pa/gontes,ἐπάγω,verb,a)lla\,kai\,καί,conjunction,e)k,ἐκ,preposition,tw=n,ὁ,article,kat',κατά,preposition,a)rxa\s,ἀρχή,noun,gegenhme/nwn,γίγνομαι,verb,,,,,,,,,,,,,ἄν,particle,ἀλλά,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
