word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/7/lemma/@_entry,word/7/lemma/@_POS,word/9/lemma/@_entry,word/9/lemma/@_POS,word/45/lemma/@_entry,word/45/lemma/@_POS,word/57/lemma/@_entry,word/57/lemma/@_POS,word/67/lemma/@_entry,word/67/lemma/@_POS,word/73/lemma/@_entry,word/73/lemma/@_POS,word/97/lemma/@_entry,word/97/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS
kai\,καί,conjunction,th\n,ὁ,article,*biqunw=n,,,a)rxh\n,ἀρχή,noun,o(,ὁ,article,*swkra/ths,Σωκράτης,proper,e)s,εἰς,preposition,au(to\n,perie/spasen,περισπάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἑαυτοῦ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=,ὁ,article,d',δέ,particle,au)tou=,αὐτός,pronoun,xro/nou,χρόνος,noun,*miqra/as,,,kai\,καί,conjunction,*bagw/as,Βαγώας,proper,*)ariobarza/nh,to/nde,ὅδε,pronoun,to\n,u(po\,ὑπό,preposition,*(rwmai/wn,,,kathgme/non,κατάγω,verb,e)s,εἰς,preposition,th\n,ὁ,article,*kappadoki/an,Καππαδοκία,proper,e)kbalo/ntes,ἐκβάλλω,verb,*)ariara/qhn,Ἀριαράθης,proper,kath/gagon,κατάγω,verb,e)s,εἰς,preposition,au)th/n,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ἀριοβαρζάνης,proper,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,
*(rwmai=oi,,,de\,δέ,particle,*nikomh/dhn,Νικομήδης,proper,o(mou=,ὁμοῦ,adverb,kai\,καί,conjunction,*)ariobarza/nhn,Ἀριοβαρζάνης,proper,e)panh=gon,ἐπανάγω,verb,e)s,th\n,ὁ,article,oi)kei/an,e(ka/teron,ἑκάτερος,adjective,pre/sbeis,πρέσβις,noun,te/,τε,particle,tinas,τις,pronoun,au)toi=s,αὐτός,pronoun,e)s,εἰς,preposition,tou=to,οὗτος,pronoun,sune/pemyan,συμπέμπω,verb,w(=n,ὅς,pronoun,*ma/nios,Μάνιος,proper,*)aku/lios,,,h(gei=to,ἁγέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰς,preposition,οἰκεῖος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,sullabei=n,συλλαμβάνω,verb,e)s,εἰς,preposition,th\n,ὁ,article,ka/qodon,κάθοδος,noun,e)pe/steilan,ἐπιστέλλω,verb,*leuki/w|,Λεύκιος,proper,te,*kassi/w|,Κάσσιος,proper,th=s,peri\,περί,preposition,to\,ὁ,article,*pe/rgamon,Πέργαμον,proper,*)asi/as,Ἄσιος,proper,h(goume/nw|,ἡγέομαι,verb,stratia\n,στρατία,noun,e)/xonti,ἔχω,verb,o)li/ghn,ὀλίγος,adjective,kai\,καί,conjunction,tw=|de,ὅδε,pronoun,tw=|,ὁ,article,eu)pa/tori,εὐπάτωρ,adjective,*miqrida/th|,Μιθριδάτης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τε,particle,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,o(,ὁ,article,me\n,μέν,particle,au)th=s,αὐτός,pronoun,te,τε,particle,*kappadoki/as,Καππαδοκία,proper,e(/neka,ἕνεκα,preposition,*(rwmai/ois,e)pimemfo/menos,ἐπιμέμφομαι,verb,kai\,*frugi/an,Φρύγιος,proper,e)/nagxos,ἔναγχος,adverb,u(p',ὑπό,preposition,au)tw=n,αὐτός,pronoun,a)fh|rhme/nos,ἀφαιρέω,verb,w(s,ὡς,conjunction,dia\,διά,preposition,th=s,ὁ,article,*(ellhnikh=s,Ἑλληνικός,adjective,grafh=s,γραφεύς,noun,dedh/lwtai,δηλόω,verb,ou),οὐ,adverb,sune/pratte,συμπράσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,
*ka/ssios,Κάσσιος,proper,de\,δέ,particle,kai\,καί,conjunction,*ma/nios,Μάνιος,proper,tw=|,ὁ,article,te,τε,particle,*kassi/ou,Κάσσιος,proper,stratw=|,kai\,καί,conjunction,polu\n,a)/llon,ἄλλος,adjective,a)gei/rantes,ἀγείρω,verb,*galatw=n,Γαλάται,proper,kai\,καί,conjunction,*frugw=n,Φρύξ,proper,*nikomh/dh,Νικομήδης,proper,te,τε,particle,kath/gagon,κατάγω,verb,e)s,εἰς,preposition,*biquni/an,Βιθυνίη,proper,kai\,καί,conjunction,*)ariobarza/nhn,Ἀριοβαρζάνης,proper,e)s,εἰς,preposition,*kappadoki/an,Καππαδοκία,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,στρατός,noun,πολύς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,
eu)qu/s,εὐθύς,adverb,te,τε,particle,a)ne/peiqon,ἀναπείθω,verb,a)/mfw,ἄμφω,noun,gei/tonas,γείτων,noun,o)/ntas,εἰμί,verb,*miqrida/tou,Μιθριδάτης,proper,th\n,gh=n,γῆ,noun,th\n,*miqrida/tou,Μιθριδάτης,proper,katatre/xein,κατατρέχω,verb,kai\,καί,conjunction,e)s,εἰς,preposition,po/lemon,πόλεμος,noun,e)reqi/zein,ἐρεθίζω,verb,w(s,ὡς,conjunction,*(rwmai/wn,,,au)toi=s,αὐτός,pronoun,polemou=si,πολεμέω,verb,summaxhso/ntwn,συμμαχέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,de\,δέ,particle,w)/knoun,ὀκνέω,verb,me\n,μέν,particle,o(moi/ws,ὅμοιος,adjective,e(ka/teros,ἑκάτερος,adjective,gei/tonos,γείτων,noun,pole/mou,tosou=de,τοσόσδε,adjective,kata/rcai,th\n,ὁ,article,*miqrida/tou,Μιθριδάτης,proper,du/namin,δύναμις,adjective,dedio/tes,δείδω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πόλεμος,noun,κατάρχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,
e)gkeime/nwn,ἔγκειμαι,verb,de\,δέ,particle,tw=n,ὁ,article,pre/sbewn,πρέσβις,noun,o(,ὁ,article,*nikomh/dhs,Νικομήδης,proper,polla\,πολύς,adjective,me\n,u(pe\r,ὑπέρ,preposition,th=s,e)pikouri/as,ἐπικουρία,noun,toi=s,ὁ,article,strathgoi=s,στρατηγός,noun,kai\,καί,conjunction,toi=s,ὁ,article,pre/sbesin,πρέσβις,noun,w(mologhkw\s,ὁμολογέω,verb,xrh/mata,χρῆμα,adjective,dw/sein,δίδωμι,verb,kai\,καί,conjunction,e)/ti,ἔτι,adverb,o)fei/lwn,ὀφείλω,verb,polla\,πολύς,adjective,d',δέ,particle,a)/lla,ἄλλος,adjective,para\,παρά,preposition,tw=n,ὁ,article,e(pome/nwn,ἕπομαι,verb,*(rwmai/wn,,,dedaneisme/nos,δανείζω,verb,kai\,καί,conjunction,o)xlou/menos,ὀχλέω,verb,a)/kwn,ἀέκων,adjective,e)se/balen,εἰσβάλλω,verb,e)s,εἰς,preposition,th\n,ὁ,article,*miqrida/tou,Μιθριδάτης,proper,gh=n,γῆ,noun,kai\,καί,conjunction,e)lehla/thsen,λεηλατέω,verb,e)pi\,ἐπί,preposition,po/lin,πόλις,adjective,*)/amastrin,,,ou)deno\s,οὐδείς,pronoun,ou)/te,οὔτε,adverb,kwlu/ontos,au)to\n,αὐτός,pronoun,ou)/te,οὔτε,adverb,a)pantw=ntos,ἀπαντάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μέν,particle,ὁ,article,κωλύω,verb,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,ga/r,γάρ,particle,toi,σύ,pronoun,*miqrida/ths,Μιθριδάτης,proper,e(toi/mhn,ἑτοῖμος,adjective,e)/xwn,ἔχω,verb,du/namin,δύναμις,adjective,o(/mws,u(pexw/rei,ὑποχωρέω,verb,polla\,kai\,καί,conjunction,di/kaia,δίκαιος,adjective,didou\s,δίδωμι,verb,e)gklh/mata,ἔγκλημα,noun,tw=|,ὁ,article,pole/mw|,πόλεμος,noun,gene/sqai,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὅμως,conjunction,πολύς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,
a)nazeu/cantos,ἀναζεύγνυμι,verb,de\,δέ,particle,tou=,ὁ,article,*nikomh/dous,Νικομήδης,proper,meta\,μετά,preposition,pollw=n,πολύς,adjective,lafu/rwn,λάφυρα,adjective,*pelopi/dan,o(,ὁ,article,*miqrida/ths,e)/pempen,πέμπω,verb,e)s,εἰς,preposition,tou\s,ὁ,article,*(rwmai/wn,,,strathgou/s,στρατηγός,noun,te,τε,particle,kai\,καί,conjunction,pre/sbeis,πρέσβις,noun,ou)k,οὐ,adverb,a)gnow=n,ἀγνοέω,verb,me\n,μέν,particle,au)tou\s,αὐτός,pronoun,polemhsei/ontas,πολεμησείω,verb,au(tw=|,ἑαυτοῦ,pronoun,kai\,καί,conjunction,th=sde,ὅδε,pronoun,th=s,ὁ,article,e)sbolh=s,εἰσβολή,noun,ai)ti/ous,αἴτιος,adjective,gegono/tas,γίγνομαι,verb,u(pokrino/menos,ὑποκρίνομαι,verb,de/,δέ,particle,kai\,καί,conjunction,plei/onas,πλείων,verb,o(mou=,ὁμοῦ,adverb,kai\,καί,conjunction,eu)prepeste/ras,εὐπρεπής,adverb,ai)ti/as,αἰτία,noun,tou=,ὁ,article,genhsome/nou,γίγνομαι,verb,pole/mou,πόλεμος,noun,pori/zwn,πορίζω,verb,a)nemi/mnhske,ἀναμιμνήσκω,verb,fili/as,φιλία,noun,kai\,καί,conjunction,summaxi/as,i)di/as,ἴδιος,adjective,te,τε,particle,kai\,καί,conjunction,patrw/|as,πατρῷος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Πελοπίδης,proper,Μιθριδάτης,proper,συμμαχία,noun,,,,,,,,,,,,,,,,,,,,,,,
a)nq',ἀντί,preposition,w(=n,ὅς,pronoun,au)to\n,αὐτός,pronoun,o(,ὁ,article,*pelopi/das,Πελοπίδης,proper,e)/fh,φημί,verb,*frugi/an,Φρύγιος,proper,a)fh|rh=sqai,kai\,καί,conjunction,*kappadoki/an,th\n,ὁ,article,me\n,μέν,particle,a)ei\,ἀεί,adverb,tw=n,ὁ,article,progo/nwn,πρόγονος,adjective,au)tou=,αὐτός,pronoun,genome/nhn,γίγνομαι,verb,kai\,καί,conjunction,u(po\,ὑπό,preposition,tou=,ὁ,article,patro\s,πατήρ,noun,a)nalhfqei=san,ἀναλαμβάνω,verb,*frugi/an,Φρύγιος,proper,de\,δέ,particle,e)pini/kion,ἐπινίκιος,adjective,e)pi\,ἐπί,preposition,*)aristoni/kw|,Ἀριστόνικος,proper,para\,παρά,preposition,tou=,ὁ,article,u(mete/rou,ὑμέτερος,adjective,strathgou=,στρατηγός,noun,doqei=sa/n,δίδωμι,verb,te,τε,particle,kai\,καί,conjunction,ou)x,οὐ,adverb,h(=sson,ἥσσων,adverb,para\,παρά,preposition,tou=,ὁ,article,au)tou=,αὐτός,pronoun,strathgou=,στρατηγός,noun,pollw=n,πολύς,adjective,xrhma/twn,χρῆμα,adjective,e)wnhme/nhn,ὠνέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀφαιρέω,verb,Καππαδοκία,proper,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,d',δέ,particle,e)/fh,φημί,verb,kai\,καί,conjunction,*nikomh/dh,Νικομήδης,proper,to\,ὁ,article,sto/ma,στόμα,noun,tou=,*po/ntou,Πόντος,proper,diaklei/onta,periora=te,περιοράω,verb,kai\,καί,conjunction,th\n,ὁ,article,gh=n,γῆ,noun,me/xri,μέχρι,preposition,*)ama/stridos,,,e)pitre/xonta,ἐπιτρέχω,verb,kai\,καί,conjunction,lei/an,λεία,noun,a)/gonta,ἄγω,verb,o(/shn,ὅσος,adjective,i)/ste,οἶδα,verb,a)kribw=s,ἀκριβῶς,adverb,ou)k,οὐ,adverb,a)sqenw=s,ἀσθενής,adjective,ou)de\,οὐδέ,particle,a)netoi/mws,ἀνέτοιμος,adjective,e)/xontos,ἔχω,verb,pro\s,πρός,preposition,a)/munan,ἀμύνω,verb,tou=,ὁ,article,e)mou=,ἐγώ,pronoun,basile/ws,βασιλεύς,noun,a)ll',ἀλλά,adverb,a)name/nontos,ἀναμένω,verb,u(ma=s,σύ,pronoun,e)n,ἐν,preposition,o)/yei,ὄψις,noun,ma/rturas,μάρτυς,noun,tw=n,ὁ,article,gignome/nwn,γίγνομαι,verb,gene/sqai,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,διακλέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,
e)peidh\,ἐπεί,conjunction,de\,δέ,particle,e)ge/nesqe/,γίγνομαι,verb,te,τε,particle,kai\,καί,conjunction,ei)/dete,εἶδον,verb,parakalei=,παρακαλέω,verb,*miqrida/ths,fi/los,φίλος,adjective,w)\n,u(mi=n,σύ,pronoun,kai\,καί,conjunction,su/mmaxos,σύμμαχος,adjective,fi/lous,φίλος,adjective,o)/ntas,εἰμί,verb,u(ma=s,σύ,pronoun,kai\,καί,conjunction,summa/xousw(=de,,,ga\r,γάρ,particle,ai(,ὁ,article,sunqh=kai,συνθήκη,noun,le/gousin',λέγω,verb,e)pikourei=n,ἐπεπικουρέω,verb,h(mi=n,ἐγώ,pronoun,a)dikoume/nois,ἀδικέω,verb,u(po\,ὑπό,preposition,*nikomh/dous,Νικομήδης,proper,h)\,ἠέ,conjunction,kwlu/ein,κωλύω,verb,au)to\n,αὐτός,pronoun,a)dikou=nta,ἀδικέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Μιθριδάτης,proper,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,me\n,μέν,particle,toiau=ta,τοιοῦτος,adjective,ei)=pe,εἶπον,verb,*nikomh/dous,Νικομήδης,proper,de\,δέ,particle,pre/sbeis,πρέσβις,noun,e)s,a)ntilogi/an,ἀντιλογία,noun,au)tw=|,paro/ntes,πάρειμι,verb,e)/fasan,φημί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰς,preposition,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,
*nikomh/dei,Νικομήδης,proper,me\n,μέν,particle,e)k,ἐκ,preposition,pollou=,πολύς,adjective,*miqrida/ths,Μιθριδάτης,proper,e)pibouleu/wn,ἐπιβουλεύω,verb,*swkra/th,Σωκρατέω,verb,meta\,stratia=s,στρατία,noun,e)pi\,th\n,ὁ,article,basilei/an,βασιλεία,noun,e)ph=gen,ἐπάγω,verb,h(suxa/zonta,ἡσυχάζω,verb,kai\,καί,conjunction,dikaiou=nta,δικαιόω,verb,to\n,ὁ,article,presbu/teron,πρέσβυς,noun,a)/rxein,ἄρχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μετά,preposition,ἐπί,preposition,,,,,,,,,,,,,,,,,,,,,,,,,
