word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/52/@_form,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS
e)gw\,ἐγώ,pronoun,de/,δέ,particle,lei/pei,λείπω,verb,ga/r,γάρ,particle,me,ἐγώ,pronoun,toi=sd',ὅδε,pronoun,e)n,ἐν,preposition,dw/masin,δῶμα,noun,trofo\n,τροφός,noun,te/knwn,τέκνον,noun,oi)kouro/n,οἰκουρός,adjective,h(ni/ka,ἡνίκα,adverb,xqono\s,χθών,noun,me/lainan,μέλας,adjective,o)/rfnhn,ὄρφνη,noun,ei)se/baine,εἰσβαίνω,verb,pai=s,πᾶς,adjective,e)mo/s,ἐμός,adjective,su\n,σύν,preposition,mhtri/,μήτηρ,noun,te/kna,τέκνον,noun,mh\,μή,conjunction,qa/nws',θνήσκω,verb,*(hrakle/ous,Ἡρακλέης,proper,bwmo\n,βωμός,noun,kaqi/zw,καθίζω,verb,to/nde,ὅδε,pronoun,swth=ros,σωτήρ,noun,*dio/s,Ζεύς,proper,o(\n,ὅς,pronoun,kallini/kou,καλλίνικος,adjective,doro\s,δόρυ,noun,a)/galm',ἄγαλμα,noun,i(dru/sato,ἱδρύω,verb,*minu/as,Μίνυος,proper,krath/sas,κρατέω,verb,ou(mo\s,ἐμός,adjective,eu)genh\s,εὐγενής,adjective,to/kos,τόκος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa/ntwn,πᾶς,adjective,de\,δέ,particle,xrei=oi,χρεῖος,noun,ta/sd',ὅδε,pronoun,e(/dras,ἕδρα,noun,fula/ssomen,φυλάσσω,verb,si/twn,σῖτος,noun,potw=n,ποτός,adjective,e)sqh=tos,ἐσθής,noun,a)strw/tw|,ἄστρωτος,adjective,pe/dw|,πέδον,noun,pleura\s,πλευρά,noun,tiqe/ntes,τίθημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)k,ἐκ,preposition,ga\r,γάρ,particle,e)sfragisme/noi,σφραγίζω,verb,do/mwn,δόμος,noun,kaqh/meq',κάθημαι,verb,a)pori/a|,ἀπορία,noun,swthri/as,σωτηρία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi/lwn,φίλος,adjective,de\,δέ,particle,tou\s,ὁ,article,me\n,μέν,particle,ou),οὐ,adverb,safei=s,σαφής,adverb,o(rw=,ὁράω,verb,fi/lous,φῖλος,noun,oi(\,ἕ,pronoun,d',δέ,particle,o)/ntes,εἰμί,verb,o)rqw=s,ὀρθός,adjective,a)du/natoi,ἀδύνατος,adjective,proswfelei=n,προσωφελέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toiou=ton,τοιοῦτος,adjective,a)nqrw/poisin,ἄνθρωπος,noun,h(,ὁ,article,duspraci/a,δυσπραξία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(=s,ὅς,pronoun,mh/poq',μήποτε,adverb,o(/stis,ὅστις,pronoun,kai\,καί,conjunction,me/sws,μέσος,adjective,eu)/nous,εὔνους,adjective,e)moi\,ἐγώ,pronoun,tu/xoi,τυγχάνω,verb,fi/lwn,φίλος,adjective,e)/legxon,ἔλεγχος,noun,a)yeude/staton,ἀψευδής,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,pre/sbu,πρέσβυς,noun,*tafi/wn,Τάφιοι,proper,o(/s,ὅς,pronoun,pot',ποτέ,particle,e)cei=les,ἐξαιρέω,verb,po/lin,πόλις,adjective,strathlath/sas,στρατάω,verb,kleina\,κλεινός,adjective,*kadmei/wn,Καδμεῖος,proper,doro/s,δόρυ,noun,w(s,ὡς,conjunction,ou)de\n,οὐδείς,pronoun,a)nqrw/poisi,ἄνθρωπος,noun,tw=n,ὁ,article,qei/wn,θεῖος,adjective,safe/s,σαφής,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,ga\r,γάρ,particle,ou)/t',οὔτε,adverb,e)s,εἰς,preposition,pate/r',πατήρ,noun,a)phla/qhn,ἀπαλάομαι,verb,tu/xhs,τύχη,noun,o(\s,ὅς,pronoun,ou(/nek',οὕνεκα,conjunction,o)/lbou,ὄλβος,noun,me/gas,μέγας,adverb,e)kompa/sqh,κομπάζω,verb,pote/,ποτέ,particle,e)/xwn,ἔχω,verb,turanni/d',τυραννίς,noun,h(=s,ὅς,pronoun,makrai\,μακρός,adjective,lo/gxai,λόγχη,noun,pe/ri,περί,preposition,phdw=s',πηδάω,verb,e)/rwti,ἔρως,noun,sw/mat',σῶμα,adjective,ei)s,εἰς,preposition,eu)dai/mona,εὐδαίμων,adjective,e)/xwn,ἔχω,verb,de\,δέ,particle,te/kna,τέκνον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ka)/m',ἐγώ,pronoun,e)/dwke,δίδωμι,verb,paidi\,παῖς,adjective,sw=|,σός,adjective,e)pi/shmon,ἐπίσημον,noun,eu)nh\n,εὐνή,noun,*(hraklei=,Ἡρακλέης,proper,sunoiki/sas,συνοικίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,nu=n,νῦν,adverb,e)kei=na,ἐκεῖνος,pronoun,me\n,μέν,particle,qano/nt',θνήσκω,verb,a)ne/ptato,ἀναπέτομαι,verb,e)gw\,ἐγώ,pronoun,de\,δέ,particle,kai\,καί,conjunction,su\,σύ,pronoun,me/llomen,μέλλω,verb,qnh/|skein,θνήσκω,verb,ge/ron,γέρων,noun,oi(/,ἕ,pronoun,q',σύ,pronoun,*(hra/kleioi,Ἡράκλειος,proper,pai=des,παῖς,adjective,ou(\s,ὅς,pronoun,u(po\,ὑπό,preposition,pteroi=s,πτερόν,noun,sw/|zw,σώζω,verb,neossou\s,νεοσσός,noun,o)/rnis,ὄρνις,noun,w(\s,ὅς,pronoun,u(feime/nh,ὑφίημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(\,ἕ,pronoun,d',δέ,particle,ei)s,εἰς,preposition,e)/legxon,ἔλεγχος,noun,a)/llos,ἄλλος,adjective,a)/lloqen,ἄλλοθεν,adverb,pi/tnwn,πίπτω,verb,*)=w,ὦ,interjection,mh=ter,μήτηρ,noun,au)da=|,αὐδάομαι,verb,poi=,ποι,adverb,path\r,πατήρ,noun,a)/pesti,ἄπειμι,verb,gh=s,γῆ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,dra=|,δράω,verb,po/q',πόθι,adverb,h(/cei,ἥκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=|,ὁ,article,ne/w|,νέος,adjective,d',δέ,particle,e)sfalme/noi,σφάλλω,verb,zhtou=si,ζητέω,verb,to\n,ὁ,article,teko/nt',τίκτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,de\,δέ,particle,diafe/rw,διαφέρω,verb,lo/goisi,λόγος,noun,muqeu/ousa,μυθεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qauma/zwn,θαυμάζω,verb,d',δέ,particle,o(/tan,ὅταν,conjunction,pu/lai,πύλη,adjective,yofw=si,ψοφέω,verb,pa=s,πᾶς,adjective,a)ni/sthsin,ἀνίστημι,verb,po/da,πούς,noun,w(s,ὡς,conjunction,pro\s,πρός,preposition,patrw=|on,πατρῷος,adjective,prospesou/menoi,προσπίτνω,verb,go/nu,γόνυ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
