word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/64/lemma/@_entry,word/64/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/84/lemma/@_entry,word/84/lemma/@_POS,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS,word/122/@_form,word/122/lemma/@_entry,word/122/lemma/@_POS,word/123/@_form,word/123/lemma/@_entry,word/123/lemma/@_POS,word/124/@_form,word/124/lemma/@_entry,word/124/lemma/@_POS,word/125/@_form,word/126/@_form,word/126/lemma/@_entry,word/126/lemma/@_POS,word/127/@_form,word/128/@_form,word/128/lemma/@_entry,word/128/lemma/@_POS,word/129/@_form,word/130/@_form,word/130/lemma/@_entry,word/130/lemma/@_POS,word/131/@_form,word/131/lemma/@_entry,word/131/lemma/@_POS,word/132/@_form,word/132/lemma/@_entry,word/132/lemma/@_POS,word/133/@_form,word/133/lemma/@_entry,word/133/lemma/@_POS,word/134/@_form,word/135/@_form,word/135/lemma/@_entry,word/135/lemma/@_POS,word/136/@_form,word/136/lemma/@_entry,word/136/lemma/@_POS,word/137/@_form,word/137/lemma/@_entry,word/137/lemma/@_POS,word/138/@_form
*timosqe/nhs,Τιμοσθένης,proper,de\,δέ,particle,o(,ὁ,article,gra/yas,γράφω,verb,tou\s,ὁ,article,peri/plous,περίπλους,adjective,dw/deka/,δώδεκα,adjective,fhsi,φημί,verb,prostiqei\s,προστίθημι,verb,me/son,μέσος,adjective,a)parkti/ou,ἀπαρκτίας,noun,kai\,καί,conjunction,kaiki/ou,καικίας,noun,bore/an,,,eu)/rou,ἐύρρους,adjective,de\,δέ,particle,kai\,καί,conjunction,no/tou,νότος,noun,*foi/nika,Φοῖνιξ,proper,to\n,ὁ,article,kai\,καί,conjunction,eu)ro/noton,εὐρόνοτος,noun,me/son,μέσος,adjective,de\,δέ,particle,no/tou,νότος,noun,kai\,καί,conjunction,*libo\s,λίψ,noun,to\n,ὁ,article,leuko/noton,λευκόνοτος,noun,h)/toi,ἤτοι,particle,*libo/noton,λιβόνοτος,noun,me/son,μέσος,adjective,de\,δέ,particle,a)parkti/ou,ἀπαρκτίας,noun,kai\,καί,conjunction,a)rge/stou,ἀργεστής,noun,*qraski/an,Θρασκίας,proper,h)/toi,ἤτοι,particle,ki/rkion,κίρκιος,noun,u(po\,ὑπό,preposition,tw=n,ὁ,article,perioi/kwn,περίοικος,adjective,o)nomazo/menon,ὀνομάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)/eqnh,ἔθνος,adjective,de\,δέ,particle,oi)kei=n,οἰκέω,verb,ta\,ὁ,article,pe/rata,πέρας,noun,kat',κατά,preposition,a)phliw/thn,ἀπηλιώτης,noun,*baktrianou\s,,,kat',κατά,preposition,eu)=ron,,,*)indou\s,Ἰνδός,proper,kata\,κατά,preposition,*foi/nika,Φοῖνιξ,proper,*)eruqra\n,Ἐρυθραί,proper,qa/lassan,θάλασσα,noun,kai\,καί,conjunction,*ai)qiopi/an,Αἰθιόπιος,proper,kata\,κατά,preposition,leuko/noton,λευκόνοτος,noun,tou\s,ὁ,article,u(pe\r,ὑπέρ,preposition,*su/rteis,Σύρτις,proper,*gara/mantas,,,kata\,κατά,preposition,*li/ba,λίβος,noun,*ai)qi/opas,Αἰθίοψ,proper,dusmikou\s,δυσμικός,adjective,tou\s,ὁ,article,u(pe\r,ὑπέρ,preposition,*mau/rous,μαυρόω,verb,kata\,κατά,preposition,ze/furon,Ζέφυρος,proper,*sth/las,στήλη,noun,kai\,καί,conjunction,a)rxa\s,ἀρχή,noun,*libu/hs,Λιβύη,proper,kai\,καί,conjunction,*eu)rw/phs,Εὐρώπη,proper,kat',κατά,preposition,a)rge/sthn,ἀργεστής,noun,*)ibhri/an,Ἰβηρίη,proper,th\n,ὁ,article,nu=n,νῦν,adverb,*(ispani/an,Ἱσπανία,proper,kata\,κατά,preposition,de\,δέ,particle,*qraski/an,Θρασκίας,proper,*keltou\s,Κελτός,proper,kai\,καί,conjunction,ta\,ὁ,article,o(/mora,ὅμορος,adjective,kata\,κατά,preposition,d',δέ,particle,a)parkti/an,ἀπαρκτίας,noun,tou\s,ὁ,article,u(pe\r,ὑπέρ,preposition,*qra/|khn,Θρᾴκη,proper,*sku/qas,Σκύθης,proper,kata\,κατά,preposition,borra=n,Βορέας,proper,*po/nton,Πόντος,proper,*maiw=tin,Μαιώτης,proper,*sarma/tas,Σαρμάτης,proper,kata\,κατά,preposition,kaiki/an,*kaspi/an,Κάσπιος,proper,qa/lassan,θάλασσα,noun,kai\,καί,conjunction,*sa/kas,Σάκαι,proper,,,,,,,,,,καικίας,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)/esti,εἰμί,verb,de\,δέ,particle,h(,ὁ,article,mega/lh,μέγας,adverb,*su/rtis,Σύρτις,proper,stadi/wn,στάδιον,noun,e,,,h(,ὁ,article,de\,δέ,particle,mikra\,μικρός,adjective,stadi/wn,στάδιον,noun,ax,,,to\,ὁ,article,de\,δέ,particle,sto/ma,στόμα,noun,tou=,ὁ,article,*)adri/ou,Ἀδρίας,proper,o(\,ὅς,pronoun,kalou=si/,καλέω,verb,tines,τις,pronoun,*)io/nion,Ἰόνιος,proper,pe/lagos,πέλαγος,noun,e)/xei,ἔχω,verb,dia/ploun,διάπλοος,adjective,stadi/wn,στάδιον,noun,y,,,a)po\,ἀπό,preposition,a)/kras,ἄκρος,adjective,*)iapugi/as,Ἰαπύγιος,proper,e)pi\,ἐπί,preposition,*kerau/nia,Κεραύνιος,proper,o)/rh,ὄρος,adjective,th=s,ὁ,article,*)hpei/rou,Ἤπειρος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*diade/xetai,διαδέχομαι,verb,to\,ὁ,article,*ai)gai=on,Αἰγαῖος,proper,o(,ὁ,article,*(ellh/spontos,Ἑλλήσποντος,proper,lh/gwn,λήγω,verb,ei)s,εἰς,preposition,*)/abudon,Ἄβυδος,proper,kai\,καί,conjunction,*shsto/n,Σηστός,proper,ei)=ta,εἶτα,adverb,h(,ὁ,article,*proponti\s,Προποντίς,proper,lh/gei,λήγω,verb,ei)s,εἰς,preposition,*xalkhdo/na,χαλκηδών,noun,kai\,καί,conjunction,*buza/ntion,Βυζάντιος,proper,e)/nqa,ἔνθα,adverb,ta\,ὁ,article,stena\,στενός,adjective,a)f',ἀπό,preposition,w(=n,ὅς,pronoun,o(,ὁ,article,*po/ntos,Πόντος,proper,a)/rxetai,ἄρχω,verb,ei)=ta,εἶτα,adverb,h(,ὁ,article,*maiw=tis,Μαιώτης,proper,li/mnh,λίμνη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*pa/lin,πάλιν,adverb,d',δέ,particle,a)p',ἀπό,preposition,a)rxh=s,ἀρχή,noun,*eu)rw/phs,Εὐρώπη,proper,kai\,καί,conjunction,*libu/hs,Λιβύη,proper,*)ibhriko\n,Ἰβηρικός,adjective,to\,ὁ,article,a)po\,ἀπό,preposition,*sthlw=n,στήλη,noun,ei)s,εἰς,preposition,*purh/nhn,Πυρήνη,proper,to\,ὁ,article,o)/ros,ὄρος,adjective,*ligustiko\n,Λιγυστικός,adjective,de\,δέ,particle,to\,ὁ,article,e(/ws,ἕως,conjunction,tw=n,ὁ,article,th=s,ὁ,article,*turrhni/as,Τυρρήνιος,proper,pera/twn,πέρας,noun,*sardw=|on,,,de\,δέ,particle,to\,ὁ,article,u(pe\r,ὑπέρ,preposition,*sardw\,Σαρδώ,proper,neu=on,νεύω,verb,pro\s,πρός,preposition,*libu/hn,Λιβύη,proper,ka/tw,κάτος,adjective,*turrhniko\n,Τυρρηνικός,adjective,de\,δέ,particle,to\,ὁ,article,me/xri,μέχρι,preposition,*sikeli/as,Σικελία,proper,a)rxo/menon,ἄρχω,verb,a)po\,ἀπό,preposition,tw=n,ὁ,article,*ligustikh=s,Λιγυστικός,adjective,a)/krwn,ἄκρον,noun,ei)=ta,εἶτα,adverb,*libuko\n,Λιβυκός,adjective,ei)=ta,εἶτα,adverb,*krhtiko\n,Κρητικός,adjective,kai\,καί,conjunction,*sikeliko\n,Σικελικός,adjective,kai\,καί,conjunction,*)io/nion,Ἰόνιος,proper,to\,ὁ,article,kai\,καί,conjunction,*)adriano\n,Ἀδριανός,proper,to\,ὁ,article,a)nakexume/non,ἀναχέω,verb,e)k,ἐκ,preposition,tou=,ὁ,article,*sikelikou=,Σικελικός,adjective,pela/gous,πέλαγος,noun,o(\n,ὅς,pronoun,*,,,kalou=si,καλέω,verb,*korinqiako\n,Κορινθιακός,adjective,ko/lpon,κόλπος,noun,h)/toi,*)alkuoni/da,ἀλκυονίς,noun,qa/lassan,θάλασσα,noun,,,,,,,,,,,,,,,,ἤτοι,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,*souni/w|,Σούνιον,proper,kai\,καί,conjunction,*skullai/w|,Σκυλλαῖον,proper,periexo/menon,περιέχω,verb,pe/lagos,πέλαγος,noun,*sarwniko\n,Σαρωνικός,adjective,ei)=ta,εἶτα,adverb,*murtw=|on,Μυρτῷος,proper,kai\,καί,conjunction,*)ika/rion,Ἰκάριος,proper,e)n,ἐν,preposition,w(=|,ὅς,pronoun,kai\,καί,conjunction,ai(,ὁ,article,*kukla/des,Κυκλάδες,proper,ei)=ta,εἶτα,adverb,*karpa/qion,,,kai\,καί,conjunction,*pamfu/lion,,,kai\,καί,conjunction,*ai)gu/ption,Αἰγύπτιος,proper,u(pe\r,ὑπέρ,preposition,de\,δέ,particle,to\,ὁ,article,*)ika/rion,Ἰκάριος,proper,e(ch=s,ἑξῆς,adverb,a)naxei=tai,ἀναχέω,verb,to\,ὁ,article,*ai)gai=on,Αἰγαῖος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)/esti,εἰμί,verb,de\,δέ,particle,o(,ὁ,article,th=s,ὁ,article,*eu)rw/phs,Εὐρώπη,proper,para/plous,παράπλοος,noun,a)po\,ἀπό,preposition,*tana/i+dos,,,potamou=,ποταμός,noun,e)kbolw=n,ἐκβολή,noun,e(/ws,ἕως,conjunction,*(hraklei/wn,Ἡράκλειος,proper,sthlw=n,στήλη,noun,stadi/wn,στάδιον,noun,muria/dwn,μυριάς,noun,e(\c,ἕξ,adjective,kai\,καί,conjunction,qyq,,,th=s,ὁ,article,de\,δέ,particle,*libu/hs,Λιβύη,proper,a)po\,ἀπό,preposition,*tiggo\s,,,e(/ws,ἕως,conjunction,sto/matos,στόμα,noun,*kanwbikou=,Κανωβικός,adjective,stadi/wn,στάδιον,noun,muria/dwn,μυριάς,noun,du/o,δύο,adjective,kai\,καί,conjunction,qsnb,,,th=s,ὁ,article,d',δέ,particle,*)asi/as,Ἄσιος,proper,a)po\,ἀπό,preposition,*kanw/bou,Κάνωβος,proper,e(/ws,ἕως,conjunction,*tana/i+dos,,,potamou=,ποταμός,noun,meta\,μετά,preposition,tw=n,ὁ,article,ko/lpwn,κόλπος,noun,o(,ὁ,article,para/plous,παράπλοος,noun,stadi/wn,στάδιον,noun,muria/dwn,μυριάς,noun,d,,,kai\,καί,conjunction,ria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(omou=,ὁμός,adjective,h(,ὁ,article,xw/ra,χώρα,noun,h(,ὁ,article,para/lios,παράλιος,adjective,su\n,σύν,preposition,toi=s,ὁ,article,ko/lpois,κόλπος,noun,th=s,ὁ,article,kaq',κατά,preposition,h(ma=s,ἐγώ,pronoun,oi)koume/nhs,οἰκουμένη,noun,stadi/wn,στάδιον,noun,muria/dwn,μυριάς,noun,ig,,,kai\,καί,conjunction,qob,,,summetroume/nhs,συμμετρέω,verb,th=s,ὁ,article,*maiw/tidos,Μαιώτης,proper,li/mnhs,λίμνη,noun,h(=s,ὅς,pronoun,peri/metros,περίμετρος,adjective,stadi/wn,στάδιον,noun,q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,de\,δέ,particle,sto/ma,στόμα,noun,o(,ὁ,article,*kimme/rios,Κιμμερικός,adjective,*bo/sporos,Βόσπορος,proper,stadi/wn,στάδιον,noun,oh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,*po/ntos,Πόντος,proper,stadi/wn,στάδιον,noun,dismuri/wn,δισμύριοι,adjective,gpg,,,o(,ὁ,article,de\,δέ,particle,*qra/|kios,Θράκιος,proper,*bo/sporos,Βόσπορος,proper,ta\,ὁ,article,stena\,στενός,adjective,o(/ph,ὅπη,adverb,*darei=os,Δαρεῖος,proper,e)/zeucen,ζεύγνυμι,verb,e)pi\,ἐπί,preposition,*sku/qas,Σκύθης,proper,th\n,ὁ,article,sxedi/an,σχεδία,noun,stadi/wn,στάδιον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(h,ὁ,article,de\,δέ,particle,*persikh\,Περσικός,adjective,qa/lassa,θάλασσα,noun,kukloterh\s,κυκλοτερής,adverb,ou)=sa,εἰμί,verb,suna/gousa,συνάγω,verb,to\,ὁ,article,sto/ma,στόμα,noun,a)/krw|,ἄκρος,adjective,*karmani/as,,,kai\,καί,conjunction,*)arabi/as,Ἀράβιος,proper,peri/metron,περίμετρος,adjective,e)/xei,ἔχω,verb,muria/dwn,μυριάς,noun,du/o,δύο,adjective,stadi/wn,στάδιον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)/esti,εἰμί,verb,de\,δέ,particle,to\,ὁ,article,metacu\,μεταξύ,adverb,sto/ma,στόμα,noun,*)arabi/as,Ἀράβιος,proper,kai\,καί,conjunction,*karmani/as,,,stadi/wn,στάδιον,noun,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
