word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS
a)ll',ἀλλά,adverb,ou)depw/pot',οὐδεπώποτε,adverb,e)c,ἐκ,preposition,o(/tou,ὅστις,pronoun,'gw\,ἀγός,noun,r(u/ptomai,ῥύπτω,verb,ou(/tws,οὕτως,adverb,e)dh/xqhn,δάκνω,verb,u(po\,ὑπό,preposition,koni/as,κονία,noun,ta\s,ὁ,article,o)fru=s,ὀφρύς,noun,w(s,ὡς,conjunction,nu=n,νῦν,adverb,o(po/t',ὁπότε,adverb,ou)/shs,εἰμί,verb,kuri/as,κύριος,adjective,e)kklhsi/as,ἐκκλησία,noun,e(wqinh=s,ἑωθινός,adjective,e)/rhmos,ἐρῆμος,adjective,h(,ὁ,article,pnu\c,πνύξ,noun,au(thi/,οὗτος,pronoun,oi(,ἕ,pronoun,d',δέ,particle,e)n,ἐν,preposition,a)gora=|,ἀγορά,noun,lalou=si,λαλέω,verb,ka)/nw,ἄνω,adverb,kai\,καί,conjunction,ka/tw,κάτος,adjective,to\,ὁ,article,sxoini/on,σχοινίον,noun,feu/gousi,φεύγω,verb,to\,ὁ,article,memiltwme/non,μιλτόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)d',οὐδέ,particle,oi(,ὁ,article,pruta/neis,πρύτανις,adjective,h(/kousin,ἥκω,verb,a)ll',ἀλλά,adverb,a)wri/an,ἀωρία,noun,h(/kontes,ἥκω,verb,ei)=ta,εἶτα,adverb,d',δέ,particle,w)stiou=ntai,ὠστίζομαι,verb,pw=s,πῶς,adverb,dokei=s,δοκέω,verb,e)lqo/ntes,ἔρχομαι,verb,a)llh/loisi,ἀλλήλων,pronoun,peri\,περί,preposition,prw/tou,πρότερος,adjective,cu/lou,ξύλον,adjective,a(qro/oi,ἀθρόος,adjective,katarre/ontes,καταρρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)rh/nh,εἰρήνη,noun,d',δέ,particle,o(/pws,ὅπως,conjunction,e)/stai,εἰμί,verb,protimw=s',προτιμάω,verb,ou)de/n,οὐδείς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,po/lis,πόλις,adjective,po/lis,πόλις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,d',δέ,particle,a)ei\,ἀεί,adverb,prw/tistos,πρώτιστος,adjective,ei)s,εἰς,preposition,e)kklhsi/an,ἐκκλησία,noun,nostw=n,νοστέω,verb,ka/qhmai,κάθημαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ka)=|t',εἶτα,adverb,e)peida\n,ἐπειδάν,conjunction,w)=,ὦ,interjection,mo/nos,μόνος,adjective,ste/nw,στένω,verb,ke/xhna,χάσκω,verb,skordinw=mai,σκορδινάομαι,verb,pe/rdomai,πέρδομαι,verb,a)porw=,ἀφοράω,verb,gra/fw,γράφω,verb,parati/llomai,παρατίλλω,verb,logi/zomai,λογίζομαι,verb,a)poble/pwn,ἀποβλέπω,verb,e)s,εἰς,preposition,to\n,ὁ,article,a)gro\n,ἀγρός,noun,ei)rh/nhs,εἰρήνη,noun,e)rw=n,ἐράω,verb,stugw=n,στυγέω,verb,me\n,μέν,particle,a)/stu,ἄστυ,noun,to\n,ὁ,article,d',δέ,particle,e)mo\n,ἐμός,adjective,dh=mon,δῆμος,noun,poqw=n,ποθέω,verb,o(\s,ὅς,pronoun,ou)depw/pot',οὐδεπώποτε,adverb,ei)=pen,εἶπον,verb,a)/nqrakas,ἄνθραξ,noun,pri/w,πρίαμαι,verb,ou)k,οὐ,adverb,o)/cos,ὄξος,noun,ou)k,οὐ,adverb,e)/laion,ἔλαιον,noun,ou)d',οὐδέ,particle,h)/|dei,οἶδα,verb,pri/w,πρίαμαι,verb,a)ll',ἀλλά,adverb,au)to\s,αὐτός,pronoun,e)/fere,φέρω,verb,pa/nta,πᾶς,adjective,xw),ὁ,article,pri/wn,πρίων,noun,a)ph=n,ἄπειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,ou)=n,οὖν,particle,a)texnw=s,ἄτεχνος,adverb,h(/kw,ἥκω,verb,pareskeuasme/nos,παρασκευάζω,verb,boa=n,βοάω,verb,u(pokrou/ein,ὑποκρούω,verb,loidorei=n,λοιδορέω,verb,tou\s,ὁ,article,r(h/toras,ῥήτωρ,noun,e)a/n,ἐάν,conjunction,tis,τις,pronoun,a)/llo,ἄλλος,adjective,plh\n,πλήν,preposition,peri\,περί,preposition,ei)rh/nhs,εἰρήνη,noun,le/gh|,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,oi(,ὁ,article,pruta/neis,πρύτανις,adjective,ga\r,γάρ,particle,ou(toii\,οὗτος,pronoun,meshmbrinoi/,μεσημβρινός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)k,οὐ,adverb,h)go/reuon,ἀγορεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=t',οὗτος,pronoun,e)kei=n',ἐκεῖνος,pronoun,ou(gw\,ἐγώ,pronoun,'legon,ἔλεγος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)s,εἰς,preposition,th\n,ὁ,article,proedri/an,προεδρία,noun,pa=s,πᾶς,adjective,a)nh\r,ἀνήρ,noun,w)sti/zetai,ὠστίζομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa/rit',πάρειμι,verb,e)s,εἰς,preposition,to\,ὁ,article,pro/sqen,πρόσθεν,adverb,pa/riq',πάρειμι,verb,w(s,ὡς,conjunction,a)\n,ἄν,particle,e)nto\s,ἐντός,adverb,h)=te,εἰμί,verb,tou=,ὁ,article,kaqa/rmatos,κάθαρμα,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)/dh,ἤδη,adverb,tis,τις,pronoun,ei)=pe,εἶπον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/s,τίς,pronoun,a)goreu/ein,ἀγορεύω,verb,bou/letai,βούλομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/s,τίς,pronoun,w)/n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)k,οὐ,adverb,a)/nqrwpos,ἄνθρωπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/,οὐ,adverb,a)ll',ἀλλά,adverb,a)qa/natos,ἀθάνατος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,ga\r,γάρ,particle,*)amfi/qeos,Ἀμφίθεος,proper,*dh/mhtros,Δημήτηρ,proper,h)=n,εἰμί,verb,kai\,καί,conjunction,*triptole/mou,Τριπτόλεμος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou/tou,οὗτος,pronoun,de\,δέ,particle,*keleo\s,Κελεός,proper,gi/gnetai,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gamei=,γαμέω,verb,de\,δέ,particle,*keleo\s,Κελεός,proper,*fainare/thn,Φαιναρέτη,proper,th/qhn,τήθη,noun,e)mh/n,ἐμός,adjective,e)c,ἐκ,preposition,h(=s,ὅς,pronoun,*luki=nos,Λυκῖνος,proper,e)ge/ne',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)k,ἐκ,preposition,tou/tou,οὗτος,pronoun,d',δέ,particle,e)gw\,ἐγώ,pronoun,a)qa/nato/s,ἀθάνατος,adjective,ei)m',εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)moi\,ἐγώ,pronoun,d',δέ,particle,e)pe/treyan,ἐπιτρέπω,verb,oi(,ὁ,article,qeoi\,θεός,noun,sponda\s,σπονδή,noun,poiei=sqai,ποιέω,verb,pro\s,πρός,preposition,*lakedaimoni/ous,Λακεδαιμόνιος,proper,mo/nw|,μόνος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,a)qa/natos,ἀθάνατος,adjective,w)\n,εἰμί,verb,w)=ndres,ἀνήρ,noun,e)fo/di',ἐφόδια,noun,ou)k,οὐ,adverb,e)/xw,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,dido/asin,δίδωμι,verb,oi(,ὁ,article,pruta/neis,πρύτανις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
