word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/14/lemma/@_entry,word/14/lemma/@_POS,word/26/lemma/@_entry,word/26/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS
au)to\s,αὐτός,pronoun,d',δέ,particle,e)/gku,,,rtos,,,e)/cw,ἔξω,adverb,kai\,καί,conjunction,e)/mprosqen,ἔμπροσθεν,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,de\,δέ,particle,kefalh\,κεφαλή,noun,e)pi/fusi/s,ἐπίφυσις,noun,e)sti,εἰμί,verb,stroggu/lh,στρογγύλος,adjective,e)c,ἐκ,preposition,h(=s,ὅς,pronoun,to\,ὁ,article,neu=ron,νεῦρον,noun,to\,ὁ,article,e)n,ἐν,preposition,th=|,ὁ,article,kotu/lh|,κοτύλη,noun,tou=,i)sxi/ou,ἴσχιον,noun,pe/fuken,φύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(popla/gion,ὑποπλάγιος,adjective,de\,δέ,particle,kai\,καί,conjunction,tou=to,οὗτος,pronoun,prosh/rthtai,προσαρτάω,verb,h(=sson,ἥσσων,adverb,de\,δέ,particle,braxi/onos,βραχίων,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,d',δέ,particle,i)sxi/on,ἰσχίον,noun,prosi/sxetai,προσίσχω,verb,pro\s,πρός,preposition,tw=|,ὁ,article,mega/lw|,μέγας,adverb,spondu/lw|,,,tw=|,ὁ,article,para\,παρά,preposition,to\,ὁ,article,i(ero\n,ἱερός,adjective,o)ste/on,ὀστέον,noun,xondroneurw/dei,χονδρονευρώδης,adjective,desmw=|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δεσμός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r(a/xis,ῥάχις,noun,de\,δέ,particle,a)po\,ἀπό,preposition,me\n,μέν,particle,tou=,ὁ,article,i(erou=,ἱερόν,noun,o)ste/ou,ὀστέον,noun,me/xri,μέχρι,preposition,tou=,ὁ,article,mega/lou,μέγας,adverb,spondu/lou,,,kufh/,κυφός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ku/stis,κύστις,noun,te,τε,particle,kai\,καί,conjunction,gonh\,γονή,noun,kai\,καί,conjunction,a)rxou=,ἀρχός,noun,to\,ὁ,article,e)gkeklime/non,ἐγκλίνω,verb,e)n,ἐν,preposition,tou/tw|,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)po\,ἀπό,preposition,de\,δέ,particle,tou/tou,οὗτος,pronoun,a)/xri,ἄχρι,adverb,frenw=n,φρήν,noun,h)=lqen,ἔρχομαι,verb,h(,ὁ,article,i)qu/lordos,ἰθύλορδος,adjective,kai\,καί,conjunction,ai(,ὁ,article,yo/ai,,,kata\,κατά,preposition,tou=to,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)nteu=qen,ἐντεῦθεν,adverb,de\,δέ,particle,a)/xri,ἄχρι,adverb,tou=,ὁ,article,mega/lou,μέγας,adverb,spondu/lou,,,tou=,ὁ,article,u(pe\r,ὑπέρ,preposition,tw=n,ὁ,article,e)pwmi/dwn,ἐπωμίς,noun,i)qukufh/s,ἰθυκυφής,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/ti,ἔτι,adverb,de\,δέ,particle,ma=llon,μᾶλλον,adverb,doke/ei,δοκέω,verb,h)\,ἠέ,conjunction,e)sti/n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai(,ὁ,article,ga\r,γάρ,particle,o)/pisqen,ὄπισθεν,adverb,tw=n,ὁ,article,spondu/lwn,,,a)pofu/sies,ἀπόφυσις,noun,tau/th|,ταύτῃ,adverb,u(yhlo/tatai,ὑψηλός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,de\,δέ,particle,tou=,ὁ,article,au)xe/nos,αὐχήν,noun,a)/rqron,ἄρθρον,noun,lordo/n,λορδός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spo/nduloi,,,de\,δέ,particle,e)/swqen,ἔσωθεν,adverb,a)/rtioi,ἄρτιος,adjective,pro\s,πρός,preposition,a)llh/lous,ἀλλήλων,pronoun,a)po\,ἀπό,preposition,de\,δέ,particle,tw=n,ὁ,article,e)/cwqen,ἔξωθεν,adverb,xo/ndrwn,χόνδρος,noun,neu/rw|,νεῦρον,noun,sunexo/menoi,συνόχωκα,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,de\,δέ,particle,cuna/rqrwsis,συνάρθρωσις,noun,au)tw=n,αὐτός,pronoun,e)n,ἐν,preposition,tw=|,ὁ,article,o)/pisqen,ὄπισθεν,adverb,tou=,ὁ,article,nwtiai/ou,νωτιαῖος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o)/pisqen,ὄπισθεν,adverb,de\,δέ,particle,e)/xousin,ἔχω,verb,e)/kfusin,ἔκφυσις,noun,o)cei/hn,,,e)/xousan,ἔχω,verb,e)pi/fusin,ἐπίφυσις,noun,xondrw/dea,χονδρώδης,adjective,e)/nqen,ἔνθεν,adverb,neu/rwn,νεῦρον,noun,a)po/fusis,ἀπόφυσις,noun,kataferh\s,καταφερής,adverb,w(/sper,ὥσπερ,adverb,kai\,καί,conjunction,oi(,mu/es,μῦς,noun,parapefu/kasin,παραφύομαι,verb,a)po\,ἀπό,preposition,au)xe/nos,αὐχήν,noun,e)s,εἰς,preposition,o)sfu\n,ὀσφύς,noun,plhreu=ntes,πληρόω,verb,de\,δέ,particle,pleure/wn,πλευρά,noun,kai\,καί,conjunction,a)ka/nqhs,ἄκανθα,adjective,to\,me/son,μέσος,adjective,ὁ,article,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pleurai\,πλευρά,noun,de\,δέ,particle,kata\,κατά,preposition,ta\s,ὁ,article,diafu/sias,διάφυσις,noun,tw=n,ὁ,article,spondu/lwn,,,neuri/w|,νευρίον,noun,prospefu/kasin,προσφύω,verb,a)p',ἀπό,preposition,au)xe/nos,αὐχήν,noun,e)s,εἰς,preposition,o)sfu\n,ὀσφύς,noun,e)/swqen,ἔσωθεν,adverb,e)pi/prosqen,de\,δέ,particle,kata\,κατά,preposition,to\,ὁ,article,sth=qos,στῆθος,noun,xau=non,χαῦνος,adjective,kai\,καί,conjunction,malqako\n,μαλθακός,adjective,to\,ὁ,article,a)/kron,ἄκρον,noun,e)/xousai,ἔχω,verb,,,,,,,,ἐπίπροσθεν,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=dos,εἶδος,noun,*raiboeide/staton,,,tw=n,ὁ,article,zw/wn,ζάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steno/tatos,στενός,adjective,ga\r,γάρ,particle,tau/th|,οὗτος,pronoun,o(,ὁ,article,a)/nqrwpos,ἄνθρωπος,noun,e)p',ἐπί,preposition,o)/gkon,ὄγκος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(=|,ὅς,pronoun,de\,δέ,particle,dh\,δή,particle,pleurh=|sin,πλευρά,noun,e)/kfusis,ἔκφυσις,noun,plagi/h,πλάγιος,adjective,braxei/h,,,kai\,καί,conjunction,platei/h,,,e)f',ἐπί,preposition,e(ka/stw|,ἕκαστος,adjective,spondu/lw|,,,neuri/w|,νευρίον,noun,prospefu/kasin,προσφύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sth=qos,στῆθος,noun,de\,δέ,particle,cunexe\s,συνεχής,adverb,au)to\,αὐτός,pronoun,e(wutw=|,ἑαυτοῦ,pronoun,diafu/sias,διάφυσις,noun,e)/xon,ἔχω,verb,plagi/as,πλάγιος,adjective,h(=|,ὅς,pronoun,pleurai\,πλευρά,noun,prosh/rthntai,προσαρτάω,verb,xau=non,χαῦνος,adjective,de\,δέ,particle,kai\,καί,conjunction,xondrw=des,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,χονδρώδης,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*klhdes,,,de\,δέ,particle,perifere/es,περιφερής,adverb,e)s,εἰς,preposition,tou)/mprosqen,ἔμπροσθεν,adverb,e)/xousai,ἔχω,verb,pro\s,πρός,preposition,me\n,μέν,particle,to\,ὁ,article,sth=qos,στῆθος,noun,braxei/as,βραχύς,adjective,kinh/sias,κίνησις,adjective,pro\s,πρός,preposition,de\,δέ,particle,to\,a)krw/mion,ἀκρώμιον,noun,suxnote/ras,συχνός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)krw/mion,ἀκρώμιον,noun,de\,δέ,particle,e)c,ἐκ,preposition,w)moplate/wn,ὠμοπλάτη,noun,pe/fuken,φύω,verb,a)nomoi/ws,ἀνόμοιος,adjective,toi=si,ὁ,article,plei/stoisin,πλεῖστος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*w'mopla/th,,,de\,δέ,particle,xondrw/dhs,χονδρώδης,adjective,to\,ὁ,article,pro\s,πρός,preposition,*ra/xin,,,to\,ὁ,article,d',δέ,particle,a)/llo,ἄλλος,adjective,xau/nh,χαῦνος,adjective,to\,ὁ,article,a)nw/malon,ἀνώμαλος,adjective,e)/cw,ἔξω,adverb,e)/xousa,ἔχω,verb,au)xe/na,de\,δέ,particle,kai\,καί,conjunction,kotu/lhn,κοτύλη,noun,e)/xousa,ἔχω,verb,xondrw/dea,χονδρώδης,adjective,e)c,ἐκ,preposition,h(=s,ὅς,pronoun,ai(,ὁ,article,pleurai\,πλευρά,noun,ki/nhsin,κίνησις,adjective,e)/xousin,ἔχω,verb,eu)apo/lutos,e)ou=sa,εἰμί,verb,αὐχήν,noun,εὐαπόλυτος,adverb,o)ste/wn,ὀστέον,noun,plh\n,πλήν,preposition,braxi/onos,βραχίων,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou/tou,οὗτος,pronoun,de\,δέ,particle,e)k,ἐκ,preposition,th=s,ὁ,article,kotu/lhs,κοτύλη,noun,neuri/w|,νευρίον,noun,h(,ὁ,article,kefalh\,κεφαλή,noun,e)ch/rthtai,ἐξαρτάω,verb,xo/ndrou,χόνδρος,noun,xau/nou,χαῦνος,adjective,periferh=,περιφερής,adverb,e)pi/fusin,ἐπίφυσις,noun,e)/xousa,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)to\s,αὐτός,pronoun,d',δέ,particle,e)/gkurtos,ἔγκυρτος,adjective,e)/cw,ἔξω,adverb,kai\,καί,conjunction,e)/mprosqen,ἔμπροσθεν,adverb,pla/gios,πλάγιος,adjective,ou)k,οὐ,adverb,o)rqo\s,ὀρθός,adjective,pro\s,πρός,preposition,kotu/lhn,κοτύλη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,de\,δέ,particle,pro\s,πρός,preposition,a)gkw=na,ἀγκών,noun,au)tou=,αὐτός,pronoun,platu\,πλατύς,adjective,kai\,καί,conjunction,kondulw=des,κονδυλώδης,adjective,kai\,καί,conjunction,balbidw=des,βαλβιδώδης,adjective,kai\,καί,conjunction,stereo\n,στερεός,adjective,e)/gkoilon,ἔγκοιλος,adjective,o)/pisqen,ὄπισθεν,adverb,e)n,w(=|,ὅς,pronoun,h(,ὁ,article,korw/nh,κορώνη,noun,h(,ὁ,article,e)k,ἐκ,preposition,tou=,ὁ,article,ph/xeos,πῆχυς,noun,o(/tan,ὅταν,conjunction,e)ktaqh=|,ἐκτείνω,verb,h(,ὁ,article,xei\r,χείρ,noun,e)/nestin,,,,ἐν,preposition,ἔνειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)s,εἰς,preposition,tou=to,οὗτος,pronoun,kai\,καί,conjunction,to\,ὁ,article,narkw=des,ναρκώδης,adverb,neu=ron,νεῦρον,noun,o(\,ὅς,pronoun,e)k,ἐκ,preposition,th=s,ὁ,article,diafu/sios,διάφυσις,noun,tw=n,ὁ,article,tou=,ὁ,article,ph/xeos,πῆχυς,noun,o)ste/wn,ὀστέον,noun,e)k,me/swn,μέσος,adjective,e)kpe/fuke,ἐκφύω,verb,kai\,καί,conjunction,perai/netai,περαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,ἐκ,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r(i\s,ῥίς,noun,de\,δέ,particle,kateagei=sa,κατάγνυμι,verb,a)napla/ssetai,ἀναπλάσσω,verb,ei),εἰ,conjunction,oi(=o/n,οἷος,adjective,te,τε,particle,au)qwro/n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kh)\n,ἐν,preposition,me\n,μέν,particle,ou)=n,οὖν,particle,o(,ὁ,article,xo/ndros,χόνδρος,noun,e)ntiqe/nai,ἐντίθημι,verb,a)/xnhn,ἄχνη,noun,o)qoni/ou,ὀθόνιον,noun,e)napode/onta,ἐναποδέω,verb,lopw=|,λοπός,noun,karxhdoni/w|,,,h)\,ἠέ,conjunction,e)n,ἐν,preposition,a)/llw|,ἄλλος,adjective,o(\,mh\,μή,conjunction,e)reqiei=,ἐρεθίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὅς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=|,ὁ,article,lopw=|,λοπός,noun,de\,δέ,particle,ta\s,ὁ,article,paralla/cias,παράλλαξις,noun,parakolla=|n,παρακολλάω,verb,kai\,καί,conjunction,a)nalamba/nein,ἀναλαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
