word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS
kai\,καί,conjunction,ga\r,γάρ,particle,*)hle/ktran,Ἠλέκτρη,proper,dokw=,δοκάζω,verb,stei/xein,στείχω,verb,a)delfh\n,ἀδελφή,noun,th\n,ὁ,article,e)mh\n,ἐμός,adjective,pe/nqei,πένθος,noun,lugrw=|,λυγρός,adjective,pre/pousan,πρέπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,*zeu=,Ζεύς,proper,do/s,δίδωμι,verb,me,ἐγώ,pronoun,tei/sasqai,τίνω,verb,mo/ron,μόρον,noun,patro/s,πατήρ,noun,genou=,γίγνομαι,verb,de\,δέ,particle,su/mmaxos,σύμμαχος,adjective,qe/lwn,ἐθέλω,verb,e)moi/,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*pula/dh,Πυλάδης,proper,staqw=men,ἵστημι,verb,e)kpodw/n,ἐκποδών,adverb,w(s,ὡς,conjunction,a)\n,ἄν,particle,safw=s,σαφής,adverb,ma/qw,μανθάνω,verb,gunaikw=n,γυνή,noun,h(/tis,ὅστις,pronoun,h(/de,ὅδε,pronoun,prostroph/,προστροπή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i)alto\s,ἰαλτός,adjective,e)k,ἐκ,preposition,do/mwn,δόμος,noun,e)/ban,βαίνω,verb,xoa\s,χοή,noun,propompo\s,προπομπός,adjective,o)cu/xeiri,ὀξύχειρ,noun,su\n,σύν,preposition,ktu/pw|,κτύπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre/pei,πρέπω,verb,parhi\s,,,foini/ois,φοίνιος,adjective,a)mugmoi=s,ἄμυγμα,noun,o)/nuxos,ὄνυξ,noun,a)/loki,ἄλοξ,noun,neoto/mw|,νεότομος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
di',διά,preposition,ai)w=nos,αἰών,noun,d',δέ,particle,i)ugmoi=si,ἰυγμός,noun,bo/sketai,βόσκω,verb,ke/ar,κῆρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linofqo/roi,λινοφθόρος,adjective,d',δέ,particle,u(fasma/twn,ὑπαύω,verb,laki/des,λακίς,noun,e)/fladon,φλάζω,verb,u(p',ὑπό,preposition,a)/lgesin,ἄλγος,noun,proste/rnw|,,,stolmw=|,,,pe/plwn,πέπλος,noun,a)gela/stois,ἀγέλαστος,adjective,cumforai=s,συμφορά,noun,peplhgme/nwn,πλήσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toro\s,τορός,adjective,de\,δέ,particle,*foi=bos,Φοῖβος,proper,o)rqo/qric,ὀρθόθριξ,adjective,do/mwn,δόμος,noun,o)neiro/mantis,ὀνειρόμαντις,noun,e)c,ἐκ,preposition,u(/pnou,ὕπνον,noun,ko/ton,κότος,noun,pne/wn,πνέω,verb,a)wro/nukton,ἀωρόνυκτος,adjective,a)mbo/ama,ἀναβόαμα,noun,muxo/qen,μυχόθεν,adverb,e)/lake,λάσκω,verb,peri\,περί,preposition,fo/bw|,φόβος,noun,gunaikei/oisin,γυναικεῖος,adjective,e)n,ἐν,preposition,dw/masin,δῶμα,noun,baru\s,βαρύς,adjective,pi/tnwn,πίπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kritai/,κριτής,noun,te,τε,particle,tw=nd',ὅδε,pronoun,o)neira/twn,ὄνειρος,noun,qeo/qen,θεόθεν,adverb,e)/lakon,λάσκω,verb,u(pe/gguoi,ὑπέγγυος,adjective,me/mfesqai,μέμφομαι,verb,tou\s,ὁ,article,ga=s,γῆ,noun,ne/rqen,ἔνερθε,preposition,periqu/mws,περίθυμος,adjective,toi=s,ὁ,article,ktanou=si/,κτείνω,verb,t',τε,particle,e)gkotei=n,ἐγκοτέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toia/nde,τοιόσδε,adjective,xa/rin,χάρις,noun,a)xa/riton,ἀχάριτος,adjective,a)po/tropon,ἀπότροπος,adjective,kakw=n,κακός,adjective,i)w\,ἰώ,interjection,gai=a,γαῖα,noun,mai=a,μαῖα,noun,mwme/na,μάομαι,verb,m',ἐγώ,pronoun,i)a/llei,ἰάλλω,verb,du/sqeos,δύσθεος,adjective,guna/,γυνή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fobou=mai,φοβέω,verb,d',δέ,particle,e)/pos,ἔπος,adjective,to/d',ὅδε,pronoun,e)kbalei=n,ἐκβάλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,ga\r,γάρ,particle,lu/tron,λύτρον,noun,peso/ntos,πίπτω,verb,ai(/matos,αἷμα,noun,pe/doi,πέδοι,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i)w\,ἰώ,interjection,pa/noizus,πάνοιζυς,adjective,e(sti/a,ἑστία,noun,i)w\,ἰώ,interjection,kataskafai\,κατασκαφή,noun,do/mwn,δόμος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)nh/lioi,ἀνήλιος,adjective,brotostugei=s,βροτοστυγής,adjective,dno/foi,δνόφος,noun,kalu/ptousi,καλύπτω,verb,do/mous,δόμος,noun,despotw=n,δεσπότης,adjective,qana/toisi,θάνατος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se/bas,σέβας,noun,d',δέ,particle,a)/maxon,ἄμαχος,adjective,a)da/maton,ἀδάματος,adjective,a)po/lemon,ἀπόλεμος,adjective,to\,ὁ,article,pri\n,πρίν,adverb,di',διά,preposition,w)/twn,ἄατος,adjective,freno/s,φρήν,noun,te,τε,particle,dami/as,δήμιος,adjective,perai=non,περαίνω,verb,nu=n,νῦν,adverb,a)fi/statai,ἀφίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fobei=tai,φοβέω,verb,de/,δέ,particle,tis,τις,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,d',δέ,particle,eu)tuxei=n,εὐτυχέω,verb,to/d',ὅδε,pronoun,e)n,ἐν,preposition,brotoi=s,βροτός,noun,qeo/s,θεός,noun,te,τε,particle,kai\,καί,conjunction,qeou=,θεός,noun,ple/on,πλέος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r(oph\,ῥοπή,noun,d',δέ,particle,e)piskopei=,ἐπισκοπέω,verb,di/kas,δίκη,adjective,taxei=a,ταχύς,adjective,tou\s,ὁ,article,me\n,μέν,particle,e)n,ἐν,preposition,fa/ei,φάος,adjective,ta\,ὁ,article,d',δέ,particle,e)n,ἐν,preposition,metaixmi/w|,μεταίχμιον,noun,sko/tou,σκότος,noun,me/nei,μένω,verb,xroni/zontas,χρονίζω,verb,a)/xh,ἄχος,adjective,tou\s,ὁ,article,d',δέ,particle,a)/krantos,ἄκραντος,adjective,e)/xei,ἔχω,verb,nu/c,νύξ,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
di',διά,preposition,ai(/mat',αἷμα,noun,e)kpoqe/nq',ἐκπίνω,verb,u(po\,ὑπό,preposition,xqono\s,χθών,noun,trofou=,τροφός,noun,ti/tas,τίτης,noun,fo/nos,φόνος,noun,pe/phgen,πήγνυμι,verb,ou),οὐ,adverb,diarru/dan,διαρρύδαν,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dialgh\s,διαλγής,adjective,d',δέ,particle,a)/ta,ἄτη,noun,diafe/rei,διαφέρω,verb,to\n,ὁ,article,ai)/tion,αἴτιος,adjective,panarke/tas,παναρκής,adjective,no/sou,νόσος,noun,bru/ein,βρύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qigo/nti,θιγγάνω,verb,d',δέ,particle,ou)/ti,οὔτι,adverb,numfikw=n,νυμφίος,adjective,e(dwli/wn,ἑδώλιον,noun,a)/kos,ἄκος,noun,po/roi,πόρω,verb,te,τε,particle,pa/ntes,πᾶς,adjective,e)k,ἐκ,preposition,mia=s,εἷς,adjective,o(dou=,ὁδός,adjective,probai/nontes,προβαίνω,verb,to\n,ὁ,article,xeromush=,χερομυσής,adjective,fo/non,φόνος,noun,kaqai/rontes,καθαίρω,verb,i)/qusan,ἰθύω,verb,ma/tan,μάτην,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)moi\,ἐγώ,pronoun,d',δέ,particle,a)na/gkan,ἀνάγκη,noun,ga\r,γάρ,particle,a)mfi/ptolin,ἀμφίπολις,noun,qeoi\,θεός,noun,prosh/negkan,προσφέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'e)k,ἐκ,preposition,ga\r,γάρ,particle,oi)/kwn,οἶκος,noun,patrw/|wn,πατρῷος,adjective,dou/lio/n,δούλιος,adjective,m',ἐγώ,pronoun,e)sa=gon,,,ai)=san',Αἶσα,proper,di/kaia,δίκαιος,adjective,kai\,καί,conjunction,mh\,μή,conjunction,di/kaia,δίκαιος,adjective,a)rxa\s,ἀρχή,noun,pre/pon,πρέπω,verb,bi/a|,βία,adjective,frenw=n,φρήν,noun,ai)ne/sai,αἰνέω,verb,pikro\n,πικρός,adjective,stu/gos,στύγος,adjective,kratou/sh|,κρατέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dakru/w,δακρύω,verb,d',δέ,particle,u(f',ὑπό,preposition,ei(ma/twn,εἷμα,noun,matai/oisi,μάταιος,adjective,despota=n,δεσπότης,adjective,tu/xais,τύχη,noun,krufai/ois,κρυφαῖος,adjective,pe/nqesin,πένθος,noun,paxnoume/nh,παχνόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dmwai\,δμωή,noun,gunai=kes,γυνή,noun,dwma/twn,δῶμα,noun,eu)qh/mones,εὐθήμων,adjective,e)pei\,ἐπεί,conjunction,pa/reste,πάρειμι,verb,th=sde,ὅδε,pronoun,prostroph=s,προστροπή,noun,e)moi\,ἐγώ,pronoun,pompoi/,πομπός,noun,ge/nesqe,γίγνομαι,verb,tw=nde,ὅδε,pronoun,su/mbouloi,σύμβουλος,noun,pe/ri,περί,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,fw=,φημί,verb,xe/ousa,χάω,verb,ta/sde,ὅδε,pronoun,khdei/ous,κήδειος,adjective,xoa/s,χοή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pw=s,πῶς,adverb,eu)/fron',εὔφρων,adjective,ei)/pw,εἶπον,verb,pw=s,πῶς,adverb,kateu/comai,κατεύχομαι,verb,patri/,πατήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po/tera,πότερος,adjective,le/gousa,λέγω,verb,para\,παρά,preposition,fi/lhs,φίλος,adjective,fi/lw|,φίλος,adjective,fe/rein,φέρω,verb,gunaiko\s,γυνή,noun,a)ndri/,ἀνδρίς,noun,th=s,ὁ,article,e)mh=s,ἐμός,adjective,mhtro\s,μήτηρ,noun,pa/ra,παρά,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=nd',ὅδε,pronoun,ou),οὐ,adverb,pa/resti,πάρειμι,verb,qa/rsos,θάρσος,noun,ou)d',οὐδέ,particle,e)/xw,ἔχω,verb,ti/,τίς,pronoun,fw=,φημί,verb,xe/ousa,χάω,verb,to/nde,ὅδε,pronoun,pe/lanon,πέλανος,noun,e)n,ἐν,preposition,tu/mbw|,τύμβος,noun,patro/s,πατήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\,ἠέ,conjunction,tou=to,οὗτος,pronoun,fa/skw,φάσκω,verb,tou)/pos,ἔπος,adjective,w(s,ὡς,conjunction,no/mos,νόμος,noun,brotoi=s,βροτός,noun,e)/sql',ἐσθλός,adjective,a)ntidou=nai,ἀντιδίδωμι,verb,toi=si,τίς,pronoun,pe/mpousin,πέμπω,verb,ta/de,ὅδε,pronoun,ste/fh,στέφος,noun,do/sin,δόσις,noun,ge,γε,particle,tw=n,ὁ,article,kakw=n,κακός,adjective,e)paci/an,ἐπάξιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
