word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/7/lemma/@_entry,word/7/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/15/lemma/@_entry,word/15/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS
dia\,διά,preposition,ta/de,ὅδε,pronoun,w)=n,οὖν,particle,i)htrw=|,ἰατρός,noun,sfeas,σφεῖς,pronoun,au)tou\s,αὐτός,pronoun,ou)d',οὐδέ,particle,e)pitre/pousi,,,,ἐπιτρέπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pi/stis,πίστις,noun,de\,δέ,particle,toute/wn,οὗτος,pronoun,kefalai/h,κεφάλαιος,adjective,h(=s,ὅς,pronoun,a)/mfi,,,pro/teron,πρότερος,adjective,fra/sw,,,,φράζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kefalh\,κεφαλή,noun,de\,δέ,particle,o(ko/son,ὁπόσος,adjective,e)s,εἰς,preposition,zwh\n,ζωή,noun,a)nagkai=on,ἀναγκαῖος,adjective,toso/nde,τοσόσδε,adjective,nou/sw|,xalepwta/th,χαλεπός,adjective,νόσος,noun,kai\,καί,conjunction,tw=n,ὁ,article,a)mfi\,ἀμφί,preposition,th/nde,ὅδε,pronoun,nou/swn,νόσος,noun,h(,ὁ,article,me\n,e)sbolh\,εἰσβολή,noun,eu)paqh\s,εὐπαθής,adverb,e)pi\,ἐπί,preposition,smikrw=|,μικρός,adjective,μέν,particle,a)/lgei+,ἄλγος,noun,kai\,καί,conjunction,h)/xoisi,ἦχος,noun,w)/twn,ἄατος,adjective,kai\,καί,conjunction,ba/rei+,βάρος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,de\,δέ,particle,au)/chsin,αὔξησις,noun,prosla/boi,προσλαμβάνω,verb,kai\,καί,conjunction,ta\,ὁ,article,te/lh,τέλος,noun,o)le/qria,,,,ὀλέθριος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh\,μή,conjunction,w)=n,οὖν,particle,mhde\,μηδέ,particle,ta\,ὁ,article,smikra\,μικρός,adjective,u(perorh=n,ὑπεροράω,verb,a)/lgea,ἄλγος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smikroi=si,μικρός,adjective,ga\r,γάρ,particle,kai\,καί,conjunction,toi=si,ὁ,article,a)/kesi,ἄκεσις,noun,metecete/roisi,μετεξέτεροι,adjective,i)h/qh,ἰάομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de\,δέ,particle,pro/sw,πρόσω,adverb,me\n,μέν,particle,h(/kh|,ἥκω,verb,xro/nou,χρόνος,noun,me/zw,μέγας,adverb,ga\r,prosepigi/gnetai,προσεπιγίγνομαι,verb,γάρ,particle,a)/xqea,ἄχθος,noun,ta/mnein,τέμνω,verb,th\n,ὁ,article,e)p',ἐπί,preposition,a)gkw=ni,ἀγκών,noun,fle/ba,φλέψ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro/sqen,πρόσθεν,adverb,de\,δέ,particle,duoi=n,δύο,adjective,h(me/rain,ἥμερος,adjective,oi)=non,οἶνον,noun,pipi/skein,πιπίσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cuntekmairo/menon,συντεκμαίρομαι,verb,de\,δέ,particle,th\n,ὁ,article,du/namin,δύναμις,adjective,to\,ὁ,article,plh=qos,πλῆθος,noun,a)faire/ein,ἀφαιρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/riston,ἄριστος,adjective,de\,δέ,particle,mh\,μή,conjunction,e)sa/pac,εἰσάπαξ,adverb,w(s,ὡς,conjunction,h(,ὁ,article,du/nami/s,δύναμις,adjective,te,a)ne/xhtai,ἀνέχω,verb,τε,particle,th\n,ὁ,article,plhqu\n,πληθύς,noun,th=s,ὁ,article,a)faire/sios,ἀφαίρεσις,noun,cunexe/s,συνεχής,adverb,te,τε,particle,toi=si,au)te/oisi,,,moxleu/htai,μοχλεύω,verb,h(,ὁ,article,nou=sos,νόσος,noun,τίς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(=de,ὧδε,adverb,me/ntoi,μέντοι,particle,pa/sh|si,πᾶς,adjective,th=|si,ὁ,article,xroni/h|si,χρόνιος,adjective,nou/soisi,νόσος,noun,cunw|do/n,συνῳδός,adjective,meshgu\,de\,δέ,particle,μεσηγύ,adverb,triw=n,τρεῖς,noun,h)\,ἠέ,conjunction,tessa/rwn,τέσσαρες,noun,h(merw=n,ἡμέρα,noun,a(drote/rws,ἁδρός,adjective,diaita=n,δίαιτα,noun,e)/peita,th\n,ὁ,article,i(erh\n,ἱερός,adjective,to\,ὁ,article,kaqarth/rion,καθαρτήριος,adjective,ἔπειτα,adverb,cu\n,σύν,preposition,melikrh/,,,tw|,τις,pronoun,pipi/skein,πιπίσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)pa/gei,ἀπάγω,verb,ga\r,γάρ,particle,ma/lista,μάλιστα,adverb,h(/de,ὅδε,pronoun,a)po\,ἀπό,preposition,th=s,ὁ,article,kefalh=s,κεφαλή,noun,th=s,nou/sou,νόσος,noun,ὁ,article,th\n,ὁ,article,trofh/n,τροφή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plh=qos,πλῆθος,noun,de\,δέ,particle,tou=,ὁ,article,farma/kou,φάρμακον,noun,o(ko/son,ὁπόσος,adjective,te/ssares,τέσσαρες,noun,h)\,ἠέ,conjunction,pe/nte,o(lkh=s,ὁλκή,noun,πέντε,adverb,draxmai/,δραχμή,noun,kh)\n,ἐν,preposition,eu)=,εὖ,adverb,kaqai/rhtai,καθαίρω,verb,lou/ein,λούω,verb,te,τε,particle,kai\,oi)=non,οἶνον,noun,dido/nai,δίδωμι,verb,kai\,καί,conjunction,th\n,ὁ,article,καί,conjunction,du/namin,δύναμις,adjective,au)/cein,αὐξάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/peita,ἔπειτα,adverb,au)=qis,αὖθις,adverb,ta/mnein,τέμνω,verb,fle/ba,φλέψ,noun,th\n,ὁ,article,e)pi\,ἐπί,preposition,tw=|,ὁ,article,metw/pw|,th\n,ὁ,article,μέτωπον,noun,o)rqh/n,ὀρθός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuriwta/th,κύριος,adjective,ga\r,γάρ,particle,h(/de,ὅδε,pronoun,h(,ὁ,article,a)fai/resis,ἀφαίρεσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,de\,δέ,particle,plh=qos,πλῆθος,noun,o(/son,ὅσος,adjective,kotu/lhs,κοτύλη,noun,h)\,ἠέ,conjunction,smikrw=|,μικρός,adjective,plei=on,,,,πλέως,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lu/ein,λύω,verb,te,τε,particle,mh\,μή,conjunction,peraite/rw,περαίτερος,adjective,keneagg,,,e/ein,,,ga\r,γάρ,particle,ou),xrh/,χρή,verb,οὐ,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/peita,ἔπειτα,adverb,ta\s,ὁ,article,ko/mas,κόμη,noun,curw=|,ξυρόν,noun,a)faire/onta,ἀφαιρέω,verb,siku/hn,σικύα,noun,th=|,ὁ,article,korufh=|,prosba/llein,προσδαίω,verb,κορυφή,noun,prote/rhn,πρότερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th\n,ὁ,article,de\,δέ,particle,e(te/rhn,ἕτερος,adjective,th\n,ὁ,article,meshgu\,μεσηγύ,adverb,tw=n,ὁ,article,w)moplate/wn,ὠμοπλάτη,noun,e)rei/dein,a)nai/makton,ἀναίμακτος,adjective,ἐρείδω,verb,sxa/zein,σχάζω,verb,te,τε,particle,th\n,ὁ,article,e)pi\,ἐπί,preposition,th=s,ὁ,article,korufh=s,κορυφή,noun,a)feide/ws,e)/s,εἰς,preposition,te,τε,particle,plh/qeos,πλῆθος,noun,o(lkh\n,ὁλκή,noun,ἀφειδής,adverb,kai\,καί,conjunction,e)s,εἰς,preposition,th\n,ὁ,article,tou=,ὁ,article,ba/qeos,βάθος,adjective,e)ntomh/n,ἐντομή,noun,kefalai/hn,κεφάλαιος,adjective,ga\r,γάρ,particle,ta\,ὁ,article,me/xris,μέχρι,preposition,o)ste/wn,ὀστέον,noun,o)ni/nhsi,ὀνίνημι,verb,i)h/mata,ἴαμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de\,δέ,particle,e)s,εἰς,preposition,w)teilh\n,ὠτειλή,noun,h(/kh|,ἥκω,verb,ta\,ὁ,article,trw/mata,τραῦμα,noun,ta\s,a)rthri/as,ἀρτηρία,noun,ὁ,article,e)kta/mnein,ἐκτέμνω,verb,diplai=,διπλόος,adjective,de/,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai(,ὁ,article,me\n,μέν,particle,kato/pin,κατόπιν,adverb,ei)si\,εἰμί,verb,w)/twn,ἄατος,adjective,smikro/nti,,,proswte/rw,πρόσω,adverb,dh=lai,de\,δέ,particle,δῆλος,adjective,tai=s,ὁ,article,diasfu/cesi,διάσφυξις,noun,ai(,ὁ,article,de\,δέ,particle,tou=,ὁ,article,w)to\s,οὖς,noun,e)s,tou)/mpros,,,qen,,,au)tw=n,αὐτός,pronoun,plhsi/on,πλησίος,adjective,εἰς,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
para/getai,παράγω,verb,ga\r,γάρ,particle,tw=|,ὁ,article,a)ntitra/gw|,ἀντίτραγος,noun,a)ta\r,ἀτάρ,particle,kai\,καί,conjunction,ai(/de,ὅδε,pronoun,dh=lai,diasfu/cesi,διάσφυξις,noun,δῆλος,adjective,ta/mnein,τέμνω,verb,de\,δέ,particle,pro\s,πρός,preposition,toi=s,ὁ,article,o)ste/ois,ὀστέον,noun,ta\s,ὁ,article,me/zonas,ai(/de,ὅδε,pronoun,ga\r,γάρ,particle,o)nhi+stai/,,,,,,μέγας,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pike/atai,ἐπίκειμαι,verb,kai\,καί,conjunction,e(/terai,ἕτερος,adjective,e(ka/sth|si,ἕκαστος,adjective,ka/rta,κάρτα,adverb,leptai\,λεπτός,adjective,a(\s,ὅς,pronoun,ou)d',o)/felos,ὄφελος,noun,οὐδέ,particle,e)kta/mnein,ἐκτέμνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,tro/pos,τρόπος,noun,e)n,ἐν,preposition,th=|si,ὁ,article,xeirourgi/h|si,χειρουργία,noun,le/lektai,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
me/ga,μέγας,adverb,de\,δέ,particle,to\,ὁ,article,a)/kos,ἄκος,noun,kefalai/h|si,κεφάλαιος,adjective,kai\,καί,conjunction,e)pilhyi/h|,ἐπιληψία,noun,kai\,skotw/masi,σκότωμα,noun,καί,conjunction,kai\,καί,conjunction,cumblh/dhn,συμβλήδην,adverb,a(pa/sh|si,ἅπας,adjective,th=|si,ὁ,article,th=s,ὁ,article,kefalh=s,κεφαλή,noun,nou/soisi,,,,,,,,,,,,,νόσος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
