word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/38/@_form,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/lemma/@_entry,word/38/lemma/@_POS,word/45/lemma/@_entry,word/45/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS
nu=n,νῦν,adverb,de\,δέ,particle,po/qen,πόθεν,adverb,a)/rcwmai,ἄρχω,verb,le/gwn,λέγω,verb,h)\,ἠέ,conjunction,ti/nos,τίς,pronoun,prw=ton,πρότερος,adjective,mnhsqw=,μιμνήσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po/tera,πότερος,adjective,peri\,περί,preposition,tou=,ὁ,article,ge/nous,γένος,noun,au)tw=n,αὐτός,pronoun,e(ka/stou,ἕκαστος,adjective,diece/lqw,διεξέρχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,eu)/hqes,εὐήθης,adjective,ei)=nai,εἰμί,verb,u(polamba/nw,ὑπολαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\n,ὁ,article,me\n,μέν,particle,ga\r,γάρ,particle,a)/llous,ἄλλος,adjective,tina\s,τις,pronoun,a)nqrw/pous,ἄνθρωπος,noun,e)gkwmia/zonta,ἐγκωμιάζω,verb,oi(\,ἕ,pronoun,pollaxo/qen,πολλαχόθεν,adverb,ei)s,εἰς,preposition,mi/an,εἷς,adjective,po/lin,πόλις,adjective,sunelhluqo/tes,συνέρχομαι,verb,oi)kou=si,οἰκέω,verb,ge/nos,γένος,noun,i)/dion,ἴδιος,adjective,e(/kastos,ἕκαστος,adjective,suneisenegka/menos,συνεισφέρω,verb,tou=ton,οὗτος,pronoun,me\n,μέν,particle,dei=,δέομαι,verb,kat',κατά,preposition,a)/ndra,ἀνήρ,noun,genealogei=n,γενεαλογέω,verb,e(/kaston,ἕκαστος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peri\,περί,preposition,de\,δέ,particle,*)aqhnai/wn,Ἀθήναια,proper,a)ndrw=n,ἀνήρ,noun,tou\s,ὁ,article,lo/gous,λόγος,noun,poiou/menon,ποιέω,verb,oi(=s,ὅς,pronoun,h(,ὁ,article,koinh\,κοινός,adjective,ge/nesis,γένεσις,noun,au)to/xqosin,αὐτόχθων,adjective,ou)=sin,εἰμί,verb,a)nupe/rblhton,ἀνυπέρβλητος,adjective,th\n,ὁ,article,eu)ge/neian,εὐγένεια,noun,e)/xei,ἔχω,verb,peri/ergon,περίεργος,adjective,h(gou=mai,ἡγέομαι,verb,ei)=nai,εἰμί,verb,i)di/a|,ἴδιος,adjective,ta\,ὁ,article,ge/nh,γένος,noun,e)gkwmia/zein,ἐγκωμιάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,peri\,περί,preposition,th=s,ὁ,article,paidei/as,παιδεία,noun,au)tw=n,αὐτός,pronoun,e)pimnhsqw=,ἐπιμιμνήσκομαι,verb,kai\,καί,conjunction,w(s,ὡς,conjunction,e)n,ἐν,preposition,pollh=|,πολύς,adjective,swfrosu/nh|,σωφροσύνη,noun,pai=des,παῖς,adjective,o)/ntes,εἰμί,verb,e)tra/fhsan,τρέφω,verb,kai\,καί,conjunction,e)paideu/qhsan,παιδεύω,verb,o(/per,ὅσπερ,adjective,ei)w/qasi/n,ἔθω,verb,tines,τις,pronoun,poiei=n,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,oi)=mai,οἴομαι,verb,pa/ntas,πᾶς,adjective,ei)de/nai,οἶδα,verb,o(/ti,ὅστις,pronoun,tou/tou,οὗτος,pronoun,e(/neka,ἕνεκα,preposition,tou\s,ὁ,article,pai=das,παῖς,adjective,paideu/omen,παιδεύω,verb,i(/na,ἵνα,conjunction,a)/ndres,ἀνήρ,noun,a)gaqoi\,ἀγαθός,adjective,ge/nwntai,γίγνομαι,verb,tou\s,ὁ,article,de\,δέ,particle,gegenhme/nous,γίγνομαι,verb,e)n,ἐν,preposition,tw=|,ὁ,article,pole/mw|,πόλεμος,noun,a)/ndras,ἀνήρ,noun,u(perba/llontas,ὑπερβάλλω,verb,th=|,ὁ,article,a)reth=|,ἀρετή,noun,pro/dhlo/n,πρόδηλος,adjective,e)stin,εἰμί,verb,o(/ti,ὅστις,pronoun,pai=des,παῖς,adjective,o)/ntes,εἰμί,verb,kalw=s,καλός,noun,e)paideu/qhsan,παιδεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(plou/staton,ἁπλόος,adjective,ou)=n,οὖν,particle,h(gou=mai,ἡγέομαι,verb,ei)=nai,εἰμί,verb,th\n,ὁ,article,e)n,ἐν,preposition,tw=|,ὁ,article,pole/mw|,πόλεμος,noun,diecelqei=n,διεξέρχομαι,verb,a)reth/n,ἀρετή,noun,kai\,καί,conjunction,w(s,ὡς,conjunction,pollw=n,πολύς,adjective,a)gaqw=n,ἀγαθός,adjective,ai)/tioi,αἴτιος,adjective,gege/nhntai,γίγνομαι,verb,th=|,ὁ,article,patri/di,πατρίς,adjective,kai\,καί,conjunction,toi=s,ὁ,article,a)/llois,ἄλλος,adjective,*(/ellhsin,Ἕλλην,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/rcomai,ἄρχω,verb,de\,δέ,particle,prw=ton,πρότερος,adjective,a)po\,ἀπό,preposition,tou=,ὁ,article,strathgou=,στρατηγός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,di/kaion,δίκαιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*lewsqe/nhs,Λεωσθένης,proper,ga\r,γάρ,particle,o(rw=n,ὁράω,verb,th\n,ὁ,article,*(ella/da,Ἑλλάς,proper,pa=san,πᾶς,adjective,tetapeinwme/nhn,ταπεινόω,verb,kai\,καί,conjunction,e)pthxui=an,πτήσσω,verb,katefqarme/nhn,καταφθείρω,verb,u(po\,ὑπό,preposition,tw=n,ὁ,article,dwrodokou/ntwn,δωροδοκέω,verb,para\,παρά,preposition,*fili/ppou,Φίλιππος,proper,kai\,καί,conjunction,*)aleca/ndrou,Ἀλέξανδρος,proper,kata\,κατά,preposition,tw=n,ὁ,article,patri/dwn,πατρίς,adjective,tw=n,ὁ,article,au(tw=n,ἑαυτοῦ,pronoun,kai\,καί,conjunction,th\n,ὁ,article,me\n,μέν,particle,po/lin,πόλις,adjective,h(mw=n,ἐγώ,pronoun,deome/nhn,δέομαι,verb,a)ndro/s,ἀνήρ,noun,th\n,ὁ,article,d',δέ,particle,*(ella/da,Ἑλλάς,proper,pa=san,πᾶς,adjective,po/lews,πόλις,adjective,h(/tis,ὅστις,pronoun,prosth=nai,προίστημι,verb,dunh/setai,δύναμαι,verb,th=s,h(gemoni/as,e)pe/dwken,ἐπιδίδωμι,verb,e(auto\n,ἑαυτοῦ,pronoun,me\n,μέν,particle,th=|,ὁ,article,patri/di,πατήρ,noun,th\n,ὁ,article,de\,po/lin,πόλις,adjective,toi=s,ὁ,article,*(/ellhsin,Ἕλλη,proper,ei)s,εἰς,preposition,th\n,ὁ,article,e)leuqeri/an,ἐλευθερία,noun,,,,,,,ὁ,article,ἡγεμονία,noun,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,cenikh\n,ξενικός,adjective,me\n,μέν,particle,du/namin,δύναμις,adjective,susthsa/menos,συνίστημι,verb,th=s,ὁ,article,de\,δέ,particle,politikh=s,πολιτικός,adjective,h(gemw\n,ἡγεμών,noun,katasta/s,καθίστημι,verb,tou\s,ὁ,article,prw/tous,πρότερος,adjective,a)ntitacame/nous,ἀντιτάσσω,verb,th=|,ὁ,article,tw=n,ὁ,article,*(ellh/nwn,Ἕλλην,proper,e)leuqeri/a|,ἐλευθερία,noun,*boiwtou\s,Βοιωτός,proper,kai\,καί,conjunction,*makedo/nas,Μακεδών,proper,kai\,καί,conjunction,*eu)boe/as,Εὐβοεύς,proper,kai\,καί,conjunction,tou\s,ὁ,article,a)/llous,ἄλλος,adjective,summa/xous,σύμμαχος,adjective,au)tw=n,αὐτός,pronoun,e)ni/khse,νικάω,verb,maxo/menos,μάχομαι,verb,e)n,ἐν,preposition,th=|,ὁ,article,*boiwti/a|,Βοιώτιος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)nteu=qen,ἐντεῦθεν,adverb,d',δέ,particle,e)lqw\n,ἔρχομαι,verb,ei)s,εἰς,preposition,*pu/las,Πύλαι,proper,kai\,καί,conjunction,katalabw\n,καταλαμβάνω,verb,ta\s,ὁ,article,paro/dous,πάροδος,noun,di',διά,preposition,w(=n,ὅς,pronoun,kai\,καί,conjunction,pro/teron,πρότερος,adjective,e)pi\,ἐπί,preposition,tou\s,ὁ,article,*(/ellhnas,Ἕλλην,proper,oi(,ὁ,article,ba/rbaroi,βάρβαρος,adjective,e)poreu/qhsan,ἐφορεύω,verb,th=s,ὁ,article,me\n,μέν,particle,e)pi\,ἐπί,preposition,th\n,ὁ,article,*(ella/da,Ἑλλάς,proper,porei/as,πορεία,noun,*)anti/patron,Ἀντίπατρος,proper,e)kw/lusen,κωλύω,verb,au)to\n,αὐτός,pronoun,de\,δέ,particle,katalabw\n,καταλαμβάνω,verb,e)n,ἐν,preposition,toi=s,ὁ,article,to/pois,τόπος,noun,tou/,τις,pronoun,toi,σύ,pronoun,s,,,kai\,καί,conjunction,ma/xh|,nikh/sas,e)polio/rkei,πολιορκέω,verb,kataklei/sas,κατακλείω,verb,ei)s,εἰς,preposition,*lami/an,Λαμίης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μάχη,noun,νικάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*qettalou\s,Θεσσαλός,proper,de\,δέ,particle,kai\,καί,conjunction,*fwke/as,Φωκεύς,proper,kai\,καί,conjunction,*ai)twlou\s,εἰ,conjunction,kai\,καί,conjunction,tou\s,ὁ,article,a)/llous,ἄλλος,adjective,a(/pantas,ἅπας,adjective,tou\s,ὁ,article,e)n,ἐν,preposition,tw=|,ὁ,article,to/pw|,τόπος,noun,summa/xous,σύμμαχος,adjective,e)poih/sato,ποιέω,verb,kai\,καί,conjunction,w(=n,ὅς,pronoun,*fi/lippos,Φίλιππος,proper,kai\,καί,conjunction,*)ale/candros,Ἀλέξανδρος,proper,a)ko/ntwn,ἄκων,noun,h(gou/menoi,ἡγέομαι,verb,e)semnu/nonto,σεμνύνω,verb,tou/twn,οὗτος,pronoun,*lewsqe/nhs,Λεωσθένης,proper,e(ko/ntwn,ἑκών,adjective,th\n,ὁ,article,h(gemoni/an,ἡγεμονία,noun,e)/laben,λάπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sune/bh,συμβαίνω,verb,d',δέ,particle,au)tw=|,αὐτός,pronoun,tw=n,ὁ,article,me\n,μέν,particle,pragma/twn,πρᾶγμα,noun,w(=n,ὅς,pronoun,proei/leto,προαιρέω,verb,krath=sai,κρατέω,verb,th=s,ὁ,article,de\,δέ,particle,ei(marme/nhs,μείρομαι,verb,ou)k,οὐ,adverb,h)=n,εἰμί,verb,perigene/sqai,περιγίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
di/kaion,δίκαιος,adjective,d',δέ,particle,e)sti\n,εἰμί,verb,mh\,μή,conjunction,mo/non,μόνος,adjective,w(=n,ὅς,pronoun,e)/pracen,πράσσω,verb,*lewsqe/nhn,Λεωσθένης,proper,a)ei\,ἀεί,adverb,xa/rin,χάρις,noun,e)/xein,ἔχω,verb,au)tw=|,αὐτός,pronoun,prw/tw|,πρότερος,adjective,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,th=s,ὁ,article,u(/steron,ὕστερος,adjective,genome/nhs,γίγνομαι,verb,ma/xhs,μάχη,noun,meta\,μετά,preposition,to\no\n,ὁ,article,e)kei/nou,ἐκεῖνος,pronoun,qa/naton,θάνατος,adjective,kai\,καί,conjunction,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,a)gaqw=n,ἀγαθός,adjective,tw=n,ὁ,article,e)n,ἐν,preposition,th=|,ὁ,article,stratei/a|,στρατεία,adjective,tau/th|,οὗτος,pronoun,sumba/ntwn,συμβαίνω,verb,toi=s,ὁ,article,*(/ellhsin,Ἕλλην,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pi\,ἐπί,preposition,ga\r,γάρ,particle,toi=s,ὁ,article,u(po\,ὑπό,preposition,*lewsqe/nous,Λεωσθένης,proper,te,τε,particle,qei=sin,τίθημι,verb,qemeli/ois,θεμέλιος,adjective,oi)kodomou=sin,οἰκοδομέω,verb,oi(,ὁ,article,nu=n,νῦν,adverb,ta\s,ὁ,article,u(/steron,ὕστερος,adjective,pra/ceis,πρᾶξις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,mhdei\s,μηδείς,pronoun,u(pola/bh|,ὑπολαμβάνω,verb,me,ἐγώ,pronoun,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,politw=n,πολίτης,noun,mhde/na,μηδείς,pronoun,lo/gon,λόγος,noun,poiei=sqai,ποιέω,verb,a)lla\,ἀλλά,adverb,*lewsqe/nh,Λεωσθένης,proper,mo/non,μόνος,adjective,e)gkwmia/zein,ἐγκωμιάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sumbai/nei,συμβαίνω,verb,ga\r,γάρ,particle,to\n,ὁ,article,*lewsqe/nous,Λεωσθένης,proper,e)/painon,ἔπαινος,noun,e)pi\,ἐπί,preposition,tai=s,ὁ,article,ma/xais,μάχη,noun,e)gkw/mion,ἐγκώμιος,adjective,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,politw=n,πολίτης,noun,ei)=nai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=,ὁ,article,me\n,μέν,particle,ga\r,γάρ,particle,bouleu/esqai,βουλεύω,verb,kalw=s,καλός,noun,o(,ὁ,article,strathgo\s,στρατηγός,noun,ai)/tios,αἴτιος,adjective,tou=,ὁ,article,de\,δέ,particle,nika=n,νικάω,verb,maxome/nous,μάχομαι,verb,oi(,ἕ,pronoun,kinduneu/ein,κινδυνεύω,verb,e)qe/lontes,ἐθέλω,verb,toi=s,ὁ,article,sw/masin,σῶμα,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(/ste,ὥστε,conjunction,o(/tan,ὅταν,conjunction,e)painw=,ἐπαινέω,verb,th\n,ὁ,article,gegonui=an,γίγνομαι,verb,ni/khn,νίκη,noun,a(/ma,ἅμα,adverb,th=|,ὁ,article,*lewsqe/nous,Λεωσθένης,proper,h(gemoni/a|,ἡγεμονία,noun,kai\,καί,conjunction,th\n,ὁ,article,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,a)reth\n,ἀρετή,noun,e)gkwmia/sw,ἐγκωμιάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/s,τίς,pronoun,ga\r,γάρ,particle,ou)k,οὐ,adverb,a)\n,ἄν,particle,dikai/ws,δίκαιος,adjective,e)painoi/h,ἐπαινέω,verb,tw=n,ὁ,article,politw=n,πολίτης,noun,tou\s,ὁ,article,e)n,ἐν,preposition,tw=|de,ὅδε,pronoun,tw=|,ὁ,article,pole/mw|,πόλεμος,noun,teleuth/santas,τελευτάω,verb,oi(\,ἕ,pronoun,ta\s,ὁ,article,e(autw=n,ἑαυτοῦ,pronoun,yuxa\s,ψυχή,noun,e)/dwkan,δίδωμι,verb,u(pe\r,ὑπέρ,preposition,th=,τῆ,verb,stw=n,ἵστημι,verb,*(ellh/nwn,Ἕλλην,proper,e)leuqeri/as,ἐλευθερία,noun,fanerwta/thn,φανερός,adjective,a)po/deicin,ἀπόδειξις,noun,tau/thn,οὗτος,pronoun,h(gou/menoi,ἡγέομαι,verb,ei)=nai,εἰμί,verb,tou=,ὁ,article,bou/lesqai,βούλομαι,verb,th=|,ὁ,article,*(ella/di,Ἑλλάς,proper,th\n,ὁ,article,e)leuqeri/an,ἐλευθερία,noun,periqei=nai,περιτίθημι,verb,to\,ὁ,article,maxome/nous,teleuth=sai,u(pe\r,ὑπέρ,preposition,au)th=s,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μάχομαι,verb,τελευτάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
