word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS
th\n,ὁ,article,d',δέ,particle,e(te/rhn,ἕτερος,adjective,prote/rhn,πρότερος,adjective,me\n,μέν,particle,e)gei/nato,γείνομαι,verb,*nu\c,Νύξ,proper,e)rebennh/,ἐρεβεννός,adjective,qh=ke,τίθημι,verb,de/,δέ,particle,min,μιν,pronoun,*kroni/dhs,Κρονίδης,proper,u(yi/zugos,ὑψίζυγος,adjective,ai)qe/ri,αἰθήρ,noun,nai/wn,ναίω,verb,gai/hs,γαῖα,noun,e)n,ἐν,preposition,r(i/zh|si,ῥίζα,adjective,kai\,καί,conjunction,a)ndra/si,ἀνήρ,noun,pollo\n,πολύς,adjective,a)mei/nw,ἀμείνων,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(/te,ὅστε,pronoun,kai\,καί,conjunction,a)pa/lamo/n,ἀπάλαμος,adjective,per,πέρ,particle,o(mw=s,ὁμῶς,adverb,e)pi\,ἐπί,preposition,e)/rgon,ἔργον,noun,e)/geiren,ἐγείρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)s,εἰς,preposition,e(/teron,ἕτερος,adjective,ga/r,γάρ,particle,ti/s,τίς,pronoun,te,τε,particle,i)dw\n,εἶδον,verb,e)/rgoio,ἔργον,noun,xati/zei,χατίζω,verb,plou/sion,πλούσιος,adjective,o(\s,ὅς,pronoun,speu/dei,σπεύδω,verb,me\n,μέν,particle,a)rw/menai,ἀράομαι,verb,h)de\,ἠδέ,conjunction,futeu/ein,φυτεύω,verb,oi)=ko/n,οἶκος,noun,t',τε,particle,eu)=,εὖ,adverb,qe/sqai,τίθημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zhloi=,ζηλέω,verb,de/,δέ,particle,te,τε,particle,gei/tona,γείτων,noun,gei/twn,γείτων,noun,ei)s,εἰς,preposition,a)/fenos,ἄφενος,noun,speu/dont',σπεύδω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)gaqh\,ἀγαθός,adjective,d',δέ,particle,*)/eris,Ἔρις,proper,h(/de,ὅδε,pronoun,brotoi=sin,βροτός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,kerameu\s,κεραμεύς,noun,keramei=,κεραμεύς,noun,kote/ei,κοτάω,verb,kai\,καί,conjunction,te/ktoni,τέκτων,adjective,te/ktwn,τέκτων,adjective,kai\,καί,conjunction,ptwxo\s,πτωχός,adjective,ptwxw=|,πτωχός,adjective,fqone/ei,φθονέω,verb,kai\,καί,conjunction,a)oido\s,ἀοιδός,noun,a)oidw=|,ἀοιδάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,*pe/rsh,Πέρσευς,proper,su\,σύ,pronoun,de\,δέ,particle,tau=ta,οὗτος,pronoun,tew=|,τις,pronoun,e)nika/tqeo,ἐγκατατίθεμαι,verb,qumw=|,θυμός,noun,mhde/,μηδέ,particle,s',σύ,pronoun,*)/eris,Ἔρις,proper,kako/xartos,κακόχαρτος,adjective,a)p',ἀπό,preposition,e)/rgou,ἔργον,noun,qumo\n,θυμός,noun,e)ru/koi,ἐρύκω,verb,nei/ke',νεῖκος,noun,o)pipeu/ont',ὀπιπεύω,verb,a)gorh=s,ἀγορά,noun,e)pakouo\n,ἐπακουός,adjective,e)o/nta,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)/rh,ὤρα,noun,ga/r,γάρ,particle,t',τε,particle,o)li/gh,ὀλίγος,adjective,pe/letai,πέλω,verb,neike/wn,νείκη,noun,t',τε,particle,a)gore/wn,ἀγορά,noun,te,τε,particle,w(=|tini,ὅστις,pronoun,mh\,μή,conjunction,bi/os,βίος,adjective,e)/ndon,ἔνδον,adverb,e)phetano\s,ἐπηετανός,adjective,kata/keitai,κατάκειμαι,verb,w(rai=os,ὡραῖος,adjective,to\n,ὁ,article,gai=a,γαῖα,noun,fe/rei,φέρω,verb,*dhmh/teros,Δημήτηρ,proper,a)kth/n,ἀκτή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=,ὁ,article,ke,ἄν,particle,koressa/menos,κορέννυμι,verb,nei/kea,νεῖκος,noun,kai\,καί,conjunction,dh=rin,δῆρις,noun,o)fe/llois,ὀφέλλω,verb,kth/mas',κτῆμα,noun,e)p',ἐπί,preposition,a)llotri/ois,ἀλλότριος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soi\,σύ,pronoun,d',δέ,particle,ou)ke/ti,οὐκέτι,adverb,deu/teron,δεύτερος,adjective,e)/stai,εἰμί,verb,w(=d',ὧδε,adverb,e)/rdein,ἔρδω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,au)=qi,αὖθι,adverb,diakrinw/meqa,διακρίνω,verb,nei=kos,νεῖκος,noun,i)qei/h|si,εὐθύς,adjective,di/kh|s,δίκη,adjective,ai(/,ὅς,pronoun,t',τε,particle,e)k,ἐκ,preposition,*dio/s,Ζεύς,proper,ei)sin,εἰμί,verb,a)/ristai,ἄριστος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)/dh,ἤδη,adverb,me\n,μέν,particle,ga\r,γάρ,particle,klh=ron,κλῆρος,adjective,e)dassa/meq',δατέομαι,verb,a)lla\,ἀλλά,adverb,ta\,ὁ,article,polla\,πολύς,adjective,a(rpa/zwn,ἁρπάζω,verb,e)fo/reis,ἐφοράω,verb,me/ga,μέγας,adverb,kudai/nwn,κυδαίνω,verb,basilh=as,βασιλεύς,noun,dwrofa/gous,δωροφάγος,adjective,oi(\,ἕ,pronoun,th/nde,ὅδε,pronoun,di/khn,δίκη,adjective,e)qe/lousi,ἐθέλω,verb,di/kassai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nh/pioi,νήπιος,adjective,ou)de\,οὐδέ,particle,i)/sasin,οἶδα,verb,o(/sw|,ὅσος,adjective,ple/on,πλέος,adjective,h(/misu,ἥμισυς,adjective,panto\s,πᾶς,adjective,ou)d',οὐδέ,particle,o(/son,ὅσος,adjective,e)n,ἐν,preposition,mala/xh|,μαλάχη,adjective,te,τε,particle,kai\,καί,conjunction,a)sfode/lw|,ἀσφόδελος,noun,me/g',μέγας,adverb,o)/neiar,ὄνειαρ,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kru/yantes,κρύπτω,verb,ga\r,γάρ,particle,e)/xousi,ἔχω,verb,qeoi\,θεός,noun,bi/on,βίος,adjective,a)nqrw/poisin,ἄνθρωπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r(hidi/ws,ῥᾴδιος,adjective,ga/r,γάρ,particle,ken,ἄν,particle,kai\,καί,conjunction,e)p',ἐπί,preposition,h)/mati,ἦμαρ,noun,e)rga/ssaio,ἐργάζομαι,verb,w(/ste,ὥστε,conjunction,se,σύ,pronoun,kei)s,εἰς,preposition,e)niauto\n,ἐνιαυτός,noun,e)/xein,ἔχω,verb,kai\,καί,conjunction,a)ergo\n,ἀεργός,adjective,e)o/nta,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai)=ya/,αἶψα,adverb,ke,ἄν,particle,phda/lion,πηδάλιον,adjective,me\n,μέν,particle,u(pe\r,ὑπέρ,preposition,kapnou=,καπνός,noun,kataqei=o,καταθέω,verb,e)/rga,ἔργον,noun,bow=n,βόα,noun,d',δέ,particle,a)po/loito,ἀπόλλυμι,verb,kai\,καί,conjunction,h(mio/nwn,ἡμίονος,noun,talaergw=n,ταλαεργός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,*zeu\s,Ζεύς,proper,e)/kruye,κρύπτω,verb,xolwsa/menos,χολόομαι,verb,fresi\n,φρήν,noun,h(=|sin,ἵημι,verb,o(/tti,ὅστις,pronoun,min,μιν,pronoun,e)capa/thse,ἐξαπατάω,verb,*promhqeu\s,Προμηθεύς,proper,a)gkulomh/ths,ἀγκυλομήτης,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou)/nek',τούνεκα,adverb,a)/r',ἄρα,particle,a)nqrw/poisin,ἄνθρωπος,noun,e)mh/sato,μήδομαι,verb,kh/dea,κῆδος,noun,lugra/,λυγρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kru/ye,κρύπτω,verb,de\,δέ,particle,pu=r,πῦρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,me\n,μέν,particle,au)=tis,αὖθις,adverb,e)u\s,ἐύς,adjective,pa/is,παῖς,adjective,*)iapetoi=o,Ἰαπετός,proper,e)/kley',ἐκλέπω,verb,a)nqrw/poisi,ἄνθρωπος,noun,*dio\s,Ζεύς,proper,pa/ra,παρά,preposition,mhtio/entos,μητιόεις,adjective,e)n,ἐν,preposition,koi\+lw|,κόιλος,adjective,na/rqhki,νάρθηξ,noun,laqw\n,λανθάνω,verb,*di/a,Δίη,proper,terpike/raunon,τερπικέραυνος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\n,ὁ,article,de\,δέ,particle,xolwsa/menos,χολόομαι,verb,prose/fh,πρόσφημι,verb,nefelhgere/ta,νεφεληγερέτα,adjective,*zeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)iapetioni/dh,,,pa/ntwn,πᾶς,adjective,pe/ri,περί,preposition,mh/dea,μῆδος,noun,ei)dw/s,οἶδα,verb,xai/reis,χαίρω,verb,pu=r,πῦρ,noun,kle/yas,κλέπτω,verb,kai\,καί,conjunction,e)ma\s,ἐμός,adjective,fre/nas,φρήν,noun,h)peropeu/sas,ἠπεροπεύω,verb,soi/,σύ,pronoun,t',τε,particle,au)tw=|,αὐτός,pronoun,me/ga,μέγας,adverb,ph=ma,πῆμα,adjective,kai\,καί,conjunction,a)ndra/sin,ἀνήρ,noun,e)ssome/noisin,ἔσσομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toi=s,ὁ,article,d',δέ,particle,e)gw\,ἐγώ,pronoun,a)nti\,ἀντί,preposition,puro\s,πῦρ,noun,dw/sw,δίδωμι,verb,kako/n,κακός,adjective,w(=|,ὅς,pronoun,ken,ἄν,particle,a(/pantes,ἅπας,adjective,te/rpwntai,τέρπω,verb,kata\,κατά,preposition,qumo\n,θυμός,noun,e(o\n,ἑός,adjective,kako\n,κακός,adjective,a)mfagapw=ntes,ἀμφαγαπάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(\s,ὅς,pronoun,e)/fat',φημί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)k,ἐκ,preposition,d',δέ,particle,e)ge/lasse,γελάω,verb,path\r,πατήρ,noun,a)ndrw=n,ἀνήρ,noun,te,τε,particle,qew=n,θέα,noun,te,τε,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(/hfaiston,Ἥφαιστος,proper,d',δέ,particle,e)ke/leuse,κελεύω,verb,perikluto\n,περικλυτός,adjective,o(/tti,ὅστις,pronoun,ta/xista,τάχιστος,adjective,gai=an,γαῖα,noun,u(/dei,ὕδωρ,noun,fu/rein,φύρω,verb,e)n,ἐν,preposition,d',δέ,particle,a)nqrw/pou,ἄνθρωπος,noun,qe/men,τίθημι,verb,au)dh\n,αὐδή,noun,kai\,καί,conjunction,sqe/nos,σθένος,noun,a)qana/th|s,ἀθάνατος,adjective,de\,δέ,particle,qeh=|s,θεά,noun,ei)s,εἰς,preposition,w)=pa,ὤψ,noun,e)i/skein,ἐίσκω,verb,parqenikh=s,παρθενική,noun,kalo\n,καλός,noun,ei)=dos,εἶδος,noun,e)ph/raton,ἐπήρατος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)ta\r,ἀτάρ,particle,*)aqh/nhn,Ἀθήνη,proper,e)/rga,ἔργον,noun,didaskh=sai,διδάσκω,verb,poludai/dalon,πολυδαίδαλος,adjective,i(sto\n,ἱστός,noun,u(fai/nein,ὑφαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
