word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS
kai\,καί,conjunction,sune/xairon,συγχαίρω,verb,dh\,δή,particle,th=|,ὁ,article,po/lei,πόλις,adjective,me\n,μέν,particle,tw=n,ὁ,article,prosgegono/twn,προσγίγνομαι,verb,e)mautw=|,ἐμαυτοῦ,pronoun,de\,δέ,particle,w(s,ὡς,conjunction,h)ciw/qhn,ἀξιόω,verb,proakou=sai,προακούω,verb,dh=lon,δῆλος,adjective,o(/ti,ὅστις,pronoun,w(s,ὡς,conjunction,ou)deno\s,οὐδείς,pronoun,h(=tton,ἥσσων,adverb,e)moi\,ἐγώ,pronoun,th=s,ὁ,article,po/lews,πόλις,adjective,prosh=kon,προσήκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta\,μετά,preposition,de\,δέ,particle,tou=to,οὗτος,pronoun,e)logizo/mhn,λογίζομαι,verb,w(s,ὡς,conjunction,to\,ὁ,article,me\n,μέν,particle,xai/rein,χαίρω,verb,koino\n,κοινός,adjective,a(pa/ntwn,ἅπας,adjective,kai\,καί,conjunction,a)ndrw=n,ἀνήρ,noun,kai\,καί,conjunction,paidari/wn,παιδάριον,noun,kai\,καί,conjunction,gunaikw=n,γυνή,noun,a(/te,ἅτε,adverb,th=s,ὁ,article,o)/yews,ὄψις,noun,procenou/shs,προξενέω,verb,th\n,ὁ,article,h(donh\n,ἡδονά,noun,lo/gw|,λόγος,noun,de\,δέ,particle,e)pikosmh=sai,ἐπικοσμέω,verb,th\n,ὁ,article,tw=n,ὁ,article,*numfw=n,Νύμφης,proper,do/sin,δόσις,noun,ta/xa,τάχα,adjective,a)/n,ἄν,particle,tinos,τις,pronoun,ei)/h,ἀίω,verb,tw=n,ὁ,article,peri\,περί,preposition,to\n,ὁ,article,*paia=na,Παιάν,proper,diatriya/ntwn,διατρίβω,verb,kai\,καί,conjunction,tw=n,ὁ,article,e)pitaxqe/ntwn,ἐπιτάσσω,verb,tw=n,ὁ,article,e)n,ἐν,preposition,lo/gois,λόγος,noun,,,,,,,,,
a)nemimnhsko/mhn,ἀναμιμνήσκω,verb,de\,δέ,particle,tw=n,ὁ,article,poihtw=n,ποιητής,noun,o(/ti,ὅστις,pronoun,*nu/mfas,Νύμφης,proper,kai\,καί,conjunction,*mou/sas,Μοῦσα,proper,a)ei/,ἀεί,adverb,pws,πως,particle,suna/gousi,συνάγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,to\n,ὁ,article,*(ermh=n,Ἑρμῆς,proper,w(s,ὡς,conjunction,xorhgo\n,χορηγός,noun,a)ei\,ἀεί,adverb,prosagoreu/ousi,προσαγορεύω,verb,tw=n,ὁ,article,*numfw=n,Νύμφης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,pa/lin,πάλιν,adverb,ge,γε,particle,*)apo/llwna,Ἀπόλλων,proper,xorhgo\n,χορηγός,noun,*mousw=n,Μοῦσα,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,d',δέ,particle,au)to\s,αὐτός,pronoun,ou(=tos,οὗτος,pronoun,u(mi=n,σύ,pronoun,qeo\s,θεός,noun,kallite/knou,καλλίτεκνος,adjective,proshgori/an,προσηγορία,noun,ei)=xe,ἔχω,verb,tou=,ὁ,article,patro\s,πατήρ,noun,e(/neka,ἕνεκα,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(pantaxh=,ἀντιαχέω,verb,dh\,δή,particle,pre/pon,πρέπω,verb,te,τε,particle,kai\,καί,conjunction,ou)k,οὐ,adverb,a)/wron,ἄωρος,adjective,e)fai/neto,φαίνω,verb,th=|,ὁ,article,tw=n,ὁ,article,*numfw=n,Νύμφης,proper,xa/riti,χάρις,noun,sugkera/sai,συγκεράννυμι,verb,th\n,ὁ,article,para\,παρά,preposition,th=s,ὁ,article,mousikh=s,μουσική,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa=si,πᾶς,adjective,ga\r,γάρ,particle,a)\n,ἄν,particle,prosh/konta,προσήκω,verb,pra/ttein,πράσσω,verb,oi(=s,ὅς,pronoun,ei)=pon,εἶπον,verb,qeoi=s,θεός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,d',δέ,particle,w(s,ὡς,conjunction,e)/oike,ἔοικα,verb,ta\,ὁ,article,ka/llista,κάλλιστα,adverb,e)do/qh,δίδωμι,verb,th=|,ὁ,article,po/lei,πόλις,adjective,kai\,καί,conjunction,para\,παρά,preposition,qew=n,θέα,noun,kai\,καί,conjunction,para\,παρά,preposition,a)nqrw/pwn,ἄνθρωπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=to,οὗτος,pronoun,moi,ἐγώ,pronoun,presbu/tatoi,πρέσβυς,noun,daimo/nwn,δαίμων,adjective,e)ntau=qa,ἐνταῦθα,adverb,le/gontai,λέγω,verb,gene/sqai,γίγνομαι,verb,*ka/beiroi,Κάβειροι,proper,kai\,καί,conjunction,teletai\,τελετή,noun,tou/tois,οὗτος,pronoun,kai\,καί,conjunction,musth/ria,μυστήριον,noun,a(\,ὅς,pronoun,tosau/thn,τοσοῦτος,adjective,i)sxu\n,ἰσχύς,noun,e)/xein,ἔχω,verb,pepi/steutai,πιστεύω,verb,w(/ste,ὥστε,conjunction,xeimw/nwn,χειμών,noun,te,τε,particle,e)caisi/wn,ἐξαίσιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
