word/0/@_form,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/0/lemma/@_entry,word/0/lemma/@_POS,word/6/lemma/@_entry,word/6/lemma/@_POS,word/37/lemma/@_entry,word/37/lemma/@_POS,word/49/lemma/@_entry,word/49/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/64/lemma/@_entry,word/64/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/78/lemma/@_entry,word/78/lemma/@_POS,word/99/lemma/@_entry,word/99/lemma/@_POS,word/87/lemma/@_entry,word/87/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS,word/122/@_form,word/123/@_form,word/123/lemma/@_entry,word/123/lemma/@_POS,word/124/@_form,word/124/lemma/@_entry,word/124/lemma/@_POS,word/125/@_form,word/125/lemma/@_entry,word/125/lemma/@_POS,word/126/@_form,word/126/lemma/@_entry,word/126/lemma/@_POS,word/122/lemma/@_entry,word/122/lemma/@_POS,word/127/@_form,word/127/lemma/@_entry,word/127/lemma/@_POS,word/128/@_form,word/128/lemma/@_entry,word/128/lemma/@_POS,word/129/@_form,word/130/@_form,word/130/lemma/@_entry,word/130/lemma/@_POS,word/131/@_form,word/131/lemma/@_entry,word/131/lemma/@_POS,word/132/@_form,word/132/lemma/@_entry,word/132/lemma/@_POS,word/133/@_form,word/133/lemma/@_entry,word/133/lemma/@_POS,word/134/@_form,word/134/lemma/@_entry,word/134/lemma/@_POS
e)pei\,de\,δέ,particle,kai\,καί,conjunction,*ko/intos,Κόϊντος,proper,*)/arrios,,,a)nh\r,ἀνήρ,noun,strathgiko/s,a)psh/ggelle,,,tou\s,ὁ,article,e)n,ἐν,preposition,*turrhni/a|,Τυρρήνιος,proper,kataloxismou/s,καταλοχισμός,noun,kai\,καί,conjunction,*ma/llios,Μάλλιος,proper,a)phgge/lleto,ἀπαγγέλλω,verb,su\n,σύν,preposition,xeiri\,χείρ,noun,mega/lh|,μέγας,adverb,peri\,περί,preposition,ta\s,ὁ,article,po/leis,πόλις,adjective,e)kei/nas,ἐκεῖνος,pronoun,ai)wrou/menos,αἰωρέω,verb,a)ei/,ἀεί,adverb,ti,τις,pronoun,prosdoka=n,προσδοκάω,verb,kaino\n,καινός,adjective,a)po\,ἀπό,preposition,th=s,ὁ,article,*(rw/mhs,,,gi/netai,γίγνομαι,verb,do/gma,δόγμα,noun,th=s,ὁ,article,boulh=s,βουλεύς,noun,parakatati/qesqai,παρακατατίθεμαι,verb,toi=s,ὁ,article,u(pa/tois,ὕπατος,adjective,ta\,pra/gmata,πρᾶγμα,noun,decame/nous,δέχομαι,verb,d',δέ,particle,e)kei/nous,ἐκεῖνος,pronoun,w(s,ὡς,conjunction,e)pi/stantai,ἐφίστημι,verb,dioikei=n,διοικέω,verb,kai\,καί,conjunction,sw/|zein,σώζω,verb,th\n,ὁ,article,po/lin,πόλις,adjective,,,,,,,,ἐπεί,conjunction,στρατηγικός,adjective,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=to,d',δέ,particle,ou),οὐ,adverb,polla/kis,πολλάκις,adverb,a)ll',ἀλλά,adverb,o(/tan,ὅταν,conjunction,ti,me/ga,μέγας,adverb,dei/sh|,δείδω,verb,poiei=n,ποιέω,verb,ei)/wqen,ἔθω,verb,h(,ὁ,article,su/gklhtos,σύγκλητος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὗτος,pronoun,τις,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pei\,de\,δέ,particle,tau/thn,οὗτος,pronoun,labw\n,λαμβάνω,verb,th\n,ὁ,article,e)cousi/an,ἐξουσία,noun,o(,*kike/rwni,,,ta\,ὁ,article,me\n,μέν,particle,e)/cw,ἔξω,adverb,pra/gmata,πρᾶγμα,noun,*koi/+ntw|,Κόϊντος,proper,*mete/llw|,Μέτελλος,proper,diepi/steuse,διαπιστεύω,verb,th\n,ὁ,article,de\,δέ,particle,po/lin,πόλις,adjective,ei)=xe,ἔχω,verb,dia\,διά,preposition,xeiro\s,χείρ,noun,kai\,καί,conjunction,kaq',κατά,preposition,h(me/ran,ἡμέρα,noun,proh/|ei,πρόειμι,verb,doruforou/menos,δορυφορέω,verb,u(p',ὑπό,preposition,a)ndrw=n,ἀνήρ,noun,tosou/twn,τοσοῦτος,adjective,to\,ὁ,article,plh=qos,πλῆθος,noun,w(/ste,ὥστε,conjunction,th=s,ὁ,article,a)gora=s,ἀγορά,noun,polu\,πολύς,adjective,me/ros,μέρος,noun,kate/xein,κατέχω,verb,e)mba/llontos,au)tou=,αὐτός,pronoun,tou\s,ὁ,article,parape/mpontas,παραπέμπω,verb,ou)ke/ti,οὐκέτι,adverb,karterw=n,καρτερός,adjective,th\n,ὁ,article,me/llhsin,μέλλησις,noun,o(,ὁ,article,*katili/nas,,,au)to\s,αὐτός,pronoun,me\n,μέν,particle,e)kphda=n,e)/gnw,γιγνώσκω,verb,pro\s,πρός,preposition,ἐπεί,conjunction,ὁ,article,ἐμβάλλω,verb,ἐκπηδάω,verb,to\n,ὁ,article,*ma/llion,Μάλλιος,proper,e)pi\,ἐπί,preposition,to\,ὁ,article,stra/teuma,στράτευμα,adjective,*ma/rkion,Μάρκιος,proper,de\,δέ,particle,kai\,καί,conjunction,*ke/qhgon,,,e)ke/leuse,κελεύω,verb,ci/fh,ξίφος,noun,labo/ntas,λαμβάνω,verb,e)lqei=n,e)pi\,ἐπί,preposition,ta\s,ὁ,article,qu/ras,θύρα,noun,e(/wqen,ἕωθεν,adverb,w(s,ὡς,conjunction,ἔρχομαι,verb,a)spasome/nous,ἀσπάζομαι,verb,to\n,ὁ,article,*kike/rwna,,,kai\,καί,conjunction,diaxrh/sasqai,διαχράομαι,verb,prospeso/ntas,προσπίτνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=to,*foulbi/a,,,gunh\,γυνή,noun,tw=n,ὁ,article,e)pifanw=n,ἐπιφαίνω,verb,e)cagge/llei,ἐξαγγέλλω,verb,tw=|,*kike/rwni,,,nukto\s,νύξ,adjective,e)lqou=sa,ἔρχομαι,verb,kai\,καί,conjunction,diakeleusame/nh,διακελεύομαι,verb,fula/ttesqai,φυλάσσω,verb,tou\s,ὁ,article,peri\,περί,preposition,to\n,ὁ,article,*ke/qhgon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὗτος,pronoun,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,d',δέ,particle,h(=kon,ἥκω,verb,a(/m',ἅμα,adverb,h(me/ra|,ἡμέρα,noun,kai\,καί,conjunction,kwluqe/ntes,ei)selqei=n,εἰσέρχομαι,verb,h)gana/ktoun,ἀγανακτέω,verb,kai\,καί,conjunction,katebo/wn,καταβοάω,verb,e)pi\,ἐπί,preposition,qu/rais,θύρα,noun,w(/ste,ὥστε,conjunction,u(popto/teroi,ὕποπτος,adjective,gene/sqai,γίγνομαι,verb,proelqw\n,προέρχομαι,verb,d',δέ,particle,o(,ὁ,article,*kike/rwn,,,e)ka/lei,καλέω,verb,th\n,ὁ,article,su/gklhton,σύγκλητος,adjective,ei)s,εἰς,preposition,to\,ὁ,article,tou=,ὁ,article,*sthsi/ou,στήσιος,noun,*dio\s,Ζεύς,proper,i(ero/n,ἱερόν,noun,o(\n,ὅς,pronoun,*sta/tora,στάτωρ,noun,*(rwmai=oi,,,kalou=sin,καλέω,verb,i(drume/non,ἱδρύω,verb,e)n,ἐν,preposition,a)rxh=|,ἀρχή,noun,th=s,ὁ,article,i(era=s,o(dou=,ὁδός,adjective,pro\s,πρός,preposition,to\,ὁ,article,*pala/tion,Παλάτιον,proper,a)nio/ntwn,ἄνειμι,verb,e)ntau=qa,ἐνταῦθα,adverb,kai\,καί,conjunction,tou=,ὁ,article,*katili/na,,,meta\,μετά,preposition,tw=n,ὁ,article,a)/llwn,e)lqo/ntos,ἔρχομαι,verb,w(s,ὡς,conjunction,ἕ,pronoun,κωλύω,verb,ἱερεύς,adjective,ἄλλος,adjective,a)pologhsome/nou,ἀπολογέομαι,verb,sugkaqi/sai,συγκαθίζω,verb,me\n,μέν,particle,ou)dei\s,οὐδείς,pronoun,u(pe/meine,ὑπομένω,verb,tw=n,ὁ,article,sugklhtikw=n,συγκλητικός,adjective,a)lla\,ἀλλά,adverb,pa/ntes,πᾶς,adjective,a)po\,ἀπό,preposition,tou=,ὁ,article,ba/qrou,βάθρον,noun,meth=lqon,,,,,,,,,,,,,,,,μετέρχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)rca/menos,de\,δέ,particle,le/gein,λέγω,verb,e)qorubei=to,θορυβέω,verb,kai\,καί,conjunction,te/los,τέλος,noun,a)nasta\s,o(,ὁ,article,*kike/rwn,,,prose/tacen,προστάσσω,verb,au)tw=|,αὐτός,pronoun,th=s,ὁ,article,po/lews,πόλις,adjective,a)palla/ttesqai,ἀπαλλάσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἄρχω,verb,ἀνίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dei=n,ga\r,γάρ,particle,au)tou=,αὐτός,pronoun,me\n,μέν,particle,lo/gois,λόγος,noun,e)kei/nou,ἐκεῖνος,pronoun,d',o(/plois,ὅπλον,noun,politeuome/nou,πολιτεύω,verb,me/son,μέσος,adjective,ei)=nai,εἰμί,verb,to\,ὁ,article,tei=xos,τεῖχος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δέω,verb,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,me\n,μέν,particle,ou)=n,οὖν,particle,*katili/nas,,,eu)qu\s,εὐθύς,adverb,e)celqw\n,ἐξέρχομαι,verb,meta\,triakosi/wn,τριακόσιοι,adjective,o(plofo/rwn,ὁπλοφόρος,adjective,kai\,καί,conjunction,peristhsa/menos,περιίστημι,verb,au(tw=|,ἑαυτοῦ,pronoun,r(abdouxi/as,ῥαβδουχία,noun,w(s,ὡς,conjunction,a)/rxonti,ἄρχων,noun,kai\,καί,conjunction,pele/keis,πέλεκυς,adjective,kai\,καί,conjunction,shmai/as,σημαία,adjective,e)para/menos,ἐπαίρω,verb,pro\s,πρός,preposition,to\n,ὁ,article,*ma/llion,Μάλλιος,proper,e)xw/rei,χωρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,μετά,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,dismuri/wn,δισμύριοι,adjective,o(mou=,ὁμοῦ,adverb,ti,τις,pronoun,sunhqroisme/nwn,συναθροίζω,verb,e)ph/|ei,ἔπειμι,verb,ta\s,po/leis,πόλις,adjective,a)napei/qwn,ἀναπείθω,verb,kai\,καί,conjunction,a)fista\s,ἀφίστημι,verb,w(/ste,ὥστε,conjunction,tou=,ὁ,article,pole/mou,πόλεμος,noun,fanerou=,φανερός,adjective,gegono/tos,γίγνομαι,verb,to\n,ὁ,article,*)antw/nion,Ἀντώνιος,proper,a)postalh=nai,ἀποσταλάω,verb,diamaxou/menon,διαμάχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou\s,d',δέ,particle,u(poleifqe/ntas,ὑπολείπω,verb,e)n,ἐν,preposition,th=|,ὁ,article,po/lei,πόλις,adjective,tw=n,diefqarme/nwn,διαφθείρω,verb,u(po\,ὑπό,preposition,tou=,ὁ,article,*katili/na,,,sunh=ge,συνάγω,verb,kai\,καί,conjunction,pareqa/rrune,παραθαρσύνω,verb,*kornh/lios,Κορνήλιος,proper,*le/ntlos,,,*sou/ras,,,e)pi/klhsin,ἐπίκλησις,noun,a)nh\r,ἀνήρ,noun,ge/nous,γένος,noun,me\n,μέν,particle,e)ndo/cou,ἔνδοξος,adjective,bebiwkw\s,βιόω,verb,de\,δέ,particle,fau/lws,φαῦλος,adjective,kai\,καί,conjunction,di',διά,preposition,a)se/lgeian,ἀσέλγεια,noun,e)celhlame/nos,ἐξελαύνω,verb,th=s,ὁ,article,boulh=s,βουλεύς,noun,pro/teron,πρότερος,adjective,to/te,τότε,adverb,de\,δέ,particle,strathgw=n,στρατηγός,noun,to\,ὁ,article,deu/teron,δεύτερος,adjective,w(s,e)/qos,ἔθος,noun,e)sti\,εἰμί,verb,toi=s,ὁ,article,e)c,ἐκ,preposition,u(parxh=s,ὑπαρχή,noun,a)naktwme/nois,ἀνακτάομαι,verb,to\,ὁ,article,bouleutiko\n,βουλευτικός,adjective,a)ci/wma,ἀξίωμα,noun,le/getai,λέγω,verb,de\,δέ,particle,kai\,th\n,ὁ,article,e)pi/klhsin,ἐπίκλησις,noun,ὁ,article,ὁ,article,ὡς,conjunction,καί,conjunction,au)tw=|,αὐτός,pronoun,gene/sqai,γίγνομαι,verb,to\n,ὁ,article,*sou/ran,,,e)c,ἐκ,preposition,ai)ti/as,αἰτία,noun,toiau/ths,τοιοῦτος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,toi=s,ὁ,article,kata\,κατά,preposition,*su/llan,συλλάω,verb,xro/nois,χρόνος,noun,tamieu/wn,ταμιεύω,verb,suxna\,tw=n,ὁ,article,dhmosi/wn,δημόσιος,adjective,xrhma/twn,χρῆμα,adjective,a)pw/lese,ἀπόλλυμι,verb,kai\,καί,conjunction,die/fqeiren,διαφθείρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐν,preposition,συχνός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
