word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS
a)ei\,ἀεί,adverb,de\,δέ,particle,tou=,ὁ,article,paro/ntos,πάρειμι,verb,a)xqhdw\n,ἀχθηδών,noun,kakou=,κακός,adjective,tru/sei,τρύω,verb,s',σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,lwfh/swn,λωφάω,verb,ga\r,γάρ,particle,ou),οὐ,adverb,pe/fuke/,φύω,verb,pw,πω,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toiau=t',τοιοῦτος,adjective,e)phu/rw,,,tou=,ὁ,article,filanqrw/pou,φιλάνθρωπος,adjective,tro/pou,τρόπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qeo\s,θεός,noun,qew=n,θέα,noun,ga\r,γάρ,particle,ou)x,οὐ,adverb,u(popth/sswn,ὑποπτήσσω,verb,xo/lon,χόλος,noun,brotoi=si,βροτός,noun,tima\s,τιμή,noun,w)/pasas,ὀπάζω,verb,pe/ra,πέρα,adjective,di/khs,δίκη,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)nq',ἀντί,preposition,w(=n,ὅς,pronoun,a)terph=,ἀτερπής,adverb,th/nde,ὅδε,pronoun,frourh/seis,φρουρέω,verb,pe/tran,πέτρα,noun,o)rqosta/dhn,ὀρθοστάδην,adverb,a)/upnos,ἄυπνος,adjective,ou),οὐ,adverb,ka/mptwn,κάμπτω,verb,go/nu,γόνυ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pollou\s,πολύς,adjective,d',δέ,particle,o)durmou\s,ὀδυρμός,noun,kai\,καί,conjunction,go/ous,γόος,noun,a)nwfelei=s,ἀνωφελής,adverb,fqe/gch|,φθέγγομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*dio\s,Ζεύς,proper,ga\r,γάρ,particle,dusparai/thtoi,δυσπαραίτητος,adjective,fre/nes,φρήν,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(/pas,ἅπας,adjective,de\,δέ,particle,traxu\s,τραχύς,adjective,o(/stis,ὅστις,pronoun,a)\n,ἄν,particle,ne/on,νέος,adjective,krath=|,κρατέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=en,εἰμί,verb,ti/,τίς,pronoun,me/lleis,μέλλω,verb,kai\,καί,conjunction,katoikti/zh|,κατοικτίζω,verb,ma/thn,μάτην,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,to\n,ὁ,article,qeoi=s,θεός,noun,e)/xqiston,ἔχθιστος,adjective,ou),οὐ,adverb,stugei=s,στυγέω,verb,qeo/n,θεός,noun,o(/stis,ὅστις,pronoun,to\,ὁ,article,so\n,σός,adjective,qnhtoi=si,θνητός,adjective,prou)/dwken,προδίδωμι,verb,ge/ras,γέρας,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,suggene/s,συγγενής,adverb,toi,σύ,pronoun,deino\n,δεινός,adjective,h(/,ὅς,pronoun,q',τε,particle,o(mili/a,ὁμιλία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)nhkoustei=n,ἀνηκουστέω,verb,de\,δέ,particle,tw=n,ὁ,article,patro\s,πατήρ,noun,lo/gwn,λόγος,noun,oi(=o/n,οἷος,adjective,te,τε,particle,pw=s,πῶς,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,tou=to,οὗτος,pronoun,deimai/neis,δειμαίνω,verb,ple/on,πλέος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai)ei/,ἀεί,adverb,ge,γε,particle,dh\,δή,particle,nhlh\s,νηλής,adverb,su\,σύ,pronoun,kai\,καί,conjunction,qra/sous,θράσος,adjective,ple/ws,πλέος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/kos,ἄκος,noun,ga\r,γάρ,particle,ou)de\n,οὐδείς,pronoun,to/nde,ὅδε,pronoun,qrhnei=sqai,θρηνέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
su\,σύ,pronoun,de\,δέ,particle,ta\,ὁ,article,mhde\n,μηδείς,pronoun,w)felou=nta,ὠφελέω,verb,mh\,μή,conjunction,po/nei,πονέω,verb,ma/thn,μάτην,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,polla\,πολύς,adjective,mishqei=sa,μισέω,verb,xeirwnaci/a,χειρωναξία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,nin,νιν,pronoun,stugei=s,στυγέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po/nwn,πόνος,noun,ga\r,γάρ,particle,w(s,ὡς,conjunction,a(plw=|,ἁπλόος,adjective,lo/gw|,λόγος,noun,tw=n,ὁ,article,nu=n,νῦν,adverb,paro/ntwn,πάρειμι,verb,ou)de\n,οὐδείς,pronoun,ai)ti/a,αἰτία,noun,te/xnh,τέχνη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/mpas,ἔμπας,adverb,tis,τις,pronoun,au)th\n,αὐτός,pronoun,a)/llos,ἄλλος,adjective,w)/felen,ὀφείλω,verb,laxei=n,λαγχάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(/pant',ἅπας,adjective,e)paxqh=,ἐπαχθής,adverb,plh\n,πλήν,preposition,qeoi=si,θεός,noun,koiranei=n,κοιρανέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)leu/qeros,ἐλεύθερος,adjective,ga\r,γάρ,particle,ou)/tis,οὔτις,pronoun,e)sti\,εἰμί,verb,plh\n,πλήν,preposition,*dio/s,Ζεύς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/gnwka,γιγνώσκω,verb,toi=sde,ὅδε,pronoun,kou)de\n,οὐδείς,pronoun,a)nteipei=n,ἀντεῖπον,verb,e)/xw,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/koun,οὔκουν,adverb,e)pei/ch|,ἐπείγω,verb,tw=|de,ὅδε,pronoun,desma\,δεσμός,noun,peribalei=n,περιβάλλω,verb,w(s,ὡς,conjunction,mh/,μή,conjunction,s',σύ,pronoun,e)linu/onta,ἐλινύω,verb,prosderxqh=|,προσδέρκομαι,verb,path/r,πατήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,dh\,δή,particle,pro/xeira,πρόχειρος,adjective,ya/lia,ψάλιον,noun,de/rkesqai,δέρκομαι,verb,pa/ra,παρά,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balw/n,βάλλω,verb,nin,νιν,pronoun,a)mfi\,ἀμφί,preposition,xersi\n,χείρ,noun,e)gkratei=,ἐγκρατής,adjective,sqe/nei,σθένος,noun,r(aisth=ri,ῥαιστήρ,noun,qei=ne,θείνω,verb,passa/leue,πασσαλεύω,verb,pro\s,πρός,preposition,pe/trais,πέτρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perai/netai,περαίνω,verb,dh\,δή,particle,kou),οὐ,adverb,mata=|,ματάω,verb,tou)/rgon,ἔργον,noun,to/de,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/rasse,ἀράσσω,verb,ma=llon,μᾶλλον,adverb,sfi/gge,σφίγγω,verb,mhdamh=|,μηδαμῇ,adverb,xa/la,χαλάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deino\s,δεινός,adjective,ga\r,γάρ,particle,eu(rei=n,εὑρίσκω,verb,ka)c,ἐκ,preposition,a)mhxa/nwn,ἀμήχανος,adjective,po/ron,πόρος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/raren,ἀραρίσκω,verb,h(/de,ὅδε,pronoun,g',γε,particle,w)le/nh,ὠλένη,noun,duseklu/tws,δυσέκλυτος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,th/nde,ὅδε,pronoun,nu=n,νῦν,adverb,po/rpason,πορπάω,verb,a)sfalw=s,ἀσφαλής,adjective,i(/na,ἵνα,conjunction,ma/qh|,μανθάνω,verb,sofisth\s,σοφιστής,noun,w)\n,εἰμί,verb,*dio\s,Ζεύς,proper,nwqe/steros,νωθής,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plh\n,πλήν,preposition,tou=d',ὅδε,pronoun,a)\n,ἄν,particle,ou)dei\s,οὐδείς,pronoun,e)ndi/kws,ἔνδικος,adjective,me/myaito/,μέμφομαι,verb,moi,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)damanti/nou,ἀδαμάντινος,adjective,nu=n,νῦν,adverb,sfhno\s,σφήν,adjective,au)qa/dh,αὐθάδης,adverb,gna/qon,γνάθος,adjective,ste/rnwn,στέρνον,noun,diampa\c,διαμπάξ,adverb,passa/leu',πασσαλεύω,verb,e)rrwme/nws,ἐρρωμένος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai)ai=,αἰαῖ,interjection,*promhqeu=,Προμηθεύς,proper,sw=n,σός,adjective,u(perste/nw,ὑπερστένω,verb,po/nwn,πόνος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
su\,σύ,pronoun,d',δέ,particle,au)=,αὖ,interjection,katoknei=s,κατοκνέω,verb,tw=n,ὁ,article,*dio/s,Ζεύς,proper,t',τε,particle,e)xqrw=n,ἐχθρός,adjective,u(/per,ὑπέρ,preposition,ste/neis,στένω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
