word/0/@_form,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/0/lemma/@_entry,word/0/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS
*diwrisme/nwn,de\,δέ,particle,tou/twn,οὗτος,pronoun,le/gwmen,λέγω,verb,meta\,μετά,preposition,tau=ta,οὗτος,pronoun,poi/an,ποῖος,adjective,tina\,τις,pronoun,dei=,δέομαι,verb,th\n,ὁ,article,su/stasin,σύστασις,noun,ei)=nai,εἰμί,verb,tw=n,ὁ,article,pragma/twn,πρᾶγμα,noun,e)peidh\,ἐπεί,conjunction,tou=to,οὗτος,pronoun,kai\,καί,conjunction,prw=ton,πρότερος,adjective,kai\,καί,conjunction,me/giston,μέγας,adverb,th=s,ὁ,article,tragw|di/as,τραγῳδία,noun,e)sti/n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,διορίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*kei=tai,d',δέ,particle,h(mi=n,ἐγώ,pronoun,th\n,ὁ,article,tragw|di/an,τραγῳδία,noun,telei/as,τέλειος,adjective,kai\,καί,conjunction,o(/lhs,ὅλος,adjective,pra/cews,πρᾶξις,adjective,ei)=nai,εἰμί,verb,mi/mhsin,μίμησις,noun,e)xou/shs,ἔχω,verb,ti,τις,pronoun,me/geqos,μέγεθος,adjective,e)/sti,εἰμί,verb,ga\r,γάρ,particle,o(/lon,ὅλος,adjective,kai\,καί,conjunction,mhde\n,μηδείς,pronoun,e)/xon,ἔχω,verb,me/geqos,μέγεθος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,κέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(/olon,d',δέ,particle,e)sti\,εἰμί,verb,to\,ὁ,article,e)/xon,ἔχω,verb,a)rxh\n,ἀρχή,noun,kai\,καί,conjunction,me/son,μέσος,adjective,kai\,καί,conjunction,teleuth/n,τελευτή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὅλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)arxh\,d',δέ,particle,e)sti\n,εἰμί,verb,o(\,ὅς,pronoun,au)to\,αὐτός,pronoun,me\n,μέν,particle,mh\,μή,conjunction,e)c,ἐκ,preposition,a)na/gkhs,ἀνάγκη,noun,met',μετά,preposition,a)/llo,ἄλλος,adjective,e)sti/,εἰμί,verb,met',μετά,preposition,e)kei=no,ἐκεῖνος,pronoun,d',δέ,particle,e(/teron,ἕτερος,adjective,pe/fuken,φύω,verb,ei)=nai,εἰμί,verb,h)\,ἠέ,conjunction,gi/nesqai,γίγνομαι,verb,teleuth\,τελευτή,noun,de\,δέ,particle,tou)nanti/on,ἐναντίον,adverb,o(\,ὅς,pronoun,au)to\,αὐτός,pronoun,met',μετά,preposition,a)/llo,ἄλλος,adjective,pe/fuken,φύω,verb,ei)=nai,εἰμί,verb,h)\,ἠέ,conjunction,e)c,ἐκ,preposition,a)na/gkhs,ἀνάγκη,noun,h)\,ἠέ,conjunction,w(s,ὡς,conjunction,e)pi\,ἐπί,preposition,to\,ὁ,article,polu/,πολύς,adjective,meta\,μετά,preposition,de\,δέ,particle,tou=to,οὗτος,pronoun,a)/llo,ἄλλος,adjective,ou)de/n,οὐδείς,pronoun,me/son,μέσος,adjective,de\,δέ,particle,o(\,ὅς,pronoun,kai\,καί,conjunction,au)to\,αὐτός,pronoun,met',μετά,preposition,a)/llo,ἄλλος,adjective,kai\,καί,conjunction,met',μετά,preposition,e)kei=no,ἐκεῖνος,pronoun,ἀρχή,noun,e(/teron,ἕτερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*dei=,a)/ra,ἄρα,particle,tou\s,ὁ,article,sunestw=tas,συνίστημι,verb,eu)=,εὖ,adverb,mu/qous,μῦθος,noun,mh/q',μήτε,particle,o(po/qen,ὁπόθεν,adverb,e)/tuxen,τυγχάνω,verb,a)/rxesqai,ἄρχω,verb,mh/q',μήτε,particle,o(/pou,ὅπου,adverb,e)/tuxe,τυγχάνω,verb,teleuta=n,τελευτάω,verb,a)lla\,ἀλλά,adverb,kexrh=sqai,χράω,verb,tai=s,ὁ,article,ei)rhme/nais,ἐρῶ,verb,i)de/ais,ἰδέα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)/eti,d',δέ,particle,e)pei\,ἐπεί,conjunction,to\,ὁ,article,kalo\n,καλός,noun,kai\,καί,conjunction,zw=|on,ζώιον,noun,kai\,καί,conjunction,a(/pan,ἅπας,adjective,pra=gma,πρᾶγμα,noun,o(\,ὅς,pronoun,sune/sthken,συνίστημι,verb,e)/k,ἐκ,preposition,tinwn,τις,pronoun,ou),οὐ,adverb,mo/non,μόνος,adjective,tau=ta,οὗτος,pronoun,tetagme/na,τάσσω,verb,dei=,δέομαι,verb,e)/xein,ἔχω,verb,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,me/geqos,μέγεθος,adjective,u(pa/rxein,ὑπάρχω,verb,mh\,μή,conjunction,to\,ὁ,article,tuxo/n,τυχόν,adverb,to\,ὁ,article,ga\r,γάρ,particle,kalo\n,καλός,noun,e)n,ἐν,preposition,mege/qei,μέγεθος,adjective,kai\,καί,conjunction,ta/cei,τάξις,noun,e)sti/,εἰμί,verb,dio\,διό,conjunction,ou)/te,οὔτε,adverb,pa/mmikron,πάμμικρος,adjective,a)/n,ἄν,particle,ti,τις,pronoun,ge/noito,γίγνομαι,verb,kalo\n,καλός,noun,zw=|on,ζώιον,noun,sugxei=tai,συγχέω,verb,ga\r,γάρ,particle,h(,ὁ,article,qewri/a,θεωρία,noun,e)ggu\s,ἐγγύς,adverb,tou=,ὁ,article,a)naisqh/tou,ἀναίσθητος,adjective,xro/nou,χρόνος,noun,ginome/nh),γίγνομαι,verb,ἔτι,adverb,ou)/te,οὔτε,adverb,pamme/geqes,παμμεγέθης,adjective,ou),οὐ,adverb,ga\r,γάρ,particle,a(/ma,ἅμα,adverb,h(,ὁ,article,qewri/a,θεωρία,noun,gi/netai,γίγνομαι,verb,a)ll',ἀλλά,adverb,oi)/xetai,οἴχομαι,verb,toi=s,ὁ,article,qewrou=si,θεωρέω,verb,to\,ὁ,article,e(\n,εἷς,adjective,kai\,καί,conjunction,to\,ὁ,article,o(/lon,ὅλος,adjective,e)k,ἐκ,preposition,th=s,ὁ,article,qewri/as,θεωρία,noun,oi(=on,οἷος,adjective,ei),εἰ,conjunction,muri/wn,μυρίος,adjective,stadi/wn,στάδιον,noun,ei)/h,ἀίω,verb,zw=|on,ζώιον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(/wste,dei=,δέομαι,verb,kaqa/per,καθά,adverb,e)pi\,ἐπί,preposition,tw=n,ὁ,article,swma/twn,σῶμα,adjective,kai\,καί,conjunction,e)pi\,ἐπί,preposition,tw=n,ὁ,article,zw/|wn,ζώιον,noun,e)/xein,ἔχω,verb,me\n,μέν,particle,me/geqos,μέγεθος,adjective,tou=to,οὗτος,pronoun,de\,δέ,particle,eu)su/nopton,εὐσύνοπτος,adjective,ei)=nai,εἰμί,verb,ou(/tw,οὕτως,adverb,kai\,καί,conjunction,e)pi\,ἐπί,preposition,tw=n,ὁ,article,mu/qwn,μῦθος,noun,e)/xein,ἔχω,verb,me\n,μέν,particle,mh=kos,μῆκος,adjective,tou=to,οὗτος,pronoun,d',δέ,particle,eu)mnhmo/neuton,εὐμνημόνευτος,adjective,ei)=nai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὥστε,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*tou=,de\,δέ,particle,mh/kous,μῆκος,adjective,o(/ros,ὅρος,adjective,pro\s,πρός,preposition,me\n,μέν,particle,tou\s,ὁ,article,a)gw=nas,ἀγών,noun,kai\,καί,conjunction,th\n,ὁ,article,ai)/sqhsin,αἴσθησις,noun,ou),οὐ,adverb,th=s,ὁ,article,te/xnhs,τέχνη,noun,e)sti/n,εἰμί,verb,ei),εἰ,conjunction,ga\r,γάρ,particle,e)/dei,δέω,verb,e(kato\n,ἑκατόν,noun,tragw|di/as,τραγῳδία,noun,a)gwni/zesqai,ἀγωνίζομαι,verb,pro\s,πρός,preposition,kleyu/dran,κλεψύδρα,noun,a)\n,ἄν,particle,h)gwni/zonto,ἀγωνίζομαι,verb,w(/sper,ὥσπερ,adverb,pote\,ποτέ,particle,kai\,καί,conjunction,a)/llote,ἄλλοτε,adverb,fasi/n,φημί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τίς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(o,de\,δέ,particle,kat',κατά,preposition,au)th\n,αὐτός,pronoun,th\n,ὁ,article,fu/sin,φύσις,noun,tou=,ὁ,article,pra/gmatos,πρᾶγμα,noun,o(/ros,ὅρος,adjective,a)ei\,ἀεί,adverb,me\n,μέν,particle,o(,ὁ,article,mei/zwn,μέγας,adverb,me/xri,μέχρι,preposition,tou=,ὁ,article,su/ndhlos,σύνδηλος,adjective,ei)=nai,εἰμί,verb,kalli/wn,κάλλος,noun,e)sti\,εἰμί,verb,kata\,κατά,preposition,to\,ὁ,article,me/geqos,μέγεθος,adjective,w(s,ὡς,conjunction,de\,δέ,particle,a(plw=s,ἁπλῶς,adverb,diori/santas,διορίζω,verb,ei)pei=n,εἶπον,verb,e)n,ἐν,preposition,o(/sw|,ὅσος,adjective,mege/qei,μέγεθος,adjective,kata\,κατά,preposition,to\,ὁ,article,ei)ko\s,ἔοικα,verb,h)\,ἠέ,conjunction,to\,ὁ,article,a)nagkai=on,ἀναγκαῖον,noun,e)fech=s,ἐφεξῆς,adverb,gignome/nwn,γίγνομαι,verb,sumbai/nei,συμβαίνω,verb,ei)s,εἰς,preposition,eu)tuxi/an,εὐτυχία,noun,e)k,ἐκ,preposition,dustuxi/as,δυστυχία,noun,h)\,ἠέ,conjunction,e)c,ἐκ,preposition,eu)tuxi/as,εὐτυχία,noun,ei)s,εἰς,preposition,dustuxi/an,δυστυχία,noun,metaba/llein,μεταβάλλω,verb,i(kano\s,ἱκανός,adjective,o(/ros,ὅρος,adjective,e)sti\,εἰμί,verb,ὁ,article,tou=,ὁ,article,mege/qous,μέγεθος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*mu=qos,d',δέ,particle,e)sti\n,εἰμί,verb,ei(=s,εἷς,adjective,ou)x,οὐ,adverb,w(/sper,ὥσπερ,adverb,tine\s,τις,pronoun,oi)/ontai,οἴομαι,verb,e)a\n,ἐάν,conjunction,peri\,περί,preposition,e(/na,ἕνος,adjective,h)=|,εἰμί,verb,polla\,πολύς,adjective,ga\r,γάρ,particle,kai\,καί,conjunction,a)/peira,ἄπειρος,adjective,tw=|,ὁ,article,ge/nei,γένος,noun,sumbai/nei,συμβαίνω,verb,e)c,ἐκ,preposition,w(=n,ὅς,pronoun,e)ni/wn,ἔνιοι,adjective,ou)de/n,οὐδείς,pronoun,e)stin,εἰμί,verb,e(/n,εἷς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μῦθος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ou(/tw,de\,δέ,particle,kai\,καί,conjunction,pra/ceis,πρᾶξις,adjective,e(no\s,εἷς,adjective,pollai/,πολύς,adjective,ei)sin,εἰμί,verb,e)c,ἐκ,preposition,w(=n,ὅς,pronoun,mi/a,εἷς,adjective,ou)demi/a,οὐδείς,pronoun,gi/netai,γίγνομαι,verb,pra=cis,πρᾶξις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὕτως,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*dio\,pa/ntes,πᾶς,adjective,e)oi/kasin,ἔοικα,verb,a(marta/nein,ἁμαρτάνω,verb,o(/soi,ὅσος,adjective,tw=n,ὁ,article,poihtw=n,ποιητής,noun,*(hraklhi/+da,,,kai\,καί,conjunction,qhshi/+da,,,kai\,καί,conjunction,ta\,ὁ,article,toiau=ta,τοιοῦτος,adjective,poih/mata,ποίημα,noun,pepoih/kasin,ποιέω,verb,oi)/ontai,οἴομαι,verb,ga\r,γάρ,particle,e)pei\,ἐπεί,conjunction,ei(=s,εἷς,adjective,h)=n,εἰμί,verb,o(,ὁ,article,*(hraklh=s,Ἡρακλέης,proper,e(/na,ἕνος,adjective,kai\,καί,conjunction,to\n,ὁ,article,mu=qon,μῦθος,noun,ei)=nai,εἰμί,verb,prosh/kein,προσήκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,διό,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(o,d',δέ,particle,*(/omhros,Ὅμηρος,proper,w(/sper,ὥσπερ,adverb,kai\,καί,conjunction,ta\,ὁ,article,a)/lla,ἄλλος,adjective,diafe/rei,διαφέρω,verb,kai\,καί,conjunction,tou=t',οὗτος,pronoun,e)/oike,ἔοικα,verb,kalw=s,καλός,noun,i)dei=n,εἶδον,verb,h)/toi,ἤτοι,particle,dia\,διά,preposition,te/xnhn,τέχνη,noun,h)\,ἠέ,conjunction,dia\,διά,preposition,fu/sin,φύσις,noun,*)odu/sseian,Ὀδύσσεια,proper,ga\r,γάρ,particle,poiw=n,ποιέω,verb,ou)k,οὐ,adverb,e)poi/hsen,ποιέω,verb,a(/panta,ἅπας,adjective,o(/sa,ὅσος,adjective,au)tw=|,αὐτός,pronoun,sune/bh,συμβαίνω,verb,oi)=on,οἶος,adjective,plhgh=nai,πλήσσω,verb,me\n,μέν,particle,e)n,ἐν,preposition,tw=|,ὁ,article,*parnassw=|,Παρνασσός,proper,manh=nai,μαίνομαι,verb,de\,δέ,particle,prospoih/sasqai,προσποιέω,verb,e)n,ἐν,preposition,tw=|,ὁ,article,a)germw=|,ἀγερμός,noun,w(=n,ὅς,pronoun,ou)de\n,οὐδείς,pronoun,qate/rou,ἕτερος,adjective,genome/nou,γίγνομαι,verb,a)nagkai=on,ἀναγκαῖος,adjective,h)=n,εἰμί,verb,h)\,ἠέ,conjunction,ei)ko\s,ἔοικα,verb,qa/teron,ἕτερος,adjective,gene/sqai,γίγνομαι,verb,a)lla\,ἀλλά,adverb,peri\,περί,preposition,ὁ,article,mi/an,εἷς,adjective,pra=cin,πρᾶξις,adjective,oi(/an,οἷος,adjective,le/gomen,λέγω,verb,th\n,ὁ,article,*)odu/sseian,Ὀδύσσεια,proper,sune/sthsen,συνίστημι,verb,o(moi/ws,ὅμοιος,adjective,de\,δέ,particle,kai\,καί,conjunction,th\n,ὁ,article,*)ilia/da,Ἰλιάς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*xrh\,ou)=n,οὖν,particle,kaqa/per,καθά,adverb,kai\,καί,conjunction,e)n,ἐν,preposition,tai=s,ὁ,article,a)/llais,ἄλλος,adjective,mimhtikai=s,μιμητικός,adjective,h(,ὁ,article,mi/a,εἷς,adjective,mi/mhsis,μίμησις,noun,e(no/s,εἷς,adjective,e)stin,εἰμί,verb,ou(/tw,οὕτως,adverb,kai\,καί,conjunction,to\n,ὁ,article,mu=qon,μῦθος,noun,e)pei\,ἐπεί,conjunction,pra/cews,πρᾶξις,adjective,mi/mhsi/s,μίμησις,noun,e)sti,εἰμί,verb,mia=s,εἷς,adjective,te,τε,particle,ei)=nai,εἰμί,verb,kai\,καί,conjunction,tau/ths,οὗτος,pronoun,o(/lhs,ὅλος,adjective,kai\,καί,conjunction,ta\,ὁ,article,me/rh,μέρα,noun,sunesta/nai,συνίστημι,verb,tw=n,ὁ,article,pragma/twn,πρᾶγμα,noun,ou(/tws,οὕτως,adverb,w(/ste,ὥστε,conjunction,metatiqeme/nou,μετατίθημι,verb,tino\s,τις,pronoun,me/rous,μέρος,noun,h)\,ἠέ,conjunction,a)fairoume/nou,ἀφαιρέω,verb,diafe/resqai,διαφέρω,verb,kai\,καί,conjunction,kinei=sqai,κινέω,verb,to\,ὁ,article,o(/lon,ὅλος,adjective,o(\,ὅς,pronoun,ga\r,γάρ,particle,proso\n,πρόσειμι,verb,h)\,ἠέ,conjunction,mh\,μή,conjunction,proso\n,πρόσειμι,verb,mhde\n,μηδείς,pronoun,χρή,verb,poiei=,ποιέω,verb,e)pi/dhlon,ἐπίδηλος,adjective,ou)de\,οὐδέ,particle,mo/rion,μόριον,noun,tou=,ὁ,article,o(/lou,ὅλος,adjective,e)sti/n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*fanero\n,de\,δέ,particle,e)k,ἐκ,preposition,tw=n,ὁ,article,ei)rhme/nwn,ἐρῶ,verb,kai\,καί,conjunction,o(/ti,ὅστις,pronoun,ou),οὐ,adverb,to\,ὁ,article,ta\,ὁ,article,geno/mena,γίγνομαι,verb,le/gein,λέγω,verb,tou=to,οὗτος,pronoun,poihtou=,ποιητής,noun,e)/rgon,ἔργον,noun,e)sti/n,εἰμί,verb,a)ll',ἀλλά,adverb,oi(=a,οἷος,adjective,a)\n,ἄν,particle,ge/noito,γίγνομαι,verb,kai\,καί,conjunction,ta\,ὁ,article,dunata\,δυνατός,adjective,kata\,κατά,preposition,to\,ὁ,article,ei)ko\s,ἔοικα,verb,h)\,ἠέ,conjunction,to\,ὁ,article,a)nagkai=on,ἀναγκαῖον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,φανερός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
