word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS
*)orfe/a,Ὀρφεύς,adverb,me\n,μέν,particle,dh\,δή,particle,toi=on,τοῖος,adjective,e(w=n,ἑός,adjective,e)parwgo\n,ἐπαρωγός,noun,a)e/qlwn,ἆθλον,noun,*ai)soni/dhs,,,*xei/rwnos,Χείρων,proper,e)fhmosu/nh|si,ἐφημοσύνη,noun,piqh/sas,πείθω,verb,de/cato,δέχομαι,verb,*pieri/h|,Πιερία,proper,*bistwni/di,,,koirane/onta,κοιρανέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)/luqe,ἔρχομαι,verb,d',δέ,particle,*)asteri/wn,Ἀστέριος,proper,au)tosxedo/n,αὐτοσχεδόν,adverb,o(/n,ὅς,pronoun,r(a,ἄρα,particle,*komh/ths,Κομήτης,proper,gei/nato,γείνομαι,verb,dinh/entos,δινήεις,adjective,e)f',ἐπί,preposition,u(/dasin,ὕδωρ,noun,*)apidanoi=o,Ἀπιδανός,proper,*peiresia\s,,,o)/reos,ὄρος,adjective,*fullhi/ou,,,a)gxo/qi,ἀγχόθι,adverb,nai/wn,ναίω,verb,e)/nqa,ἔνθα,adverb,me\n,μέν,particle,*)apidano/s,Ἀπιδανός,proper,te,τε,particle,me/gas,μέγας,adverb,kai\,καί,conjunction,di=os,δῖος,adjective,*)enipeu\s,Ἐνιπεύς,proper,a)/mfw,ἄμφω,noun,sumfore/ontai,συμφορέω,verb,a)po/proqen,ἀπόπροθε,adverb,ei)s,εἰς,preposition,e(\n,εἷς,adjective,i)o/ntes,εἶμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*la/risan,Λάρισα,proper,d',δέ,particle,e)pi\,ἐπί,preposition,toi=si,τίς,pronoun,lipw\n,λείπω,verb,*polu/fhmos,Πολύφημος,proper,i(/kanen,ἱκάνω,verb,*ei)lati/dhs,,,o(\s,ὅς,pronoun,pri\n,πρίν,adverb,me\n,μέν,particle,e)risqene/wn,ἐρισθενής,adjective,*lapiqa/wn,Λαπίθαι,proper,o(ppo/te,ὁπότε,adverb,*kentau/rois,Κένταυρος,proper,*lapi/qai,Λαπίθαι,proper,e)pi\,ἐπί,preposition,qwrh/ssonto,θωρήσσω,verb,o(plo/teros,ὁπλότερος,adjective,pole/mize,πολεμίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to/t',τότε,adverb,au)=,αὖ,interjection,baru/qeske/,βαρύθω,verb,oi(,ὁ,article,h)/dh,ἤδη,adverb,gui=a,γυῖον,noun,me/nen,μένω,verb,d',δέ,particle,e)/ti,ἔτι,adverb,qumo\s,θυμός,noun,a)rh/ios,ἄρειος,adjective,w(s,ὡς,conjunction,to\,ὁ,article,pa/ros,πάρος,preposition,per,πέρ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)de\,οὐδέ,particle,me\n,μέν,particle,*)/ifiklos,Ἴφικλος,proper,*fula/kh|,Φυλάκη,proper,e)/ni,ἐν,preposition,dhro\n,δηρός,adjective,e)/leipto,,,mh/trws,μήτρως,noun,*ai)soni/dao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kasignh/thn,κασιγνήτη,noun,ga\r,γάρ,particle,o)/puien,ὀπυίω,verb,*ai)/swn,Αἴσων,proper,*)alkime/dhn,Ἀλκιμέδη,proper,*fulakhi/da,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th=s,ὁ,article,min,μιν,pronoun,a)nw/gei,ἄνωγα,verb,phosu/nh,πηοσύνη,noun,kai\,καί,conjunction,kh=dos,κῆδος,noun,e)nikrinqh=nai,ἐγκρίνω,verb,o(mi/lw|,ὅμιλος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)de\,οὐδέ,particle,*ferai=s,Φεραί,proper,*)/admhtos,Ἄδμητος,proper,e)urrh/nessin,,,a)na/sswn,ἀνάσσω,verb,mi/mnen,μίμνω,verb,u(po\,ὑπό,preposition,skopih\n,σκοπιά,noun,o)/reos,ὄρος,adjective,*xalkwdoni/oio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)d',οὐδέ,particle,*)alo/ph|,Ἀλόπη,proper,mi/mnon,μίμνω,verb,polulh/ioi,πολυλήιος,adjective,*(ermei/ao,Ἑρμῆς,proper,ui(e/es,υἱός,noun,eu)=,εὖ,adverb,dedaw=te,δάω,verb,do/lous,δόλος,noun,*)/erutos,,,kai\,καί,conjunction,*)exi/wn,Ἔχιος,proper,toi=si,τίς,pronoun,d',δέ,particle,e)pi\,ἐπί,preposition,tri/tatos,τρίτατος,adjective,gnwto\s,γνωτός,adjective,ki/e,κίω,verb,nissome/noisin,νίσσομαι,verb,*ai)qali/dhs,Αἰθαλίδης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,to\n,ὁ,article,me\n,μέν,particle,e)p',ἐπί,preposition,*)amfrussoi=o,,,r(oh=|sin,ῥοή,noun,*murmido/nos,Μυρμιδών,proper,kou/rh,κόρη,noun,*fqia\s,φθιάς,adjective,te/ken,τίκτω,verb,*eu)pole/meia,εὐπολέμειον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw\,ὁ,article,d',δέ,particle,au)=t',αὖτε,adverb,e)kgega/thn,ἐκγίγνομαι,verb,*menethi/dos,,,*)antianei/rhs,Ἀντιάνειρα,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)/luqe,ἔρχομαι,verb,d',δέ,particle,a)fneih\n,ἀφνειός,adjective,prolipw\n,προλείπω,verb,*gurtw=na,,,*ko/rwnos,Κόρωνος,proper,*kainei/+dhs,Καινεΐδης,proper,e)sqlo\s,ἐσθλός,adjective,me/n,μέν,particle,e(ou=,ἑός,adjective,d',δέ,particle,ou),οὐ,adverb,patro\s,πατήρ,noun,a)mei/nwn,ἀμείνων,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*kaine/a,Καινεύς,proper,ga\r,γάρ,particle,zw=o/n,ζάω,verb,per,πέρ,particle,e)/ti,ἔτι,adverb,klei/ousin,κλέω,verb,a)oidoi\,ἀοιδός,noun,*kentau/roisin,Κένταυρος,proper,o)le/sqai,ὄλλυμι,verb,o(/te,ὅτε,conjunction,sfe/as,σφεῖς,pronoun,oi)=os,οἶος,adjective,a)p',ἀπό,preposition,a)/llwn,ἄλλος,adjective,h)/las',ἐλαύνω,verb,a)risth/wn,ἀριστεύς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ἕ,pronoun,d',δέ,particle,e)/mpalin,ἔμπαλιν,adverb,o(rmhqe/ntes,ὁρμάω,verb,ou)/te,οὔτε,adverb,min,μιν,pronoun,e)gkli=nai,ἐγκλίνω,verb,prote/rw,προτέρω,adverb,sqe/non,σθένω,verb,ou)/te,οὔτε,adverb,dai/+cai,δαίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,a)/rrhktos,ἄρρηκτος,adjective,a)/kamptos,ἄκαμπτος,adjective,e)du/seto,δύω,verb,neio/qi,νειόθι,adverb,gai/hs,γαῖα,noun,qeino/menos,θείνω,verb,stibarh=|si,στιβαρός,adjective,katai/+gdhn,καταίγδην,adverb,e)la/th|sin,ἐλάτης,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)/luqe,ἔρχομαι,verb,d',δέ,particle,au)=,αὖ,interjection,*mo/yos,Μόψος,proper,*titarh/sios,Τιταρήσιος,proper,o(\n,ὅς,pronoun,peri\,περί,preposition,pa/ntwn,πᾶς,adjective,*lhtoi/+dhs,Λητοίδης,proper,e)di/dace,διδάσκω,verb,qeopropi/as,θεοπροπία,noun,oi)wnw=n,οἰωνός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)de\,ἠδέ,conjunction,kai\,καί,conjunction,*eu)ruda/mas,Εὐρυδάμας,proper,*ktime/nou,Κτίμενος,proper,pa/is,παῖς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/gxi,ἄγχι,adjective,de\,δέ,particle,li/mnhs,λίμνη,noun,*cunia/dos,,,*ktime/nhn,Κτιμένη,proper,*dolophi/da,,,naieta/asken,ναιετάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,mh\n,μήν,particle,*)/aktwr,Ἄκτωρ,proper,ui(=a,υἱός,noun,*menoi/tion,Μενοίτιος,proper,e)c,ἐκ,preposition,*)opo/entos,Ὀπόεις,proper,w)=rsen,ὄρνυμι,verb,a)risth/essi,ἀριστεύς,noun,su\n,σύν,preposition,a)ndra/sin,ἀνήρ,noun,o)/fra,ὄφρα,conjunction,ne/oito,νέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
