word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/1/lemma/@_entry,word/1/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/54/lemma/@_entry,word/54/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/59/lemma/@_entry,word/59/lemma/@_POS,word/73/lemma/@_entry,word/73/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS
oi(,ὁ,article,de\,pre/sbeis,πρέσβις,noun,au)=qis,αὖθις,adverb,sunh=lqon,συνέρχομαι,verb,kai\,καί,conjunction,polla\,πολύς,adjective,fanerw=s,φανερός,adjective,e)/legon,λέγω,verb,o(/ti,ὅστις,pronoun,*fi/lippos,Φίλιππος,proper,kai\,καί,conjunction,*ai)twloi\,Αἰτωλός,proper,diafero/menoi,διαφέρω,verb,tou\s,ὁ,article,*(/ellhnas,Ἕλλην,proper,e)s,εἰς,preposition,doulei/an,δουλεία,noun,*(rwmai/ois,,,u(poba/llousin,ὑποβάλλω,verb,e)qi/zontes,ἐθίζω,verb,au)tou\s,αὐτός,pronoun,th=s,ὁ,article,*(ella/dos,Ἑλλάς,proper,qamina\,θαμινός,adverb,peira=sqai,πειράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)f',ἐπί,preposition,oi(=s,o(,ὁ,article,me\n,μέν,particle,*soulpi/kios,Σουλπίκιος,proper,a)ntile/cwn,ἀντιλέγω,verb,a)ni/stato,ἀνίστημι,verb,to\,ὁ,article,de\,δέ,particle,plh=qos,πλῆθος,noun,ou)k,οὐ,adverb,h)/kousen,ἀκούω,verb,a)ll',ἀλλά,adverb,e)kekra/gesan,κράζω,verb,tou\s,ὁ,article,pre/sbeis,πρέσβις,noun,eu)=,εὖ,adverb,le/gein,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὅς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,te/los,*ai)twloi/,Αἰτωλός,proper,te,τε,particle,prw=toi,πρότερος,adjective,kata\,κατά,preposition,sfa=s,σφεῖς,pronoun,a)/neu,ἄνευ,preposition,*(rwmai/wn,,,*fili/ppw|,Φίλιππος,proper,sune/bhsan,συμβαίνω,verb,kai\,καί,conjunction,pre/sbeis,πρέσβις,noun,au)tou=,αὐτός,pronoun,*fili/ppou,Φίλιππος,proper,kai\,καί,conjunction,*(rwmai/wn,,,e)pi\,ἐπί,preposition,diallagai=s,διαλλαγή,noun,a)fi/konto,ἀφικνέομαι,verb,e)s,εἰς,preposition,*(rw/mhn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τέλος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e)ge/nonto,sunqh=kai,συνθήκη,noun,*(rwmai/ois,,,kai\,καί,conjunction,*fili/ppw|,Φίλιππος,proper,mhdete/rous,μηδέτερος,adjective,a)dikei=n,ἀδικέω,verb,tou\s,ὁ,article,e(kate/rwqen,ἑκατέρωθεν,adverb,fi/lous,φῖλος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)s,εἰς,preposition,me\n,dh\,δή,particle,tou=t',οὗτος,pronoun,e)/lhcen,λήγω,verb,h(,ὁ,article,*fili/ppou,Φίλιππος,proper,kai\,καί,conjunction,*(rwmai/wn,,,e)s,εἰς,preposition,a)llh/lous,ἀλλήλων,pronoun,pei=ra,πεῖρα,noun,prw/th,πρότερος,adjective,kai\,καί,conjunction,ta\s,ὁ,article,sunqh/kas,συνθήκη,noun,ou)de/teroi,οὐδέτερος,adjective,bebai/ous,βέβαιος,adjective,ou)d',οὐδέ,particle,a)p',ἀπό,preposition,eu)noi/as,εὔνοια,noun,e)do/koun,δοκέω,verb,pepoih=sqai,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μέν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,ὅστις,pronoun,met',ou),οὐ,adverb,polu\,πολύς,adjective,*fi/lippos,Φίλιππος,proper,me\n,μέν,particle,tw=n,ὁ,article,u(phko/wn,ὑπήκοος,adjective,toi=s,ὁ,article,e)pi\,ἐπί,preposition,qala/sshs,θάλασσα,noun,sto/lon,στόλος,noun,e)paggei/las,ἐπαγγέλλω,verb,*sa/mon,Σάμος,proper,kai\,καί,conjunction,*xi/on,Χίος,proper,ei(=le,αἱρέω,verb,kai\,καί,conjunction,me/ros,μέρος,noun,th=s,ὁ,article,*)atta/lou,Ἄτταλος,proper,gh=s,γῆ,noun,e)po/rqhse,πορθέω,verb,kai\,καί,conjunction,au)th=s,αὐτός,pronoun,a)pepei/rase,ἀποπειράομαι,verb,*perga/mou,Πέργαμον,proper,mh\,μή,conjunction,feido/uenos,,,i(erw=n,ἱερά,noun,h)\,ἠέ,conjunction,ta/fwn,τάφος,noun,th/n,ὁ,article,te,τε,particle,*(rodi/wn,,,perai/an,περαίας,noun,e)dh/|ou,δηιόω,verb,diallakth/rwn,διαλλακτήρ,noun,oi(,ἕ,pronoun,gegono/twn,γίγνομαι,verb,μετά,preposition,kai\,καί,conjunction,e(te/rw|,ἕτερος,adjective,me/rei,μέρος,noun,stratou=,στρατός,noun,th\n,ὁ,article,*)attikh\n,Ἀττικός,adjective,e)lumai/neto,λυμαίνομαι,verb,kai\,καί,conjunction,ta\s,ὁ,article,*)aqh/nas,Ἀθήνευς,proper,e)polio/rkei,πολιορκέω,verb,w(s,ὡς,conjunction,ou)de\n,οὐδείς,pronoun,tw=nde,ὅδε,pronoun,*(rwmai/ois,proshko/ntwn,προσήκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lo/gos,λόγος,noun,te,h)=n,εἰμί,verb,o(/ti,ὅστις,pronoun,*fi/lippos,Φίλιππος,proper,kai\,καί,conjunction,*)anti/oxos,Ἀντίοχος,proper,o(,ὁ,article,*su/rwn,Σύρος,proper,basileu\s,βασιλεύς,noun,u(po/sxointo,ὑπέχω,verb,a)llh/lois,ἀλλήλων,pronoun,*)antio/xw|,Ἀντίοχος,proper,me\n,μέν,particle,o(,ὁ,article,*fi/lippos,Φίλιππος,proper,sustrateu/sein,συστρατεύω,verb,e)pi/,ἐπί,preposition,te,τε,particle,*ai)/gupton,Αἴγυπτος,proper,kai\,καί,conjunction,e)pi\,ἐπί,preposition,*ku/pron,Κύπρος,proper,w(=n,ὅς,pronoun,to/te,τότε,adverb,h)=rxen,ἄρχω,verb,e)/ti,ἔτι,adverb,pai=s,πᾶς,adjective,w)\n,εἰμί,verb,*ptolemai=os,Πτολεμαῖος,proper,o(,ὁ,article,te/tartos,τέταρτος,adjective,w(=|,ὅς,pronoun,filopa/twr,φιλοπάτωρ,noun,e)pw/numon,ἐπώνυμος,adjective,h)=n,εἰμί,verb,*fili/ppw|,Φίλιππος,proper,d',δέ,particle,*)anti/oxos,Ἀντίοχος,proper,e)pi\,ἐπί,preposition,τε,particle,*kurh/nhn,Κυρήνη,proper,kai\,καί,conjunction,ta\s,ὁ,article,*kukla/das,Κυκλάδες,proper,nh/sous,νῆσος,noun,kai\,καί,conjunction,*)iwni/an,Ἰώνιος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,th/nde,th\n,ὁ,article,do/can,δόξα,noun,e)ktara/ssousan,ἐκταράσσω,verb,a(/pantas,ἅπας,adjective,*(ro/dioi,,,me\n,μέν,particle,*(rwmai/ois,,,e)mh/nusan,μηνύω,verb,e)pi\,ἐπί,preposition,de\,δέ,particle,toi=s,ὁ,article,*(rodi/wn,,,*)aqhnai/wn,Ἀθήναια,proper,pre/sbeis,πρέσβις,noun,h)|tiw=nto,αἰτιάομαι,verb,*fi/lippon,Φίλιππος,proper,th=s,ὁ,article,poliorki/as,πολιορκία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,*ai)twloi\,metagignw/skontes,,,kathgo/roun,κατηγορέω,verb,w(s,ὡς,conjunction,kai\,καί,conjunction,peri\,περί,preposition,sfa=s,σφεῖς,pronoun,a)pi/stou,ἄπιστος,adjective,gegono/tos,γίγνομαι,verb,h)ci/oun,ἀξιόω,verb,te,τε,particle,au)=qis,αὖθις,adverb,e)s,εἰς,preposition,tou\s,ὁ,article,*(rwmai/wn,,,summa/xous,σύμμαχος,adjective,e)ggrafh=nai,ἐγγράφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Αἰτωλός,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(rwmai=oi,,,d',*ai)twloi=s,Αἰτωλός,proper,e)me/myanto,μέμφομαι,verb,th=s,ὁ,article,ou),οὐ,adverb,pro\,πρό,preposition,pollou=,πολύς,adjective,metabolh=s,μεταβολεύς,noun,pre/sbeis,πρέσβις,noun,d',δέ,particle,e)s,εἰς,preposition,tou\s,ὁ,article,basile/as,βασιλεύς,noun,e)/pempon,πέμπω,verb,oi(\,ἕ,pronoun,prohgo/reuon,προαγορεύω,verb,au)toi=s,αὐτός,pronoun,*)anti/oxon,Ἀντίοχος,proper,me\n,μέν,particle,*ai)gu/ptw|,Αἴγυπτος,proper,mh\,μή,conjunction,e)pixeirei=n,ἐπιχειρέω,verb,*fi/lippon,Φίλιππος,proper,de\,δέ,particle,mhde\n,μηδείς,pronoun,e)s,εἰς,preposition,*(rodi/ous,,,h)\,ἠέ,conjunction,*)aqhnai/ous,Ἀθήναιος,proper,h)\,ἠέ,conjunction,*)/attalon,Ἄτταλος,proper,h)\,ἠέ,conjunction,e)s,εἰς,preposition,a)/llon,ἄλλος,adjective,tina\,τις,pronoun,*(rwmai/wn,,,fi/lon,φίλος,adjective,a(marta/nein,ἁμαρτάνω,verb,,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou/tois,οὗτος,pronoun,o(,*fi/lippos,Φίλιππος,proper,a)pekri/nato,ἀποκρίνω,verb,*(rwmai/ois,,,e(/cein,ἔχω,verb,kalw=s,καλός,noun,a)\n,ἄν,particle,e)mme/nwsin,ἐμμένω,verb,h(=|,ὅς,pronoun,sune/qento,συντίθημι,verb,pro\s,πρός,preposition,au)to\n,αὐτός,pronoun,ei)rh/nh|,εἰρήνη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tw,οὕτως,adverb,me\n,ai(,ὁ,article,geno/menai,γίγνομαι,verb,spondai\,σπονδή,noun,e)le/lunto,λύω,verb,kai\,καί,conjunction,stratia\,στρατία,noun,*(rwmai/wn,,,e)s,εἰς,preposition,th\n,ὁ,article,*(ella/da,Ἑλλάς,proper,h)pei/geto,ἐπείγω,verb,strathgou=ntos,στρατηγέω,verb,*popli/ou,Πόπλιος,proper,kai\,καί,conjunction,nauarxou=ntos,ναυαρχέω,verb,*leuki/ou,Λεύκιος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μέν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,ὅστις,pronoun,o(,*fi/lippos,Φίλιππος,proper,o(,ὁ,article,*makedo/nwn,Μακεδών,proper,basileu\s,βασιλεύς,noun,tw=|,ὁ,article,*flamini/nw|,,,shtei,,,sunago/ntwn,συνάγω,verb,au)tou\s,αὐτός,pronoun,*)hpeirwtw=n,Ἠπειρώτης,proper,pre/sbewn,πρέσβις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,de\,o(,ὁ,article,*flamini=nos,,,*fi/lippon,Φίλιππος,proper,e)ke/leusen,κελεύω,verb,e)ksth=nai,ἐξίστημι,verb,th=s,ὁ,article,*(ella/dos,Ἑλλάς,proper,ou),οὐ,adverb,*(rwmai/ois,,,a)lla\,ἀλλά,adverb,tai=s,ὁ,article,po/lesin,πόλις,adjective,au)tai=s,αὐτός,pronoun,kai\,καί,conjunction,ta\s,ὁ,article,bla/bas,βλάβη,adjective,tai=s,ὁ,article,proeirhme/nais,προερέω,verb,a)podoqh=nai,ἀποδίδωμι,verb,o(,ὁ,article,me\n,μέν,particle,*fi/lippos,Φίλιππος,proper,ta\,ὁ,article,me\n,μέν,particle,poimh\n,ποιμήν,noun,u(pe/sxeto,ὑπέχω,verb,strato\n,στρατός,noun,eu)/zwnon,εὔζωνος,adjective,a)/cein,ἄγνυμι,verb,o(do\n,ὁδός,adjective,a)tribh=,ἀτριβής,adverb,trisi\n,τρεῖς,noun,h(me/rais,ἡμέρα,noun,,,,,,,,,,,,,,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,ὅστις,pronoun,*leu/kios,*koi/+ntios,,,e)s,εἰς,preposition,to\n,ὁ,article,tw=n,ὁ,article,*)axaiw=n,Ἀχαία,proper,su/llogon,σύλλογος,noun,a)pe/steile,ἀποστέλλω,verb,pre/sbeis,πρέσβις,noun,oi(\,ἕ,pronoun,meta\,μετά,preposition,*)aqhnai/wn,Ἀθήναια,proper,kai\,καί,conjunction,*(rodi/wn,,,e)/peiqon,πείθω,verb,au)tou\s,αὐτός,pronoun,metaqe/sqai,μετατίθημι,verb,pro\s,πρός,preposition,sfa=s,σφεῖς,pronoun,a)po\,ἀπό,preposition,tou=,ὁ,article,*fili/ppou,Φίλιππος,proper,diepresbeu/eto,διαπρεσβεύομαι,verb,de\,δέ,particle,kai\,καί,conjunction,*fi/lippos,Φίλιππος,proper,ai)tw=n,αἰτέω,verb,boh/qeian,βοήθεια,noun,w(s,ὡς,conjunction,summa/xous,σύμμαχος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,Λεύκιος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,de\,e)noxlou/menoi,ἐνοχλέω,verb,me\n,μέν,particle,oi)kei/w|,οἰκεῖος,adjective,kai\,καί,conjunction,gei/toni,γείτων,noun,pole/mw|,πόλεμος,noun,*na/bidos,Νάβις,proper,tou=,ὁ,article,*lakedaimoni/wn,Λακεδαιμόνιος,proper,tura/nnou,τύραννος,noun,diestw=tes,διίστημι,verb,de\,δέ,particle,tai=s,ὁ,article,gnw/mais,γνώμη,noun,h)po/roun,ἀπορέω,verb,kai\,καί,conjunction,oi(,ὁ,article,plei/ones,πλείων,verb,h(|rou=nto,αἱρέω,verb,ta\,ὁ,article,*fili/ppou,Φίλιππος,proper,kai\,καί,conjunction,a)pestre/fonto,ἀποστρέφω,verb,*(rwmai/ous,,,dia/,διά,preposition,tina,τις,pronoun,e)s,εἰς,preposition,th\n,ὁ,article,*(ella/da,Ἑλλάς,proper,*soulpiki/ou,Σουλπίκιος,proper,tou=,ὁ,article,strathgou=,στρατηγός,noun,paranomh/mata,παρανόμημα,noun,,,,,,,,,,,,,,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
