word/0/@_form,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/0/lemma/@_entry,word/0/lemma/@_POS,word/32/lemma/@_entry,word/32/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS
ou)d',h)ci/ou,ἀξιόω,verb,th\n,ὁ,article,e)/xqran,ἔχθρα,noun,w(/sper,ὥσπερ,adverb,o(,ὁ,article,path\r,πατήρ,noun,kai\,καί,conjunction,o(,ὁ,article,khdesth/s,κηδεστής,adjective,e)saei\,ἐσαεί,adverb,kai\,καί,conjunction,meta\,μετά,preposition,fo/bou,φόβος,noun,diafe/rein,διαφέρω,verb,ou)d',οὐδέ,particle,e)pi\,ἐπί,preposition,tw=|,ὁ,article,*karxhdoni/wn,Καρχηδόνιος,proper,koufo/nw|,κουφόνους,adjective,me/xri,μέχρι,preposition,panto\s,πᾶς,adjective,ei)=nai,εἰμί,verb,r(a|di/ws,ῥᾴδιος,adjective,e)s,εἰς,preposition,eu)erge/tas,εὐεργέτης,noun,pro\s,πρός,preposition,a)xaristi/an,ἀχαριστία,noun,trepome/nwn,τρέπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὐδέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)le/geto,de\,δέ,particle,kai\,καί,conjunction,pai=s,πᾶς,adjective,w)\n,εἰμί,verb,e)/ti,ἔτι,adverb,u(po\,ὑπό,preposition,tou=,ὁ,article,patro\s,πατήρ,noun,o(rkwqh=nai,ὁρκόω,verb,e)pi\,ἐπί,preposition,e)mpu/rwn,ἔμπυρος,adjective,a)/speistos,ἄσπειστος,adjective,e)xqro\s,ἐχθρός,adjective,e)/sesqai,εἰμί,verb,*(rwmai/ois,,,o(/te,ὅτε,conjunction,e)s,εἰς,preposition,politei/an,πολιτεία,noun,pare/lqoi,παρέρχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dia\,dh\,δή,particle,tau=t',οὗτος,pronoun,e)peno/ei,ἐπινοέω,verb,mega/lois,μέγας,adverb,kai\,καί,conjunction,xroni/ois,χρόνιος,adjective,pra/gmasi,πρᾶγμα,noun,th\n,ὁ,article,patri/da,πατρίς,adjective,peribalw/n,περιβάλλω,verb,kai\,καί,conjunction,katasth/sas,καθίστημι,verb,e)s,εἰς,preposition,a)sxoli/as,ἀσχολία,noun,kai\,καί,conjunction,fo/bous,φόβος,noun,to\,ὁ,article,e(autou=,ἑαυτοῦ,pronoun,kai\,καί,conjunction,ta\,ὁ,article,tw=n,ὁ,article,fi/lwn,φίλος,adjective,e)n,ἐν,preposition,a)deei=,ἀδεής,adverb,qe/sqai,τίθημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,διά,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*libu/hn,me\n,μέν,particle,ou)=n,οὖν,particle,eu)staqou=san,εὐσταθέω,verb,e(w/ra,ὁράω,verb,kai\,καί,conjunction,*)ibh/rwn,Ἴβηρ,proper,o(/sa,ὅσος,adjective,u(ph/koa,ὑπήκοον,noun,h)=n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Λιβύη,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),de\,δέ,particle,pro\s,πρός,preposition,*(rwmai/ous,,,po/lemon,πόλεμος,noun,au)=qis,αὖθις,adverb,a)narripi/seien,ἀναρριπίζω,verb,ou(=,ἕ,pronoun,ma/lista,μάλιστα,adverb,e)pequ/mei,ἐπιθυμέω,verb,e)do/kei,δοκέω,verb,*karxhdoni/ous,Καρχηδόνιος,proper,me\n,μέν,particle,e)n,ἐν,preposition,fronti/si,φρόντισις,noun,kai\,καί,conjunction,fo/bois,φόβος,noun,e)/sesqai,εἰμί,verb,makroi=s,μακρός,adjective,au)to\s,αὐτός,pronoun,de/,δέ,particle,ei)/te,εἴτε,adverb,katorqw/seien,κατορθόω,verb,e)pi\,ἐπί,preposition,kle/ous,,,a)qana/tou,ἀθάνατος,adjective,genh/sesqai,γίγνομαι,verb,th\n,ὁ,article,patri/da,πατρίς,adjective,th=s,ὁ,article,oi)koume/nhs,οἰκουμένη,noun,gh=s,γῆ,noun,a)/rxousan,a)pofh/nasou),,,ga\r,γάρ,particle,ei)=nai/,εἰμί,verb,tinas,τις,pronoun,a)ntima/xous,ἀντίμαχος,adjective,au)toi=s,αὐτός,pronoun,e)pi\,ἐπί,preposition,*(rwmai/ois',,,ei)/te,εἴτε,adverb,kai\,καί,conjunction,ptai/seie,πταίρω,verb,mega/lhn,μέγας,adverb,kai\,καί,conjunction,w(\s,ὅς,pronoun,to\,ὁ,article,e)gxei/rhma,ἐγχείρημα,noun,au)tw=|,αὐτός,pronoun,do/can,δόξα,noun,εἰ,conjunction,ἄρχω,verb,oi)/sein,φέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)rxh\n,de\,δέ,particle,u(polamba/nwn,ὑπολαμβάνω,verb,e)/sesqai,εἰμί,verb,lampra\n,λαμπρός,adjective,ei),εἰ,conjunction,to\n,ὁ,article,*)/ibhra,Ἴβηρ,proper,diabai/h,διαβαίνω,verb,*torbolh/tas,,,oi(\,ἕ,pronoun,gei/tone/s,γείτων,noun,ei)si,εἰμί,verb,*zakanqai/wn,,,a)ne/peise,ἀναπείθω,verb,tw=n,ὁ,article,*zakanqai/wn,,,para\,παρά,preposition,oi(=,ἕ,pronoun,kataboa=n,καταβοάω,verb,w(s,ὡς,conjunction,th/n,ὁ,article,te,τε,particle,xw/ran,χώρα,noun,au)tw=n,αὐτός,pronoun,e)pitrexo/ntwn,ἐπιτρέχω,verb,kai\,καί,conjunction,polla\,πολύς,adjective,sfa=s,σφεῖς,pronoun,a)/lla,ἄλλος,adjective,a)dikou/ntwn,ἀδικέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀρχή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,de\,δέ,particle,e)pei/qonto,πείθω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,pre/sbeis,πρέσβις,noun,au)tw=n,αὐτός,pronoun,o(,ὁ,article,*)anni/bas,Ἀννίβας,proper,e)s,εἰς,preposition,*karxhdo/na,Καρχηδών,proper,e)/pempen,πέμπω,verb,au)to/s,αὐτός,pronoun,te,τε,particle,e)n,ἐν,preposition,a)porrh/tois,ἀπόρρητος,adjective,e)/grafe,γράφω,verb,*(rwmai/ous,,,th\n,ὁ,article,u(po\,ὑπό,preposition,*karxhdoni/ois,Καρχηδόνιος,proper,*)ibhri/an,Ἰβηρίη,proper,a)napei/qein,ἀναπείθω,verb,a)po\,ἀπό,preposition,*karxhdoni/wn,Καρχηδόνιος,proper,a)fi/stasqai,ἀφίστημι,verb,kai\,καί,conjunction,*zakanqai/ous,,,*(rwmai/ois,,,tau=ta,οὗτος,pronoun,sumpra/ssein,συμπράσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/lws,te,τε,particle,th=s,ὁ,article,a)pa/ths,ἀπάτη,noun,ou),οὐ,adverb,meqi/ei,μεθίημι,verb,polla\,πολύς,adjective,toiau=ta,τοιοῦτος,adjective,e)piste/llwn,ἐπιστέλλω,verb,e(/ws,ἕως,conjunction,h(,ὁ,article,boulh\,βουλή,noun,prose/tacen,προστάσσω,verb,au)tw=|,αὐτός,pronoun,pra/ssein,πράσσω,verb,e)s,εἰς,preposition,*zakanqai/ous,,,o(/,ὅς,pronoun,ti,τις,pronoun,dokima/seien,δοκιμάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὅλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,de\,δέ,particle,e)pei\,ἐπεί,conjunction,th=s,ὁ,article,a)formh=s,ἀφορμή,noun,e)la/beto,λαμβάνω,verb,*torbolh/tas,,,au)=qis,αὖθις,adverb,e)/pracen,πράσσω,verb,e)ntuxei=n,ἐντυγχάνω,verb,oi(,ὁ,article,kata\,κατά,preposition,tw=n,ὁ,article,*zakanqai/wn,,,kai\,καί,conjunction,metepe/mpeto,μεταπέμπω,verb,pre/sbeis,πρέσβις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,de\,δέ,particle,a)fi/konto,ἀφικνέομαι,verb,me/n,μέν,particle,keleu/ontos,κελεύω,verb,de\,δέ,particle,tou=,ὁ,article,*)anni/bou,Ἀννίβας,proper,le/gein,λέγω,verb,e(kate/rous,ἑκάτερος,adjective,e)f',ἐπί,preposition,e(autou=,ἑαυτοῦ,pronoun,peri\,περί,preposition,w(=n,ὅς,pronoun,diafe/rontai,διαφέρω,verb,*(rwmai/ois,,,e)/fasan,φημί,verb,e)pitre/yein,ἐπιτρέπω,verb,th\n,ὁ,article,di/khn,δίκη,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,me\n,μέν,particle,dh\,δή,particle,tau=t',οὗτος,pronoun,ei)po/ntas,εἶπον,verb,a)pe/pempen,ἀποπέμπω,verb,a)po\,ἀπό,preposition,tou=,ὁ,article,stratope/dou,στρατόπεδον,noun,kai\,καί,conjunction,th=s,ὁ,article,e)piou/shs,ἔπειμι,verb,nukto\s,νύξ,adjective,panti\,πᾶς,adjective,tw=|,ὁ,article,stratw=|,στρατός,noun,to\n,ὁ,article,*)/ibhra,Ἴβηρ,proper,diaba\s,διαβαίνω,verb,th\n,ὁ,article,xw/ran,χώρα,noun,e)po/rqei,πορθέω,verb,kai\,καί,conjunction,th=|,ὁ,article,po/lei,πόλις,adjective,mhxanh/mata,μηχάνημα,noun,e)fi/sth,ἐφίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(lei=n,d',δέ,particle,ou),οὐ,adverb,duna/menos,δύναμαι,verb,a)peta/freue,ἀποταφρεύω,verb,kai\,καί,conjunction,frou/ria,φρούριον,noun,polla\,πολύς,adjective,periqei\s,περιτίθημι,verb,e)k,ἐκ,preposition,diasthma/twn,διάστημα,noun,e)pefoi/ta,ἐπιφοιτάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,αἱρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*zakanqai=oi,de\,δέ,particle,ai)fnidi/w|,ἀφνίδιος,adjective,kai\,καί,conjunction,a)katagge/ltw|,ἀκατάγγελτος,adjective,kakw=|,κακός,adjective,sumpeso/ntes,συμπίτνω,verb,e)pre/sbeuon,πρεσβεύω,verb,e)s,εἰς,preposition,*(rw/mhn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,h(,ὁ,article,su/gklhtos,σύγκλητος,adjective,au)toi=s,αὐτός,pronoun,sune/pempe,συμπέμπω,verb,pre/sbeis,πρέσβις,noun,oi(\,ἕ,pronoun,prw=ton,πρότερος,adjective,me\n,μέν,particle,*)anni/ban,Ἀννίβας,proper,e)/mellon,μέλλω,verb,u(pomnh/sein,ὑπομιμνήσκω,verb,tw=n,ὁ,article,sugkei,,,me/nwn,μένω,verb,ou),οὐ,adverb,peiqome/nou,πείθω,verb,de\,δέ,particle,e)s,εἰς,preposition,*karxhdo/na,Καρχηδών,proper,pleusei=sqai,πλέω,verb,kat',κατά,preposition,au)tou=,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou/tois,toi=s,ὁ,article,pre/sbesi,πρέσβις,noun,pleu/sasin,πλέω,verb,e)s,εἰς,preposition,*)ibhri/an,Ἰβηρίη,proper,kai\,καί,conjunction,e)s,εἰς,preposition,to\,ὁ,article,strato/pedon,στρατόπεδον,noun,a)po\,ἀπό,preposition,qala/sshs,θάλασσα,noun,a)nabai/nousin,ἀναβαίνω,verb,o(,ὁ,article,*)anni/bas,Ἀννίβας,proper,a)phgo/reuse,ἀπαγορεύω,verb,mh\,μή,conjunction,prosie/nai,πρόσειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,oi(,ἕ,pronoun,me\n,μέν,particle,a)pe/pleusan,ἀποπλέω,verb,e)pi\,ἐπί,preposition,*karxhdo/nos,Καρχηδών,proper,su\n,σύν,preposition,toi=s,ὁ,article,pre/sbesi,πρέσβις,noun,toi=s,ὁ,article,*zakanqai/wn,,,kai\,καί,conjunction,tw=n,ὁ,article,sunqhkw=n,συνθήκη,noun,a)nemi/mnhskon,ἀναμιμνήσκω,verb,au)tou/s,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
