word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS
ou)/koun,οὔκουν,adverb,e)pei/cesq',ἐπείγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,*glu/kh,Γλύκη,proper,katw/mosen,κατόμνυμι,verb,th\n,ὁ,article,u(sta/thn,ὕστατος,adjective,h(/kousan,ἥκω,verb,oi)/nou,οἶνον,noun,trei=s,τρέω,verb,xoa=s,χοή,noun,h(mw=n,ἐγώ,pronoun,a)potei/sein,ἀποτίνω,verb,ka)rebi/nqwn,ἐρέβινθος,noun,xoi/nika,χοῖνιξ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th\n,ὁ,article,*smikuqi/wnos,Σμικυθίων,proper,d',δέ,particle,ou)x,οὐ,adverb,o(ra=|s,ὁράω,verb,*melisti/xhn,,,speu/dousan,σπεύδω,verb,e)n,ἐν,preposition,tai=s,ὁ,article,e)mba/sin,ἐμβάς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/toi,καίτοι,particle,dokei=,δοκέω,verb,kata\,κατά,preposition,sxolh\n,σχολή,noun,para\,παρά,preposition,ta)ndro\s,ἀνήρ,noun,e)celqei=n,ἐξέρχομαι,verb,mo/nh,μόνος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th\n,ὁ,article,tou=,ὁ,article,kaph/lou,κάπηλος,noun,d',δέ,particle,ou)x,οὐ,adverb,o(ra=|s,ὁράω,verb,*geusistra/thn,Γευσιστράτη,proper,e)/xousan,ἔχω,verb,e)n,ἐν,preposition,th=|,ὁ,article,decia=|,δεξιός,adjective,th\n,ὁ,article,lampa/da,λαμπάς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,th\n,ὁ,article,*filodwrh/tou,Φιλοδώρητος,proper,te,τε,particle,kai\,καί,conjunction,*xairhta/dou,Χαιρητάδης,proper,o(rw=,ὁράω,verb,prosiou/sas,πρόσειμι,verb,xa)te/ras,ἅτερος,adjective,polla\s,πολύς,adjective,pa/nu,πάνυ,adverb,gunai=kas,γυνή,noun,o(/,ὅς,pronoun,ti,τις,pronoun,pe/r,πέρ,particle,e)st',εἰμί,verb,o)/felos,ὄφελος,noun,e)n,ἐν,preposition,th=|,ὁ,article,po/lei,πόλις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,pa/nu,πάνυ,adverb,talaipw/rws,ταλαίπωρος,adjective,e)/gwg',ἐγώ,pronoun,w)=,ὦ,interjection,filta/th,φίλτατος,adjective,e)kdra=sa,ἐκδιδράσκω,verb,pare/dun,παραδύομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,ga\r,γάρ,particle,a)nh\r,ἀνήρ,noun,th\n,ὁ,article,nu/xq',νύξ,adjective,o(/lhn,ὅλος,adjective,e)/bhtte,βήσσω,verb,trixi/dwn,τριχίς,noun,e(spe/ras,ἑσπέρα,noun,e)mplh/menos,ἐμπίπλημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ka/qhsqe,κάθημαι,verb,toi/nun,τοίνυν,particle,w(s,ὡς,conjunction,a)\n,ἄν,particle,a)ne/rwmai,ἀνέρομαι,verb,ta/de,ὅδε,pronoun,u(ma=s,σύ,pronoun,e)peidh\,ἐπεί,conjunction,sullelegme/nas,συλλέγω,verb,o(rw=,ὁράω,verb,o(/sa,ὅσος,adjective,*ski/rois,Σκίρα,proper,e)/docen,δοκέω,verb,ei),εἰ,conjunction,dedra/kate,δράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prw=ton,πρότερος,adjective,me/n,μέν,particle,g',γε,particle,e)/xw,ἔχω,verb,ta\s,ὁ,article,masxa/las,μασχάλη,adjective,lo/xmhs,λόχμη,noun,dasute/ras,δασύς,adjective,kaqa/per,καθά,adverb,h)=n,εἰμί,verb,cugkei/menon,σύγκειμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/peiq',ἔπειτα,adverb,o(po/q',ὁπόθι,adverb,a(nh\r,ἀνήρ,noun,ei)s,εἰς,preposition,a)gora\n,ἀγορά,noun,oi)/xoito/,οἴχομαι,verb,mou,ἐγώ,pronoun,a)leiyame/nh,ἀλείφω,verb,to\,ὁ,article,sw=m',σῶμα,adjective,o(/lon,ὅλος,adjective,di',διά,preposition,h(me/ras,ἡμέρα,noun,e)xraino/mhn,χραίνω,verb,e(stw=sa,ἵστημι,verb,pro\s,πρός,preposition,to\n,ὁ,article,h(/lion,ἥλιος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,curo\n,ξυρόν,noun,de/,δέ,particle,g',γε,particle,e)k,ἐκ,preposition,th=s,ὁ,article,oi)ki/as,οἰκία,noun,e)/rriya,ῥίπτω,verb,prw=ton,πρότερος,adjective,i(/na,ἵνα,conjunction,dasunqei/hn,δασύνω,verb,o(/lh,ὅλος,adjective,kai\,καί,conjunction,mhde\n,μηδείς,pronoun,ei)/hn,εἰμί,verb,e)/ti,ἔτι,adverb,gunaiki\,γυνή,noun,prosferh/s,προσφερής,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/xete,ἔχω,verb,de\,δέ,particle,tou\s,ὁ,article,pw/gwnas,πώγων,noun,ou(\s,ὅς,pronoun,ei)/rht',ἔρομαι,verb,e)/xein,ἔχω,verb,pa/saisin,πᾶς,adjective,h(mi=n,ἐγώ,pronoun,o(po/te,ὁπότε,adverb,sullegoi/meqa,συλλέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nh\,νή,preposition,th\n,ὁ,article,*(eka/thn,Ἑκάτη,proper,kalo/n,καλός,noun,g',γε,particle,e)/gwge,ἐγώ,pronoun,toutoni/,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ka)/gwg',ἐγώ,pronoun,*(epikra/tous,,,ou)k,οὐ,adverb,o)li/gw|,ὀλίγος,adjective,kalli/ona,καλός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(mei=s,σύ,pronoun,de\,δέ,particle,ti/,τίς,pronoun,fate,φημί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kataneu/ousi,κατανεύω,verb,ga/r,γάρ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
