word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/61/lemma/@_entry,word/61/lemma/@_POS
e)peidh\,ἐπεί,conjunction,de\,δέ,particle,kata\,κατά,preposition,tau=ta,οὗτος,pronoun,ou)k,οὐ,adverb,h)=n,εἰμί,verb,a)mfisbh/thsis,ἀμφισβήτησις,noun,diaqh/kas,διαθήκη,noun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,yeudei=s,ψευδής,adverb,w(s,ὡς,conjunction,e)gw\,ἐγώ,pronoun,oi)=mai,οἴομαι,verb,e)pidei/cein),ἐπιδείκνυμι,verb,kateskeu/asan,κατασκευάζω,verb,kai\,καί,conjunction,zhtou=sin,ζητέω,verb,a)posterh=sai/,ἀποστερέω,verb,me,ἐγώ,pronoun,tw=n,ὁ,article,ta)delfou=,ἀδελφός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ou(/tw,οὕτως,adverb,sfo/dra,σφόδρα,adverb,*kle/wn,Κλέων,proper,ou(tosi\,οὗτος,pronoun,kai\,καί,conjunction,pro/teron,πρότερος,adjective,kai\,καί,conjunction,nu=n,νῦν,adverb,ou)de/na,οὐδείς,pronoun,a)/llon,ἄλλος,adjective,to\n,ὁ,article,klh=ron,κλῆρος,adjective,h(gei=tai,ἡγέομαι,verb,e(/cein,ἔχω,verb,h)\,ἠέ,conjunction,au(to/n,ἑαυτοῦ,pronoun,w(/st',ὥστε,conjunction,e)peidh\,ἐπεί,conjunction,ta/xista,τάχιστος,adjective,h)gge/lqh,ἀγγέλλω,verb,*)astu/filos,Ἀστύφιλος,proper,teteleuthkw/s,τελευτάω,verb,tou=,ὁ,article,me\n,μέν,particle,patro\s,πατήρ,noun,tou=,ὁ,article,e)mou=,ἐγώ,pronoun,a)sqenou=ntos,ἀσθενέω,verb,e)mou=,ἐγώ,pronoun,de\,δέ,particle,ou)k,οὐ,adverb,e)pidhmou=ntos,ἐπιδημέω,verb,a)lla\,ἀλλά,adverb,strateuome/nou,στρατεύω,verb,ei)s,εἰς,preposition,to\,ὁ,article,xwri/on,χωρίον,noun,e)neba/teuse,ἐμβατεύω,verb,kai\,καί,conjunction,ei)/,εἰ,conjunction,ti,τις,pronoun,a)/llo,ἄλλος,adjective,e)kei=nos,ἐκεῖνος,pronoun,kate/lipen,καταλιμπάνω,verb,a(/panta,ἅπας,adjective,e)/fh,φημί,verb,tou=,ὁ,article,u(ou=,υἱός,noun,tou=,ὁ,article,e(autou=,ἑαυτοῦ,pronoun,ei)=nai,εἰμί,verb,pri/n,πρίν,adverb,ti,τις,pronoun,u(ma=s,σύ,pronoun,yhfi/sasqai,ψηφίζομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pei\,ἐπεί,conjunction,d',δέ,particle,e)komi/sqh,κομίζω,verb,ta\,ὁ,article,o)sta=,ὀστέον,noun,tou=,ὁ,article,a)delfou=,ἀδελφός,adjective,o(,ὁ,article,me\n,μέν,particle,prospoiou/menos,προσποιέω,verb,pa/lai,πάλαι,adverb,u(o\s,ὗς,noun,ei)spepoih=sqai,εἰσποιέω,verb,ou),οὐ,adverb,prou)/qeto,προτίθημι,verb,ou)d',οὐδέ,particle,e)/qayen,θάπτω,verb,oi(,ὁ,article,de\,δέ,particle,fi/loi,φίλος,adjective,*)astufi/lou,Ἀστύφιλος,proper,kai\,καί,conjunction,oi(,ὁ,article,sustratiw=tai,συστρατιώτης,noun,o(rw=ntes,ὁράω,verb,to\n,ὁ,article,pate/ra,πατήρ,noun,to\n,ὁ,article,e)mo\n,ἐμός,adjective,a)rrwstou=nta,ἀρρωστέω,verb,e)me\,ἐγώ,pronoun,de\,δέ,particle,ou)k,οὐ,adverb,e)pidhmou=nta,ἐπιδημέω,verb,au)toi\,αὐτός,pronoun,kai\,καί,conjunction,prou)/qento,προτίθημι,verb,kai\,καί,conjunction,ta)=lla,ἄλλος,adjective,pa/nta,πᾶς,adjective,ta\,ὁ,article,nomizo/mena,νομίζω,verb,e)poi/hsan,ποιέω,verb,kai\,καί,conjunction,to\n,ὁ,article,e)mo\n,ἐμός,adjective,pate/ra,πατήρ,noun,a)sqenou=nta,ἀσθενέω,verb,e)pi\,ἐπί,preposition,to\,ὁ,article,mnh=ma,μνῆμα,noun,h)/gagon,ἄγω,verb,eu)=,εὖ,adverb,ei)do/tes,οἶδα,verb,o(/ti,ὅστις,pronoun,a)spa/zoito,ἀσπάζομαι,verb,au)to\n,αὐτός,pronoun,*)astu/filos,Ἀστύφιλος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou/tou,οὗτος,pronoun,d',δέ,particle,u(mi=n,σύ,pronoun,au)tou\s,αὐτός,pronoun,tou\s,ὁ,article,e)pithdei/ous,ἐπιτήδειος,adjective,tou\s,ὁ,article,e)kei/nou,ἐκεῖνος,pronoun,ma/rturas,μάρτυς,noun,pare/comai,παρέχω,verb,tw=n,ὁ,article,paro/ntwn,πάρειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,ὅστις,pronoun,me\n,μέν,particle,ou)k,οὐ,adverb,e)/qaye,θάπτω,verb,*kle/wn,Κλέων,proper,*)astu/filon,Ἀστύφιλος,proper,ou)d',οὐδέ,particle,lta)\ngt,,,au)to\s,αὐτός,pronoun,e)/carnos,ἔξαρνος,adjective,ge/noito,γίγνομαι,verb,memartu/rhtai/,μαρτυρέω,verb,te,τε,particle,u(mi=n,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)peidh\,ἐπεί,conjunction,d',δέ,particle,e)pedh/mhsa,ἐπιδημέω,verb,e)gw\,ἐγώ,pronoun,kai\,καί,conjunction,h)|sqo/mhn,ἀίσθω,verb,karpoume/nous,καρπέω,verb,tou/tous,οὗτος,pronoun,ta\,ὁ,article,e)kei/nou,ἐκεῖνος,pronoun,o(,ὁ,article,de\,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(o\s,ὗς,noun,au)tou=,αὐτός,pronoun,poihqei/h,ποιέω,verb,u(po\,ὑπό,preposition,*)astufi/lou,Ἀστύφιλος,proper,kai\,καί,conjunction,tou/twn,οὗτος,pronoun,diaqh/kas,διαθήκη,noun,katali/poi,καταλιμπάνω,verb,para\,παρά,preposition,*(ieroklei=,Ἱεροκλέης,proper,*)ifistia/dh|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)kou/sas,ἀκέω,verb,d',δέ,particle,e)gw\,ἐγώ,pronoun,le/gontos,λέγω,verb,au)tou=,αὐτός,pronoun,tau=ta,οὗτος,pronoun,e)poreuo/mhn,ἐφορεύω,verb,para\,παρά,preposition,to\n,ὁ,article,*(ierokle/a,Ἱεροκλέης,proper,eu)=,εὖ,adverb,me\n,μέν,particle,ei)dw\s,οἶδα,verb,o(/ti,ὅστις,pronoun,w(s,ὡς,conjunction,oi(=o/n,οἷος,adjective,te,τε,particle,ma/lista,μάλιστα,adverb,e)pith/deios,ἐπιτήδειος,adjective,ei)/h,ἀίω,verb,*kle/wni,Κλέων,proper,ou)x,οὐ,adverb,h(gou/menos,ἡγέομαι,verb,d',δέ,particle,a)\n,ἄν,particle,au)to\n,αὐτός,pronoun,tolmh=sai/,τολμάω,verb,ti,τις,pronoun,yeu/sasqai,ψεύδω,verb,kata\,κατά,preposition,*)astufi/lou,Ἀστύφιλος,proper,teteleuthko/tos,τελευτάω,verb,kai\,καί,conjunction,tau=ta,οὗτος,pronoun,qei=on,θεῖος,adjective,o)/nta,εἰμί,verb,kai\,καί,conjunction,e)mou=,ἐγώ,pronoun,kai\,καί,conjunction,e)kei/nou,ἐκεῖνος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/mws,ὅμως,conjunction,de/,δέ,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,ou)de\n,οὐδείς,pronoun,tou/twn,οὗτος,pronoun,u(pologisa/menos,ὑπολογίζομαι,verb,o(,ὁ,article,*(ieroklh=s,Ἱεροκλέης,proper,e)rwtw/menos,ἐρωτάω,verb,u(p',ὑπό,preposition,e)mou=,ἐγώ,pronoun,a)pekri/nato/,ἀποκρίνω,verb,moi,ἐγώ,pronoun,o(/ti,ὅστις,pronoun,e)/xoi,ἔχω,verb,ta\s,ὁ,article,diaqh/kas,διαθήκη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labei=n,λαμβάνω,verb,de\,δέ,particle,e)/fh,φημί,verb,au)ta\s,αὐτός,pronoun,para\,παρά,preposition,*)astufi/lou,Ἀστύφιλος,proper,o(/te,ὅτε,conjunction,ei)s,εἰς,preposition,*mutilh/nhn,Μυτιλήνη,proper,e)/mellen,μέλλω,verb,e)kei=nos,ἐκεῖνος,pronoun,e)kplei=n,ἐκπλέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
