word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/11/lemma/@_entry,word/11/lemma/@_POS,word/34/lemma/@_entry,word/34/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS
laxo/ntos,λαγχάνω,verb,de\,δέ,particle,tou=,ὁ,article,*xairestra/tou,,,kata\,κατά,preposition,to\n,ὁ,article,no/mon,νόμος,noun,tou=,ὁ,article,klh/rou,κλῆρος,adjective,e)co\n,ἔξεστι,verb,a)mfisbhth=sai,ἀμφισβητέω,verb,*)aqhnai/wn,tw=|,ὁ,article,boulome/nw|,βούλομαι,verb,kai\,καί,conjunction,eu)qudiki/a|,εὐθυδικία,noun,ei)selqo/nti,εἰσέρχομαι,verb,ei)s,εἰς,preposition,u(ma=s,σύ,pronoun,ei),εἰ,conjunction,fai/noito,φαίνω,verb,dikaio/tera,δίκαιος,adjective,le/gwn,λέγω,verb,e)/xein,ἔχω,verb,to\n,ὁ,article,klh=ron,κλῆρος,adjective,diemartu/rhsen,διαμαρτυρέω,verb,*)androklh=s,Ἀνδροκλέης,proper,ou(tosi\,οὗτος,pronoun,mh\,μή,conjunction,e)pi/dikon,ἐπίδικος,adjective,ei)=nai,εἰμί,verb,to\n,ὁ,article,klh=ron,κλῆρος,adjective,a)posterw=n,tou=ton,οὗτος,pronoun,th=s,ὁ,article,a)mfisbhth/sews,ἀμφισβήτησις,noun,kai\,καί,conjunction,u(ma=s,σύ,pronoun,Ἀθήναια,proper,ἀποστερέω,verb,tou=,ὁ,article,kuri/ous,κύριος,adjective,gene/sqai,γίγνομαι,verb,o(/ntina,ὅστις,pronoun,dei=,δέομαι,verb,klhrono/mon,κληρονόμος,noun,katasth/sasqai,καθίστημι,verb,tw=n,ὁ,article,*filokth/monos,Φιλοκτήμων,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e)n,ἐν,preposition,mia=|,εἷς,adjective,yh/fw|,ψῆφος,noun,kai\,καί,conjunction,e(ni\,εἷς,adjective,a)gw=ni,ἀγών,noun,oi)/etai,οἴομαι,verb,a)delfou\s,ἀδελφός,adjective,katasth/sein,καθίστημι,verb,e)kei/nw|,ἐκεῖνος,pronoun,tou\s,ou)de\n,οὐδείς,pronoun,prosh/kontas,προσήκω,verb,kai\,καί,conjunction,to\n,ὁ,article,klh=ron,κλῆρος,adjective,a)nepi/dikon,ἀνεπίδικος,adjective,e(/cein,ἔχω,verb,au)to/s,αὐτός,pronoun,kai\,καί,conjunction,th=s,ὁ,article,a)delfh=s,ἀδελφή,noun,th=s,ὁ,article,e)kei/nou,ἐκεῖνος,pronoun,ku/rios,κῦρος,noun,genh/sesqai,γίγνομαι,verb,kai\,καί,conjunction,th\n,ὁ,article,diaqh/khn,διαθήκη,noun,a)/kuron,ἄκυρον,noun,poih/sein,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pollw=n,πολύς,adjective,de\,δέ,particle,kai\,καί,conjunction,deinw=n,δεινός,adjective,o)/ntwn,εἰμί,verb,a(\,ὅς,pronoun,diamemartu/rhken,διαμαρτυρέω,verb,*)androklh=s,Ἀνδροκλέης,proper,tou=t',οὗτος,pronoun,au)to\,αὐτός,pronoun,prw=ton,πρότερος,adjective,e)pidei/cw,u(mi=n,σύ,pronoun,w(s,ὡς,conjunction,die/qeto,διατίθημι,verb,kai\,καί,conjunction,e)poih/sato,ποιέω,verb,u(o\n,υἱός,noun,toutoni\,οὗτος,pronoun,*xaire/straton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐπιδείκνυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)peidh\,ἐπεί,conjunction,ga\r,γάρ,particle,tw=|,ὁ,article,*filokth/moni,Φιλοκτήμων,proper,e)k,ἐκ,preposition,me\n,μέν,particle,th=s,ὁ,article,gunaiko\s,γυνή,noun,h(=|,ὅς,pronoun,sunw/|kei,συνοικέω,verb,ou)k,οὐ,adverb,h)=n,paidi/on,παιδίον,noun,ou)de/n,οὐδείς,pronoun,pole/mou,πόλεμος,noun,d',δέ,particle,o)/ntos,εἰμί,verb,e)kindu/neue,κινδυνεύω,verb,kai\,καί,conjunction,i(ppeu\s,ἱππεύς,noun,strateuo/menos,στρατεύω,verb,kai\,καί,conjunction,trih/rarxos,τριήραρχος,noun,polla/kis,πολλάκις,adverb,e)kple/wn,ἔκπλεος,adjective,e)/docen,δοκέω,verb,au)tw=|,αὐτός,pronoun,diaqe/sqai,διατίθημι,verb,ta\,ὁ,article,au(tou=,ἑαυτοῦ,pronoun,mh\,μή,conjunction,e)/rhmon,ἐρῆμος,adjective,katali/ph|,καταλιμπάνω,verb,to\n,ὁ,article,oi)=kon,ei)/,εἰ,conjunction,ti,τις,pronoun,pa/qoi,πάσχω,verb,,,,,,,εἰμί,verb,οἶκος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw\,ὁ,article,me\n,μέν,particle,ou)=n,οὖν,particle,a)delfw\,ἀδελφός,adjective,au)tw=|,αὐτός,pronoun,w(/per,ὅς,pronoun,e)gene/sqhn,γίγνομαι,verb,a)/mfw,ἄμφω,noun,a)/paide,ἄπαις,noun,e)teleuthsa/thn,τελευτάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toi=n,ὁ,article,de\,δέ,particle,a)delfai=n,ἀδελφή,noun,th=|,ὁ,article,me\n,μέν,particle,e(te/ra|,ἕτερος,adjective,h(=|,ὅς,pronoun,o(,ὁ,article,*xaire/as,Χαιρέης,proper,sunw/|kei,συνοικέω,verb,ou)k,οὐ,adverb,h)=n,a)/rren,ἄρσην,noun,paidi/on,παιδίον,noun,ou)de\,οὐδέ,particle,e)ge/neto,γίγνομαι,verb,polla\,πολύς,adjective,e)/th,ἔτης,noun,sunoikou/sh|,συνοικέω,verb,e)k,ἐκ,preposition,de\,δέ,particle,th=s,ὁ,article,e(te/ras,ἕτερος,adjective,h(=|,ὅς,pronoun,sunw/|kei,συνοικέω,verb,*fano/stratos,Φανόστρατος,proper,ou(tosi/,οὗτος,pronoun,h)/sthn,εἰμί,verb,u(w\,,,du/o,δύο,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou/twn,οὗτος,pronoun,to\n,ὁ,article,presbu/teron,πρέσβυς,noun,toutoni\,οὗτος,pronoun,*xaire/straton,,,e)poih/sato,ποιέω,verb,u(o/n,υἱός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e)/grayen,γράφω,verb,ou(/tws,οὕτως,adverb,e)n,ἐν,preposition,diaqh/kh|,διαθήκη,noun,ei),εἰ,conjunction,mh\,μή,conjunction,ge/noito,γίγνομαι,verb,au(tw=|,ἑαυτοῦ,pronoun,paidi/on,παιδίον,noun,e)k,ἐκ,preposition,th=s,gunaiko/s,γυνή,noun,tou=ton,οὗτος,pronoun,klhronomei=n,κληρονομέω,verb,tw=n,ὁ,article,e(autou=,ἑαυτοῦ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,th\n,ὁ,article,diaqh/khn,διαθήκη,noun,kate/qeto,κατατίθημι,verb,para\,παρά,preposition,tw=|,ὁ,article,khdesth=|,κηδεστής,adjective,*xaire/a|,Χαιρέης,proper,tw=|,ὁ,article,th\n,ὁ,article,e(te/ran,ἕτερος,adjective,au)tou=,a)delfh\n,ἀδελφή,noun,e)/xonti,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,u(mi=n,σύ,pronoun,h(/,ὅς,pronoun,te,τε,particle,diaqh/kh,διαθήκη,noun,au(/th,οὗτος,pronoun,a)nagnwsqh/setai,ἀναγιγνώσκω,verb,kai\,καί,conjunction,oi(,ἕ,pronoun,parageno/menoi,παραγίγνομαι,verb,marturh/sousi,μαρτυρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/,καί,conjunction,moi,ἐγώ,pronoun,a)na/gnwqi,ἀναγιγνώσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,me\n,μέν,particle,die/qeto,διατίθημι,verb,kai\,καί,conjunction,e)f',ἐπί,preposition,oi(=s,ὅς,pronoun,e)poih/sato,ποιέω,verb,u(o\n,υἱός,noun,tou=ton,οὗτος,pronoun,a)khko/ate,ἀκούω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
