word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/11/lemma/@_entry,word/11/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS
th\n,ὁ,article,me\n,μέν,particle,ou)=n,οὖν,particle,tou/twn,οὗτος,pronoun,kaki/an,κακία,noun,e)c,ἐκ,preposition,au)tw=n,αὐτός,pronoun,tw=n,ὁ,article,e)/rgwn,ἔργον,noun,gnw/sesq',γιγνώσκω,verb,e)peida\n,ἐπειδάν,conjunction,dia\,te/lous,τέλος,noun,a)kou/shte,ἀκούω,verb,tw=n,ὁ,article,pepragme/nwn,πράσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,διά,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/qen,ὅθεν,adverb,d',δέ,particle,oi)=mai,οἴομαι,verb,ta/xist',τάχιστος,adjective,a)\n,ἄν,particle,u(ma=s,σύ,pronoun,maqei=n,μανθάνω,verb,peri\,περί,preposition,w(=n,ὅς,pronoun,a)mfisbhtou=men,ἀμφισβητέω,verb,e)nteu=qen,ἐντεῦθεν,adverb,a)/rcomai,dihgei=sqai,διηγέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἄρχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*qra/sullos,Θράσυλλος,proper,ga\r,γάρ,particle,o(,ὁ,article,path\r,πατήρ,noun,tou=,ὁ,article,katalipo/ntos,καταλιμπάνω,verb,th\n,ὁ,article,diaqh/khn,διαθήκη,noun,para\,παρά,preposition,me\n,μέν,particle,tw=n,ὁ,article,progo/nwn,ou)demi/an,οὐδείς,pronoun,ou)si/an,οὐσία,adjective,pare/laben,παραλαμβάνω,verb,ce/nos,ξένος,noun,de\,δέ,particle,*polemaine/tw|,πολεμαίνετος,adjective,tw=|,ὁ,article,ma/ntei,μάντις,noun,geno/menos,γίγνομαι,verb,ou(/tws,οὕτως,adverb,oi)kei/ws,οἰκεῖος,adjective,diete/qh,διατίθημι,verb,πρόγονος,adjective,pro\s,πρός,preposition,au)to\n,αὐτός,pronoun,w(/st',ὥστε,conjunction,a)poqnh/|skwn,ἀποθνήσκω,verb,e)kei=nos,ἐκεῖνος,pronoun,ta/s,ὁ,article,te,τε,particle,bi/blous,βίβλος,noun,ta\s,ὁ,article,peri\,περί,preposition,th=s,ὁ,article,mantikh=s,μαντικός,adjective,au)tw=|,αὐτός,pronoun,kate/lipe,καταλιμπάνω,verb,kai\,καί,conjunction,th=s,ὁ,article,ou)si/as,οὐσία,adjective,me/ros,μέρος,noun,ti,τις,pronoun,th=s,ὁ,article,nu=n,νῦν,adverb,ou)/shs,εἰμί,verb,e)/dwken,δίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labw\n,λαμβάνω,verb,de\,δέ,particle,*qra/sullos,Θράσυλλος,proper,tau/tas,οὗτος,pronoun,a)forma\s,ἀφορμή,noun,e)xrh=to,χράομαι,verb,th=|,ὁ,article,te/xnh|,τέχνη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pla/nhs,πλάνη,noun,de\,δέ,particle,geno/menos,γίγνομαι,verb,kai\,καί,conjunction,diaithqei\s,διαιτάω,verb,e)n,ἐν,preposition,pollai=s,πολύς,adjective,po/lesin,πόλις,adjective,a)/llais,ἄλλος,adjective,te,τε,particle,gunaici\,γυνή,noun,sunege/neto,w(=n,ὅς,pronoun,e)/niai,ἔνιοι,adjective,kai\,καί,conjunction,paida/ri',παιδάριον,noun,a)pe/deican,ἀποδείκνυμι,verb,a(\,ὅς,pronoun,'kei=nos,ἐκεῖνος,pronoun,ou)de\,οὐδέ,particle,pw/pote,πώποτε,adverb,gnh/si',γνήσιος,adjective,e)no/mise,νομίζω,verb,kai\,καί,conjunction,συγγίγνομαι,verb,dh\,δή,particle,kai\,καί,conjunction,th\n,ὁ,article,tau/ths,οὗτος,pronoun,mhte/r',μήτηρ,noun,e)n,ἐν,preposition,tou/tois,οὗτος,pronoun,toi=s,ὁ,article,xro/nois,χρόνος,noun,e)/laben,λάπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)peidh\,ἐπεί,conjunction,d',δέ,particle,ou)si/an,οὐσία,adjective,te,τε,particle,pollh\n,πολύς,adjective,e)kth/sato,κτάομαι,verb,kai\,καί,conjunction,th\n,ὁ,article,patri/d',πατρίς,adjective,e)po/qesen,ποθέω,verb,e)kei/nhs,ἐκεῖνος,pronoun,me\n,kai\,καί,conjunction,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,a)phlla/gh,ἀπαλλάσσω,verb,katapleu/sas,καταπλέω,verb,d',δέ,particle,ei)s,εἰς,preposition,*si/fnon,Σίφνος,proper,e)/ghmen,ἔσσομαι,verb,a)delfh\n,ἀδελφή,noun,tou=,ὁ,article,patro\s,πατήρ,noun,μέν,particle,tou)mou=,ἐγώ,pronoun,plou/tw|,πλοῦτος,noun,me\n,μέν,particle,au)to\s,αὐτός,pronoun,prw=tos,πρότερος,adjective,w)\n,εἰμί,verb,tw=n,ὁ,article,politw=n,πολίτης,noun,ge/nei,γένος,noun,de\,δέ,particle,kai\,καί,conjunction,toi=s,ὁ,article,a)/llois,ἄλλος,adjective,a)ciw/masin,ἀξίωμα,noun,ei)dw\s,οἶδα,verb,th\n,ὁ,article,h(mete/ran,ἡμέτερος,adjective,oi)ki/an,οἰκία,noun,proe/xousan,προέχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tw,οὕτως,adverb,de\,δέ,particle,sfo/dr',σφόδρα,adverb,h)ga/phse,ἀγαπάω,verb,th\n,ὁ,article,tou=,ὁ,article,patro\s,πατήρ,noun,fili/an,φιλία,noun,w(/st',ὥστε,conjunction,a)poqanou/shs,ἀποθνήσκω,verb,e)kei/nhs,ἐκεῖνος,pronoun,a)/paidos,au)=qis,αὖθις,adverb,h)ga/get',ἄγω,verb,a)neyia\n,ἀνεψιά,noun,tou=,ὁ,article,patro/s,πατήρ,noun,ou),οὐ,adverb,boulo/menos,βούλομαι,verb,dialu/sasqai,διαλύω,verb,th\n,ὁ,article,pro\s,πρός,preposition,h(ma=s,ἐγώ,pronoun,oi)keio/thta,οἰκειότης,noun,ἄπαις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,polu\n,πολύς,adjective,de\,δέ,particle,xro/non,χρόνος,noun,sunoikh/sas,συνοικέω,verb,tai=s,ὁ,article,au)tai=s,αὐτός,pronoun,tu/xais,τύχη,noun,e)xrh/sato,χράω,verb,kai\,καί,conjunction,peri\,περί,preposition,tau/thn,ai(=sper,ὅς,pronoun,kai\,καί,conjunction,peri\,περί,preposition,th\n,ὁ,article,prote/ran,πρότερος,adjective,,,,,,,,,,,,,,,,,,,,,,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta\,μετά,preposition,de\,δέ,particle,tau=t',οὗτος,pronoun,e)/ghmen,ἔσσομαι,verb,e)k,ἐκ,preposition,*seri/fou,Σέριφος,proper,par',παρά,preposition,a)nqrw/pwn,ἄνθρωπος,noun,polu\,πολύς,adjective,plei/onos,πλείων,verb,a)ci/wn,ἄξιος,adjective,h)\,kata\,κατά,preposition,th\n,ὁ,article,au(tw=n,ἑαυτοῦ,pronoun,po/lin,πόλις,adjective,e)c,ἐκ,preposition,h(=s,ὅς,pronoun,e)ge/neto,γίγνομαι,verb,*sw/polis,Σώπολις,proper,kai\,καί,conjunction,*qrasu/loxos,,,kai\,καί,conjunction,quga/thr,θυγάτηρ,adjective,ἠέ,conjunction,h(,ὁ,article,nu=n,νῦν,adverb,e)moi\,ἐγώ,pronoun,sunoikou=sa,συνοικέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*qra/sullos,Θράσυλλος,proper,me\n,μέν,particle,ou)=n,οὖν,particle,tou/tous,οὗτος,pronoun,mo/nous,μόνος,adjective,pai=das,παῖς,adjective,gnhsi/ous,γνήσιος,adjective,katalipw\n,καταλιμπάνω,verb,kai\,καί,conjunction,klhrono/mous,κληρόνομος,noun,tw=n,ὁ,article,au(tou=,katasth/sas,καθίστημι,verb,to\n,ὁ,article,bi/on,βίος,adjective,e)teleu/thsen,τελευτάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,ἑαυτοῦ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,de\,δέ,particle,kai\,καί,conjunction,*qrasu/loxos,,,tosau/thn,τοσοῦτος,adjective,fili/an,φιλία,noun,para\,παρά,preposition,tw=n,ὁ,article,pate/rwn,πατήρ,noun,paralabo/ntes,παραλαμβάνω,verb,o(/shn,ὅσος,adjective,o)li/gw|,pro/teron,πρότερος,adjective,dihghsa/mhn,διηγέομαι,verb,e)/ti,ἔτι,adverb,mei/zw,μέγας,adverb,th=s,ὁ,article,u(parxou/shs,ὑπάρχω,verb,au)th\n,αὐτός,pronoun,e)poih/samen,ποιέω,verb,,,,,,,,,,,,,ὀλίγος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(/ws,ἕως,conjunction,me\n,μέν,particle,ga\r,γάρ,particle,pai=des,παῖς,adjective,h)=men,εἰμί,verb,peri\,περί,preposition,plei/onos,πλείων,verb,h(ma=s,ἐγώ,pronoun,au)tou\s,αὐτός,pronoun,h(gou/meqa,ἁγέομαι,verb,h)\,ἠέ,conjunction,tou\s,a)delfou/s,ἀδελφός,adjective,kai\,καί,conjunction,ou)/te,οὔτε,adverb,qusi/an,θυσία,noun,ou)/te,οὔτε,adverb,qewri/an,θεωρία,noun,ou)/t',οὔτε,adverb,a)/llhn,ἄλλος,adjective,e(orth\n,ἑορτή,adjective,ou)demi/an,οὐδείς,pronoun,xwri\s,χωρίς,adverb,a)llh/lwn,ἀλλήλων,pronoun,ὁ,article,h)/gomen,ἄγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)peidh\,ἐπεί,conjunction,d',δέ,particle,a)/ndres,ἀνήρ,noun,e)geno/meqa,γίγνομαι,verb,ou)de\n,οὐδείς,pronoun,pw/pot',πώποτε,adverb,e)nanti/on,ἐναντίος,adjective,h(mi=n,ἐγώ,pronoun,au)toi=s,αὐτός,pronoun,e)pra/camen,πράσσω,verb,a)lla\,ἀλλά,adverb,kai\,tw=n,ὁ,article,i)di/wn,ἴδιος,adjective,e)koinwnou=men,κοινωνέω,verb,kai\,καί,conjunction,pro\s,πρός,preposition,ta\,ὁ,article,th=s,ὁ,article,po/lews,πόλις,adjective,o(moi/ws,ὅμοιος,adjective,diekei/meqa,διάκειμαι,verb,kai\,καί,conjunction,fi/lois,φίλος,adjective,καί,conjunction,kai\,καί,conjunction,ce/nois,ξένος,noun,toi=s,ὁ,article,au)toi=s,αὐτός,pronoun,e)xrw/meqa,χράομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ti/,τίς,pronoun,dei=,δέομαι,verb,le/gein,λέγω,verb,ta\s,ὁ,article,oi)/koi,οἴκοι,adverb,xrh/seis,χράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,ou)de\,οὐδέ,particle,fugo/ntes,φεύγω,verb,a)p',ἀπό,preposition,a)llh/lwn,ἀλλήλων,pronoun,h)ciw/samen,ἀξιόω,verb,gene/sqai,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,de\,δέ,particle,teleutai=on,τελευταῖος,adjective,fqo/h|,φθόη,noun,sxo/menon,ἔχω,verb,au)to\n,αὐτός,pronoun,kai\,καί,conjunction,polu\n,πολύς,adjective,xro/non,χρόνος,noun,a)sqenh/santa,ἀσθενέω,verb,kai\,καί,conjunction,tou=,me\n,μέν,particle,a)delfou=,ἀδελφός,adjective,*swpo/lidos,Σώπολις,proper,au)tw=|,αὐτός,pronoun,pro/teron,πρότερος,adjective,teteleuthko/tos,τελευτάω,verb,th=s,ὁ,article,de\,δέ,particle,mhtro\s,μήτηρ,noun,kai\,καί,conjunction,th=s,ὁ,article,a)delfh=s,ἀδελφή,noun,ὁ,article,ou)/pw,οὔπω,adverb,parousw=n,πάρειμι,verb,meta\,μετά,preposition,tosau/ths,τοσοῦτος,adjective,e)rhmi/as,ἐρημία,noun,geno/menon,γίγνομαι,verb,ou(/tws,οὕτως,adverb,e)pipo/nws,ἐπίπονος,adjective,kai\,καί,conjunction,kalw=s,καλός,noun,au)to\n,αὐτός,pronoun,e)qera/peusa,θεραπεύω,verb,w(/st',ὥστε,conjunction,e)kei=non,ἐκεῖνος,pronoun,mh\,μή,conjunction,nomi/zein,νομίζω,verb,a)ci/an,ἄξιος,adjective,moi,ἐγώ,pronoun,du/nasqai,δύναμαι,verb,xa/rin,χάρις,noun,a)podou=nai,ἀποδίδωμι,verb,tw=n,ὁ,article,pepragme/nwn,πράσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
