word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS
kai/,καί,conjunction,moi,ἐγώ,pronoun,labe\,λαμβάνω,verb,th\n,ὁ,article,marturi/an,μαρτυρία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dh=lon,δῆλος,adjective,toi/nun,τοίνυν,particle,o(/ti,ὅστις,pronoun,disxili/wn,δισχίλιοι,adjective,me\n,μέν,particle,w(risme/nos,ὁρίζω,verb,th\n,ὁ,article,oi)ki/an,οἰκία,noun,tala/ntou,τάλαντον,noun,de\,δέ,particle,to\,ὁ,article,xwri/on,χωρίον,noun,w(s,ὡς,conjunction,o)gdoh/konta,ὀγδοήκοντα,noun,mna=s,μνᾶ,noun,dedwkw\s,δίδωμι,verb,e)/mellen,μέλλω,verb,a)mfisbhth/sein,ἀμφισβητέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mei=zon,μέγας,adverb,ou)=n,οὖν,particle,a)/n,ἄν,particle,ti,τις,pronoun,ge/noito,γίγνομαι,verb,tekmh/rion,τεκμήριον,noun,u(mi=n,σύ,pronoun,tou=,ὁ,article,mhde\n,μηδείς,pronoun,a)lhqe\s,ἀληθής,adjective,nu=n,νῦν,adverb,le/gein,λέγω,verb,tou=ton,οὗτος,pronoun,h)\,ἠέ,conjunction,ei),εἰ,conjunction,fanei/h,φαίνω,verb,mh\,μή,conjunction,tau)ta\,ταυτός,adjective,le/gwn,λέγω,verb,toi=s,ὁ,article,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,peri\,περί,preposition,tw=n,ὁ,article,au)tw=n,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)moi\,ἐγώ,pronoun,me\n,μέν,particle,ga\r,γάρ,particle,ou)de\n,οὐδείς,pronoun,a)\n,ἄν,particle,dokei=,δοκέω,verb,tou/tou,οὗτος,pronoun,mei=zon,μέγας,adverb,eu(reqh=nai,εὑρίσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ske/yasqe,σκέπτομαι,verb,toi/nun,τοίνυν,particle,th\n,ὁ,article,a)nai/deian,ἀναίδεια,adjective,o(\s,ὅς,pronoun,e)n,ἐν,preposition,u(mi=n,σύ,pronoun,e)to/lmhsen,τολμάω,verb,ei)pei=n,εἶπον,verb,w(s,ὡς,conjunction,ou)k,οὐ,adverb,a)posterei=,ἀποστερέω,verb,m',ἐγώ,pronoun,o(/sw|,ὅσος,adjective,plei/onos,πλείων,verb,a)/cio/n,ἄξιος,adjective,e)sti,εἰμί,verb,tala/ntou,τάλαντον,noun,kai\,καί,conjunction,tau=t',οὗτος,pronoun,au)to\s,αὐτός,pronoun,timh/sas,τιμάω,verb,ou)k,οὐ,adverb,a)/cion,ἄξιος,adjective,ei)=nai,εἰμί,verb,plei/onos,πλείων,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,ga\r,γάρ,particle,boulo/menos,βούλομαι,verb,disxili/wn,δισχίλιοι,adjective,proswri/sw,προσορίζω,verb,th\n,ὁ,article,oi)ki/an,οἰκία,noun,o(/te,ὅτε,conjunction,ta\s,ὁ,article,o)gdoh/konta,ὀγδοήκοντα,noun,mna=s,μνᾶ,noun,e)neka/leis,ἐγκαλέω,verb,ei)/,εἰ,conjunction,ge,γε,particle,to\,ὁ,article,xwri/on,χωρίον,noun,a)/cion,ἄξιος,adjective,h)=n,εἰμί,verb,plei/onos,πλείων,verb,a)ll',ἀλλά,adverb,ou)k,οὐ,adverb,e)pi\,ἐπί,preposition,tou/tw|,οὗτος,pronoun,kai\,καί,conjunction,ta\s,ὁ,article,disxili/as,δισχίλιοι,adjective,e)ti/qeis,τίθημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\,ἠέ,conjunction,o(/tan,ὅταν,conjunction,me/n,μέν,particle,soi,σύ,pronoun,dokh=|,δοκάζω,verb,pa/nta,πᾶς,adjective,ta\,ὁ,article,*)afo/bou,ἄφοβος,adjective,diasw/|zein,διασῴζω,verb,to/,ὁ,article,te,τε,particle,xwri/on,χωρίον,noun,e)/stai,εἰμί,verb,tala/ntou,τάλαντον,noun,mo/non,μόνος,adjective,a)/cion,ἄξιος,adjective,kai\,καί,conjunction,th\n,ὁ,article,oi)ki/an,οἰκία,noun,e)n,ἐν,preposition,disxili/ais,δισχίλιοι,adjective,prose/ceis,πρόσεξις,noun,h(/,ὅς,pronoun,te,τε,particle,proi\c,προίξ,adjective,o)gdoh/konta,ὀγδοήκοντα,noun,mnai=,μνᾶ,noun,genh/sontai,γίγνομαι,verb,kai\,καί,conjunction,a)ciw/seis,ἀξίωσις,noun,e)/xein,ἔχω,verb,a)mfo/tera,ἀμφότερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/tan,ὅταν,conjunction,de/,δέ,particle,soi,σύ,pronoun,mh\,μή,conjunction,sumfe/rh|,συμφέρω,verb,ta)nanti/a,ἐναντίος,adjective,pa/lin,πάλιν,adverb,h(,ὁ,article,me\n,μέν,particle,oi)ki/a,οἰκία,noun,tala/ntou,τάλαντον,noun,dio/ti,διότι,conjunction,nu=n,νῦν,adverb,e)gw\,ἐγώ,pronoun,tau/thn,οὗτος,pronoun,e)/xw,ἔχω,verb,tou=,ὁ,article,de\,δέ,particle,xwri/ou,χωρίον,noun,to\,ὁ,article,perio\n,περίειμι,verb,ou)k,οὐ,adverb,e)la/ttonos,ἐλάσσων,adjective,h)\,ἠέ,conjunction,duoi=n,δύο,adjective,a)/cion,ἄξιος,adjective,i(/n',ἵνα,conjunction,e)gw\,ἐγώ,pronoun,dokw=,δοκάζω,verb,bla/ptein,βλάπτω,verb,tou=ton,οὗτος,pronoun,ou)k,οὐ,adverb,a)posterei=sqai,ἀποστερέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(ra=|s,ὁράω,verb,w(s,ὡς,conjunction,u(pokri/nei,ὑποκρίνομαι,verb,me\n,μέν,particle,dedwke/nai,δίδωμι,verb,th\n,ὁ,article,proi=ka,προίξ,adjective,fai/nei,φαίνω,verb,de\,δέ,particle,kat',κατά,preposition,ou)d',οὐδέ,particle,o(ntinou=n,ὅστις,pronoun,tro/pon,τρόπος,noun,dedwkw/s,δίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,ga\r,γάρ,particle,a)lhqh=,ἀληθής,adjective,kai\,καί,conjunction,mh\,μή,conjunction,kakourgou/mena,κακουργέω,verb,tw=n,ὁ,article,pragma/twn,πρᾶγμα,noun,a(plw=s,ἁπλῶς,adverb,oi(=',οἷος,adjective,a)\n,ἄν,particle,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,praxqh=|,πράσσω,verb,toiau=t',τοιοῦτος,adjective,e)sti/n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
su\,σύ,pronoun,de\,δέ,particle,tou)nanti/on,ἐναντίος,adjective,e)cele/gxei,ἐξελέγχω,verb,pra/cas,πράσσω,verb,ei)s,εἰς,preposition,th\n,ὁ,article,kaq',κατά,preposition,h(mw=n,ἐγώ,pronoun,u(phresi/an,ὑπηρεσία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/cion,ἄξιος,adjective,toi/nun,τοίνυν,particle,kai\,καί,conjunction,to\n,ὁ,article,o(/rkon,ὅρκος,noun,o(poi=o/n,ὁποῖος,adjective,tin',τις,pronoun,a)\n,ἄν,particle,w)/mosen,ὄμνυμι,verb,ei)/,εἰ,conjunction,tis,τις,pronoun,e)/dwken,δίδωμι,verb,e)k,ἐκ,preposition,tou/twn,οὗτος,pronoun,i)dei=n,εἶδον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(\s,ὅς,pronoun,ga\r,γάρ,particle,o)gdoh/konta,ὀγδοήκοντα,noun,mna=s,μνᾶ,noun,e)/fh,φημί,verb,th\n,ὁ,article,proi=k',προίξ,adjective,ei)=nai,εἰμί,verb,ei),εἰ,conjunction,to/t',τότε,adverb,au)tw=|,αὐτός,pronoun,tis,τις,pronoun,e)/dwken,δίδωμι,verb,o)mo/santi,ὄμνυμι,verb,tau=t',οὗτος,pronoun,a)lhqh=,ἀληθής,adjective,le/gein,λέγω,verb,komi/sasqai,κομίζω,verb,ti/,τίς,pronoun,e)poi/hsen,ποιέω,verb,a)/n,ἄν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\,ἠέ,conjunction,dh=lon,δῆλος,adjective,o(/ti,ὅστις,pronoun,w)/mosen,ὄμνυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,ga\r,γάρ,particle,kai\,καί,conjunction,le/gwn,λέγω,verb,ou),οὐ,adverb,fh/sei,φημί,verb,to/t',τότε,adverb,a)\n,ἄν,particle,o)mo/sai,ὄμνυμι,verb,nu=n,νῦν,adverb,ge,γε,particle,tou=t',οὗτος,pronoun,a)ciw=n,ἀξιάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)kou=n,οὐκοῦν,adverb,o(/ti,ὅστις,pronoun,g',γε,particle,e)piw/rkhsen,ἐπιορκέω,verb,a)/n,ἄν,particle,e(auto\n,ἑαυτοῦ,pronoun,e)cele/gxei,ἐξελέγχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,ga\r,γάρ,particle,ou)k,οὐ,adverb,o)gdoh/konta,ὀγδοήκοντα,noun,mna=s,μνᾶ,noun,a)lla\,ἀλλά,adverb,ta/lanton,τάλαντον,noun,dedwke/nai,δίδωμι,verb,fhsi/n,φημί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,ma=llon,μᾶλλον,adverb,a)\n,ἄν,particle,ou)=n,οὖν,particle,ei)ko/tws,ἐοικότως,adverb,tis,τις,pronoun,au)to\n,αὐτός,pronoun,e)kei=n',ἐκεῖνος,pronoun,e)piorkei=n,ἐπιορκέω,verb,h)\,ἠέ,conjunction,ta/d',ὅδε,pronoun,h(goi=to,ἡγέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
