word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/2/lemma/@_entry,word/2/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/18/lemma/@_entry,word/18/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/41/lemma/@_entry,word/41/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/58/lemma/@_entry,word/58/lemma/@_POS,word/72/@_form,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS
kata\,κατά,preposition,de\,δέ,particle,to\n,xro/non,χρόνος,noun,tou=ton,οὗτος,pronoun,h(,ὁ,article,kefalh\,κεφαλή,noun,kai\,καί,conjunction,o(,ὁ,article,qw/rhc,θώραξ,noun,kate/yuktai,καταψύχω,verb,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=,ὁ,article,d',δέ,particle,ei(/neka,prosekte/on,προσεκτέος,adjective,o(/ti,ὅστις,pronoun,o(ko/tan,,,oi(,ὁ,article,po/des,πούς,noun,yuxroi\,ψυχρός,adjective,e)/wsi,εἰμί,verb,qermh\n,θερμός,adjective,a)na/gkh,ἀνάγκη,noun,th\n,ὁ,article,koili/hn,κοιλία,noun,ei)=nai,εἰμί,verb,kai\,καί,conjunction,ἕνεκα,preposition,pollh=s,πολύς,adjective,a)/shs,ἄση,noun,mesth\n,kai\,καί,conjunction,μεστός,adjective,u(potetaragme/nh,,,oi(,ὁ,article,polloi\,πολύς,adjective,tw=n,ὁ,article,toioute/wn,τοιοῦτος,adjective,ta\s,ὁ,article,kroku/das,κροκύς,adjective,a)faire/ousi,ἀφαιρέω,verb,kai\,καί,conjunction,ta\s,ὁ,article,*ri=nas,,,ska/llousi,σκάλλω,verb,kai\,καί,conjunction,kata\,κατά,preposition,braxu\,βραχύς,adjective,me\n,μέν,particle,a)pokri/nontai,ἀποκρίνω,verb,to\,ὁ,article,e)rwtw/menon,ἐρωτάω,verb,au)toi\,αὐτός,pronoun,de\,δέ,particle,a)f',e(wutw=n,ἑαυτοῦ,pronoun,ou)de\n,οὐδείς,pronoun,le/gousi,λέγω,verb,kathrthme/non,καταρτάω,verb,,,,,,,,,,,,,ἀπό,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doke/ei,δοκέω,verb,ou)=n,οὖν,particle,moi,ta\,ὁ,article,toia/de,τοιόσδε,adjective,melagxolika\,μελαγχολικός,adjective,ei)=nai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de\,δέ,particle,toiw=nde,e)o/ntwn,εἰμί,verb,h(,ὁ,article,koili/h,κοιλία,noun,u(grh\,ὑγρός,adjective,h)=|,εἰμί,verb,kai\,καί,conjunction,cunth/kh|,συντήκω,verb,doke/ei,δοκέω,verb,moi,ἐγώ,pronoun,ta\,ὁ,article,*rofh/mata,,,yuxro/tera,ψυχρός,adjective,kai\,καί,conjunction,τοιόσδε,adjective,paxu/tera,παχύς,adjective,prosfe/rein,προσφέρω,verb,kai\,ta\,ὁ,article,καί,conjunction,po/mata,πόμα,noun,statika\,στατικός,adjective,kai\,καί,conjunction,oi)nwde/stera,οἰνώδης,adjective,h)\,ἠέ,conjunction,kai\,καί,conjunction,stuptikw/tera,στυπτικός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(oko/soisi,ὁπόσος,adjective,de\,δέ,particle,tw=n,puretw=n,πυρετός,noun,di=noi/,δῖνος,noun,te,τε,particle,a)p',ἀπό,preposition,a)rxh=s,ἀρχή,noun,kai\,καί,conjunction,sfugmoi\,σφυγμός,noun,kefalh=s,κεφαλή,noun,ei)si,εἰμί,verb,kai\,καί,conjunction,ou)=ra,οὖρον,noun,lepta\,λεπτόν,noun,toute/oisi,,,ὁ,article,prosde/xesqai,προσδέχομαι,verb,pro\s,πρός,preposition,ta\s,kri/sias,κρίσις,adjective,ὁ,article,parocunqhso/menon,παροξύνω,verb,to\n,ὁ,article,pureto/n,πυρετός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,qauma/saimi,θαυμάζω,verb,d',a)\n,ἄν,particle,ou)d',οὐδέ,particle,ei),εἰ,conjunction,parafronh/seian,παραφρονέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(=si,ὅς,pronoun,de\,δέ,particle,e)n,a)rxh=|,ἀρχή,noun,ta\,ὁ,article,ou)=ra,οὖρον,noun,nefeloeide/a,νεφελοειδής,adjective,kai\,καί,conjunction,paxe/a,παχύς,adjective,tou\s,ὁ,article,toiou/sde,τοιόσδε,adjective,u(pokaqai/rein,ὑποκαθαίρω,verb,h)\n,ἐάν,conjunction,kai\,καί,conjunction,ta\,ὁ,article,a)/lla,ἄλλος,adjective,ἐν,preposition,cumfe/rh|,συμφέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(ko/soisi,ὁπόσος,adjective,de\,δέ,particle,e)n,a)rxh=|,ἀρχή,noun,ta\,ὁ,article,ou)=ra,οὖρον,noun,lepta\,λεπτόν,noun,mh\,μή,conjunction,farma/keue,φαρμακεύω,verb,tou\s,ὁ,article,toiou/tous,τοιοῦτος,adjective,a)ll',ἀλλά,adverb,h)\n,ἐάν,conjunction,doke/h|,δοκέω,verb,klu/sai,κλύζω,verb,,,,ἐν,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou/tous,οὗτος,pronoun,cumfe/rei,συμφέρω,verb,ou(/tw,qerapeu/esqai,θεραπεύω,verb,tw=|,ὁ,article,sw/mati,σῶμα,adjective,h(suxi/hn,ἡσυχία,noun,a)/gontas,ἄγω,verb,a)lei/fonta/,ἀλείφω,verb,te,τε,particle,kai\,καί,conjunction,periste/llonta,περιστέλλω,verb,o(malw=s,ὁμαλός,adjective,,,,,,,,,,οὕτως,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
potw=|,ποτός,adjective,de\,δέ,particle,xre/esqai,melikrh/tw|,μελίκρητον,noun,u(darei=,ὑδαρής,adverb,kai\,καί,conjunction,*rofh/mati,,,xulw=|,χυλός,noun,ptisa/nhs,πτισάνης,noun,e)s,εἰς,preposition,e(spe/rhn,ἑσπέρα,noun,,,,,,,,,,,,,,,,χράομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
koili/hn,κοιλία,noun,de\,δέ,particle,u(/page,kat',κατά,preposition,a)rxa\s,ἀρχή,noun,klusmw=|,κλυσμός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὑπάγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa/rmaka,φάρμακον,noun,de\,δέ,particle,mh\,pro/sage,προσάγω,verb,tou/toisin,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μή,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,ga/r,γάρ,particle,ti,kinh/sh|s,κινέω,verb,kata\,κατά,preposition,koili/hn,κοιλία,noun,to\,ὁ,article,ou)=ron,οὖρον,noun,ou),οὐ,adverb,pepai/netai,πεπαίνω,verb,a)ll',ἀλλά,adverb,a)/nidro/s,,,te,τε,particle,kai\,καί,conjunction,a)/kritos,ἄκριτος,adverb,o(,ὁ,article,τις,pronoun,pureto\s,πυρετός,noun,e)pi\,ἐπί,preposition,polu\n,xro/non,χρόνος,noun,πολύς,adjective,e)/stai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,de\,δέ,particle,*rofh/mata,o(ko/tan,,,e)ggu\s,ἐγγύς,adverb,tw=n,ὁ,article,krisi/wn,κρίσις,adjective,h)=|,εἰμί,verb,mh\,μή,conjunction,di/dou,δίδημι,verb,h)\n,ἐάν,conjunction,qorubh=tai,θορυβάζομαι,verb,h)\n,ἐάν,conjunction,d',δέ,particle,a)nh=|,ἀνάζω,verb,kai\,καί,conjunction,,,e)pididw=|,ἐπιδίδωμι,verb,e)pi\,ἐπί,preposition,to\,be/ltion,βελτίων,adverb,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fula/ssesqai,φυλάσσω,verb,de\,δέ,particle,xrh\,kai\,καί,conjunction,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,puretw=n,πυρετέω,verb,ta\s,ὁ,article,kri/sias,κρίσις,adjective,kai\,καί,conjunction,a)faire/ein,ἀφαιρέω,verb,ta\,ὁ,article,*rofh/mata,,,kata\,κατά,preposition,tou=ton,οὗτος,pronoun,to\n,ὁ,article,χρή,verb,kairo/n,καιρός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
memaqh/kasi,μανθάνω,verb,de\,δέ,particle,makroi\,oi(,ὁ,article,puretoi\,πυρετός,noun,oi(/de,ὅδε,pronoun,gi/gnesqai,γίγνομαι,verb,kai\,καί,conjunction,a)poskh/mmata,ἀπόσκημμα,noun,i)/sxein,ἴσχω,verb,h)\n,ἐάν,conjunction,me\n,μέν,particle,ta\,ὁ,article,ka/tw,κάτος,adjective,yuxra\,ψυχρός,adjective,h)=|,εἰμί,verb,μακρός,adjective,peri\,περί,preposition,w)=ta,οὖς,noun,kai\,tra/xhlon,τράχηλος,noun,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de\,δέ,particle,mh\,yuxra\,ψυχρός,adjective,h)=|,εἰμί,verb,a)/llas,ἄλλος,adjective,i)/sxein,ἴσχω,verb,metabola/s,μεταβολή,noun,,,,,,,,,,,,,,,,,,,,,,,,,μή,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r(e/ei,ῥέομαι,verb,de\,δέ,particle,kai\,ai(=ma,αἷμα,noun,e)k,ἐκ,preposition,*rinw=n,,,kai\,καί,conjunction,ai(,ὁ,article,koili/ai,κοιλία,noun,toi=si,ὁ,article,toioute/oisin,,,e)ktara/ssontai,ἐκταράσσω,verb,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(ko/soisi,ὁπόσος,adjective,de\,δέ,particle,puretoi\,a)sw/dee/s,ἀσώδης,adverb,ei)si,εἰμί,verb,kai\,καί,conjunction,u(poxo/ndria,ὑποχόνδριος,adjective,cuntei/nousi,συντείνω,verb,kai\,καί,conjunction,keklime/noi,κλίνω,verb,ou)k,οὐ,adverb,a)ne/xontai,ἀνέχω,verb,e)n,ἐν,preposition,tw=|,ὁ,article,au)te/w|,,,kai\,καί,conjunction,πυρετός,noun,ta\,ὁ,article,a)/krea,ἄκρις,noun,yu/xontai,pa/nta,πᾶς,adjective,ψύχω,verb,plei/sths,πλεῖστος,adjective,e)pimelei/hs,ἐπιμέλεια,noun,kai\,καί,conjunction,fulakh=s,φυλακεύς,noun,de/ontai,δέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dia/gein,διάγω,verb,de\,δέ,particle,tou/toisi,prosfe/rontas,προσφέρω,verb,mhde\n,μηδείς,pronoun,a)/llo,ἄλλος,adjective,h)\,ἠέ,conjunction,o)cu/meli,,,u(dare/s,ὑδαρής,adverb,,,,,,,,,,,,,,,,,,,,,,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ro/fhma,,,de\,δέ,particle,mh\,pro/sfere,προσφέρω,verb,e(/ws,ἕως,conjunction,a)\n,ἄν,particle,lh/ch|,λῆξις,noun,kai\,καί,conjunction,to\,ὁ,article,ou)=ron,οὖρον,noun,pepanqh=|,πεπαίνω,verb,,,,,,,,,,,,,,,,μή,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
katakli/nein,κατακλίνω,verb,de\,δέ,particle,e)s,zofera\,ζοφερός,adjective,oi)kh/mata,οἴκημα,noun,kai\,καί,conjunction,katakekli/sqai,κατακλίνω,verb,w(s,ὡς,conjunction,e)pi\,ἐπί,preposition,malqakwta/toisi,μαλθακός,adjective,strw/masi,στρῶμα,noun,polu\n,πολύς,adjective,xro/non,χρόνος,noun,e)pi\,ἐπί,preposition,ta\,ὁ,article,au)ta\,αὐτός,pronoun,εἰς,preposition,kartere/onta,καρτερέω,verb,kai\,καί,conjunction,w(s,h(/kista,ἥκιστος,adjective,ὡς,conjunction,*ripta/zein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ma/lista,μάλιστα,adverb,ga\r,γάρ,particle,tou=to,tou\s,ὁ,article,toiou/tous,τοιοῦτος,adjective,w)fele/ei,ὠφελέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pi\,ἐπί,preposition,de\,δέ,particle,to\,u(poxo/ndrion,ὑποχόνδριος,adjective,li/nou,λίνος,noun,spe/rma,σπέρμα,noun,e)gxri/wn,ἐγχράω,verb,e)piti/qei,ἐπιτίθημι,verb,fulasso/menos,φυλάσσω,verb,o(/kws,ὅπως,conjunction,mh\,μή,conjunction,fri/ch|,φρίσσω,verb,prostiqe/menos,προστίθημι,verb,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
