word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/62/lemma/@_entry,word/62/lemma/@_POS
kai\,καί,conjunction,ou),οὐ,adverb,mo/non,μόνος,adjective,par',παρά,preposition,h(mi=n,ἐγώ,pronoun,tou=to,οὗτος,pronoun,neno/mistai,νομίζω,verb,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,para\,παρά,preposition,toi=s,ὁ,article,a)/llois,ἄλλος,adjective,a(/pasi,ἅπας,adjective,kai\,καί,conjunction,*(/ellhsi,Ἕλλην,proper,kai\,καί,conjunction,barba/rois,βάρβαρος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)peidh\,ἐπεί,conjunction,toi/nun,τοίνυν,particle,tou=to,οὗτος,pronoun,o(mologei=tai,ὁμολογέω,verb,r(a|di/ws,ῥᾴδιος,adjective,h)/dh,ἤδη,adverb,toi=s,ὁ,article,a)/llois,ἄλλος,adjective,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,parakolouqh/sete,παρακολουθέω,verb,kai\,καί,conjunction,ai)sqh/sesqe,αἰσθάνομαι,verb,tou/tous,οὗτος,pronoun,o(/ti,ὅστις,pronoun,ei)si\,εἰμί,verb,bi/aioi,βίαιος,adjective,kai\,καί,conjunction,a)selgei=s,ἀσελγής,adverb,a)/nqrwpoi,ἄνθρωπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=,ὁ,article,*pole/mwnos,,,ga\r,γάρ,particle,tou=,ὁ,article,ui(e/os,υἱός,noun,tou=,ὁ,article,*(agni/ou,Ἁγνίης,proper,e)ge/neto,γίγνομαι,verb,ui(o\s,υἱός,noun,*(agni/as,Ἁγνίης,proper,to\,ὁ,article,tou=,ὁ,article,pa/ppou,πάππας,noun,tou=,ὁ,article,e(autou=,ἑαυτοῦ,pronoun,o)/nom',ὄνομα,adjective,e)/xwn,ἔχω,verb,tou=,ὁ,article,*(agni/ou,Ἁγνίης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ou(=tos,οὗτος,pronoun,me\n,μέν,particle,a)/pais,ἄπαις,noun,e)teleu/thsen,τελευτάω,verb,o(,ὁ,article,*(agni/as,Ἁγνίης,proper,o(,ὁ,article,u(/steros,ὕστερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th=s,ὁ,article,*fuloma/xhs,Φυλομάχη,proper,de\,δέ,particle,th=s,ὁ,article,a)delfh=s,ἀδελφή,noun,th=s,ὁ,article,*pole/mwnos,,,kai\,καί,conjunction,*fila/grou,Φίλαγρος,proper,w(=|,ὅς,pronoun,e)/dwken,δίδωμι,verb,au)th\n,αὐτός,pronoun,o(,ὁ,article,a)delfo\s,ἀδελφός,adjective,*pole/mwn,Πολέμων,proper,a)neyiw=|,ἀνεψιός,noun,o)/nti,εἰμί,verb,e(autou=,ἑαυτοῦ,pronoun,o(,ὁ,article,ga\r,γάρ,particle,*fi/lagros,Φίλαγρος,proper,ui(o\s,υἱός,noun,h)=n,εἰμί,verb,*eu)bouli/dou,Εὐβουλίδης,proper,tou=,ὁ,article,a)delfou=,ἀδελφός,adjective,tou=,ὁ,article,*(agni/ou),,,tou=,ὁ,article,dh\,δή,particle,*fila/grou,Φίλαγρος,proper,tou=,ὁ,article,a)neyiou=,ἀνεψιός,noun,tou=,ὁ,article,*pole/mwnos,,,kai\,καί,conjunction,th=s,ὁ,article,*fuloma/xhs,Φυλομάχη,proper,th=s,ὁ,article,a)delfh=s,ἀδελφή,noun,th=s,ὁ,article,*pole/mwnos,,,e)ge/neto,γίγνομαι,verb,ui(o\s,υἱός,noun,*eu)bouli/dhs,Εὐβουλίδης,proper,o(,ὁ,article,path\r,πατήρ,noun,o(,ὁ,article,th=s,ὁ,article,mhtro\s,μήτηρ,noun,tou=,ὁ,article,paido\s,παῖς,adjective,toutoui/,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ou(=toi,οὗτος,pronoun,me\n,μέν,particle,ui(ei=s,υἱός,noun,e)ge/nonto,γίγνομαι,verb,*pole/mwni,,,kai\,καί,conjunction,th=|,ὁ,article,a)delfh=|,ἀδελφή,noun,th=|,ὁ,article,*pole/mwnos,,,*fuloma/xh|,Φυλομάχη,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=,ὁ,article,de\,δέ,particle,*xaridh/mou,Χαρίδημος,proper,e)ge/neto,γίγνομαι,verb,tou=,ὁ,article,ui(e/os,υἱός,noun,tou=,ὁ,article,*strati/ou,Στράτιος,proper,*qeo/pompos,Θεόπομπος,proper,o(,ὁ,article,toutoui\,οὗτος,pronoun,path\r,πατήρ,noun,*makarta/tou,Μακάρτατος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa/lin,πάλιν,adverb,dh\,δή,particle,e)rwtw=,ἐρωτάω,verb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,po/teros,πότερος,adjective,oi)keio/tero/s,οἰκεῖος,adjective,e)stin,εἰμί,verb,kai\,καί,conjunction,prosh/kei,προσήκω,verb,ma=llon,μᾶλλον,adverb,*(agni/a|,Ἁγνίης,proper,tw=|,ὁ,article,prw/tw|,πρότερος,adjective,e)kei/nw|,ἐκεῖνος,pronoun,o(,ὁ,article,*pole/mwnos,,,ui(o\s,υἱός,noun,*(agni/as,Ἁγνίης,proper,kai\,καί,conjunction,*eu)bouli/dhs,Εὐβουλίδης,proper,o(,ὁ,article,*fuloma/xhs,Φυλομάχη,proper,ui(o\s,υἱός,noun,kai\,καί,conjunction,*fila/grou,Φίλαγρος,proper,h)\,ἠέ,conjunction,*qeo/pompos,Θεόπομπος,proper,o(,ὁ,article,*xaridh/mou,Χαρίδημος,proper,ui(o/s,υἱός,noun,*strati/ou,Στράτιος,proper,de\,δέ,particle,u(i+dou=s,ὑιδοῦς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,me\n,μέν,particle,ga\r,γάρ,particle,oi)=mai,οἴομαι,verb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,ei)/per,εἴπερ,conjunction,kai\,καί,conjunction,o(,ὁ,article,ui(o\s,υἱός,noun,oi)keio/tato/s,οἰκεῖος,adjective,e)stin,εἰμί,verb,kai\,καί,conjunction,h(,ὁ,article,quga/thr,θυγάτηρ,adjective,pa/lin,πάλιν,adverb,o(,ὁ,article,u(i+dou=s,ὑιδοῦς,noun,kai\,καί,conjunction,o(,ὁ,article,e)k,ἐκ,preposition,th=s,ὁ,article,qugatro\s,θυγάτηρ,adjective,ui(o/s,υἱός,noun,ou(=toi,οὗτος,pronoun,oi)keio/teroi/,οἰκεῖος,adjective,ei)si,εἰμί,verb,ma=llon,μᾶλλον,adverb,h)\,ἠέ,conjunction,o(,ὁ,article,tou=,ὁ,article,a)delfidou=,ἀδελφιδέος,noun,ui(o\s,υἱός,noun,kai\,καί,conjunction,o(,ὁ,article,e)c,ἐκ,preposition,e(te/rou,ἕτερος,adjective,w)\n,εἰμί,verb,oi)/kou,οἶκος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=|,ὁ,article,me\n,μέν,particle,ou)=n,οὖν,particle,*qeopo/mpw|,Θεόπομπος,proper,e)ge/neto,γίγνομαι,verb,ui(o\s,υἱός,noun,*maka/rtatos,Μακάρτατος,proper,ou(tosi/,οὗτος,pronoun,tw=|,ὁ,article,de\,δέ,particle,*eu)bouli/dh|,Εὐβουλίδης,proper,tw=|,ὁ,article,th=s,ὁ,article,*fuloma/xhs,Φυλομάχη,proper,ui(ei=,υἱός,noun,a)neyiw=|,ἀνεψιός,noun,de\,δέ,particle,*(agni/ou,Ἁγνίης,proper,o)/nti,εἰμί,verb,pro\s,πρός,preposition,patro/s,πατήρ,noun,ou(tosi\,οὗτος,pronoun,o(,ὁ,article,pai=s,πᾶς,adjective,a)neyiou=,ἀνεψιός,noun,pai=s,πᾶς,adjective,w)\n,εἰμί,verb,*(agni/a|,Ἁγνίης,proper,pro\s,πρός,preposition,patro/s,πατήρ,noun,e)peidh\,ἐπεί,conjunction,h(,ὁ,article,*fuloma/xh,Φυλομάχη,proper,h(,ὁ,article,mh/thr,μήτηρ,noun,h(,ὁ,article,*eu)bouli/dou,Εὐβουλίδης,proper,kai\,καί,conjunction,o(,ὁ,article,*pole/mwn,Πολέμων,proper,o(,ὁ,article,path\r,πατήρ,noun,o(,ὁ,article,*(agni/ou,Ἁγνίης,proper,a)delfoi\,ἀδελφός,adjective,h)=san,εἰμί,verb,o(mopa/trioi,ὁμοπάτριος,adjective,kai\,καί,conjunction,o(momh/trioi,ὁμομήτριος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=|,ὁ,article,de/,δέ,particle,ge,γε,particle,*makarta/tw|,Μακάρτατος,proper,tw|di/,ὅδε,pronoun,tw=|,ὁ,article,ui(ei=,υἱός,noun,tw=|,ὁ,article,*qeopo/mpou,Θεόπομπος,proper,ou)de\n,οὐδείς,pronoun,e)ge/neto,γίγνομαι,verb,e)/kgonon,κίκω,verb,o(/,ὅς,pronoun,ti,τις,pronoun,e)sti\n,εἰμί,verb,e)n,ἐν,preposition,tw=|,ὁ,article,oi)/kw|,οἶκος,noun,tw=|,ὁ,article,tou/tou,οὗτος,pronoun,kai\,καί,conjunction,tw=|,ὁ,article,*strati/ou,Στράτιος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou/twn,οὗτος,pronoun,d',δέ,particle,ou(/tws,οὕτως,adverb,e)xo/ntwn,ἔχω,verb,tw=|,ὁ,article,me\n,μέν,particle,paidi\,παῖς,adjective,toutw|i/,οὗτος,pronoun,e)stin,εἰμί,verb,o)/noma,ὄνομα,adjective,tw=n,ὁ,article,e)n,ἐν,preposition,tw=|,ὁ,article,no/mw|,νόμος,noun,ei)rhme/nwn,ἐρῶ,verb,kai\,καί,conjunction,me/xri,μέχρι,preposition,w(=n,ὅς,pronoun,o(,ὁ,article,no/mos,νόμος,noun,keleu/ei,κελεύω,verb,th\n,ὁ,article,a)gxistei/an,ἀγχιστεία,noun,ei)=nai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)neyiou=,ἀνεψιός,noun,ga\r,γάρ,particle,*(agni/ou,Ἁγνίης,proper,pai=s,πᾶς,adjective,e)stin,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,ga\r,γάρ,particle,path\r,πατήρ,noun,au)tou=,αὐτός,pronoun,*eu)bouli/dhs,Εὐβουλίδης,proper,a)neyio\s,ἀνεψιός,noun,h)=n,εἰμί,verb,*(agni/a|,Ἁγνίης,proper,ou(=,ἕ,pronoun,e)stin,εἰμί,verb,o(,ὁ,article,klh=ros,κλῆρος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de/,δέ,particle,ge,γε,particle,*qeo/pompos,Θεόπομπος,proper,o(,ὁ,article,toutoui\,οὗτος,pronoun,path\r,πατήρ,noun,*makarta/tou,Μακάρτατος,proper,ou)k,οὐ,adverb,a)\n,ἄν,particle,ei)=xen,ἔχω,verb,o)/noma,ὄνομα,adjective,qe/sqai,τίθημι,verb,au(tw=|,ἑαυτοῦ,pronoun,tw=n,ὁ,article,e)n,ἐν,preposition,tw=|,ὁ,article,no/mw|,νόμος,noun,ei)rhme/nwn,ἐρῶ,verb,ou)de/n,οὐδείς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
