word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/28/lemma/@_entry,word/28/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/42/@_form,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/lemma/@_entry,word/42/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS
kai\,καί,conjunction,diekomi/sqh,διακομίζω,verb,kindu/nois,κίνδυνος,noun,au)=qis,αὖθις,adverb,ou)k,οὐ,adverb,e)la/ttosi,ἐλάσσων,adjective,xrhsa/menos,χράω,verb,kata\,κατά,preposition,qa/lattan,θάλασσα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)k,ἐκ,preposition,de\,δέ,particle,*kari/as,Κάριος,proper,xro/nw|,χρόνος,noun,pollw=|,πολύς,adjective,peraiwqei\s,περαιόω,verb,ei)s,εἰς,preposition,*ai)/gupton,Αἴγυπτος,proper,a)\u)to/qen,,,te,τε,particle,tw=|,ὁ,article,basilei=,βασιλεύς,noun,diakeime/nw|,διάκειμαι,verb,pro\s,πρός,preposition,au)to\n,αὐτός,pronoun,oi)kei/ws,οἰκεῖος,adjective,e)ne/tuxe,ἐντυγχάνω,verb,kai\,καί,conjunction,teqerapeume/nw|,θεραπεύω,verb,grafai=s,γραφή,noun,kai\,καί,conjunction,pi/nacin,πίναξ,adjective,a)po\,ἀπό,preposition,th=s,ὁ,article,*(ella/dos,Ἑλλάς,proper,e)n,ἐν,preposition,oi(=s,ὅς,pronoun,kri/sin,κρίσις,adjective,e)/xwn,ou)k,οὐ,adverb,a)/mouson,ἄμουσος,adjective,o(,ὁ,article,ἔχω,verb,*)/aratos,Ἄρατος,proper,a)ei/,ἀεί,adverb,ti,τις,pronoun,tw=n,ὁ,article,texnikw=n,τεχνικός,adjective,kai\,καί,conjunction,perittw=n,περισσός,adjective,ma/lista,μάλιστα,adverb,de\,δέ,particle,*pamfi/lou,kai\,*mela/nqou,Μέλανθος,proper,suna/gwn,συνάγω,verb,kai\,καί,conjunction,ktw/menos,κτάομαι,verb,a)pe/stellen,ἀποστέλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Πάμφιλος,proper,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)/nqei,ἀνθέω,verb,ga\r,γάρ,particle,e)/ti,ἔτι,adverb,do/ca,δόξα,noun,th=s,ὁ,article,*sikuwni/as,Σικυών,proper,mou/shs,Μοῦσα,proper,kai\,καί,conjunction,xrhstografi/as,χρηστογραφία,noun,w(s,ὡς,conjunction,mo/nhs,μόνος,adjective,a)dia/fqoron,ἀδιάφθορος,adjective,e)xou/shs,ἔχω,verb,to\,ὁ,article,kalo/n,καλός,noun,w(/ste,ὥστε,conjunction,kai\,καί,conjunction,*)apellh=n,Ἀπελλᾶς,proper,e)kei=non,ἐκεῖνος,pronoun,h)/dh,ἤδη,adverb,qaumazo/menon,θαυμάζω,verb,a)fike/sqai,ἀφικνέομαι,verb,kai\,καί,conjunction,suggene/sqai,συγγίγνομαι,verb,toi=s,ὁ,article,a)ndra/sin,ἀνήρ,noun,e)pi\,ἐπί,preposition,tala/ntw|,τάλαντον,noun,th=s,do/chs,δόξα,noun,ma=llon,μᾶλλον,adverb,h)\,ἠέ,conjunction,ὁ,article,th=s,ὁ,article,te/xnhs,τέχνη,noun,deo/menon,δέομαι,verb,metalabei=n,μεταλαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dio\,διό,conjunction,ta\s,ὁ,article,me\n,μέν,particle,a)/llas,ἄλλος,adjective,ei)ko/nas,εἰκών,noun,tw=n,ὁ,article,tura/nnwn,τύραννος,noun,a)nei=len,ἀναιρέω,verb,eu)qu\s,εὐθύς,adverb,o(,ὁ,article,*)/aratos,Ἄρατος,proper,o(/te,ὅτε,conjunction,th\n,ὁ,article,po/lin,πόλις,adjective,h)leuqe/rwse,ἐλευθερόω,verb,peri\,περί,preposition,de\,δέ,particle,th=s,ὁ,article,*)aristra/tou,Ἀρίστρατος,proper,kata\,κατά,preposition,*fi/lippon,Φίλιππος,proper,a)kma/santos,ἀκμάζω,verb,e)bouleu/sato,βουλεύω,verb,polu\n,πολύς,adjective,xro/non,χρόνος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gra/fh,γράφω,verb,me\n,μέν,particle,ga\r,γάρ,particle,u(po\,ὑπό,preposition,pa/ntwn,πᾶς,adjective,tw=n,ὁ,article,peri\,περί,preposition,to\n,ὁ,article,*me/lanqon,Μέλανθος,proper,a(/rmati,ἅρμα,noun,nikhfo/rw|,νικηφόρος,adjective,parestw\s,παρίστημι,verb,o(,ὁ,article,*)ari/stratos,Ἀρίστρατος,proper,*)apellou=,Ἀπελλᾶς,proper,sunefayame/nou,συνεφάπτομαι,verb,th=s,ὁ,article,grafh=s,γραφεύς,noun,w(s,ὡς,conjunction,*pole/mwn,Πολέμων,proper,o(,ὁ,article,perihghth\s,περιηγητής,noun,i(sto/rhken,ἱστορέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=n,εἰμί,verb,de\,δέ,particle,to\,ὁ,article,e)/rgon,ἔργον,noun,a)cioqe/aton,ἀξιοθέατος,adjective,w(/ste,ὥστε,conjunction,gna/mptesqai,γνάμπτω,verb,to\n,ὁ,article,*)/araton,Ἄρατος,proper,u(po\,ὑπό,preposition,th=s,ὁ,article,te/xnhs,τέχνη,noun,au)=qi/s,αὖθις,adverb,te,τε,particle,mi/sei,μῖσος,noun,tw=|,ὁ,article,pro\s,πρός,preposition,tou\s,ὁ,article,tura/nnous,τύραννος,noun,e)cago/menon,ἐξάγω,verb,keleu/ein,κελεύω,verb,kaqairei=n,καθαιρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\n,ὁ,article,ou)=n,οὖν,particle,zwgra/fon,ζωγράφος,noun,*nea/lkh,Νεάλκης,proper,fi/lon,φίλος,adjective,o)/nta,εἰμί,verb,tou=,ὁ,article,*)ara/tou,Ἄρατος,proper,paraitei=sqai/,παραιτέομαι,verb,fasi,φημί,verb,kai\,καί,conjunction,dakru/ein,δακρύω,verb,w(s,ὡς,conjunction,d',δέ,particle,ou)k,οὐ,adverb,e)/peiqen,πείθω,verb,ei)pei=n,εἶπον,verb,o(/ti,ὅστις,pronoun,toi=s,ὁ,article,tura/nnois,τύραννος,noun,polemhte/on,πολεμητέον,adjective,ou),οὐ,adverb,toi=s,ὁ,article,tw=n,ὁ,article,tura/nnwn,τύραννος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)a/swmen,ἀίω,verb,ou)=n,οὖν,particle,to\,ὁ,article,a(/rma,ἅρμα,noun,kai\,καί,conjunction,th\n,ὁ,article,*ni/khn,Νίκη,proper,au)to\n,αὐτός,pronoun,de/,δέ,particle,soi,σύ,pronoun,pare/cw,παρέχω,verb,to\n,ὁ,article,*)ari/straton,Ἀρίστρατος,proper,e)gw\,ἐγώ,pronoun,paraxwrou=nta,παραχωρέω,verb,tou=,ὁ,article,pi/nakos,πίναξ,adjective,e)pitre/yantos,ἐπιτρέπω,verb,ou)=n,οὖν,particle,tou=,ὁ,article,*)ara/tou,Ἄρατος,proper,dih/leiyen,διαλείφω,verb,o(,ὁ,article,*nea/lkhs,Νεάλκης,proper,to\n,ὁ,article,*)ari/straton,Ἀρίστρατος,proper,ei)s,εἰς,preposition,de\,δέ,particle,th\n,xw/ran,χώρα,noun,foi/nika,φοῖνιξ,noun,mo/non,μόνος,adjective,ὁ,article,e)ne/grayen,ἐγγράφω,verb,a)/llo,ἄλλος,adjective,de\,δέ,particle,ou)de\n,οὐδείς,pronoun,e)to/lmhse,τολμάω,verb,parabalei=n,παραβάλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou\s,ὁ,article,de\,δέ,particle,po/das,πούς,noun,e)caleifome/nou,ἐξαλείφω,verb,tou=,ὁ,article,*)aristra/tou,Ἀρίστρατος,proper,dialaqei=n,διαλανθάνω,verb,u(po\,ὑπό,preposition,to\,ὁ,article,a(/rma,ἅρμα,noun,le/gousin,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/k,ἐκ,preposition,te,τε,particle,dh\,δή,particle,tou/twn,οὗτος,pronoun,o(,ὁ,article,*)/aratos,Ἄρατος,proper,h)gapa=to,ἀγαπάω,verb,kai\,καί,conjunction,didou\s,δίδωμι,verb,pei=ran,πεῖρα,noun,e)/ti,ἔτι,adverb,ma=llon,μᾶλλον,adverb,h(/yato,ἅπτω,verb,tou=,ὁ,article,basile/ws,βασιλεύς,noun,kai\,καί,conjunction,dwrea\n,δωρεά,noun,e)/labe,λαμβάνω,verb,th=|,ὁ,article,po/lei,πόλις,adjective,penth/konta,πεντήκοντα,verb,kai\,καί,conjunction,e(kato\n,ἑκατόν,noun,ta/lanta,τάλαντον,noun,kai\,καί,conjunction,tou/twn,οὗτος,pronoun,tessara/konta,τεσσαράκοντα,adjective,me\n,μέν,particle,eu)qu\s,meq',μετά,preposition,e(autou=,ἑαυτοῦ,pronoun,komi/zwn,κομίζω,verb,εὐθύς,adverb,ei)s,εἰς,preposition,*pelopo/nnhson,Πελοπόννησος,proper,kath=re,καταίρω,verb,ta\,ὁ,article,de\,δέ,particle,loipa\,λοιπός,adjective,dielw\n,διαιρέω,verb,ei)s,εἰς,preposition,do/seis,δόσις,noun,o(,basileu\s,u(/steron,ὕστερος,adjective,kata/,κατά,preposition,me/ros,μέρος,noun,a)pe/steilen,ἀποστέλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,βασιλεύς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=n,εἰμί,verb,me\n,μέν,particle,ou)=n,οὖν,particle,me/ga,μέγας,adverb,kai\,καί,conjunction,to\,ὁ,article,xrh/mata,χρῆμα,adjective,tosau=ta,τοσοῦτος,adjective,pori/sai,πορίζω,verb,toi=s,ὁ,article,poli/tais,πολίτης,noun,o(/swn,ὅσος,adjective,mikro\n,μικρός,adjective,me/ros,μέρος,noun,a)/lloi,ἄλλος,adjective,strathgoi\,στρατηγός,noun,kai\,καί,conjunction,dhmagwgoi\,δημαγωγός,noun,lamba/nontes,λαμβάνω,verb,para\,παρά,preposition,basile/wn,βασίλη,noun,h)di/koun,ἀδικέω,verb,kai\,καί,conjunction,katedoulou=nto,καταδουλόω,verb,kai\,καί,conjunction,proe/pinon,προπίνω,verb,au)toi=s,αὐτός,pronoun,ta\s,ὁ,article,patri/das,mei/zwn,μέγας,adverb,de\,δέ,particle,h(,ὁ,article,πατρίς,adjective,dia\,διά,preposition,tw=n,ὁ,article,xrhma/twn,χρῆμα,adjective,tou/twn,οὗτος,pronoun,kataskeuasqei=sa,κατασκευάζω,verb,toi=s,ὁ,article,me\n,μέν,particle,a)po/rois,ἄπορος,adjective,pro\s,πρός,preposition,tou\s,plousi/ous,dia/lusis,διάλυσις,noun,kai\,καί,conjunction,o(mo/noia,ὁμόνοια,noun,tw=|,ὁ,article,de\,δέ,particle,dh/mw|,δῆμος,noun,panti\,πᾶς,adjective,swthri/a,σωτηρία,noun,kai\,καί,conjunction,a)sfa/leia,ἀσφάλεια,noun,qaumasth\,θαυμαστός,adjective,de\,δέ,particle,h(,ὁ,article,tou=,ὁ,article,a)ndro\s,ἀνήρ,noun,e)n,ἐν,preposition,duna/mei,δύναμις,adjective,tosau/th|,τοσοῦτος,adjective,metrio/ths,μετριότης,noun,,,,,,,,,,ὁ,article,πλούσιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)podeixqei\s,ἀποδείκνυμι,verb,ga\r,γάρ,particle,au)tokra/twr,αὐτοκράτωρ,adjective,diallakth\s,διαλλακτής,noun,kai\,καί,conjunction,ku/rios,κῦρος,noun,o(/lws,ὅλος,adjective,e)pi\,ἐπί,preposition,ta\s,ὁ,article,fugadika\s,φυγαδικός,adjective,oi)konomi/as,οἰκονομία,noun,mo/nos,μόνος,adjective,ou)x,οὐ,adverb,u(pe/meinen,ὑπομένω,verb,a)lla\,ἀλλά,adverb,pentekai/deka,πεντεκαίδεκα,noun,tw=n,ὁ,article,politw=n,πολίτης,noun,proskate/lecen,προσκαταλέγω,verb,e(autw=|,ἑαυτοῦ,pronoun,meq',μετά,preposition,w(=n,ὅς,pronoun,po/nw|,πόνος,noun,pollw=|,πολύς,adjective,kai\,καί,conjunction,mega/lais,μέγας,adverb,pragmatei/ais,πραγματεία,noun,kateirga/sato,κατεργάζομαι,verb,kai\,sunh/rmose,συναρμόζω,verb,fili/an,φιλία,noun,kai\,καί,conjunction,καί,conjunction,ei)rh/nhn,εἰρήνη,noun,toi=s,ὁ,article,poli/tais,πολίτης,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)f',ἐπί,preposition,oi(=s,ὅς,pronoun,ou),οὐ,adverb,mo/non,μόνος,adjective,koinh=|,κοινῇ,adverb,su/mpantes,σύμπας,adjective,oi(,ὁ,article,poli=tai,πολίτης,noun,tima\s,τιμή,noun,a)pe/dosan,ἀποδίδωμι,verb,au)tw=|,αὐτός,pronoun,prepou/sas,πρέπω,verb,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,kat',κατά,preposition,i)di/an,ἴδιος,adjective,oi(,ὁ,article,fuga/des,φυγάς,noun,ei)ko/na,εἰκών,noun,xalkh=n,χάλκεος,adjective,a)nasth/santes,ἀνίστημι,verb,e)pe/grayan,ἐπιγράφω,verb,to/de,ὅδε,pronoun,to\,ὁ,article,e)legei=on,ἐλεγεῖον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boulai\,βουλή,noun,me\n,μέν,particle,kai\,καί,conjunction,a)/eqla,ἆθλον,noun,kai\,καί,conjunction,a(,ὁ,article,peri\,περί,preposition,*(ella/dos,Ἑλλάς,proper,a)lka/,ἀλκή,noun,tou=d',ὅδε,pronoun,a)ndro\s,ἀνήρ,noun,sta/lais,στήλη,noun,pla/qetai,πλάθω,verb,*(hrakle/ous,Ἡρακλέης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/mmes,ἐγώ,pronoun,d',δέ,particle,ei)ko/n',εἰκών,noun,*)/arate,Ἄρατος,proper,tea\n,τεός,adjective,no/stoio,νόστος,noun,tuxo/ntes,τυγχάνω,verb,sta/samen,στάζω,verb,a)nt',ἀντί,preposition,a)reta=s,ἀρετή,noun,h)de\,ἠδέ,conjunction,dikaiosu/nas,δικαιοσύνη,noun,swth=ros,σωτήρ,noun,swth=rsi,σωτήρ,noun,qeoi=s,θεός,noun,o(/ti,ὅστις,pronoun,patri/di,πατρίς,adjective,ta=|,ὁ,article,sa=|,σός,adjective,daimo/nion,δαιμόνιον,noun,qei/an,θεῖος,adjective,t',τε,particle,w)/pasas,ὀπάζω,verb,eu)nomi/an,εὐνομία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
