word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/5/lemma/@_entry,word/5/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS
ka/llion,κάλλιον,adverb,w(s,ὡς,conjunction,i(/na,ἵνα,conjunction,kai/,καί,conjunction,tis,τις,pronoun,u(perbasi/as,a)le/htai),ἀλάομαι,verb,p,,,i)de/sqai,εἶδον,verb,ou)/pw,οὔπω,adverb,ta\n,ὁ,article,*knidi/an,Κνίδιος,proper,e)/ti,ἔτι,adverb,*dw/tion,,,i(ro\n,ἱερός,adjective,e)/naion,ναίω,verb,tei=,,,d',δέ,particle,au)ta=i,αὐτός,pronoun,kalo\n,καλός,noun,a)/lsos,ἄλσος,noun,e)poih/santo,ποιέω,verb,*pelasgoi/,Πελασγός,proper,de/ndresin,δένδρον,adjective,a)mfilafe/s,ἀμφιλαφής,adverb,,,,,,,,,,ὑπερβασία,noun,,,,,,,,,
dia/,διά,preposition,ken,ἄν,particle,mo/lis,μόλις,adverb,h)=nqen,ἔρχομαι,verb,o)isto/s,ὀιστός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,pi/tus,πίτυς,adjective,e)n,ἐν,preposition,mega/lai,μέγας,adverb,ptele/ai,πτελέα,noun,e)/san,e)n,ἐν,preposition,de\,δέ,particle,kai\,καί,conjunction,o)/xnai,ὄχνη,noun,e)n,ἐν,preposition,de\,δέ,particle,kala\,καλός,noun,gluku/mala,γλυκύμαλον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰμί,verb,,,,,,,,,
to\,ὁ,article,d',δέ,particle,w(/st',ὥστε,conjunction,a)le/ktrinon,,,u(/dwr,ὕδωρ,noun,e)c,a)mara=n,ἀμάρα,noun,a)ne/que,ἀναθύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐκ,preposition,,,,,,,,,
qea\,θεά,noun,d',δέ,particle,e)pemai/neto,ἐπιμαίνομαι,verb,xw/rwi,χῶρος,noun,o(/sson,ὅσος,adjective,*)eleusi=ni,*trio/pai,,,q',τε,particle,o(/son,ὅσος,adjective,o(kko/son,,,*)/ennai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ἐλευσίς,proper,,,,,,,,,
a)ll',ἀλλά,adverb,o(/ka,,,*triopi/daisin,,,o(,ὁ,article,decio\s,δεξιός,adjective,a)/xqeto,dai/mwn,δαίμων,adjective,touta/kis,τουτάκις,adverb,a(,ὁ,article,xei/rwn,χείρων,adverb,*)erusi/xqonos,Ἐρυσίχθων,proper,a(/yato,ἅπτω,verb,bwla/,βουλή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἄχθομαι,verb,,,,,,,,,
seu/at',σεύω,verb,e)/xwn,ἔχω,verb,qera/pontas,θεράπων,noun,e)ei/kosi,εἴκοσι,verb,pa/ntas,πᾶς,adjective,e)n,a)kma=i,ἀκμή,noun,pa/ntas,πᾶς,adjective,d',δέ,particle,a)ndrogi/gantas,,,o(/lan,ὅλος,adjective,po/lin,πόλις,adjective,a)rki/os,,,a)=rai,αἴρω,verb,a)mfo/teron,ἀμφότερος,adjective,pele/kessi,πέλεκυς,adjective,kai\,καί,conjunction,a)ci/naisin,ἀξίνη,noun,o(pli/ssas,ὁπλίζω,verb,e)s,εἰς,preposition,de\,δέ,particle,to\,ὁ,article,ta=s,ὁ,article,*da/matros,,,a)naide/es,ἀναιδής,adjective,e)/dramon,τρέχω,verb,a)/lsos,ἄλσος,noun,,,,ἐν,preposition,,,,,,,,,
h)=s,εἰμί,verb,de/,δέ,particle,tis,τις,pronoun,ai)/geiros,αἴγειρος,noun,me/ga,μέγας,adverb,de/ndreon,ai)qe/ri,αἰθήρ,noun,ku=ron,κυρέω,verb,tw=i,τίς,pronoun,e)/pi,ἐπί,preposition,tai\,ὁ,article,nu/mfai,νύμφη,noun,poti\,πρός,preposition,tw)/ndion,ἔνδιον,noun,e(yio/wnto,ἑψιάομαι,verb,a(\,ὅς,pronoun,pra/ta,πράτης,noun,plagei=sa,πλάσσω,verb,kako\n,κακός,adjective,me/los,μέλος,noun,i)/axen,ἰάχω,verb,a)/llais,ἄλλος,adjective,,,,,,,,,,,,,,,,,,,δένδρεον,noun,,,,,,,,,
a)/isqeto,,,*dama/thr,,,o(/ti,ὅστις,pronoun,oi(,ὁ,article,cu/lon,ξύλον,adjective,i(ero\n,a)/lgei,ἄλγος,noun,ei)=pe,εἶπον,verb,de\,δέ,particle,xwsame/na,χόω,verb,'ti/s,τίς,pronoun,moi,ἐγώ,pronoun,kala\,καλός,noun,de/ndrea,δένδρεον,noun,ko/ptei',κόπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἱερός,adjective,,,,,,,,,
au)ti/ka,αὐτίκα,adverb,*niki/ppai,,,ta\n,ὁ,article,oi(,ὁ,article,po/lis,πόλις,adjective,a)ra/teiran,damosi/an,δημόσιος,adjective,e)/stasan,ἵστημι,verb,e)ei/sato,εἴδομαι,verb,ge/nto,γέντο,verb,de\,δέ,particle,xeiri/,χείρ,noun,ste/mmata,στέμμα,noun,kai\,καί,conjunction,ma/kwna,μήκων,noun,katwmadi/an,κατωμάδιος,adjective,d',δέ,particle,e)/xe,ἔχω,verb,klai=da,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa=,φημί,verb,de\,δέ,particle,parayu/xoisa,παραψύχω,verb,kako\n,κακός,adjective,kai\,καί,conjunction,a)naide/a,fw=ta,φάος,adjective,'te/knon,τέκνον,noun,o(/tis,ὅστις,pronoun,ta\,ὁ,article,qeoi=sin,θεός,noun,a)neime/na,ἀνίημι,verb,de/ndrea,δένδρεον,noun,ko/pteis,κόπτω,verb,te/knon,τέκνον,noun,e)li/nuson,ἐλινύω,verb,te/knon,τέκνον,noun,polu/qeste,πολύθεστος,adjective,tokeu=si,τοκεύς,noun,pau/eo,παύω,verb,kai\,καί,conjunction,qera/pontas,θεράπων,noun,a)po/trepe,ἀποτρέπω,verb,mh/,μή,conjunction,ti,τις,pronoun,xalefqh=i,,,po/tnia,πότνια,noun,*dama/thr,,,ἀναιδής,adjective,ta=s,ὁ,article,i(ero\n,ἱερός,adjective,e)kkerai/+zeis',ἐκκεραίζω,verb
ta\n,ὁ,article,d',δέ,particle,a)/r',ἄρα,particle,u(poble/yas,ὑποβλέπω,verb,xalepw/teron,χαλεπός,adjective,h)e\,kunago\n,κυναγός,adjective,w)/resin,ὦρος,noun,e)n,ἐν,preposition,*tmari/oisin,,,u(poble/pei,ὑποβλέπω,verb,a)/ndra,ἀνήρ,noun,le/aina,λέαινα,noun,w)moto/kos,ὠμοτόκος,adjective,ta=s,ὁ,article,fanti\,φημί,verb,pe/lein,πέλω,verb,blosurw/taton,βλοσυρός,adjective,o)/mma,ὄμμα,noun,'xa/zeu',χάζομαι,verb,e)/fa,φημί,verb,'mh/,ἁμός,adjective,toi,σύ,pronoun,pe/lekun,πέλεκυς,adjective,me/gan,μέγας,adverb,e)n,ἐν,preposition,xroi\+,χρώς,noun,pacw=,,,ἠέ,conjunction,,,,,,,,,
tau=ta,οὗτος,pronoun,d',δέ,particle,e)mo\n,ἐμός,adjective,qhsei=,τίθημι,verb,stegano\n,στεγανός,adjective,do/mon,w(=i,ὅς,pronoun,e)/ni,ἐν,preposition,dai=tas,δαίς,adjective,ai)e\n,ἀεί,adverb,e)moi=s,ἐμός,adjective,e(ta/roisin,ἑταῖρος,noun,a)/dhn,ἅδην,adverb,qumare/as,θυμαρής,adjective,a)cw=',ἄγνυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δόμος,noun,,,,,,,,,
ei(=pen,εἶπον,verb,o(,ὁ,article,pai=s,πᾶς,adjective,*ne/mesis,Νέμεσις,proper,de\,δέ,particle,kaka\n,e)gra/yato,γράφω,verb,fwna/n,φωνή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,κακός,adjective,,,,,,,,,
*dama/thr,,,d',δέ,particle,a)/fato/n,ἄφατος,adjective,ti,τις,pronoun,kote/ssato,κοτέω,verb,ei)/sato,d',δέ,particle,a(,ὁ,article,qeu/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἶμι,verb,,,,,,,,,
i)/qmata,ἴθμα,noun,me\n,μέν,particle,xe/rsw,χέρσος,noun,kefala\,κεφαλή,noun,de/,δέ,particle,oi(,a(/yat',ἅπτω,verb,*)olu/mpw,Ὄλυμπος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἕ,pronoun,,,,,,,,,
oi(\,ἕ,pronoun,me\n,μέν,particle,a)/r',ἄρα,particle,h(miqnh=tes,ἡμιθνής,noun,e)pei\,ἐπεί,conjunction,ta\n,po/tnian,πότνια,noun,ei)=don,εἶδον,verb,e)capi/nas,ἐξαίφνης,adverb,a)po/rousan,ἀπορούω,verb,e)ni\,ἐν,preposition,drusi\,δρῦς,noun,xalko\n,χαλκός,noun,a)fe/ntes,ἀφίημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,
a(\,ὅς,pronoun,d',δέ,particle,a)/llws,ἄλλως,adverb,me\n,μέν,particle,e)/asen,ἀίω,verb,a)nagkai/ai,ga\r,γάρ,particle,e(/ponto,ἕπομαι,verb,despotika\n,δεσποτικός,adjective,u(po\,ὑπό,preposition,xei=ra,χείρ,noun,baru\n,βαρύς,adjective,d',δέ,particle,a)pamei/yat',ἀπαμείβομαι,verb,a)/nakta,ἄναξ,noun,'nai\,ναί,adverb,nai/,ναί,adverb,teu/xeo,τεύχω,verb,dw=ma,δῶμα,noun,ku/on,κύων,noun,ku/on,κύων,noun,w(=i,ὅς,pronoun,e)/ni,ἐν,preposition,dai=tas,δαίς,adjective,poihsei=s,ποιέω,verb,,,,,,,,,,ἀνάγκη,noun,,,,,,,,,
qaminai\,θαμινός,adverb,ga\r,γάρ,particle,e)s,εἰς,preposition,u(/steron,ὕστερος,adjective,ei)lapi/nai,εἰλαπίνη,noun,toi',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,σύ,pronoun,,,,,,,,,
a(\,ὅς,pronoun,me\n,μέν,particle,to/ss',τόσος,adjective,ei)poi=s',εἶπον,verb,*)erusi/xqoni,Ἐρυσίχθων,proper,teu=xe,ponhra/,πονηρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τεύχω,verb,,,,,,,,,
au)ti/ka,αὐτίκα,adverb,oi(,ὁ,article,xalepo/n,χαλεπός,adjective,te,τε,particle,kai\,καί,conjunction,a)/grion,e)/mbale,ἐμβάλλω,verb,limo/n,λιμός,noun,ai)/qwna,αἴθων,noun,kratero/n,κρατερός,adjective,mega/lai,μέγας,adverb,d',δέ,particle,e)streu/geto,στρεύγομαι,verb,nou/swi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἄγριος,adjective,,,,,,,,,
sxe/tlios,σχέτλιος,adjective,o(/ssa,ὅσος,adjective,pa/saito,πάομαι,verb,to/swn,τόσος,adjective,e)/xen,ἔχω,verb,i(/meros,au)=tis,αὖθις,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἵμερος,adjective,,,,,,,,,
ei)/kati,εἴκοσι,verb,dai=ta,δαίτης,noun,pe/nonto,πένομαι,verb,duw/deka,δυώδεκα,adjective,d',δέ,particle,oi)=non,a)/fusson,ἀφύσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οἶνον,noun,,,,,,,,,
to/ssa,τόσος,adjective,*diw/nuson,Διόνυσος,proper,ga\r,γάρ,particle,a(\,ὅς,pronoun,kai\,καί,conjunction,*da/matra,xale/ptei,χαλέπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,ta=i,ὁ,article,*da/matri,,,sunwrgi/sqh,συνοργίζομαι,verb,*dio/nusos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Διόνυσος,proper,,,,,,,,,
ou)/te,οὔτε,adverb,nin,νιν,pronoun,ei)s,εἰς,preposition,e)ra/nws,ἔρανος,noun,ou)/te,οὔτε,adverb,cundei/pnia,pe/mpon,πέμπω,verb,ai)do/menoi,αἰδέομαι,verb,gone/es,γονεύς,noun,proxana\,,,d',δέ,particle,eu(ri/sketo,εὑρίσκω,verb,pa=sa,πᾶς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,συνδείπνιον,noun,,,,,,,,,
h)=nqon,ἔρχομαι,verb,*)itwnia/dos,Ἰτωνιάς,proper,nin,νιν,pronoun,*)aqanai/as,Ἀθήνη,proper,e)p',ἐπί,preposition,a)/eqla,*)ormeni/dai,Ὀρμενίδης,proper,kale/ontes,καλέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἆθλον,noun,,,,,,,,,
a)p',ἀπό,preposition,w)=n,οὖν,particle,a)rnh/sato,ἀρνέομαι,verb,ma/thr,μήτηρ,noun,'ou)k,οὐ,adverb,e)/ndoi,xqizo\s,χθιζός,adjective,ga\r,γάρ,particle,e)pi\,ἐπί,preposition,*krannw=na,Κραννών,proper,be/bake,βάζω,verb,te/lqos,τέλθος,noun,a)paithsw=n,ἀπαιτέω,verb,e(kato\n,ἑκατόν,noun,bo/as',βοάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἔνδοι,adverb,,,,,,,,,
h)=nqe,ἔρχομαι,verb,*polucw/,Πολυξώ,proper,ma/thr,μήτηρ,noun,*)aktori/wnos,Ἀκτορίων,proper,e)pei\,ἐπεί,conjunction,ga/mon,a)/rtue,ἀρτύω,verb,paidi/,παῖς,adjective,a)mfo/teron,ἀμφότερος,adjective,*trio/pan,Τριόπης,proper,te,τε,particle,kai\,καί,conjunction,ui(e/a,υἱός,noun,kiklh/skoisa,κικλήσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,γάμος,adjective,,,,,,,,,
ta\n,ὁ,article,de\,δέ,particle,guna\,γυνή,noun,baru/qumos,βαρύθυμος,adjective,a)mei/beto,ἀμείβω,verb,da/kru,xe/oisa,,,'nei=tai/,νέομαι,verb,toi,σύ,pronoun,*trio/pas,Τριόπης,proper,*)erusi/xqona,Ἐρυσίχθων,proper,d',δέ,particle,h)/lase,ἐλαύνω,verb,ka/pros,κάπρος,noun,*pi/ndon,Πίνδος,proper,a)n',ἀνά,preposition,eu)a/gkeian,,,d,,,d',δέ,particle,e)nne/a,ἐννέα,verb,fa/ea,φάος,adjective,kei=tai',κέω,verb,,,,,,,,,,,,,,,,,,,δάκρυον,noun,,,,,,,,,
deilai/a,δείλαιος,adjective,filo/tekne,φιλότεκνος,adjective,ti/,τίς,pronoun,d',δέ,particle,ou)k,οὐ,adverb,e)yeu/sao,ma=ter,μήτηρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ψεύδω,verb,,,,,,,,,
dai/nuen,,,ei)lapi/nan,εἰλαπίνη,noun,tis,τις,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'e)n,ἐν,preposition,a)llotri/ois,ἀλλότριος,adjective,*)erusi/xqwn',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/geto/,ἄγω,verb,tis,τις,pronoun,nu/mfan,νύμφη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'*)erusi/xqona,,,di/skos,δίσκος,noun,e)/tuyen',τύφω,verb,h)\,ἠέ,conjunction,'e)/pes',,,e)c,i(/ppwn',ἵππος,noun,h)\,ἠέ,conjunction,'e)n,ἐν,preposition,*)/oqrui+,,,poi/mni',ποίμνιον,noun,a)miqrei=',ἀμιθρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐκ,preposition,,,,,,,,,
e)ndo/muxos,ἐνδόμυχος,adjective,dh)/peita,ἔπειτα,adverb,pana/meros,πανήμερος,adverb,ei)lapinasta/s,εἰλαπιναστής,noun,h)/sqie,ἐσθίω,verb,muri/a,pa/nta,πᾶς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μυρίος,adjective,,,,,,,,,
kaka\,κακός,adjective,d',δέ,particle,e)ca/lleto,ἐξάλλομαι,verb,gasth/r,γαστήρ,noun,ai)ei\,ἀεί,adverb,ma=llon,e)/donti,ἔδω,verb,ta\,ὁ,article,d',δέ,particle,e)s,εἰς,preposition,buqo\n,βυθός,noun,oi(=a,οἷος,adjective,qala/ssas,θάλασσα,noun,a)lema/tws,ἠλέματος,adjective,a)xa/rista,ἀχάριστος,adjective,kate/rreen,καταρρέω,verb,ei)/data,εἶδαρ,noun,pa/nta,πᾶς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μᾶλλον,adverb,,,,,,,,,
