word/0/@_form,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/0/lemma/@_entry,word/0/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/64/lemma/@_entry,word/64/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS
h)\n,de\,δέ,particle,mezo/nws,μέγας,adverb,tou=,ὁ,article,farma/kou,φάρμακον,noun,th=s,ὁ,article,i(erh=s,ἱερά,noun,kaleume/nhs,καλέω,verb,nh/sti,,,dido/nai,δίδωμι,verb,o(lkh=sb',,,cu\n,σύν,preposition,melikrh/tou,μελίκρητον,noun,kua/qois,κύαθος,noun,trisi\,τρεῖς,noun,kai\,καί,conjunction,perimei/nan,,,ta,,,kaqh/rasqai,καθαίρω,verb,to/te,τότε,adverb,dido/nai,δίδωμι,verb,siti/a,σιτίον,noun,h)\n,ἐάν,conjunction,kairo\s,καιρός,noun,h)=|,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐάν,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,de\,δέ,particle,mh\,μή,conjunction,ei)s,εἰς,preposition,th\n,ὁ,article,e)piou=san,ἔπειμι,verb,h(me/rhn,ἡμέρα,noun,h(,ὁ,article,trofh/,τροφή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐάν,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu)kairi/h,de/,δέ,particle,kote,ποτέ,particle,kai\,καί,conjunction,e)n,ἐν,preposition,e(spe/rh|,ἑσπέρα,noun,gi/gnetai,γίγνομαι,verb,th=s,ὁ,article,i(erh=s,ἱερεύς,adjective,o(lkh=s,ὁλκή,noun,u(/dati,ὕδωρ,noun,h)\,ἠέ,conjunction,melikrh/,,,tw|,τις,pronoun,luome/nhs,λύω,verb,kua/qois,κύαθος,noun,du/o,δύο,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εὐκαιρία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)trofi/h,kako\n,κακός,adjective,kako\n,κακός,adjective,de\,δέ,particle,kai\,καί,conjunction,polutrofi/h,πολυτροφία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀτροφία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xrh\,w)=n,οὖν,particle,o)ligositi/h|,ὀλιγοσιτία,noun,xre/esqai,χράομαι,verb,e)s,εἰς,preposition,e(ka/sthn,ἕκαστος,adjective,h(me/rhn,ἡμέρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,χρή,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)qro/on,de\,δέ,particle,mh\,μή,conjunction,a)sitei=n,ἀσιτέω,verb,u(pomnh/sio/s,ὑπόμνησις,noun,te,τε,particle,ga\r,γάρ,particle,h)d',ἠδέ,conjunction,a)le/hs,ἀλέα,noun,tw=|,ὁ,article,stoma/xw|,στόμαχος,noun,xre/os,χρέος,noun,a)na\,ἀνά,preposition,pa=san,πᾶς,adjective,th\n,ὁ,article,h(me/rhn,ἡμέρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀθρόος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ta\r,kai\,καί,conjunction,h(,ὁ,article,trofh\,τροφή,noun,e)/stw,εἰμί,verb,leptu/nousa,λεπτύνω,verb,kai\,καί,conjunction,diaxwrhtikh\,διαχωρητικός,adjective,e)n,ἐν,preposition,zwmoi=si,ζωμός,noun,ma=llon,μᾶλλον,adverb,h)\,ἠέ,conjunction,o)ptoi=si,ὀπτός,adjective,a)lektori/di,ἀλεκτορίς,adjective,kegxri/di,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀτάρ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lino/zwstis,de\,δέ,particle,cuneyei/sqw,συνέψω,verb,kai\,καί,conjunction,o)/cos,ὄξος,noun,paraxee/sqw,παραχέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,λινοζῶστις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,toi=si,τίς,pronoun,de\,δέ,particle,xuloi=si,χυλός,noun,e)mba/llein,ἐμβάλλω,verb,ei)/,εἰ,conjunction,poi,ποι,adverb,de/oi,δέω,verb,xulw=|,χυλός,noun,xre/esqai,χράομαι,verb,ptisa/nhs,πτισάνης,noun,eu)/pnoon,εὔπνοος,adjective,h)de\,ἠδέ,conjunction,ou)/rwn,οὖρον,noun,a)gwgo\n,ἀγωγός,adjective,ma/raqron,μάραθρον,adjective,se/linon,σέλινον,noun,ta\,ὁ,article,la/xana,λάχανον,adjective,h)\,ἠέ,conjunction,toute/wn,οὗτος,pronoun,tou\s,ὁ,article,karpou/s,καρπός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)gaqo\n,de\,δέ,particle,kai\,καί,conjunction,pra/son,πράσον,noun,th=|,ὁ,article,drimu/thti,δριμύτης,noun,kai\,καί,conjunction,kra/mbh,κράμβη,noun,cu\n,σύν,preposition,e)lai/w|,ἔλαιον,noun,kai\,καί,conjunction,ga/rw|,γάρον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀγαθός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/riston,de\,δέ,particle,kai\,καί,conjunction,ku/minon,κύμινον,adjective,gluku\,γλυκύς,adjective,cu\n,σύν,preposition,kra/mbh|,κράμβη,noun,fuse/wn,φῦσα,noun,h)de\,ἠδέ,conjunction,ou)/rwn,οὖρον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἄριστος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)reqiste/a,ga\r,γάρ,particle,h(,ὁ,article,ku/stis,κύστις,noun,h)de\,ἠδέ,conjunction,gasth\r,γαστήρ,noun,e)n,ἐν,preposition,pa/sh|,πᾶς,adjective,th=|,ὁ,article,nou/sw|,νόσος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
te/gcies,th=s,ὁ,article,kefalh=s,κεφαλή,noun,ai(/per,ὅς,pronoun,kai\,καί,conjunction,toi=si,ὁ,article,freniti,,,koi=si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τέγξις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)mfoi=n,ga\r,γάρ,particle,ai(,ὁ,article,ai)sqh/sies,αἴσθησις,noun,ple/ai,πλέος,adjective,gi/gnontai,γίγνομαι,verb,a)tmw=n,ἀτμή,noun,a(\s,ὅς,pronoun,a)pelau/nein,ἀπελαύνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἄμφω,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xrh\,yu/cei+,ψῦξις,noun,kai\,καί,conjunction,stu/yi,,,*rodi/nw|,,,kai\,καί,conjunction,kissou=,κισσάω,verb,xulw=|,χυλός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,χρή,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\,e)catmi/zein,ἐξατμίζω,verb,e)s,εἰς,preposition,diapnoh\n,διαπνοή,noun,toi=si,τίς,pronoun,leptu/nousi,λεπτύνω,verb,oi(=on,οἷος,adjective,e(rpu/lw|,,,e)n,ἐν,preposition,o)/cei+,ὄξος,noun,su\n,σύν,preposition,tw=|,ὁ,article,*rodi/nw|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἠέ,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,de\,δέ,particle,neu/rwn,νευρόω,verb,po/nos,πόνος,noun,e)/h|,εἰμί,verb,kai\,καί,conjunction,yu=cis,ψῦξις,noun,o(/lou,ὅλος,adjective,pollw=|,πολύς,adjective,de\,δέ,particle,ma=llon,μᾶλλον,adverb,a)kre/wn,ἄκρος,adjective,tw=|,ὁ,article,kastori/w|,καστορίδες,noun,cu\n,σύν,preposition,a)nhqi/nw|,ἀναράω,verb,lipai/nein,λιπαίνω,verb,h)de\,ἠδέ,conjunction,te/ggein,τέγγω,verb,th\n,ὁ,article,kefalh\n,κεφαλή,noun,kai\,καί,conjunction,to\n,ὁ,article,au)xe/na,αὐχήν,noun,kai\,καί,conjunction,th\n,ὁ,article,*ra/xin,,,xriein,,,tw=|,ὁ,article,au)tw=|,αὐτός,pronoun,cu\n,σύν,preposition,li/pai+,,,sikuwni/w|,,,h)\,ἠέ,conjunction,gleuki/nw|,γλεύκινος,adjective,h)\,ἠέ,conjunction,palaiw=|,παλαιός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐάν,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cugxri/ein,de\,δέ,particle,kai\,καί,conjunction,tw\,ὁ,article,xei=re,χείρ,noun,a)po\,ἀπό,preposition,tw=n,ὁ,article,w)/mwn,ὦμος,noun,kai\,καί,conjunction,tw\,ὁ,article,po/de,πούς,noun,a)po\,ἀπό,preposition,tw=n,ὁ,article,boubw/nwn,βουβών,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,συγχρίω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toisi/de,me/ntoi,μέντοι,particle,kai\,καί,conjunction,th\n,ὁ,article,ku/stin,κύστις,noun,kataionei=n,καταιονάω,verb,kai\,καί,conjunction,w(s,ὡς,conjunction,neu=ron,νεῦρον,noun,pa/sxousan,πάσχω,verb,kai\,καί,conjunction,w(s,ὡς,conjunction,ou)/rwn,οὖρον,noun,o(do\n,ὁδός,adjective,ka/mnousan,κάμνω,verb,a)ta\r,ἀτάρ,particle,kai\,καί,conjunction,th=|,ὁ,article,drimu/thti,δριμύτης,noun,tw=n,ὁ,article,xumw=n,χυμός,noun,a)xqome/nhn,ἄχθομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xolw/dea,ga\r,γάρ,particle,ta\,ὁ,article,ou)=ra,οὖρον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,χολώδης,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,de\,δέ,particle,me/zwn,μέγας,adverb,o(,ὁ,article,tro/mos,τρόμος,noun,e)/h|,εἰμί,verb,kai\,καί,conjunction,ki/ndunos,κίνδυνος,noun,spasmou=,σπασμός,noun,kai\,καί,conjunction,sikuwni/w|,,,ei)s,εἰς,preposition,th\n,ὁ,article,kefalh\n,κεφαλή,noun,u(p',ὑπό,preposition,a)na/gkhs,ἀνάγκη,noun,xre/esqai,χράομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐάν,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o)li/gh,de\,δέ,particle,h)/tw,εἰμί,verb,h(,ὁ,article,xri=sis,χρῖσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὀλίγος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,de\,δέ,particle,kai\,καί,conjunction,flegmasi/ai,φλεγμασία,noun,tw=n,ὁ,article,u(poxondri/wn,ὑποχόνδριος,adjective,e)/wsi,εἰμί,verb,kai\,καί,conjunction,prh/sies,πρᾶσις,noun,kai\,καί,conjunction,fu=sai,φύω,verb,kai\,καί,conjunction,perita/sies,περίτασις,noun,tou=,ὁ,article,de/rmatos,δέρμα,noun,h)\,ἠέ,conjunction,koi=lon,κόιλος,adjective,gi/gnhtai,γίγνομαι,verb,ei)/sw,εἴσω,adverb,ei)ruome/nou,ἐρύω,verb,tou=,ὁ,article,u(poxondri/ou,ὑποχόνδριος,adjective,e)mbre/gmata,ἔμβρεγμα,noun,kai\,καί,conjunction,e)pipla/smata,ἐπίπλασμα,noun,o(ko/sa,ὁπόσος,adjective,moi,ἐγώ,pronoun,e)n,ἐν,preposition,freniti,,,koi=si,,,le/lektai,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐάν,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siku/h|,h(/kista,ἥκιστος,adjective,xre/esqai,χράομαι,verb,h)\n,ἐάν,conjunction,a)po\,ἀπό,preposition,freni/tidos,φρένιτις,noun,e)/wsi,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,σικύα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu)tolmo/teron,de\,δέ,particle,h)\n,ἐάν,conjunction,a)rxh=qen,ἀρχῆθεν,adverb,h(,ὁ,article,nou=sos,νόσος,noun,ei)sba/llh|,εἰσβάλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εὔτολμος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,de\,δέ,particle,glw=ssa,γλῶσσα,noun,melai/nhtai,μελαίνω,verb,kai\,καί,conjunction,o)/gkos,ὄγκος,noun,e)n,ἐν,preposition,toi=si,ὁ,article,u(poxondri/oisi,ὑποχόνδριος,adjective,shmai/nh|,σημαίνω,verb,u(p',ὑπό,preposition,a)na/gkhs,ἀνάγκη,noun,th=|,ὁ,article,siku/h|,σικύα,noun,xre/esqai,χράομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐάν,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)ph\n,de\,δέ,particle,pro\s,πρός,preposition,tw=|,ὁ,article,mh/kei+,μῆκος,adjective,tou=,ὁ,article,xro/nou,χρόνος,noun,kenwqh/setai,κενόω,verb,th=|si,ὁ,article,ai)sqh/sesi,αἴσθησις,noun,ta)/lla,ἄλλος,adjective,d',δέ,particle,eu)pete/steron,εὐπετής,adverb,fe/rh|,φέρω,verb,th=|,ὁ,article,korufh=|,κορυφή,noun,th=s,ὁ,article,kefalh=s,κεφαλή,noun,prosba/llein,προσδαίω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐπήν,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
