word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/20/lemma/@_entry,word/20/lemma/@_POS,word/34/lemma/@_entry,word/34/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS
o(/te,ὅτε,conjunction,ga\r,γάρ,particle,au)tou\s,αὐτός,pronoun,e)celau/nwn,ἐξελαύνω,verb,*ka/millos,,,e)di/wke,διώκω,verb,me/xri,μέχρι,preposition,tw=n,ὁ,article,*)apenni/nwn,,,o)rw=n,ὀρός,noun,e)moi\,ἐγώ,pronoun,dokou=sin,δοκέω,verb,u(perba/ntes,ὑπερβαίνω,verb,au)ta/,αὐτός,pronoun,a)nti\,ἀντί,preposition,h)qw=n,ἦθος,adjective,tw=n,ὁ,article,i)di/wn,ἴδιος,adjective,para\,παρά,preposition,to\n,ὁ,article,*)io/nion,oi)kh=sai,οἰκέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ἰόνιος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,to\,ὁ,article,me/ros,μέρος,noun,th=s,ὁ,article,xw/ras,χώρα,noun,e)/ti,ἔτι,adverb,nu=n,νῦν,adverb,ou(/tw,οὕτως,adverb,kalou=sin,καλέω,verb,*)itali/an,Ἰταλία,proper,*galatikh/n,Γαλατικός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(rwmai=oi,,,me\n,μέν,particle,dh\,δή,particle,mega/lois,μέγας,adverb,stratoi=s,στρατάω,verb,e)s,εἰς,preposition,polla\,πολύς,adjective,o(mou=,ὁμοῦ,adverb,dih/|rhnto,διαιρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)anni/bas,Ἀννίβας,proper,de\,δέ,particle,tou/twn,οὗτος,pronoun,ai)sqo/menos,αἰσθάνομαι,verb,a(/ma,ἅμα,adverb,tw=|,ὁ,article,h)=ri,ἔαρ,noun,tou\s,ὁ,article,a)/llous,ἄλλος,adjective,laqw\n,λανθάνω,verb,e)dh/|ou,δηιόω,verb,th\n,ὁ,article,*turrhni/an,Τυρρήνιος,proper,kai\,καί,conjunction,prou/bainen,προβαίνω,verb,e)s,εἰς,preposition,to\,ὁ,article,me/ros,μέρος,noun,to\,ὁ,article,e)pi\,ἐπί,preposition,*(rw/mhs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,de\,δέ,particle,plhsia/zontos,πλησιάζω,verb,au)tou=,αὐτός,pronoun,pa/nu,πάνυ,adverb,e)/deisan,δείδω,verb,ou),οὐ,adverb,parou/shs,πάρειμι,verb,sfi/sin,σφεῖς,pronoun,a)cioma/xou,ἀξιόμαχος,adjective,duna/mews,δύναμις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)stra/teuon,στρατεύω,verb,de\,δέ,particle,o(/mws,ὅμως,conjunction,e)k,ἐκ,preposition,tw=n,ὁ,article,u(poloi/pwn,ὑπόλοιπος,adjective,o)ktakisxili/ous,ὀκτακισχίλιοι,adjective,kai\,καί,conjunction,*kenth/nion,,,au)toi=s,αὐτός,pronoun,tina\,τις,pronoun,tw=n,ὁ,article,e)pifanw=n,ἐπιφαίνω,verb,i)diwtw=n,ἰδιώτης,noun,ou)demia=s,οὐδείς,pronoun,a)rxh=s,ἀρχή,noun,parou/shs,πάρειμι,verb,e)pe/sthsa/n,ἐφίστημι,verb,te,τε,particle,kai\,καί,conjunction,e)ce/pempon,e)s,εἰς,preposition,*)ombrikou\s,ὀμβρικός,adjective,e)s,εἰς,preposition,th\n,ὁ,article,*pleistinhn,,,li/mnhn,λίμνη,noun,ta\,ὁ,article,stena\,στενός,adjective,prolhyo/menon,προλαμβάνω,verb,h(=|,ὅς,pronoun,suntomw/tato/n,σύντομος,adjective,e)stin,εἰμί,verb,e)pi\,ἐπί,preposition,th\n,*(rw/mhn,,,,,,,,,,,,,,,,,,,,,ἐκπέμπω,verb,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,de\,δέ,particle,tou/tw|,οὗτος,pronoun,kai\,καί,conjunction,*flami/nios,,,o(,ὁ,article,toi=s,ὁ,article,trismuri/ois,τρισμύριοι,adjective,th\n,ὁ,article,e)nto\s,ἐντός,adverb,*)itali/an,Ἰταλία,proper,fula/sswn,φυλάσσω,verb,ai)sqo/menos,αἰσθάνομαι,verb,th=s,ὁ,article,spoudh=s,σπουδή,noun,*)anni/bou,Ἀννίβας,proper,mete/bainen,μεταβαίνω,verb,o)ce/ws,ὀξέως,adverb,ou),οὐ,adverb,dianapau/wn,διαναπαύομαι,verb,th\n,stratia/n,στρατία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de/ei,δέος,noun,te,τε,particle,peri\,περί,preposition,th=s,ὁ,article,po/lews,πόλις,adjective,kai\,καί,conjunction,au)to\s,αὐτός,pronoun,w)\n,εἰμί,verb,a)peiropo/lemo/s,ἀπειροπόλεμος,adjective,te,τε,particle,kai\,καί,conjunction,e)s,εἰς,preposition,th\n,ὁ,article,a)rxh\n,ἀρχή,noun,a)po\,ἀπό,preposition,dhmokopi/as,δημοκοπία,noun,h(|rhme/nos,αἱρέω,verb,h)pei/geto,ἐπείγω,verb,*)anni/ba|,Ἀννίβας,proper,sumplekh=nai,συμπλέκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,ai)sqo/menos,αἰσθάνομαι,verb,au)tou=,αὐτός,pronoun,th=s,ὁ,article,te,τε,particle,o(rmh=s,ὁρμή,noun,kai\,καί,conjunction,a)peiri/as,ἀπειρία,noun,o)/ros,ὄρος,adjective,me/n,μέν,particle,ti,τις,pronoun,kai\,καί,conjunction,li/mnhn,λίμνη,noun,prouba/leto,προβάλλω,verb,pro\,πρό,preposition,e(autou=,ἑαυτοῦ,pronoun,yilou\s,ψιλός,adjective,de\,δέ,particle,kai\,καί,conjunction,i(ppe/as,e)s,εἰς,preposition,fa/ragga,φάραγξ,noun,a)pokru/yas,ἀποκρύπτω,verb,e)stratope/deuen,στρατοπεδεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἱππεύς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,au)to\n,αὐτός,pronoun,o(,ὁ,article,*flami/nios,,,katidw\n,κατεῖδον,verb,a(/ma,ἅμα,adverb,e(/w|,ἠώς,noun,smikro\n,μικρός,adjective,me/n,μέν,particle,ti,τις,pronoun,die/triye,διατρίβω,verb,to\n,ὁ,article,strato\n,στρατός,noun,a)napau/wn,ἀναπαύω,verb,e)c,ἐκ,preposition,o(doipori/as,ὁδοιπορία,noun,kai\,καί,conjunction,xarakopoiou/menos,χαρακοποιέομαι,verb,meta\,μετά,preposition,de\,δέ,particle,tou=to,e)ch=gen,ἐξάγω,verb,eu)qu\s,εὐθύς,adverb,e)pi\,ἐπί,preposition,th\n,ὁ,article,ma/xhn,μάχη,noun,au)/ous,αὔως,adjective,o)/ntas,εἰμί,verb,u(p',ὑπό,preposition,a)grupni/as,ἀγρυπνία,noun,kai\,καί,conjunction,ko/pou,κόπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th=s,ὁ,article,d',δέ,particle,e)ne/dras,ἐνέδρα,noun,e)kfanei/shs,ἐκφαίνω,verb,e)n,ἐν,preposition,me/sw|,μέσος,adjective,lhfqei\s,λαμβάνω,verb,tou=,ὁ,article,te,τε,particle,o)/rous,ὄρος,adjective,kai\,καί,conjunction,th=s,ὁ,article,li/mnhs,λίμνη,noun,kai\,καί,conjunction,tw=n,ὁ,article,e)xqrw=n,ἐχθρός,adjective,au)to/s,αὐτός,pronoun,te,τε,particle,a)nh|re/qh,ἀναιρέω,verb,kai\,καί,conjunction,su\n,au)tw=|,αὐτός,pronoun,dismu/rioi,δισμύριοι,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,σύν,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou\s,ὁ,article,de\,δέ,particle,loipou\s,λοιπός,adjective,e)/ti,ἔτι,adverb,muri/ous,μυρίος,adjective,e)/s,εἰς,preposition,tina,τις,pronoun,kw/mhn,κώμη,noun,o)xura\n,ὀχυρός,adjective,sumfugo/ntas,συμφεύγω,verb,*maa/rbal,,,o(,ὁ,article,u(postra/thgos,ὑποστράτηγος,noun,*)anni/bou,Ἀννίβας,proper,megi/sthn,μέγας,adverb,kai\,καί,conjunction,o(/de,ὅδε,pronoun,e)pi\,ἐπί,preposition,strathgi/a|,στρατηγία,noun,do/can,δόξα,noun,e)/xwn,ou),οὐ,adverb,duna/menos,δύναμαι,verb,e(lei=n,αἱρέω,verb,eu)xerw=s,εὐχερής,adverb,ou)de\,οὐδέ,particle,a)ciw=n,ἀξιάω,verb,a)pegnwko/si,ἀπογιγνώσκω,verb,ma/xesqai,μάχομαι,verb,e)/peise,ἐφίζω,verb,ta\,ὁ,article,o(/pla,ὅπλον,noun,a)poqe/sqai,ἀποτίθημι,verb,sunqe/menos,συντίθημι,verb,a)polu/sein,o(/ph|,ὅπη,adverb,qe/loien,ἐθέλω,verb,,,,,,,,,,,,,,,,ἔχω,verb,ἀπολύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,de\,δέ,particle,a)pe/qento,ἀποτίθημι,verb,labw\n,λαμβάνω,verb,h)=gen,ἄγω,verb,au)tou\s,αὐτός,pronoun,pro\s,πρός,preposition,to\n,ὁ,article,*)anni/ban,Ἀννίβας,proper,gumnou/s,γυμνός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,d',δέ,particle,ou),οὐ,adverb,fa/menos,φημί,verb,ei)=nai,εἰμί,verb,ku/rion,κύριος,adjective,xwri\s,χωρίς,adverb,au(tou=,ἑαυτοῦ,pronoun,tau=ta,οὗτος,pronoun,sunqe/sqai,συντίθημι,verb,to\n,ὁ,article,*maa/rbal,,,tou\s,ὁ,article,me\n,μέν,particle,e)k,ἐκ,preposition,tw=n,ὁ,article,summa/xwn,σύμμαχος,adjective,filanqrwpeusa/menos,φιλανθρωπεύομαι,verb,a)pe/lusen,ἀπολύω,verb,e)s,εἰς,preposition,ta\,e(autw=n,ἑαυτοῦ,pronoun,qhreu/wn,θηρεύω,verb,th=|,ὁ,article,filanqrwpi/a|,φιλανθρωπία,noun,ta\s,ὁ,article,po/leis,πόλις,adjective,o(/soi,ὅσος,adjective,de\,δέ,particle,*(rwmai/wn,,,h)=san,εἰμί,verb,ei)=xe,ἔχω,verb,dh/sas,δέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th\n,ὁ,article,de\,δέ,particle,lei/an,λεία,noun,toi=s,ὁ,article,sustrateu/ousi,συστρατεύω,verb,*keltoi=s,Κελτός,proper,a)podo/menos,ἀποδίδωμι,verb,i(/na,ἵνα,conjunction,kai\,καί,conjunction,tou/sde,ὅδε,pronoun,qerapeu/seie,θεραπεύω,verb,tw=|,ὁ,article,ke/rdei,κέρδος,noun,prou/bainen,προβαίνω,verb,e)s,εἰς,preposition,to\,ὁ,article,pro/sqen,πρόσθεν,adverb,ai)sqome/nou,αἰσθάνομαι,verb,me\n,μέν,particle,h)/dh,ἤδη,adverb,tw=n,gignome/nwn,γίγνομαι,verb,tou=,ὁ,article,peri\,περί,preposition,*pa/don,πάδος,noun,strathgou=,στρατηγός,noun,*serouili/ou,Σερουίλιος,proper,kai\,καί,conjunction,tetrakismuri/ois,τετρακισμύριοι,adjective,e)pi\,ἐπί,preposition,*turrhni/as,Τυρρήνιος,proper,e)peigome/nou,ἐπείγω,verb,*kenthni/ou,,,de\,δέ,particle,h)/dh,toi=s,ὁ,article,o)ktakisxili/ois,ὀκτακισχίλιοι,adjective,ta\,ὁ,article,stena\,στενός,adjective,proeilhfo/tos,προλαμβάνω,verb,,,,,,,ὁ,article,ἤδη,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)anni/bas,Ἀννίβας,proper,de\,δέ,particle,e)peidh\,ἐπεί,conjunction,th/n,ὁ,article,te,τε,particle,li/mnhn,λίμνη,noun,ei)=de,εἶδον,verb,th\n,ὁ,article,*pleisti/nhn,,,kai\,καί,conjunction,to\,ὁ,article,o)/ros,ὄρος,adjective,to\,ὁ,article,u(pe\r,ὑπέρ,preposition,au)th/n,αὐτός,pronoun,kai\,καί,conjunction,to\n,ὁ,article,*kenth/nion,,,e)n,ἐν,preposition,me/sw|,μέσος,adjective,kratou=nta,th=s,ὁ,article,dio/dou,δίοδος,noun,tou\s,ὁ,article,h(gemo/nas,ἡγεμών,noun,tw=n,ὁ,article,o(dw=n,ὁδός,adjective,e)ch/tazen,ἐξετάζω,verb,ei)/,εἰ,conjunction,tis,τις,pronoun,ei)/h,ἀίω,verb,peri/odos,περίοδος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,κρατέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)demi/an,οὐδείς,pronoun,de\,δέ,particle,fame/nwn,φημί,verb,ei)=nai,εἰμί,verb,tri/bon,τρίβος,noun,a)ll',ἀλλά,adverb,a)po/krhmna,ἀπόκρημνος,adjective,pa/nta,πᾶς,adjective,kai\,καί,conjunction,faraggw/dh,φαραγγώδης,adjective,di',διά,preposition,au)tw=n,αὐτός,pronoun,o(/mws,ὅμως,conjunction,e)/pempe,πέμπω,verb,tou\s,ὁ,article,yilou\s,ψιλός,adjective,nu/ktwr,νύκτωρ,adverb,to\,ὁ,article,o)/ros,ὄρος,adjective,periie/nai,περεῖμι,verb,kai\,*maa/rbal,,,met',μετά,preposition,au)tw=n,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tekmhra/menos,τεκμαίρομαι,verb,d',δέ,particle,o(/te,ὅτε,conjunction,du/nainto,δύναμαι,verb,perielqei=n,περιέρχομαι,verb,prose/bale,προσδαίω,verb,tw=|,ὁ,article,*kenthni/w|,,,kata\,κατά,preposition,me/twpon,μέτωπον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,sunestw/twn,συνίστημι,verb,e(kate/rwn,ἑκάτερος,adjective,pa/nu,πάνυ,adverb,proqu/mws,πρόθυμος,adjective,o(,ὁ,article,*maa/rbal,,,e)k,ἐκ,preposition,korufh=s,κορυφή,noun,a)/nwqen,ἄνωθεν,adverb,w)/fqh,ὁράω,verb,te,τε,particle,kai\,καί,conjunction,h)la/lacen,ἀλαλάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(rwmai/wn,,,d',δέ,particle,eu)qu\s,εὐθύς,adverb,h)=n,εἰμί,verb,fugh\,φυγή,noun,kai\,καί,conjunction,fo/nos,φόνος,noun,kekuklwme/nwn,κυκλόω,verb,kai\,καί,conjunction,trisxi/lioi,τρισχίλιοι,adjective,me\n,μέν,particle,e)/peson,ἐφέζομαι,verb,o)ktako/sioi,ὀκτακόσιοι,adjective,d',δέ,particle,e)lh/fqhsan,λαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,de\,δέ,particle,loipoi\,λοιπός,adjective,mo/lis,μόλις,adverb,die/fugon,διαφεύγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
