word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/31/lemma/@_entry,word/31/lemma/@_POS
au)tou\s,αὐτός,pronoun,de\,δέ,particle,tou\s,ὁ,article,pezou\s,πεζός,adjective,e)pi\,ἐπί,preposition,tessa/rwn,τέσσαρες,noun,tetagme/nous,τάσσω,verb,i)e/nai,εἶμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pi\,ἐπί,preposition,de\,δέ,particle,th=|,ὁ,article,pentekaideka/th|,πεντεκαιδέκατος,adjective,fa/laggi,φάλαγξ,noun,teta/xqw,τάσσω,verb,to\,ὁ,article,shmei=on,σημεῖον,noun,th=s,ὁ,article,dwdeka/ths,δωδέκατος,adjective,fa/laggos,φάλαγξ,noun,kai\,καί,conjunction,xili/arxoi,χιλίαρχος,noun,a)mf',ἀμφί,preposition,au)tw=|,αὐτός,pronoun,kai\,καί,conjunction,e(kato/ntarxoi,ἑκατόνταρχος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pi\,ἐπί,preposition,tessa/rwn,τέσσαρες,noun,w(sau/tws,ὡσαύτως,adverb,kai\,καί,conjunction,h(/de,ὅδε,pronoun,h(,ὁ,article,fa/lagc,φάλαγξ,noun,i)/tw,εἶμι,verb,tetagme/nh,τάσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pi\,ἐπί,preposition,de\,δέ,particle,tw=|,ὁ,article,o(plitikw=|,ὁπλιτικός,adjective,teta/xqw,τάσσω,verb,to\,ὁ,article,summaxiko/n,συμμαχικός,adjective,oi(/,ἕ,pronoun,te,τε,particle,a)po\,ἀπό,preposition,th=s,ὁ,article,smikra=s,μικρός,adjective,*)armeni/as,Ἀρμένιος,proper,kai\,καί,conjunction,*trapezounti/wn,Τραπεζούντιος,proper,oi(,ὁ,article,o(pli=tai,ὁπλίτης,noun,kai\,καί,conjunction,oi(,ὁ,article,*ko/lxoi,Κόλχος,proper,kai\,καί,conjunction,*(rizianoi\,,,oi(,ὁ,article,logxofo/roi,λογχοφόρος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)piteta/xqwn,ἐπιτάσσω,verb,de\,δέ,particle,au)toi=s,αὐτός,pronoun,oi(,ὁ,article,*)aplanoi\,,,pezoi/,πεζός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panto\s,πᾶς,adjective,de\,δέ,particle,tou=,ὁ,article,summaxikou=,συμμαχικός,adjective,h(gemw\n,ἡγεμών,noun,e)/stw,εἰμί,verb,*sekoundi=nos,,,o(/sper,ὅς,pronoun,tw=n,ὁ,article,*)aplanw=n,ἀπλανής,adjective,h(gei=tai,ἡγέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pi\,ἐπί,preposition,tou/tois,οὗτος,pronoun,de\,δέ,particle,ta\,ὁ,article,skeuofo/ra,σκευοφόρος,adjective,e(pe/sqw,ἕπομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)ragei/tw,οὐραγέω,verb,de\,δέ,particle,h(,ὁ,article,i)/lh,ἴλη,noun,tw=n,ὁ,article,*getw=n,Γέται,proper,kai\,καί,conjunction,o(,ὁ,article,tau/ths,οὗτος,pronoun,i)/larxos,ἴλαρχος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\s,ὁ,article,pleura\s,πλευρά,noun,de\,δέ,particle,tou=,ὁ,article,pezikou=,πεζικός,adjective,kosmou/ntwn,κοσμέω,verb,me\n,μέν,particle,e(kato/ntarxoi,ἑκατόνταρχος,noun,kai\,καί,conjunction,oi(,ὁ,article,e)pi\,ἐπί,preposition,tw=|de,ὅδε,pronoun,tetagme/noi,τάσσω,verb,fulakh=s,φυλακεύς,noun,de\,δέ,particle,e(/neka,ἕνεκα,preposition,i)/lh,ἴλη,noun,h(,ὁ,article,*)allaktikh\,ἀλλακτικός,adjective,parippeue/tw,παριππεύω,verb,e)pi\,ἐπί,preposition,e(/na,ἕνος,adjective,stoi=xon,στοῖχος,noun,e(kate/rwqen,ἑκατέρωθεν,adverb,tetagme/nh,τάσσω,verb,kai\,καί,conjunction,oi(,ἕ,pronoun,tw=n,ὁ,article,*)italw=n,Ἰταλός,proper,i(pph=s,ἱππεύς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,i)/larxos,ἴλαρχος,noun,au)tw=n,αὐτός,pronoun,e)pifoita/tw,ἐπιφοιτάω,verb,tai=s,ὁ,article,pleurai=s,πλευρά,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,h(gemw\n,ἡγεμών,noun,th=s,ὁ,article,pa/shs,πᾶς,adjective,stratia=s,στρατία,noun,*cenofw=n,Ξενοφῶν,proper,to\,ὁ,article,polu\,πολύς,adjective,me\n,μέν,particle,pro\,πρό,preposition,tw=n,ὁ,article,shmei/wn,σημεῖον,noun,tw=n,ὁ,article,pezikw=n,πεζικός,adjective,h(gei/sqw,ἡγέομαι,verb,e)pifoita/tw,ἐπιφοιτάω,verb,de\,δέ,particle,pa/sh|,πᾶς,adjective,th=|,ὁ,article,ta/cei,τάξις,noun,kai\,καί,conjunction,e)piskopei/tw,ἐπισκοπέω,verb,o(/pws,ὅπως,conjunction,tetagme/noi,τάσσω,verb,i)a=si,ἰάομαι,verb,kai\,καί,conjunction,tou\s,ὁ,article,me\n,μέν,particle,a)taktou=ntas,ἀτακτέω,verb,e)s,εἰς,preposition,ta/cin,e)panage/tw,ἐπανάγω,verb,tou\s,ὁ,article,de\,δέ,particle,e)n,ἐν,preposition,ko/smw|,κόσμος,noun,i)o/ntas,εἶμι,verb,e)painei/tw,ἐπαινέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,τάξις,noun
ou(/tw,οὕτως,adverb,me\n,μέν,particle,tetagme/nous,τάσσω,verb,i)e/nai,εἶμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)lqo/ntas,ἔρχομαι,verb,de\,δέ,particle,e)s,εἰς,preposition,to\,ὁ,article,a)podedeigme/non,ἀποδείκνυμι,verb,xwri/on,χωρίον,noun,th\n,ὁ,article,me\n,μέν,particle,i(/ppon,ἵππος,noun,pa=san,πᾶς,adjective,peristh=sai,περιίστημι,verb,e)n,ἐν,preposition,ku/klw|,κύκλος,noun,e)s,εἰς,preposition,tetra/gwnon,τετράγωνος,adjective,ta/cin,τάξις,noun,tou\s,ὁ,article,katasko/pous,κατάσκοπος,noun,de\,δέ,particle,pe/myai,πέμπω,verb,e)s,εἰς,preposition,ta\,ὁ,article,u(perde/cia,ὑπερδέξιος,adjective,xwri/a,χωρίον,noun,skoph=s,σκοπή,noun,e(/neka,ἕνεκα,preposition,tw=n,ὁ,article,polemi/wn,πολέμιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)ntau=qa,ἐνταῦθα,adverb,de\,δέ,particle,a)po\,ἀπό,preposition,shmei/ou,σημεῖον,noun,o(pli/zesqai,ὁπλίζω,verb,sigh=|,σιγή,noun,o(plisame/nous,ὁπλίζω,verb,de\,δέ,particle,e)s,εἰς,preposition,ta/cin,τάξις,noun,kaqi/stasqai,καθίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,ta/cis,τάξις,noun,de\,δέ,particle,e)/stw,εἰμί,verb,h(/de,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,me\n,μέν,particle,ke/ras,κέρας,noun,e(ka/teron,ἑκάτερος,adjective,tw=n,ὁ,article,pezw=n,πεζός,adjective,ta\,ὁ,article,u(perde/cia,ὑπερδέξιος,adjective,e)xe/tw,ἔχω,verb,tw=n,ὁ,article,xwri/wn,χωρίον,noun,o(/ti,ὅστις,pronoun,e)n,ἐν,preposition,toiw=|de,τοιόσδε,adjective,h(,ὁ,article,e)/ktacis,ἔκταξις,noun,e)/stai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)piteta/xqwn,ἐπιτάσσω,verb,de\,δέ,particle,tw=|,ὁ,article,ke/ra|,κέρας,noun,tw=|,ὁ,article,me\n,μέν,particle,deciw=|,δεξιός,adjective,oi(,ὁ,article,a)mfi\,ἀμφί,preposition,*ou)asa/khn,,,kai\,καί,conjunction,*)/arbhlon,Ἄρβηλος,proper,*)arme/nioi,Ἀρμένιος,proper,to\,ὁ,article,u(perdeciw/taton,ὑπερδέξιος,adjective,tou=,ὁ,article,ke/rws,κέρας,noun,e)/xontes,ἔχω,verb,o(/ti,ὅστις,pronoun,toco/tai,τοξότης,noun,ei)si\n,εἰμί,verb,oi(,ὁ,article,su/mpantes,σύμπας,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
