word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS,word/122/@_form,word/122/lemma/@_entry,word/122/lemma/@_POS,word/123/@_form,word/123/lemma/@_entry,word/123/lemma/@_POS,word/124/@_form,word/124/lemma/@_entry,word/124/lemma/@_POS,word/125/@_form,word/125/lemma/@_entry,word/125/lemma/@_POS,word/126/@_form,word/126/lemma/@_entry,word/126/lemma/@_POS,word/127/@_form,word/127/lemma/@_entry,word/127/lemma/@_POS,word/128/@_form,word/128/lemma/@_entry,word/128/lemma/@_POS,word/129/@_form,word/129/lemma/@_entry,word/129/lemma/@_POS,word/40/lemma/@_entry,word/40/lemma/@_POS,word/59/lemma/@_entry,word/59/lemma/@_POS,word/68/lemma/@_entry,word/68/lemma/@_POS
ou(/tws,οὕτως,adverb,ga\r,γάρ,particle,kai\,καί,conjunction,u(mei=s,σύ,pronoun,r(a=|sta,ῥᾴδιος,adjective,parakolouqh/sete,παρακολουθέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*dionuso/dwros,Διονυσόδωρος,proper,ga\r,γάρ,particle,ou(tosi/,οὗτος,pronoun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,kai\,καί,conjunction,o(,ὁ,article,koinwno\s,κοινωνός,noun,au)tou=,αὐτός,pronoun,*parmeni/skos,,,proselqo/ntes,προσέρχομαι,verb,h(mi=n,ἐγώ,pronoun,pe/rusin,πέρυσι,adverb,tou=,ὁ,article,metageitniw=nos,μεταγειτνιών,adjective,mhno\s,μείς,adjective,e)/legon,λέγω,verb,o(/ti,ὅστις,pronoun,bou/lontai,βούλομαι,verb,danei/sasqai,δανείζω,verb,e)pi\,ἐπί,preposition,th=|,ὁ,article,nhi/,ναῦς,noun,e)f',ἐπί,preposition,w(=|,ὅς,pronoun,te,τε,particle,pleu=sai,πλέω,verb,ei)s,εἰς,preposition,*ai)/gupton,Αἴγυπτος,proper,kai\,καί,conjunction,e)c,ἐκ,preposition,*ai)gu/ptou,Αἴγυπτος,proper,ei)s,εἰς,preposition,*(ro/don,,,h)\,ἠέ,conjunction,ei)s,εἰς,preposition,*)aqh/nas,Ἀθήνευς,proper,diomologhsa/menoi,διομολογέω,verb,tou\s,ὁ,article,to/kous,tou\s,ὁ,article,ei)s,εἰς,preposition,e(ka/teron,ἑκάτερος,adjective,tw=n,ὁ,article,e)mpori/wn,ἐμπόρια,noun,tou/twn,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τόκος,noun,,,,
a)pokriname/nwn,ἀποκρίνω,verb,d',δέ,particle,h(mw=n,ἐγώ,pronoun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,o(/ti,ὅστις,pronoun,ou)k,οὐ,adverb,a)\n,ἄν,particle,danei/saimen,δανείζω,verb,ei)s,εἰς,preposition,e(/teron,ἕτερος,adjective,e)mpo/rion,ἐμπόριον,noun,ou)de\n,οὐδείς,pronoun,a)ll',ἀλλά,adverb,h)\,ἠέ,conjunction,ei)s,εἰς,preposition,*)aqh/nas,Ἀθήνευς,proper,ou(/tw,οὕτως,adverb,prosomologou=si,προσομολογέω,verb,pleu/sesqai,πλέω,verb,deu=ro,δεῦρο,adverb,kai\,καί,conjunction,e)pi\,ἐπί,preposition,tau/tais,οὗτος,pronoun,tai=s,ὁ,article,o(mologi/ais,ὁμολογία,noun,danei/zontai,δανείζω,verb,par',παρά,preposition,h(mw=n,ἐγώ,pronoun,e)pi\,ἐπί,preposition,th=|,ὁ,article,nhi\,ναῦς,noun,trisxili/as,τρισχίλιοι,adjective,draxma\s,δραχμή,noun,a)mfotero/ploun,ἀμφοτερόπλοος,adjective,kai\,καί,conjunction,suggrafh\n,συγγραφή,noun,e)gra/yanto,γράφω,verb,u(pe\r,ὑπέρ,preposition,tou/twn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὗτος,pronoun,,,,
e)n,ἐν,preposition,me\n,μέν,particle,ou)=n,οὖν,particle,tai=s,ὁ,article,sunqh/kais,συνθήκη,noun,daneisth\s,δανειστής,noun,e)gra/fh,γράφω,verb,*pa/mfilos,Πάμφιλος,proper,ou(tosi/,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,d',δέ,particle,e)/cwqen,ἔξωθεν,adverb,metei=xon,μετέχω,verb,au)tw=|,αὐτός,pronoun,tou=,ὁ,article,danei/smatos,δάνεισμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,prw=ton,πρότερος,adjective,u(mi=n,σύ,pronoun,a)nagnw/setai,ἀναγιγνώσκω,verb,au)th\n,αὐτός,pronoun,th\n,ὁ,article,suggrafh/n,συγγραφή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kata\,κατά,preposition,tau/thn,οὗτος,pronoun,th\n,ὁ,article,suggrafh/n,συγγραφή,noun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,labo/ntes,λαμβάνω,verb,par',παρά,preposition,h(mw=n,ἐγώ,pronoun,ta\,ὁ,article,xrh/mata,χρῆμα,adjective,*dionuso/dwro/s,Διονυσόδωρος,proper,te,τε,particle,ou(tosi\,οὗτος,pronoun,kai\,καί,conjunction,o(,ὁ,article,koinwno\s,κοινωνός,noun,au)tou=,αὐτός,pronoun,*parmeni/skos,,,a)pe/stellon,ἀποστέλλω,verb,th\n,ὁ,article,nau=n,ναῦς,noun,ei)s,εἰς,preposition,th\n,ὁ,article,*ai)/gupton,Αἴγυπτος,proper,e)nqe/nde,ἐνθένδε,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,o(,ὁ,article,me\n,μέν,particle,*parmeni/skos,,,e)pe/plei,ἐπιπλέω,verb,e)pi\,ἐπί,preposition,th=s,ὁ,article,new/s,ναός,noun,ou(tosi\,οὗτος,pronoun,de\,δέ,particle,au)tou=,αὐτός,pronoun,kate/menen,καταμένω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=san,εἰμί,verb,ga/r,γάρ,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,i(/na,ἵνα,conjunction,mhde\,μηδέ,particle,tou=to,οὗτος,pronoun,a)gnoh=te,ἀγνοέω,verb,u(phre/tai,ὑπηρέτης,noun,kai\,καί,conjunction,sunergoi\,συνεργός,adjective,pa/ntes,πᾶς,adjective,ou(=toi,οὗτος,pronoun,*kleome/nous,Κλεομένης,proper,tou=,ὁ,article,e)n,ἐν,preposition,th=|,ὁ,article,*ai)gu/ptw|,Αἴγυπτος,proper,a)/rcantos,ἄρχω,verb,o(\s,ὅς,pronoun,e)c,ἐκ,preposition,ou(=,ἕ,pronoun,th\n,ὁ,article,a)rxh\n,ἀρχή,noun,pare/laben,παραλαμβάνω,verb,ou)k,οὐ,adverb,o)li/ga,ὀλίγος,adjective,kaka\,κακός,adjective,h)rga/sato,ἐργάζομαι,verb,th\n,ὁ,article,po/lin,πόλις,adjective,th\n,ὁ,article,u(mete/ran,ὑμέτερος,adjective,ma=llon,μᾶλλον,adverb,de\,δέ,particle,kai\,καί,conjunction,tou\s,ὁ,article,a)/llous,ἄλλος,adjective,*(/ellhnas,Ἕλλην,proper,paligkaphleu/wn,kai\,καί,conjunction,sunista\s,συνίστημι,verb,ta\s,ὁ,article,tima\s,τιμή,noun,tou=,ὁ,article,si/tou,σῖτος,noun,kai\,καί,conjunction,au)to\s,αὐτός,pronoun,kai\,καί,conjunction,ou(=toi,οὗτος,pronoun,met',μετά,preposition,au)tou=,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,παλιγκαπηλεύω,verb,,,,
oi(,ὁ,article,me\n,μέν,particle,ga\r,γάρ,particle,au)tw=n,αὐτός,pronoun,a)pe/stellon,ἀποστέλλω,verb,e)k,ἐκ,preposition,th=s,ὁ,article,*ai)gu/ptou,Αἴγυπτος,proper,ta\,ὁ,article,xrh/mata,χρῆμα,adjective,oi(,ἕ,pronoun,d',δέ,particle,e)pe/pleon,ἐπιπλέω,verb,tai=s,ὁ,article,e)mpori/ais,ἐμπορία,noun,oi(,ἕ,pronoun,d',δέ,particle,e)nqa/de,ἐνθάδε,adverb,me/nontes,μένω,verb,dieti/qento,διατίθημι,verb,ta\,ὁ,article,a)postello/mena,ἀποστέλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=ta,εἶτα,adverb,pro\s,πρός,preposition,ta\s,ὁ,article,kaqesthkui/as,καθίστημι,verb,tima\s,τιμή,noun,e)/pempon,πέμπω,verb,gra/mmata,γράμμα,noun,oi(,ἕ,pronoun,e)pidhmou=ntes,ἐπιδημέω,verb,toi=s,ὁ,article,a)podhmou=sin,ἀποδημέω,verb,i(/na,ἵνα,conjunction,e)a\n,ἐάν,conjunction,me\n,μέν,particle,par',παρά,preposition,u(mi=n,σύ,pronoun,ti/mios,τίμιος,adjective,h)=|,εἰμί,verb,o(,ὁ,article,si=tos,σῖτος,noun,deu=ro,δεῦρο,adverb,au)to\n,αὐτός,pronoun,komi/swsin,κομίζω,verb,e)a\n,ἐάν,conjunction,d',δέ,particle,eu)wno/teros,εὔωνος,adjective,ge/nhtai,γίγνομαι,verb,ei)s,εἰς,preposition,a)/llo,ἄλλος,adjective,ti,τις,pronoun,katapleu/swsin,καταπλέω,verb,e)mpo/rion,ἐμπόριον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/qen,ὅθεν,adverb,per,πέρ,particle,ou)x,οὐ,adverb,h(/kista,ἥκιστος,adjective,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,sunetimh/qh,συντιμάω,verb,ta\,ὁ,article,peri\,περί,preposition,to\n,ὁ,article,si=ton,σῖτος,noun,e)k,ἐκ,preposition,tw=n,ὁ,article,toiou/twn,τοιοῦτος,adjective,e)pistolw=n,ἐπιστολή,noun,kai\,καί,conjunction,sunergiw=n,συνεργία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/te,ὅτε,conjunction,me\n,μέν,particle,ou)=n,οὖν,particle,e)nqe/nde,ἐνθένδε,adverb,a)pe/stellon,ἀποστέλλω,verb,ou(=toi,οὗτος,pronoun,th\n,ὁ,article,nau=n,ναῦς,noun,e)pieikw=s,ἐπιεικής,adjective,e)/ntimon,ἔντιμος,adjective,kate/lipon,καταλιμπάνω,verb,to\n,ὁ,article,si=ton,σῖτος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dio\,διό,conjunction,kai\,καί,conjunction,u(pe/meinan,ὑπομένω,verb,e)n,ἐν,preposition,th=|,ὁ,article,suggrafh=|,συγγραφεύς,noun,gra/yasqai,γράφω,verb,ei)s,εἰς,preposition,*)aqh/nas,Ἀθήνευς,proper,plei=n,πλέω,verb,ei)s,εἰς,preposition,d',δέ,particle,a)/llo,ἄλλος,adjective,mhde\n,μηδείς,pronoun,e)mpo/rion,ἐμπόριον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
