word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/10/lemma/@_entry,word/10/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/21/lemma/@_entry,word/21/lemma/@_POS,word/24/lemma/@_entry,word/24/lemma/@_POS,word/33/lemma/@_entry,word/33/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/43/lemma/@_entry,word/43/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS
ou)de\,οὐδέ,particle,ga\r,γάρ,particle,ei),εἰ,conjunction,pe/flastai,,,h)\,ἠέ,conjunction,mh\,μή,conjunction,pe/flastai,,,e)o/ntwn,εἰμί,verb,peflasme/nwn,,,kai\,καί,conjunction,tou=,kakou=,κακός,adjective,gegenhme/nou,γίγνομαι,verb,gi/gnetai,γίγνομαι,verb,toi=sin,τίς,pronoun,o)fqalmoi=si,ὀφθαλμός,noun,katafane\s,καταφανής,adverb,ὁ,article,i)dei=n,εἶδον,verb,au)ti/ka,αὐτίκα,adverb,meta\,μετά,preposition,th\n,ὁ,article,trw=sin,w(/sper,ὥσπερ,adverb,ou)de\,οὐδέ,particle,tw=n,*rwgme/wn,,,e)/niai,ἔνιοι,adjective,e(ka\s,ἑκάς,adjective,e)ou=sai,εἰμί,verb,,,,,,,,,,,,,,,,,τρῶσις,noun,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e)r)*rwgo/tos,,,tou=,ὁ,article,o)ste/ou,ὀστέον,noun,e)sfla=tai,ἐσφλάω,verb,to\,ὁ,article,o)ste/on,ὀστέον,noun,e)k,ἐκ,preposition,th=s,ὁ,article,fu/sios,φύσις,noun,th=s,e(wutou=,ἑαυτοῦ,pronoun,e)/sw,ἔσω,adjective,su\n,σύν,preposition,*rwgmh=|sin,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/llws,ἄλλως,adverb,ga\r,γάρ,particle,ou)k,οὐ,adverb,a)\n,ἄν,particle,e)sflasqei/h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,ga\r,γάρ,particle,e)sflw/menon,ἐσφλάω,verb,a)por)*rhgnu/meno/n,,,te,τε,particle,kai\,καί,conjunction,katagnu/menon,κατάγνυμι,verb,e)sfla=tai,ἐσφλάω,verb,e)/sw,ἔσω,adjective,a)po\,ἀπό,preposition,tou=,a)/llou,ἄλλος,adjective,o)ste/ou,ὀστέον,noun,me/nontos,μένω,verb,e)n,ἐν,preposition,th=|,ὁ,article,fu/sei,φύσις,noun,ὁ,article,th=|,ὁ,article,e(wutou=,ἑαυτοῦ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,dh\,δή,particle,ou(/tw,οὕτως,adverb,*rwgmh\,,,a)\n,ἄν,particle,prosei/h,πρόσειμι,verb,th=|,ὁ,article,e)sfla/sei,ἔσφλασις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tri/tos,τρίτος,adjective,ou(=tos,οὗτος,pronoun,tro/pos,τρόπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)sfla=tai,ἐσφλάω,verb,de\,δέ,particle,to\,ὁ,article,o)ste/on,ὀστέον,noun,polla\s,πολύς,adjective,i)de/as,ἰδέα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,e)pi\,ἐπί,preposition,ple/on,πλέος,adjective,tou=,ὁ,article,o)ste/ou,ὀστέον,noun,kai\,καί,conjunction,e)p',ἐπί,preposition,e)/lasson,ἐλάσσων,adjective,kai\,καί,conjunction,ma=llo/n,te,τε,particle,kai\,καί,conjunction,e)s,εἰς,preposition,baqu/teron,βαθύς,adjective,ka/tw,κάτος,adjective,kai\,καί,conjunction,μᾶλλον,adverb,h(=sso/n,ἥσσων,adverb,te,τε,particle,kai\,καί,conjunction,e)pipolaio/teron,ἐπιπόλαιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e(/drhs,ἕδρα,noun,genome/nhs,γίγνομαι,verb,e)n,ἐν,preposition,tw=|,ὁ,article,o)ste/w|,ὀστέον,noun,be/leos,βέλος,noun,prosge/noito,προσγίγνομαι,verb,a)\n,ἄν,particle,*rwgmh\,,,th=|,e(drai/h|,ἑδραῖος,adjective,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fla/sin,φλάσις,noun,prosgene/sqai,προσγίγνομαι,verb,a)nagkai=o/n,ἀναγκαῖος,adjective,e)stin,εἰμί,verb,h)\,ἠέ,conjunction,ma=llon,μᾶλλον,adverb,h)\,ἠέ,conjunction,h(=sson,ἥσσων,adverb,h)/nper,ἤνπερ,adverb,kai\,καί,conjunction,*rwgmh\,prosge/nhtai,προσγίγνομαι,verb,e)nqa/per,,,h(,ὁ,article,e(/drh,ἕδρα,noun,e)ge/neto,γίγνομαι,verb,kai\,καί,conjunction,,,h(,ὁ,article,*rwgmh\,,,kai\,καί,conjunction,e)n,ἐν,preposition,tw=|,o)ste/w|,ὀστέον,noun,tw=|,ὁ,article,perie/xonti,th/n,ὁ,article,te,τε,particle,e(/drhn,ἕδρα,noun,kai\,καί,conjunction,th\n,ὁ,article,*rwgmh/n,,,,,,,,,,,,,ὁ,article,περιέχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
te/tartos,τέταρτος,adjective,ou(=tos,οὗτος,pronoun,tro/pos,τρόπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e(/drh,ἕδρα,noun,me\n,μέν,particle,a)\n,ἄν,particle,ge/noito,γίγνομαι,verb,fla/sin,φλάσις,noun,e)/xousa,ἔχω,verb,tou=,ὁ,article,o)ste/ou,ὀστέον,noun,peri\,περί,preposition,au)th\n,*rwgmh\,,,de\,δέ,particle,ou)k,οὐ,adverb,a)\n,ἄν,particle,prosge/noito,προσγίγνομαι,verb,th=|,ὁ,article,αὐτός,pronoun,e(/drh|,ἕδρα,noun,kai\,καί,conjunction,th=|,ὁ,article,fla/sei,φλάσις,noun,u(po\,tou=,ὁ,article,be/leos,βέλος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὑπό,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e(/drh,ἕδρα,noun,de\,δέ,particle,tou=,ὁ,article,be/leos,βέλος,noun,gi/gnetai,γίγνομαι,verb,e)n,ἐν,preposition,tw=|,ὁ,article,o)ste/w|,ὀστέον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(/drh,ἕδρα,noun,de\,δέ,particle,kale/etai,καλέω,verb,o(/tan,ὅταν,conjunction,me/non,μένω,verb,to\,ὁ,article,o)ste/on,ὀστέον,noun,e)n,ἐν,preposition,th=|,ὁ,article,e(wutou=,ἑαυτοῦ,pronoun,fu/sei,to\,ὁ,article,be/los,βέλος,noun,sthri/can,στηρίζω,verb,e)s,εἰς,preposition,to\,ὁ,article,o)ste/on,ὀστέον,noun,φύσις,noun,dh=lon,δῆλος,adjective,poih/sh|,ποιέω,verb,o(/kou,ὅπου,adverb,e)sth/ricen,στηρίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,de\,δέ,particle,tw=|,ὁ,article,tro/pw|,τρόπος,noun,e(ka/stw|,ἕκαστος,adjective,ple/ones,πλείων,verb,i)de/ai,ἰδέα,noun,gi/gnontai,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,peri\,περί,preposition,me\n,μέν,particle,fla/sio/s,φλάσις,noun,te,τε,particle,kai\,καί,conjunction,*rwgmh=s,,,h)\n,ἐάν,conjunction,a)/mfw,ἄμφω,noun,tau=ta,οὗτος,pronoun,prosge/nhtai,th=|,ὁ,article,e(/drh|,ἕδρα,noun,kai\,καί,conjunction,h)\n,ἐάν,conjunction,fla/sis,φλάσις,noun,mou/nh,μόνος,adjective,προσγίγνομαι,verb,ge/nhtai,γίγνομαι,verb,h)/dh,ἤδη,adverb,pe/frastai,φράζω,verb,o(/ti,ὅστις,pronoun,pollai\,i)de/ai,ἰδέα,noun,gi/nontai,γίγνομαι,verb,kai\,th=s,ὁ,article,fla/sios,φλάσις,noun,kai\,καί,conjunction,th=s,ὁ,article,*rwgmh=s,,,,,,,,,,,,,,,,πολύς,adjective,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,de\,δέ,particle,e(/drh,ἕδρα,noun,au)th\,αὐτός,pronoun,e)f',ἐπί,preposition,e(wuth=s,ἑαυτοῦ,pronoun,gi/netai,γίγνομαι,verb,makrote/rh,μακρός,adjective,kai\,καί,conjunction,braxute/rh,βραχύς,adjective,e)ou=sa,kai\,καί,conjunction,kampulwte/rh,καμπύλος,adjective,kai\,καί,conjunction,i)qute/rh,ἰθύς,adjective,kai\,καί,conjunction,kukloterh/s,κυκλοτερής,adverb,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,pollai\,πολύς,adjective,a)/llai,ἄλλος,adjective,i)de/ai,ἰδέα,noun,tou=,ὁ,article,toioute/ou,,,tro/pou,τρόπος,noun,o(koi=on,ὁποῖος,adjective,a)/n,ἄν,particle,ti,τις,pronoun,kai\,to\,ὁ,article,sxh=ma,σχῆμα,noun,tou=,ὁ,article,be/leos,βέλος,noun,h)=|,εἰμί,verb,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)tai\,αὐτός,pronoun,de\,δέ,particle,kai\,καί,conjunction,baqu/terai,βαθύς,adjective,to\,ὁ,article,ka/tw,κάτος,adjective,kai\,καί,conjunction,ma=llon,μᾶλλον,adverb,kai\,καί,conjunction,h(=sson,ἥσσων,adverb,kai\,steno/terai,στενός,adjective,kai\,καί,conjunction,eu)ru/terai,εὐρύς,adjective,kai\,καί,conjunction,pa/nu,πάνυ,adverb,eu)re/ai,εὐρύς,adjective,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(\h,ὁ,article,diake/koptai,διακόπτω,verb,diakoph\,διακοπή,noun,d',δέ,particle,o(koshtisou=n,,,gignome/nh,γίγνομαι,verb,mh/keo/s,μῆκος,adjective,te,τε,particle,kai\,καί,conjunction,eu)ru/thtos,εὐρύτης,adjective,e)n,tw=|,ὁ,article,o)ste/w|,ὀστέον,noun,e(/drh,ἕδρα,noun,e)sti\n,εἰμί,verb,h)\n,ἐάν,conjunction,ta\,ὁ,article,ἐν,preposition,a)/lla,ἄλλος,adjective,o)ste/a,ὀστέον,noun,ta\,ὁ,article,perie/xonta,περιέχω,verb,th\n,diakoph\n,διακοπή,noun,me/nh|,μένω,verb,e)n,th=|,ὁ,article,fu/sei,φύσις,noun,th=|,ὁ,article,e(wute/wn,ἑαυτοῦ,pronoun,kai\,καί,conjunction,mh\,μή,conjunction,cunesfla=tai,εἰσφλάω,verb,th=|,ὁ,article,diakoph=|,e)/sw,ἔσω,adjective,ὁ,article,ἐν,preposition,διακοπή,noun,e)k,ἐκ,preposition,th=s,ὁ,article,fu/sios,φύσις,noun,th=s,ὁ,article,e(wute/wn,ἑαυτοῦ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
