word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/1/lemma/@_entry,word/1/lemma/@_POS,word/3/lemma/@_entry,word/3/lemma/@_POS,word/7/lemma/@_entry,word/7/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS
pa/sh|,πᾶς,adjective,fulakh=|,th/rei,τηρέω,verb,sh\n,kardi/an,καρδία,noun,e)k,ἐκ,preposition,ga\r,γάρ,particle,tou/twn,e)/codoi,ἔξοδος,noun,zwh=s,ζωή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,φυλακεύς,noun,σός,adjective,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peri/ele,περιαιρέω,verb,seautou=,skolio\n,σκολιός,adjective,sto/ma,kai\,καί,conjunction,a)/dika,ἄδικος,adjective,xei/lh,χεῖλος,noun,makra\n,a)po\,ἀπό,preposition,sou=,σύ,pronoun,a)/pwsai,ἀπωθέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,σαυτοῦ,pronoun,στόμα,noun,μακράν,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,o)fqalmoi/,sou,σύ,pronoun,o)rqa\,blepe/twsan,βλέπω,verb,ta\,ὁ,article,de\,δέ,particle,ble/fara/,sou,σύ,pronoun,neue/tw,νεύω,verb,di/kaia,δίκαιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὀφθαλμός,noun,ὀρθός,adjective,βλέφαρον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o)rqa\s,ὀρθός,adjective,troxia\s,poi/ei,ποιέω,verb,soi=s,posi\n,πούς,noun,kai\,καί,conjunction,ta\s,ὁ,article,o(dou/s,sou,σύ,pronoun,kateu/qune,κατευθύνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τροχιά,noun,σός,adjective,ὁδός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh\,μή,conjunction,e)kkli/nh|s,ei)s,εἰς,preposition,ta\,decia\,δεξιός,adjective,mhde\,μηδέ,particle,ei)s,εἰς,preposition,ta\,a)ristera/,ἀριστερός,adjective,a)po/streyon,ἀποστρέφω,verb,de\,δέ,particle,so\n,σός,adjective,po/da,πούς,noun,a)po\,ἀπό,preposition,o(dou=,ὁδός,adjective,kakh=s,κακός,adjective,a,,,o(dou\s,ὁδός,adjective,ga\r,γάρ,particle,ta\s,ὁ,article,e)k,ἐκ,preposition,deciw=n,δεξιός,adjective,oi)=den,οἶδα,verb,o(,ὁ,article,qeo/s,θεός,noun,diestramme/nai,διαστρέφω,verb,de/,δέ,particle,ei)sin,εἰμί,verb,ai(,ὁ,article,e)c,ἐκ,preposition,a)risterw=n,ἀριστερός,adjective,au)to\s,αὐτός,pronoun,de\,δέ,particle,o)rqa\s,ὀρθός,adjective,poih/sei,ποιέω,verb,ta\s,ὁ,article,troxia/s,τροχιά,noun,sou,σύ,pronoun,ta\s,ὁ,article,de\,δέ,particle,porei/as,πορεία,noun,sou,σύ,pronoun,e)n,ἐν,preposition,ei)rh/nh|,εἰρήνη,noun,proa/cei,προάγνυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐκκλίνω,verb,ὁ,article,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ui(e/,υἱός,noun,e)mh=|,sofi/a|,σοφία,noun,pro/sexe,e)moi=s,ἐμός,adjective,de\,δέ,particle,lo/gois,λόγος,noun,para/balle,so\n,σός,adjective,ou)=s,οὖς,noun,i(/na,ἵνα,conjunction,fula/ch|s,φυλάσσω,verb,e)/nnoian,ἔννοια,noun,a)gaqh/n,ἀγαθός,adjective,ai)/sqhsin,αἴσθησις,noun,de\,δέ,particle,e)mw=n,ἐμός,adjective,xeile/wn,χεῖλος,noun,e)nte/llomai/,ἐντέλλω,verb,soi,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐμός,adjective,προσέχω,verb,παραβάλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh\,μή,conjunction,pro/sexe,fau/lh|,φαῦλος,adjective,gunaiki/,me/li,μέλι,noun,ga\r,γάρ,particle,a)posta/zei,ἀποστάζω,verb,a)po\,xeile/wn,χεῖλος,noun,gunaiko\s,γυνή,noun,po/rnhs,πόρνη,noun,h(\,ὅς,pronoun,pro\s,πρός,preposition,kairo\n,καιρός,noun,lipai/nei,λιπαίνω,verb,so\n,σός,adjective,fa/rugga,φάρυγξ,noun,u(/steron,ὕστερος,adjective,me/ntoi,μέντοι,particle,pikro/teron,πικρός,adjective,xolh=s,χολή,noun,eu(rh/seis,εὑρίσκω,verb,kai\,καί,conjunction,h)konhme/non,ἀκονάω,verb,ma=llon,μᾶλλον,adverb,maxai/ras,μάχαιρα,noun,disto/mou,δίστομος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,προσέχω,verb,γυνή,noun,ἀπό,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th=s,ὁ,article,ga\r,a)frosu/nhs,ἀφροσύνη,noun,oi(,po/des,πούς,noun,kata/gousin,κατάγω,verb,tou\s,ὁ,article,xrwme/nous,au)th=|,αὐτός,pronoun,meta\,μετά,preposition,qana/tou,θάνατος,adjective,ei)s,εἰς,preposition,to\n,ὁ,article,a(/|dhn,ᾅδης,noun,ta\,ὁ,article,de\,δέ,particle,i)/xnh,ἴχνος,noun,au)th=s,αὐτός,pronoun,ou)k,οὐ,adverb,e)rei/detai,ἐρείδω,verb,o(dou\s,ὁδός,adjective,ga\r,γάρ,particle,zwh=s,ζωή,noun,ou)k,οὐ,adverb,e)pe/rxetai,ἐπέρχομαι,verb,sfalerai\,σφαλερός,adjective,de\,δέ,particle,ai(,ὁ,article,troxiai\,τροχιά,noun,au)th=s,αὐτός,pronoun,kai\,καί,conjunction,ou)k,οὐ,adverb,eu)/gnwstoi,εὔγνωστος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,γάρ,particle,ὁ,article,χράομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,ou)=n,ui(e/,υἱός,noun,a)/koue/,mou,ἐγώ,pronoun,kai\,καί,conjunction,mh\,μή,conjunction,a)ku/rous,poih/sh|s,ποιέω,verb,e)mou\s,ἐμός,adjective,lo/gous,λόγος,noun,makra\n,μακράν,adverb,poi/hson,ποιέω,verb,a)p',ἀπό,preposition,au)th=s,αὐτός,pronoun,sh\n,σός,adjective,o(do/n,ὁδός,adjective,mh\,μή,conjunction,e)ggi/sh|s,,,pro\s,πρός,preposition,qu/rais,θύρα,noun,oi)/kwn,οἶκος,noun,au)th=s,αὐτός,pronoun,i(/na,ἵνα,conjunction,mh\,μή,conjunction,pro/h|,προεξέδρα,noun,a)/llois,ἄλλος,adjective,zwh/n,ζωή,noun,sou,σύ,pronoun,kai\,καί,conjunction,so\n,σός,adjective,bi/on,βίος,adjective,a)neleh/mosin,ἀνελεήμων,adverb,i(/na,ἵνα,conjunction,mh\,μή,conjunction,plhsqw=sin,πίμπλημι,verb,a)llo/trioi,ἀλλότριος,adjective,sh=s,σός,adjective,i)sxu/os,ἰσχύς,noun,oi(,ὁ,article,de\,δέ,particle,soi\,σύ,pronoun,po/noi,πόνος,noun,ei)s,εἰς,preposition,oi)/kous,οἶκος,noun,a)llotri/wn,ἀλλότριος,adjective,ei)se/lqwsin,εἰσέρχομαι,verb,kai\,καί,conjunction,metamelhqh/sh|,μεταμελέομαι,verb,e)p',ἐπί,preposition,e)sxa/twn,σχέθω,verb,h(ni/ka,ἡνίκα,adverb,a)\n,ἄν,particle,katatribw=sin,κατατρίβω,verb,sa/rkes,σάρξ,adjective,sw/mato/s,σῶμα,adjective,sou,σύ,pronoun,kai\,καί,conjunction,e)rei=s,ἐρέω,verb,*pw=s,πῶς,adverb,οὖν,particle,ἀκούω,verb,ἄκυρος,adjective,e)mi/shsa,μισέω,verb,paidei/an,παιδεία,noun,kai\,καί,conjunction,e)le/gxous,ἔλεγχος,noun,e)ce/klinen,ἐκκλίνω,verb,h(,ὁ,article,kardi/a,καρδία,noun,mou,ἐγώ,pronoun,ou)k,οὐ,adverb,h)/kouon,ἀκούω,verb,fwnh\n,φωνή,noun,paideu/onto/s,παιδεύω,verb,me,ἐγώ,pronoun,kai\,καί,conjunction,dida/skonto/s,διδάσκω,verb,me,ἐγώ,pronoun,ou)de\,οὐδέ,particle,pare/ballon,παραβάλλω,verb,to\,ὁ,article,ou)=s,οὖς,noun,mou,ἐγώ,pronoun,par',παρά,preposition,o)li/gon,ὀλίγος,adjective,e)geno/mhn,γίγνομαι,verb,e)n,ἐν,preposition,panti\,πᾶς,adjective,kakw=|,κακός,adjective,e)n,ἐν,preposition,me/sw|,μέσος,adjective,e)kklhsi/as,ἐκκλησία,noun,kai\,καί,conjunction,sunagwgh=s,συναγωγεύς,noun
pi=ne,πίνω,verb,u(/data,a)po\,ἀπό,preposition,sw=n,a)ggei/wn,ἀγγεῖον,noun,kai\,καί,conjunction,a)po\,ἀπό,preposition,sw=n,frea/twn,φρέαρ,noun,phgh=s,πηγή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὕδωρ,noun,σός,adjective,σός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh\,μή,conjunction,u(perekxei/sqw,soi,σύ,pronoun,ta\,u(/data,ὕδωρ,noun,e)k,ἐκ,preposition,th=s,ὁ,article,sh=s,phgh=s,πηγή,noun,ei)s,εἰς,preposition,de\,δέ,particle,sa\s,σός,adjective,platei/as,πλατεῖα,noun,diaporeue/sqw,διαπορεύω,verb,ta\,ὁ,article,sa\,σός,adjective,u(/data,ὕδωρ,noun,e)/stw,εἰμί,verb,soi,σύ,pronoun,mo/nw|,μόνος,adjective,u(pa/rxonta,ὑπάρχω,verb,kai\,καί,conjunction,mhdei\s,μηδείς,pronoun,a)llo/trios,ἀλλότριος,adjective,metasxe/tw,μετέχω,verb,soi,σύ,pronoun,h(,ὁ,article,phgh/,πηγή,noun,sou,σύ,pronoun,tou=,ὁ,article,u(/datos,ὕδωρ,noun,e)/stw,εἰμί,verb,soi,σύ,pronoun,i)di/a,ἴδιος,adjective,kai\,καί,conjunction,suneufrai/nou,σύνευφραίνω,verb,meta\,μετά,preposition,gunaiko\s,γυνή,noun,th=s,ὁ,article,e)k,ἐκ,preposition,neo/thto/s,νεότης,noun,sou,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὑπερεκχέω,verb,ὁ,article,σός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/lafos,ἔλαφος,noun,fili/as,kai\,καί,conjunction,pw=los,sw=n,σός,adjective,xari/twn,χάρις,noun,o(milei/tw,ὁμιλέω,verb,soi,h(,ὁ,article,de\,δέ,particle,i)di/a,ἴδιος,adjective,h(gei/sqw,ἡγέομαι,verb,sou,σύ,pronoun,kai\,καί,conjunction,sune/stw,σύνειμι,verb,soi,σύ,pronoun,e)n,ἐν,preposition,panti\,πᾶς,adjective,kairw=|,καιρός,noun,e)n,ἐν,preposition,ga\r,γάρ,particle,th=|,ὁ,article,tau/ths,οὗτος,pronoun,fili/a|,φιλία,noun,sumperifero/menos,συμπεριφέρω,verb,pollosto\s,πολλοστός,adjective,e)/sh|,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,φιλία,noun,πῶλος,noun,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh\,μή,conjunction,polu\s,i)/sqi,εἰμί,verb,pro\s,a)llotri/an,ἀλλότριος,adjective,mhde\,μηδέ,particle,sune/xou,συγχώννυμι,verb,a)gka/lais,th=s,ὁ,article,mh\,μή,conjunction,i)di/as,ἴδιος,adjective,e)nw/pion,ἐνώπιος,adjective,ga/r,γάρ,particle,ei)sin,εἰμί,verb,tw=n,ὁ,article,tou=,ὁ,article,qeou=,θεός,noun,o)fqalmw=n,ὀφθαλμός,noun,o(doi\,ὁδός,adjective,a)ndro/s,ἀνήρ,noun,ei)s,εἰς,preposition,de\,δέ,particle,pa/sas,πᾶς,adjective,ta\s,ὁ,article,troxia\s,τροχιά,noun,au)tou=,αὐτός,pronoun,skopeu/ei,σκοπεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πολύς,adjective,πρός,preposition,ἀγκάλη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paranomi/ai,παρανομία,noun,a)/ndra,a)greu/ousin,ἀγρεύω,verb,seirai=s,de\,δέ,particle,tw=n,ὁ,article,e(autou=,ἑαυτοῦ,pronoun,a(martiw=n,e(/kastos,ἕκαστος,adjective,sfi/ggetai,σφίγγω,verb,ou(=tos,οὗτος,pronoun,teleuta=|,τελευτάω,verb,meta\,μετά,preposition,a)paideu/twn,ἀπαίδευτος,adjective,e)k,ἐκ,preposition,de\,δέ,particle,plh/qous,πλῆθος,noun,th=s,ὁ,article,e(autou=,ἑαυτοῦ,pronoun,bio/thtos,βιότης,noun,e)cerri/fh,ἐκρίπτω,verb,kai\,καί,conjunction,a)pw/leto,ἀπόλλυμι,verb,di',διά,preposition,a)frosu/nhn,ἀφροσύνη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀνήρ,noun,σειρά,noun,ἁμαρτία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ui(e/,υἱός,noun,e)a\n,e)gguh/sh|,ἐγγυάω,verb,so\n,fi/lon,φίλος,adjective,paradw/seis,παραδίδωμι,verb,sh\n,σός,adjective,xei=ra,e)xqrw=|,ἐχθρός,adjective,pagi\s,παγίς,noun,ga\r,γάρ,particle,i)sxura\,ἰσχυρός,adjective,a)ndri\,ἀνδρίς,noun,ta\,ὁ,article,i)/dia,ἴδιος,adjective,xei/lh,χεῖλος,noun,kai\,καί,conjunction,a(li/sketai,ἁλίσκομαι,verb,xei/lesin,χεῖλος,noun,i)di/ou,ἴδιος,adjective,sto/matos,στόμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐάν,conjunction,σός,adjective,χείρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poi/ei,ποιέω,verb,ui(e/,a(\,ὅς,pronoun,e)gw/,soi,σύ,pronoun,e)nte/llomai,ἐντέλλω,verb,kai\,καί,conjunction,sw/|zou,h(/keis,ἥκω,verb,ga\r,γάρ,particle,ei)s,εἰς,preposition,xei=ras,χείρ,noun,kakw=n,κακός,adjective,dia\,διά,preposition,so\n,σός,adjective,fi/lon,φίλος,adjective,i)/qi,εἶμι,verb,mh\,μή,conjunction,e)kluo/menos,ἐκλύω,verb,paro/cune,παροξύνω,verb,de\,δέ,particle,kai\,καί,conjunction,to\n,ὁ,article,fi/lon,φίλος,adjective,sou,σύ,pronoun,o(\n,ὅς,pronoun,e)neguh/sw,ἐνεγγυάω,verb,mh\,μή,conjunction,dw=|s,δίδωμι,verb,u(/pnon,ὕπνον,noun,soi=s,σός,adjective,o)/mmasin,ὄμμα,noun,mhde\,μηδέ,particle,e)pinusta/ch|s,ἐπινυστάζω,verb,soi=s,σός,adjective,blefa/rois,βλέφαρον,noun,i(/na,ἵνα,conjunction,sw/|zh|,σώζω,verb,w(/sper,ὥσπερ,adverb,dorka\s,δορκάς,adjective,e)k,ἐκ,preposition,bro/xwn,βρόχος,noun,kai\,καί,conjunction,w(/sper,ὥσπερ,adverb,o)/rneon,ὄρνεον,noun,e)k,ἐκ,preposition,pagi/dos,παγίς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,υἱός,noun,ἐγώ,pronoun,σώζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)/iqi,εἶμι,verb,pro\s,to\n,ὁ,article,mu/rmhka,w)=,ὦ,interjection,o)knhre/,ὀκνηρός,adjective,kai\,καί,conjunction,zh/lwson,i)dw\n,εἶδον,verb,ta\s,ὁ,article,o(dou\s,ὁδός,adjective,au)tou=,αὐτός,pronoun,kai\,καί,conjunction,genou=,γίγνομαι,verb,e)kei/nou,ἐκεῖνος,pronoun,sofw/teros,σοφός,adjective,e)kei/nw|,ἐκεῖνος,pronoun,ga\r,γάρ,particle,gewrgi/ou,γεώργιον,noun,mh\,μή,conjunction,u(pa/rxontos,ὑπάρχω,verb,mhde\,μηδέ,particle,to\n,ὁ,article,a)nagka/zonta,ἀναγκάζω,verb,e)/xwn,ἔχω,verb,mhde\,μηδέ,particle,u(po\,ὑπό,preposition,despo/thn,δεσπότης,adjective,w)\n,εἰμί,verb,e(toima/zetai,ἑτοιμάζω,verb,qe/rous,θέρος,noun,th\n,ὁ,article,trofh\n,τροφή,noun,pollh/n,πολύς,adjective,te,τε,particle,e)n,ἐν,preposition,tw=|,ὁ,article,a)mh/tw|,ἄμητος,noun,poiei=tai,ποιέω,verb,th\n,ὁ,article,para/qesin,παράθεσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πρός,preposition,μύρμηξ,noun,ζηλόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
