word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/33/lemma/@_entry,word/33/lemma/@_POS,word/40/lemma/@_entry,word/40/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS
*)=hn,εἰμί,verb,de/,δέ,particle,tis,τις,pronoun,maqhth\s,μαθητής,noun,e)n,ἐν,preposition,*damaskw=|,Δαμασκός,adjective,o)no/mati,ὄνομα,adjective,*(anani/as,ἀνανιάω,verb,kai\,καί,conjunction,ei)=pen,εἶπον,verb,pro\s,πρός,preposition,au)to\n,αὐτός,pronoun,e)n,ἐν,preposition,o(ra/mati,ὅραμα,noun,o(,ὁ,article,ku/rios,κῦρος,noun,*(anani/a,ἀνανιάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,ei)=pen,εἶπον,verb,*)idou\,ἰδού,adverb,e)gw/,ἐγώ,pronoun,ku/rie,κύριος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,ku/rios,κῦρος,noun,pro\s,πρός,preposition,au)to/n,αὐτός,pronoun,*)ana/sta,ἀνίστημι,verb,poreu/qhti,πορεύω,verb,e)pi\,ἐπί,preposition,th\n,ὁ,article,r(u/mhn,ῥύμη,adjective,th\n,ὁ,article,kaloume/nhn,καλέω,verb,*eu)qei=an,εὐθύς,adjective,kai\,καί,conjunction,zh/thson,ζητέω,verb,e)n,ἐν,preposition,oi)ki/a|,οἰκία,noun,*)iou/da,Ἰούδας,proper,*sau=lon,σαῦλος,adjective,o)no/mati,ὄνομα,adjective,*tarse/a,,,i)dou\,ἰδού,adverb,ga\r,γάρ,particle,proseu/xetai,προσεύχομαι,verb,kai\,καί,conjunction,ei)=den,εἶδον,verb,a)/ndra,ἀνήρ,noun,e)n,ἐν,preposition,o(ra/mati,ὅραμα,noun,*(anani/an,ἀνανιάω,verb,o)no/mati,ὄνομα,adjective,ei)selqo/nta,εἰσέρχομαι,verb,kai\,καί,conjunction,e)piqe/nta,au)tw=|,αὐτός,pronoun,ta\s,ὁ,article,xei=ras,χείρ,noun,o(/pws,ὅπως,conjunction,a)nable/yh|,ἀναβλέπω,verb,,,,,,,,,,,,,,,,,,,,ἐπιτίθημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)pekri/qh,ἀποκρίνω,verb,de\,δέ,particle,*(anani/as,ἀνανιάω,verb,*ku/rie,κύριος,adjective,h)/kousa,ἀκούω,verb,a)po\,ἀπό,preposition,pollw=n,πολύς,adjective,peri\,περί,preposition,tou=,ὁ,article,a)ndro\s,ἀνήρ,noun,tou/tou,οὗτος,pronoun,o(/sa,ὅσος,adjective,kaka\,κακός,adjective,toi=s,ὁ,article,a(gi/ois,ἅγιος,adjective,sou,σύ,pronoun,e)poi/hsen,ποιέω,verb,e)n,ἐν,preposition,*)ierousalh/m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,w(=de,ὧδε,adverb,e)/xei,ἔχω,verb,e)cousi/an,ἐξουσία,noun,para\,παρά,preposition,tw=n,ὁ,article,a)rxiere/wn,ἀρχιέρεως,noun,dh=sai,δέομαι,verb,pa/ntas,πᾶς,adjective,tou\s,ὁ,article,e)pikaloume/nous,ἐπικαλέω,verb,to\,ὁ,article,o)/noma/,ὄνομα,adjective,sou,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=pen,εἶπον,verb,de\,δέ,particle,pro\s,πρός,preposition,au)to\n,αὐτός,pronoun,o(,ὁ,article,ku/rios,κῦρος,noun,*poreu/ou,πορεύω,verb,o(/ti,ὅστις,pronoun,skeu=os,σκεῦος,noun,e)klogh=s,ἐκλογεύς,noun,e)sti/n,εἰμί,verb,moi,ἐγώ,pronoun,ou(=tos,οὗτος,pronoun,tou=,ὁ,article,basta/sai,βαστάζω,verb,to\,ὁ,article,o)/noma/,ὄνομα,adjective,mou,ἐγώ,pronoun,e)nw/pion,ἐνώπιος,adjective,tw=n,ὁ,article,e)qnw=n,ἔθνος,adjective,te,τε,particle,kai\,καί,conjunction,basile/wn,βασίλη,noun,ui(w=n,υἱός,noun,te,τε,particle,*)israh/l,,,e)gw\,ἐγώ,pronoun,ga\r,γάρ,particle,u(podei/cw,ὑποδείκνυμι,verb,au)tw=|,αὐτός,pronoun,o(/sa,ὅσος,adjective,dei=,δέομαι,verb,au)to\n,u(pe\r,ὑπέρ,preposition,tou=,ὁ,article,o)no/mato/s,ὄνομα,adjective,mou,ἐγώ,pronoun,paqei=n,πάσχω,verb,,,,,,,,,,,,,,,,,,,,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)aph=lqen,ἀπέρχομαι,verb,de\,δέ,particle,*(anani/as,ἀνανιάω,verb,kai\,καί,conjunction,ei)sh=lqen,εἰσέρχομαι,verb,ei)s,εἰς,preposition,th\n,ὁ,article,oi)ki/an,οἰκία,noun,kai\,καί,conjunction,e)piqei\s,ἐπιτίθημι,verb,e)p',ἐπί,preposition,au)to\n,αὐτός,pronoun,ta\s,ὁ,article,xei=ras,χείρ,noun,ei)=pen,εἶπον,verb,*saou\l,,,a)delfe/,ἀδελφός,adjective,o(,ὁ,article,ku/rios,κῦρος,noun,a)pe/stalke/n,ἀποστέλλω,verb,me,ἐγώ,pronoun,*)ihsou=s,Ἰησοῦς,proper,o(,ὁ,article,o)fqei/s,ὁράω,verb,soi,σύ,pronoun,e)n,ἐν,preposition,th=|,ὁ,article,o(dw=|,ὁδός,adjective,h(=|,ὅς,pronoun,h)/rxou,ἄρχω,verb,o(/pws,ὅπως,conjunction,a)nable/yh|s,ἀναβλέπω,verb,kai\,καί,conjunction,plhsqh=|s,pneu/matos,πνεῦμα,noun,a(gi/ou,ἅγιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πίμπλημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,eu)qe/ws,εὐθύς,adverb,a)pe/pesan,ἀπέπειμι,verb,au)tou=,αὐτός,pronoun,a)po\,ἀπό,preposition,tw=n,ὁ,article,o)fqalmw=n,ὀφθαλμός,noun,w(s,ὡς,conjunction,lepi/des,λεπίς,noun,a)ne/bleye/n,ἀναβλέπω,verb,te,τε,particle,kai\,καί,conjunction,a)nasta\s,ἀνίστημι,verb,e)bapti/sqh,βαπτίζω,verb,kai\,καί,conjunction,labw\n,λαμβάνω,verb,trofh\n,τροφή,noun,e)nisxu/qh,ἐνισχύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)ege/neto,γίγνομαι,verb,de\,δέ,particle,meta\,μετά,preposition,tw=n,ὁ,article,e)n,ἐν,preposition,*damaskw=|,Δαμασκός,adjective,maqhtw=n,μαθητής,noun,h(me/ras,ἡμέρα,noun,tina/s,τις,pronoun,kai\,καί,conjunction,eu)qe/ws,εὐθύς,adverb,e)n,ἐν,preposition,tai=s,ὁ,article,sunagwgai=s,συναγωγή,noun,e)kh/russen,κηρύσσω,verb,to\n,ὁ,article,*)ihsou=n,Ἰησοῦς,proper,o(/ti,ὅστις,pronoun,ou(=to/s,οὗτος,pronoun,e)stin,εἰμί,verb,o(,ὁ,article,ui(o\s,υἱός,noun,tou=,ὁ,article,qeou=,θεός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)ci/stanto,ἐξίστημι,verb,de\,δέ,particle,pa/ntes,πᾶς,adjective,oi(,ἕ,pronoun,a)kou/ontes,ἀκούω,verb,kai\,καί,conjunction,e)/legon,λέγω,verb,*ou)x,οὐ,adverb,ou(=to/s,οὗτος,pronoun,e)stin,εἰμί,verb,o(,ὁ,article,porqh/sas,πορθέω,verb,e)n,ἐν,preposition,*)ierousalh\m,,,tou\s,ὁ,article,e)pikaloume/nous,ἐπικαλέω,verb,to\,ὁ,article,o)/noma,ὄνομα,adjective,tou=to,οὗτος,pronoun,kai\,καί,conjunction,w(=de,ὧδε,adverb,ei)s,εἰς,preposition,tou=to,οὗτος,pronoun,e)lhlu/qei,ἔρχομαι,verb,i(/na,ἵνα,conjunction,dedeme/nous,δέω,verb,au)tou\s,αὐτός,pronoun,a)ga/gh|,ἄγω,verb,e)pi\,ἐπί,preposition,tou\s,ὁ,article,a)rxierei=s,ἀρχιερεύς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*sau=los,σαῦλος,adjective,de\,δέ,particle,ma=llon,μᾶλλον,adverb,e)nedunamou=to,ἐνδυναμόω,verb,kai\,καί,conjunction,sune/xunnen,,,*)ioudai/ous,Ἰουδαῖος,proper,tou\s,ὁ,article,katoikou=ntas,κατοικέω,verb,e)n,ἐν,preposition,*damaskw=|,Δαμασκός,adjective,sunbiba/zwn,,,o(/ti,ὅστις,pronoun,ou(=to/s,οὗτος,pronoun,e)stin,εἰμί,verb,o(,ὁ,article,xristo/s,χριστός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(ws,ὡς,conjunction,de\,δέ,particle,e)plhrou=nto,πληρόω,verb,h(me/rai,ἡμέρα,noun,i(kanai/,ἱκανός,adjective,sunebouleu/santo,συμβουλεύω,verb,oi(,ὁ,article,*)ioudai=oi,Ἰουδαῖος,proper,a)nelei=n,ἀναιρέω,verb,au)to/n,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gnw/sqh,γιγνώσκω,verb,de\,δέ,particle,tw=|,ὁ,article,*sau/lw|,σαῦλος,adjective,h(,ὁ,article,e)piboulh\,ἐπιβουλή,noun,au)tw=n,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parethrou=nto,παρατηρέω,verb,de\,δέ,particle,kai\,καί,conjunction,ta\s,ὁ,article,pu/las,πύλη,adjective,h(me/ras,ἡμέρα,noun,te,τε,particle,kai\,καί,conjunction,nukto\s,νύξ,adjective,o(/pws,ὅπως,conjunction,au)to\n,αὐτός,pronoun,a)ne/lwsin,ἀναιρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labo/ntes,λαμβάνω,verb,de\,δέ,particle,oi(,ὁ,article,maqhtai\,μαθητής,noun,au)tou=,αὐτός,pronoun,nukto\s,νύξ,adjective,dia\,διά,preposition,tou=,ὁ,article,tei/xous,τεῖχος,noun,kaqh=kan,καθίημι,verb,au)to\n,αὐτός,pronoun,xala/santes,χαλάω,verb,e)n,ἐν,preposition,sfuri/di,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*parageno/menos,παραγίγνομαι,verb,de\,δέ,particle,ei)s,εἰς,preposition,*)ierousalh\m,,,e)pei/razen,πειράζω,verb,kolla=sqai,κολλάω,verb,toi=s,ὁ,article,maqhtai=s,μαθητής,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,pa/ntes,πᾶς,adjective,e)fobou=nto,φοβέω,verb,au)to/n,αὐτός,pronoun,mh\,μή,conjunction,pisteu/ontes,πιστεύω,verb,o(/ti,ὅστις,pronoun,e)sti\n,εἰμί,verb,maqhth/s,μαθητής,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*barna/bas,Βαρνάβας,proper,de\,δέ,particle,e)pilabo/menos,ἐπιλαμβάνω,verb,au)to\n,αὐτός,pronoun,h)/gagen,ἄγω,verb,pro\s,πρός,preposition,tou\s,ὁ,article,a)posto/lous,ἀπόστολος,noun,kai\,καί,conjunction,dihgh/sato,διηγέομαι,verb,au)toi=s,αὐτός,pronoun,pw=s,πῶς,adverb,e)n,ἐν,preposition,th=|,ὁ,article,o(dw=|,ὁδός,adjective,ei)=den,εἶδον,verb,to\n,ὁ,article,ku/rion,κύριος,adjective,kai\,καί,conjunction,o(/ti,ὅστις,pronoun,e)la/lhsen,λαλέω,verb,au)tw=|,αὐτός,pronoun,kai\,καί,conjunction,pw=s,πῶς,adverb,e)n,ἐν,preposition,*damaskw=|,Δαμασκός,adjective,e)parrhsia/sato,παρρησιάζομαι,verb,e)n,ἐν,preposition,tw=|,ὁ,article,o)no/mati,ὄνομα,adjective,*)ihsou=,Ἰησοῦς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,h)=n,εἰμί,verb,met',μετά,preposition,au)tw=n,αὐτός,pronoun,ei)sporeuo/menos,εἰσπορεύω,verb,kai\,καί,conjunction,e)kporeuo/menos,ἐκπορεύω,verb,ei)s,εἰς,preposition,*)ierousalh/m,,,parrhsiazo/menos,παρρησιάζομαι,verb,e)n,ἐν,preposition,tw=|,ὁ,article,o)no/mati,ὄνομα,adjective,tou=,ὁ,article,kuri/ou,κύριος,adjective,e)la/lei,λαλέω,verb,te,τε,particle,kai\,καί,conjunction,sunezh/tei,συνζωοποιέω,verb,pro\s,πρός,preposition,tou\s,ὁ,article,*(ellhnista/s,Ἑλληνιστής,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,de\,δέ,particle,e)pexei/roun,ἐπιχειρέω,verb,a)nelei=n,ἀναιρέω,verb,au)to/n,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pigno/ntes,ἐπιγιγνώσκω,verb,de\,δέ,particle,oi(,ὁ,article,a)delfoi\,ἀδελφός,adjective,kath/gagon,κατάγω,verb,au)to\n,αὐτός,pronoun,ei)s,εἰς,preposition,*kaisari/an,,,kai\,καί,conjunction,e)cape/steilan,ἐξαποστέλλω,verb,au)to\n,αὐτός,pronoun,ei)s,εἰς,preposition,*tarso/n,Ταρσός,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(h,ὁ,article,me\n,μέν,particle,ou)=n,οὖν,particle,e)kklhsi/a,ἐκκλησία,noun,kaq',κατά,preposition,o(/lhs,ὅλος,adjective,th=s,ὁ,article,*)ioudai/as,Ἰουδαῖος,proper,kai\,καί,conjunction,*galilai/as,,,kai\,καί,conjunction,*samari/as,,,ei)=xen,ἔχω,verb,ei)rh/nhn,εἰρήνη,noun,oi)kodomoume/nh,οἰκοδομέω,verb,kai\,καί,conjunction,poreuome/nh,πορεύω,verb,tw=|,ὁ,article,fo/bw|,φόβος,noun,tou=,ὁ,article,kuri/ou,κύριος,adjective,kai\,καί,conjunction,th=|,ὁ,article,paraklh/sei,παράκλησις,noun,tou=,ὁ,article,a(gi/ou,ἅγιος,adjective,pneu/matos,πνεῦμα,noun,e)plhqu/neto,πληθύνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*e*g*e*n*e*t*o,,,*d*e,,,*p*e*t*r*o*n,,,dierxo/menon,διέρχομαι,verb,dia\,διά,preposition,pa/ntwn,πᾶς,adjective,katelqei=n,κατέρχομαι,verb,kai\,καί,conjunction,pro\s,πρός,preposition,tou\s,ὁ,article,a(gi/ous,ἅγιος,adjective,tou\s,ὁ,article,katoikou=ntas,κατοικέω,verb,*lu/dda,,,eu(=ren,εὑρίσκω,verb,de\,δέ,particle,e)kei=,ἐκεῖ,adverb,a)/nqrwpo/n,ἄνθρωπος,noun,tina,τις,pronoun,o)no/mati,ὄνομα,adjective,*ai)ne/an,Αἰνείας,proper,e)c,ἐκ,preposition,e)tw=n,ἔται,noun,o)ktw\,ὀκτώ,adverb,katakei/menon,κατάκειμαι,verb,e)pi\,ἐπί,preposition,kraba/ttou,,,o(\s,ὅς,pronoun,h)=n,εἰμί,verb,paralelume/nos,παραλύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ei)=pen,εἶπον,verb,au)tw=|,αὐτός,pronoun,o(,ὁ,article,*pe/tros,Πέτρος,proper,*ai)ne/a,Αἰνείας,proper,i)a=tai/,ἰάομαι,verb,se,σύ,pronoun,*)ihsou=s,Ἰησοῦς,proper,*xristo/s,χριστός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
