word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/41/lemma/@_entry,word/41/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS
ei),εἰ,conjunction,de\,δέ,particle,u(perba/lloi,ὑπερβάλλω,verb,e(ch/konta,ἑξήκοντα,adjective,h(me/ras,ἡμέρα,noun,o(/,ὅς,pronoun,te,τε,particle,pureto\s,πυρετός,noun,e)/xwn,ἔχω,verb,kai\,καί,conjunction,to\,ὁ,article,oi)/dhma,οἴδημα,noun,mh\,μή,conjunction,kaqista/menon,καθίστημι,verb,e)/mpuon,ἔμπυος,adjective,e)/sesqai,εἰμί,verb,shmai/nei,σημαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tou=to,οὗτος,pronoun,kai\,καί,conjunction,to\,ὁ,article,e)n,ἐν,preposition,th=|,ὁ,article,a)/llh|,ἄλλος,adjective,koili/h|,κοιλία,noun,kata\,κατά,preposition,twu)to/,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(ko/sa,ὁπόσος,adjective,me\n,μέν,particle,ou)=n,οὖν,particle,e)pw/duna/,ἐπώδυνος,adjective,te/,σύ,pronoun,e)sti,εἰμί,verb,kai\,καί,conjunction,sklhra\,σκληρός,adjective,kai\,καί,conjunction,mega/la,μέγας,adverb,shmai/nei,σημαίνω,verb,ki/ndunon,κίνδυνος,noun,qana/tou,θάνατος,adjective,o)ligoxroni/ou,ὀλιγοχρόνιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(ko/sa,ὁπόσος,adjective,de\,δέ,particle,malqaka/,μαλθακός,adjective,te,τε,particle,kai\,καί,conjunction,a)nw/duna,ἀνώδυνος,adjective,kai\,καί,conjunction,tw=|,ὁ,article,daktu/lw|,δάκτυλος,noun,piezo/mena,πιέζω,verb,u(pei/kei,ὑφίημι,verb,xroniw/tera,χρόνιος,adjective,e)kei/nwn,ἐκεῖνος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\s,ὁ,article,de\,δέ,particle,a)posta/sias,ἀπόστασις,noun,h(=sson,ἥσσων,adverb,ta\,ὁ,article,e)n,ἐν,preposition,th=|,ὁ,article,gastri\,γαστήρ,noun,oi)dh/mata,οἴδημα,noun,poie/etai,ποιέω,verb,tw=n,ὁ,article,e)n,ἐν,preposition,toi=sin,ὁ,article,u(poxondri/oisin,ὑποχόνδριος,adjective,h(/kista,ἥκιστος,adjective,de\,δέ,particle,ta\,ὁ,article,u(poka/tw,ὑποκάτω,adverb,tou=,ὁ,article,o)mfalou=,ὀμφαλός,noun,e)s,εἰς,preposition,e)pipu/hsin,,,tre/petai,τρέπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai(/matos,αἷμα,noun,de\,δέ,particle,*rh=cin,,,e)k,ἐκ,preposition,tw=n,ὁ,article,a)/nw,ἄνω,adverb,to/pwn,τόπος,noun,ma/lista,μάλιστα,adverb,prosde/xesqai,προσδέχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(pa/ntwn,ἅπας,adjective,de\,δέ,particle,xrh\,χρή,verb,tw=n,ὁ,article,oi)dhma/twn,οἴδημα,noun,xronizo/ntwn,χρονίζω,verb,peri\,περί,preposition,tau=ta,οὗτος,pronoun,ta\,ὁ,article,xwri/a,χωρίον,noun,u(poske/ptesqai,ὑποσκέπτομαι,verb,ta\s,ὁ,article,e)kpuh/sias,ἐκπύησις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,de\,δέ,particle,diapuh/mata,διαπύημα,noun,w(=de,ὧδε,adverb,dei=,δέομαι,verb,ske/ptesqai,σκέπτομαι,verb,ta\,ὁ,article,e)nteu=qen,ἐντεῦθεν,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(ko/sa,ὁπόσος,adjective,me\n,μέν,particle,e)/cw,ἔξω,adverb,tre/petai,τρέπω,verb,a)/rista/,ἄριστος,adjective,e)sti,εἰμί,verb,mikra/,μικρός,adjective,te,τε,particle,e)o/nta,εἰμί,verb,kai\,καί,conjunction,w(s,ὡς,conjunction,ma/lista,μάλιστα,adverb,e)kkli/nonta,ἐκκλίνω,verb,e)/cw,ἔξω,adverb,kai\,καί,conjunction,e)s,εἰς,preposition,o)cu\,ὀξύς,adjective,a)pokurtou/mena,ἀποκυρτόομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,de\,δέ,particle,mega/la,μέγας,adverb,te,τε,particle,e)o/nta,εἰμί,verb,kai\,καί,conjunction,plate/a,πλατύς,adjective,kai\,καί,conjunction,h(/kista,ἥκιστος,adjective,e)s,εἰς,preposition,o)cu\,ὀξύς,adjective,a)pokorufou/mena,ἀποκορυφόω,verb,ka/kista,κακός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(sa,,,de\,δέ,particle,e)/sw,ἔσω,adjective,*rh/gnutai,,,a)/rista/,ἄριστος,adjective,e)stin,εἰμί,verb,a(\,ὅς,pronoun,mhde\n,μηδείς,pronoun,tw=|,ὁ,article,e)/cw,ἔξω,adverb,xwri/w|,χωρίον,noun,e)pikoinwne/ei,ἐπικοινωνέω,verb,a)ll',ἀλλά,adverb,e)/sti,εἰμί,verb,prosestalme/na,προσστέλλω,verb,te,τε,particle,kai\,καί,conjunction,a)nw/duna,ἀνώδυνος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,pa=n,πᾶς,adjective,to\,ὁ,article,e)/cw,ἔξω,adverb,xwri/on,χωρίον,noun,o(mo/xroon,ὁμόχροος,adjective,fai/netai,φαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,de\,δέ,particle,pu=on,,,a)/riston,ἄριστος,adjective,leuko/n,λευκός,adjective,te,τε,particle,ei)=nai,εἰμί,verb,kai\,καί,conjunction,o(malo\n,ὁμαλός,adjective,kai\,καί,conjunction,lei=on,λείων,adjective,kai\,καί,conjunction,w(s,ὡς,conjunction,h(/kista,ἥκιστος,adjective,dusw=des,δυσώδης,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,de\,δέ,particle,e)nanti/on,ἐναντίον,adverb,toute/ou,,,ka/kiston,κακός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,de\,δέ,particle,u(/drwpes,ὕδρωψ,noun,oi(,ὁ,article,e)k,ἐκ,preposition,tw=n,ὁ,article,o)ce/wn,ὀξύς,adjective,noushma/twn,,,pa/ntes,πᾶς,adjective,kakoi/,κακός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/te,οὔτε,adverb,ga\r,γάρ,particle,tou=,ὁ,article,puro\s,πῦρ,noun,a)palla/ssousin,ἀπαλλάσσω,verb,e)pw/dunoi/,ἐπώδυνος,adjective,te/,τε,particle,ei)si,εἰμί,verb,ka/rta,κάρτα,adverb,kai\,καί,conjunction,qanatw/dees,θανατώδης,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/rxontai,ἄρχω,verb,de\,δέ,particle,oi(,ὁ,article,plei=stoi,πλεῖστος,adjective,me\n,μέν,particle,a)po\,ἀπό,preposition,tw=n,ὁ,article,kenew/nwn,κενεών,noun,kai\,καί,conjunction,th=s,ὁ,article,o)sfu/os,ὀσφύς,noun,oi(,ὁ,article,de\,δέ,particle,a)po\,ἀπό,preposition,tou=,ὁ,article,h(/patos,ἥπατος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(=si,ὅς,pronoun,me\n,μέν,particle,ou)=n,οὖν,particle,a)po\,ἀπό,preposition,tw=n,ὁ,article,kenew/nwn,κενεών,noun,kai\,καί,conjunction,th=s,ὁ,article,o)sfu/os,ὀσφύς,noun,ai(,ὁ,article,a)rxai\,ἀρχή,noun,gi/gnontai,γίγνομαι,verb,oi(/,ἕ,pronoun,te,τε,particle,po/des,πούς,noun,oi)de/ousi,οἰδάω,verb,kai\,καί,conjunction,dia/r)*roiai,,,poluxro/nion,πολυχρόνιος,adjective,e)/xousin,ἔχω,verb,ou)/te,οὔτε,adverb,ta\s,ὁ,article,o)du/nas,ὀδύνη,noun,lu/ousai,λύω,verb,ta\s,ὁ,article,e)k,ἐκ,preposition,tw=n,ὁ,article,kenew/nwn,κενεών,noun,kai\,καί,conjunction,th=s,ὁ,article,o)sfu/os,ὀσφύς,noun,ou)/te,οὔτε,adverb,th\n,ὁ,article,gaste/ra,γαστήρ,noun,lapa/ssousai,λαπάσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(ko/soisi,ὁπόσος,adjective,de\,δέ,particle,a)po\,ἀπό,preposition,tou=,ὁ,article,h(/patos,ἥπατος,noun,u(/drwpes,ὕδρωψ,noun,gi/gnontai,γίγνομαι,verb,bh=cai/,βήσσω,verb,te,τε,particle,qumo\s,θυμός,noun,tou/toisin,οὗτος,pronoun,e)ggi/gnetai,ἐγγίγνομαι,verb,kai\,καί,conjunction,ou)de/n,οὐδείς,pronoun,ti,τις,pronoun,a)poptu/ousin,ἀποπτύω,verb,a)/cion,ἄξιος,adjective,lo/gou,λόγος,noun,kai\,καί,conjunction,oi(,ὁ,article,po/des,πούς,noun,oi)de/ousi,οἰδάω,verb,kai\,καί,conjunction,h(,ὁ,article,gasth\r,γαστήρ,noun,ou),οὐ,adverb,diaxwre/ei,διαχωρέω,verb,ei),εἰ,conjunction,mh\,μή,conjunction,sklhra/,σκληρός,adjective,te,τε,particle,kai\,καί,conjunction,pro\s,πρός,preposition,a)na/gkhn,ἀνάγκη,noun,kai\,καί,conjunction,peri\,περί,preposition,th\n,ὁ,article,koili/hn,κοιλία,noun,gi/gnetai,γίγνομαι,verb,oi)dh/mata,οἴδημα,noun,ta\,ὁ,article,me\n,e)pi\,ἐπί,preposition,μέν,particle,decia\,δεξιός,adjective,ta\,ὁ,article,d',δέ,particle,e)p',ἐπί,preposition,a)ristera\,ἀριστερός,adjective,i(sta/mena/,ἵστημι,verb,te,τε,particle,kai\,καί,conjunction,katapauo/mena,καταπαύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kefalh\,κεφαλή,noun,de\,δέ,particle,kai\,καί,conjunction,xei=res,χείρ,noun,kai\,καί,conjunction,po/des,πούς,noun,yuxra\,ψυχρός,adjective,e)o/nta,εἰμί,verb,kako\n,κακός,adjective,th=s,ὁ,article,te,τε,particle,koili/hs,κοιλία,noun,kai\,καί,conjunction,tw=n,ὁ,article,pleurw=n,πλευρά,noun,qermw=n,θέρμα,adjective,e)o/ntwn,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/riston,ἄριστος,adjective,de\,δέ,particle,kai\,καί,conjunction,o(/lon,ὅλος,adjective,to\,ὁ,article,sw=ma,σῶμα,adjective,qermo/n,θερμός,adjective,te,τε,particle,e)o\n,εἰμί,verb,kai\,καί,conjunction,malqako\n,μαλθακός,adjective,o(malw=s,ὁμαλός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stre/fesqai,στρέφω,verb,de\,δέ,particle,xrh\,χρή,verb,*rhi+di/ws,,,to\n,ὁ,article,a)lgeu=nta,ἀλγέω,verb,kai\,καί,conjunction,e)n,ἐν,preposition,toi=si,ὁ,article,metewrismoi=sin,μετεωρισμός,noun,e)lafro\n,ἐλαφρός,adjective,ei)=nai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,de\,δέ,particle,baru\s,βαρύς,adjective,e)w\n,εἰμί,verb,fai/noito,φαίνω,verb,kai\,καί,conjunction,to\,ὁ,article,a)/llo,ἄλλος,adjective,sw=ma,σῶμα,adjective,kai\,καί,conjunction,ta\s,ὁ,article,xei=ras,χείρ,noun,kai\,καί,conjunction,tou\s,ὁ,article,po/das,πούς,noun,e)pikinduno/teron,ἐπικίνδυνος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,de\,δέ,particle,pro\s,πρός,preposition,tw=|,ὁ,article,ba/rei,βάρος,noun,kai\,καί,conjunction,oi(,ὁ,article,o)/nuxes,ὄνυξ,noun,kai\,καί,conjunction,oi(,ὁ,article,da/ktuloi,δάκτυλος,noun,pelidnoi\,πελιδνός,adjective,gi/gnontai,γίγνομαι,verb,prosdo/kimos,προσδόκιμος,adjective,o(,ὁ,article,qa/natos,θάνατος,adjective,parauti/ka,παραυτίκα,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
melaino/menoi,μελαίνω,verb,de\,δέ,particle,pantelw=s,παντελής,adverb,oi(,ὁ,article,da/ktuloi,δάκτυλος,noun,kai\,καί,conjunction,oi(,ὁ,article,po/des,πούς,noun,h(=sson,ἥσσων,adverb,o)le/qrioi,ὀλέθριος,adjective,tw=n,ὁ,article,pelidnw=n,πελιδνός,adjective,ei)sin,εἰμί,verb,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,ta)/lla,ἄλλος,adjective,shmei=a,σημεῖον,noun,ske/ptesqai,σκέπτομαι,verb,xrh/,χρή,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,ga\r,γάρ,particle,eu)pete/ws,εὐπετής,adverb,fe/rwn,φέρω,verb,fai/nhtai,φαίνω,verb,to\,ὁ,article,kako\n,κακός,adjective,kai\,καί,conjunction,a)/llo,ἄλλος,adjective,ti,τις,pronoun,tw=n,ὁ,article,periestikw=n,περιεστικός,adjective,pro\s,πρός,preposition,toute/oisi,,,toi=si,ὁ,article,shmei/oisin,σημεῖον,noun,u(podeiknu/h|,ὑποδείκνυμι,verb,to\,ὁ,article,nou/shma,,,e)s,εἰς,preposition,a)po/stasin,ἀπόστασις,noun,traph=nai,τέρπω,verb,e)lpi\s,ἐλπίς,noun,w(/ste,ὥστε,conjunction,to\n,ὁ,article,me\n,μέν,particle,a)/nqrwpon,ἄνθρωπος,noun,perigene/sqai,περιγίγνομαι,verb,ta\,ὁ,article,de\,δέ,particle,melanqe/nta,μελαίνω,verb,tou=,ὁ,article,sw/matos,σῶμα,adjective,a)popesei=n,ἀποπίπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o)/rxies,ὄρχις,noun,de\,δέ,particle,kai\,καί,conjunction,ai)doi=a,αἰδοῖον,noun,a)nespasme/na,ἀνασπάω,verb,po/nous,πόνος,noun,i)sxurou\s,ἰσχυρός,adjective,shmai/nei,σημαίνω,verb,kai\,καί,conjunction,ki/ndunon,κίνδυνος,noun,qanatw/dea,θανατώδης,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
