word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/37/lemma/@_entry,word/37/lemma/@_POS
a)ll',ἀλλά,adverb,w)=,ὦ,interjection,filta/th,φίλτατος,adjective,h(/cousi,ἥκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xaleph/,χαλεπός,adjective,toi,τοι,particle,gunaikw=n,γυνή,noun,e)/codos,ἔξοδος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,me\n,μέν,particle,ga\r,γάρ,particle,h(mw=n,ἐγώ,pronoun,peri\,περί,preposition,to\n,ὁ,article,a)/ndr',ἀνήρ,noun,e)ku/ptasen,κυπτάζω,verb,h(,ὁ,article,d',δέ,particle,oi)ke/thn,οἰκέτης,noun,h)/geiren,ἀγείρω,verb,h(,ὁ,article,de\,δέ,particle,paidi/on,παιδίον,noun,kate/klinen,κατακλίνω,verb,h(,ὁ,article,d',δέ,particle,e)/lousen,λούω,verb,h(,ὁ,article,d',δέ,particle,e)yw/misen,ψωμίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,e(/tera/,ἕτερος,adjective,ta)/r',ἄρα,particle,h)=n,εἰμί,verb,tw=nde,ὅδε,pronoun,prou)rgiai/tera,προύργου,adjective,au)tai=s,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,d',δέ,particle,e)sti\n,εἰμί,verb,w)=,ὦ,interjection,fi/lh,φίλος,adjective,*lusistra/th,Λυσιστράτη,proper,e)f',ἐπί,preposition,o(/,ὅς,pronoun,ti,τις,pronoun,poq',ποτέ,particle,h(ma=s,ἐγώ,pronoun,ta\s,ὁ,article,gunai=kas,γυνή,noun,sugkalei=s,συγκαλέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,to\,ὁ,article,pra=gma,πρᾶγμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phli/kon,πηλίκος,adjective,ti,τις,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mw=n,μῶν,adverb,kai\,καί,conjunction,paxu/,παχύς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,nh\,νή,preposition,*di/a,Δίη,proper,paxu/,παχύς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ka)=|ta,εἶτα,adverb,pw=s,πῶς,adverb,ou)x,οὐ,adverb,h(/komen,ἥκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)x,οὐ,adverb,ou(=tos,οὗτος,pronoun,o(,ὁ,article,tro/pos,τρόπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taxu\,ταχύς,adjective,ga\r,γάρ,particle,a)\n,ἄν,particle,cunh/lqomen,συνέρχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,e)/stin,εἰμί,verb,u(p',ὑπό,preposition,e)mou=,ἐγώ,pronoun,pra=gm',πρᾶγμα,noun,a)nezhthme/non,ἀναζητέω,verb,pollai=si/,πολύς,adjective,t',τε,particle,a)grupni/aisin,ἀγρυπνία,noun,e)rriptasme/non,ῥιπτάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=,ἦ,adverb,pou/,πού,adverb,ti,τις,pronoun,lepto/n,λεπτός,adjective,e)sti,εἰμί,verb,tou)rriptasme/non,ῥιπτάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tw,οὕτως,adverb,ge,γε,particle,lepto\n,λεπτός,adjective,w(/sq',ὥστε,conjunction,o(/lhs,ὅλος,adjective,th=s,ὁ,article,*(ella/dos,Ἑλλάς,proper,e)n,ἐν,preposition,tai=s,ὁ,article,gunaici/n,γυνή,noun,e)stin,εἰμί,verb,h(,ὁ,article,swthri/a,σωτηρία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,tai=s,ὁ,article,gunaici/n,γυνή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)p',ἐπί,preposition,o)li/gou,ὀλίγος,adjective,g',γε,particle,w)xei=t',,,a)/ra,ἄρος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,e)/st',εἰμί,verb,e)n,ἐν,preposition,h(mi=n,ἐγώ,pronoun,th=s,ὁ,article,po/lews,πόλις,adjective,ta\,ὁ,article,pra/gmata,πρᾶγμα,noun,h)\,ἠέ,conjunction,mhke/t',μηκέτι,adverb,ei)=nai,εἰμί,verb,mh/te,μήτε,particle,*peloponnhsi/ous,Πελοποννήσιοι,proper,be/ltista,βέλτιστος,adjective,toi/nun,τοίνυν,particle,mhke/t',μηκέτι,adverb,ei)=nai,εἰμί,verb,nh\,νή,preposition,*di/a,Δίη,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*boiwti/ous,Βοιώτιος,proper,te,τε,particle,pa/ntas,πᾶς,adjective,e)colwle/nai,ἐξόλλυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh\,μή,conjunction,dh=ta,δῆτα,adverb,pa/ntas,πᾶς,adjective,g',γε,particle,a)ll',ἀλλά,adverb,a)/fele,ἀφαιρέω,verb,ta\s,ὁ,article,e)gxe/leis,ἔγχελυς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peri\,περί,preposition,tw=n,ὁ,article,*)aqhnw=n,Ἀθήνη,proper,d',δέ,particle,ou)k,οὐ,adverb,e)piglwtth/somai,ἐπιγλωσσάομαι,verb,toiou=ton,τοιοῦτος,adjective,ou)de/n,οὐδείς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,u(pono/hson,ὑπονοέω,verb,su/,σύ,pronoun,moi,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de\,δέ,particle,cune/lqws',συνέρχομαι,verb,ai(,ὁ,article,gunai=kes,γυνή,noun,e)nqa/de,ἐνθάδε,adverb,ai(/,ὅς,pronoun,t',τε,particle,e)k,ἐκ,preposition,*boiwtw=n,Βοιωτός,proper,ai(/,ὅς,pronoun,te,τε,particle,*peloponnhsi/wn,Πελοποννήσιοι,proper,h(mei=s,ἐγώ,pronoun,te,τε,particle,koinh=|,κοινῇ,adverb,sw/somen,σώζω,verb,th\n,ὁ,article,*(ella/da,Ἑλλάς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,d',δέ,particle,a)\n,ἄν,particle,gunai=kes,γυνή,noun,fro/nimon,φρόνιμος,adjective,e)rgasai/ato,ἐργάζομαι,verb,h)\,ἠέ,conjunction,lampro/n,λαμπρός,adjective,ai(\,ὅς,pronoun,kaqh/meq',κάθημαι,verb,e)chnqisme/nai,ἐξανθίζω,verb,krokwtoforou=sai,κροκωτοφορέω,verb,kai\,καί,conjunction,kekallwpisme/nai,καλλωπίζω,verb,kai\,καί,conjunction,*kimmeri/k',,,o)rqosta/dia,ὀρθοστάδιον,noun,kai\,καί,conjunction,peribari/das,περιβαρίδες,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau=t',οὗτος,pronoun,au)ta\,αὐτός,pronoun,ga/r,γάρ,particle,toi,σύ,pronoun,ka)/sq',ἔσθω,verb,a(\,ὅς,pronoun,sw/sein,σώζω,verb,prosdokw=,προσδοκάω,verb,ta\,ὁ,article,krokwti/dia,κροκωτίδιον,noun,kai\,καί,conjunction,ta\,ὁ,article,mu/ra,μύρον,adjective,xai),ὁ,article,peribari/des,περιβαρίδες,noun,xh)/gxousa,,,kai\,καί,conjunction,ta\,ὁ,article,diafanh=,διαφανής,adverb,xitw/nia,χιτώνιον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/na,τίς,pronoun,dh\,δή,particle,tro/pon,τρόπος,noun,poq',ποτέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(/ste,ὥστε,conjunction,tw=n,ὁ,article,nu=n,νῦν,adverb,mhde/na,μηδείς,pronoun,a)ndrw=n,ἀνήρ,noun,e)p',ἐπί,preposition,a)llh/loisin,ἀλλήλων,pronoun,a)/resqai,,,do/ru,δόρυ,noun,krokwto\n,κροκωτός,adjective,a)/ra,ἄρα,particle,nh\,νή,preposition,tw\,ὁ,article,qew\,θεός,noun,'gw\,ἀγός,noun,ba/yomai,βάπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mhd',μηδέ,particle,a)spi/da,ἀσπίς,noun,labei=n,λαμβάνω,verb,*kimmeriko\n,Κιμμερικός,adjective,e)ndu/somai,ἐνδύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mhde\,μηδέ,particle,cifi/dion,ξιφίδιον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kth/somai,κτάομαι,verb,peribari/das,περιβαρίδες,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)=r',ἆρα,particle,ou),οὐ,adverb,parei=nai,πάρειμι,verb,ta\s,ὁ,article,gunai=kas,γυνή,noun,dh=t',δῆτα,adverb,e)xrh=n,χρή,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,ma\,μά,particle,*di/',Δίη,proper,a)lla\,ἀλλά,adverb,petome/nas,πέτομαι,verb,h(/kein,ἥκω,verb,pa/lai,πάλαι,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,w)=,ὦ,interjection,me/l',μέλη,noun,o)/yei,ὁράω,verb,toi,σύ,pronoun,sfo/dr',σφόδρα,adverb,au)ta\s,αὐτός,pronoun,*)attika/s,Ἀττικός,adjective,a(/panta,ἅπας,adjective,drw/sas,δράω,verb,tou=,ὁ,article,de/ontos,δέω,verb,u(/steron,ὕστερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,ou)de\,οὐδέ,particle,*para/lwn,Πάραλος,proper,ou)demi/a,οὐδείς,pronoun,gunh\,γυνή,noun,pa/ra,παρά,preposition,ou)d',οὐδέ,particle,e)k,ἐκ,preposition,*salami=nos,Σαλαμίς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,e)kei=nai/,ἐκεῖνος,pronoun,g',γε,particle,oi)=d',οἶδα,verb,o(/ti,ὅστις,pronoun,e)pi\,ἐπί,preposition,tw=n,ὁ,article,kelh/twn,κέλης,noun,diabebh/kas',διαβαίνω,verb,o)/rqriai,ὀρθρία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)d',οὐδέ,particle,a(\s,ὅς,pronoun,prosedo/kwn,προσδοκάω,verb,ka)logizo/mhn,ἀλογίζομαι,verb,e)gw\,ἐγώ,pronoun,prw/tas,πρότερος,adjective,pare/sesqai,πάρειμι,verb,deu=ro,δεῦρο,adverb,ta\s,ὁ,article,*)axarne/wn,Ἀχαρναί,proper,gunai=kas,γυνή,noun,ou)x,οὐ,adverb,h(/kousin,ἥκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,gou=n,γοῦν,particle,*qeoge/nous,Θεογένης,proper,w(s,ὡς,conjunction,deu=r',δεῦρο,adverb,i)ou=sa,εἶμι,verb,qou)ka/taion,,,h)/reto,αἴρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ta\r,ἀτάρ,particle,ai(/de,ὅδε,pronoun,kai\,καί,conjunction,dh/,δή,particle,soi,σύ,pronoun,prose/rxontai/,προσέρχομαι,verb,tines,τις,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
