word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/23/lemma/@_entry,word/23/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/80/lemma/@_entry,word/80/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS,word/122/@_form,word/122/lemma/@_entry,word/122/lemma/@_POS,word/123/@_form,word/123/lemma/@_entry,word/123/lemma/@_POS,word/124/@_form,word/124/lemma/@_entry,word/124/lemma/@_POS,word/125/@_form,word/125/lemma/@_entry,word/125/lemma/@_POS,word/126/@_form,word/126/lemma/@_entry,word/126/lemma/@_POS,word/127/@_form,word/127/lemma/@_entry,word/127/lemma/@_POS,word/128/@_form,word/128/lemma/@_entry,word/128/lemma/@_POS,word/129/@_form,word/129/lemma/@_entry,word/129/lemma/@_POS,word/130/@_form,word/130/lemma/@_entry,word/130/lemma/@_POS
e)peidh\,ἐπεί,conjunction,ga\r,γάρ,particle,oi(,ὁ,article,presbu/teroi,πρέσβυς,noun,tai=s,ὁ,article,h(liki/ais,ἡλικία,noun,u(pe\r,ὑπέρ,preposition,th=s,ὁ,article,presbei/as,πρέσβεια,noun,ei)rh/kesan,ἐρῶ,verb,kai\,καί,conjunction,kaqh=ken,καθήκω,verb,ei)s,εἰς,preposition,h(ma=s,ἐγώ,pronoun,o(,ὁ,article,lo/gos,λόγος,noun,ta\,ὁ,article,me\n,μέν,particle,kaq',κατά,preposition,e(/kasta,ἕκαστος,adjective,tw=n,ὁ,article,e)kei=,ἐκεῖ,adverb,r(hqe/ntwn,ἐρῶ,verb,u(p',e)mou=,ἐγώ,pronoun,kai\,καί,conjunction,tou\s,ὁ,article,pro\s,πρός,preposition,tau=ta,οὗτος,pronoun,*fili/ppou,Φίλιππος,proper,lo/gous,λόγος,noun,e)n,ἐν,preposition,tw=|,ὁ,article,dh/mw|,δῆμος,noun,safw=s,σαφής,adverb,a)ph/ggeila,ἀπαγγέλλω,verb,pro\s,πρός,preposition,a(/pantas,ἅπας,adjective,*)aqhnai/ous,Ἀθήναιος,proper,nuni\,νυνί,adverb,de\,δέ,particle,peira/somai,πειράω,verb,dia\,διά,preposition,kefalai/wn,κεφάλαιος,adjective,u(ma=s,σύ,pronoun,u(pomimnh/|skein,ὑπομιμνήσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,ὑπό,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prw=ton,πρότερος,adjective,me\n,μέν,particle,ga\r,γάρ,particle,pro\s,πρός,preposition,au)to\n,αὐτός,pronoun,diech=lqon,διεξέρχομαι,verb,th\n,ὁ,article,patrikh\n,πατρικός,adjective,eu)/noian,εὔνοια,noun,kai\,καί,conjunction,ta\s,ὁ,article,eu)ergesi/as,εὐεργεσία,noun,a(\s,ὅς,pronoun,u(mei=s,σύ,pronoun,u(ph/rcate,ὑπάρχω,verb,*)amu/nta,Ἀμύντης,proper,tw=|,ὁ,article,*fili/ppou,Φίλιππος,proper,patri/,πατήρ,noun,ou)de\n,οὐδείς,pronoun,paralei/pwn,παραλείπω,verb,a)ll',ἀλλά,adverb,e)fech=s,ἐφεξῆς,adverb,a(/panta,u(pomimnh/|skwn,ὑπομιμνήσκω,verb,deu/teron,δεύτερος,adjective,de\,δέ,particle,w(=n,ὅς,pronoun,au)to\s,αὐτός,pronoun,h)=n,εἰμί,verb,ma/rtus,μάρτυς,noun,eu)=,εὖ,adverb,paqw/n,πάσχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἅπας,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)amu/ntou,Ἀμύντης,proper,me\n,μέν,particle,ga\r,γάρ,particle,newsti\,νεωστί,adverb,teteleuthko/tos,τελευτάω,verb,kai\,καί,conjunction,*)aleca/ndrou,Ἀλέξανδρος,proper,tou=,ὁ,article,presbuta/tou,πρέσβυς,noun,tw=n,ὁ,article,a)delfw=n,ἀδελφή,noun,*perdi/kkou,Πέρδικκος,proper,de\,δέ,particle,kai\,καί,conjunction,*fili/ppou,Φίλιππος,proper,pai/dwn,παῖς,adjective,o)/ntwn,εἰμί,verb,*eu)rudi/khs,Εὐρυδίκη,proper,de\,δέ,particle,th=s,ὁ,article,mhtro\s,μήτηρ,noun,au)tw=n,αὐτός,pronoun,prodedome/nhs,προδίδωμι,verb,u(po\,tw=n,ὁ,article,dokou/ntwn,δοκέω,verb,ei)=nai,εἰμί,verb,fi/lwn,φίλος,adjective,*pausani/ou,Παυσανίης,proper,d',δέ,particle,e)pi\,ἐπί,preposition,th\n,ὁ,article,a)rxh\n,ἀρχή,noun,katio/ntos,κάτειμι,verb,fuga/dos,φυγάς,noun,me\n,μέν,particle,o)/ntos,εἰμί,verb,tw=|,τίς,pronoun,kairw=|,καιρός,noun,d',δέ,particle,i)sxu/ontos,ἰσχύω,verb,pollw=n,πολύς,adjective,d',δέ,particle,au)tw=|,αὐτός,pronoun,sumpratto/ntwn,συμπράσσω,verb,e)/xontos,ἔχω,verb,de\,δέ,particle,*(ellhnikh\n,Ἑλληνικός,adjective,du/namin,δύναμις,adjective,ei)lhfo/tos,λαμβάνω,verb,de\,δέ,particle,*)anqemou=nta,Ἀνθεμόεις,proper,kai\,καί,conjunction,*qe/rman,Θέρμη,proper,ὑπό,preposition,kai\,καί,conjunction,*stre/yan,Στρέψα,proper,kai\,καί,conjunction,a)/ll',ἄλλος,adjective,a)/tta,ἄττα,interjection,xwri/a,χωρίον,noun,*makedo/nwn,Μακεδών,proper,de\,δέ,particle,ou)x,οὐ,adverb,o(monoou/ntwn,ὁμονοέω,verb,a)lla\,ἀλλά,adverb,tw=n,ὁ,article,plei/stwn,πλεῖστος,adjective,ta\,ὁ,article,*pausani/ou,Παυσανίης,proper,fronou/ntwn,φρονέω,verb,e)pi\,ἐπί,preposition,tw=n,ὁ,article,kairw=n,καιρός,noun,tou/twn,οὗτος,pronoun,e)xeiroto/nhsan,χειροτονέω,verb,*)aqhnai=oi,Ἀθηναῖος,proper,strathgo\n,στρατηγός,noun,e)p',ἐπί,preposition,*)amfi/polin,Ἀμφίπολις,proper,*)ifikra/thn,Ἰφικράτης,proper,*)amfipolitw=n,au)tw=n,αὐτός,pronoun,e)xo/ntwn,ἔχω,verb,to/te,τότε,adverb,th\n,ὁ,article,po/lin,πόλις,adjective,kai\,καί,conjunction,th\n,ὁ,article,xw/ran,χώρα,noun,karpoume/nwn,καρπέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)fikome/nou,ἀφικνέομαι,verb,d',δέ,particle,ei)s,εἰς,preposition,tou\s,ὁ,article,to/pous,τόπος,noun,*)ifikra/tous,Ἰφικράτης,proper,met',μετά,preposition,o)li/gwn,ὀλίγος,adjective,to\,ὁ,article,prw=ton,πρότερος,adjective,new=n,ναός,noun,e)pi\,ἐπί,preposition,kataskoph=|,κατασκοπέω,verb,ma=llon,μᾶλλον,adverb,tw=n,ὁ,article,pragma/twn,πρᾶγμα,noun,h)\,ἠέ,conjunction,poliorki/a,πολιορκία,noun,th=s,ὁ,article,po/lews,πόλις,adjective,e)ntau=qa,ἐνταῦθα,adverb,e)/fhn,φημί,verb,e)gw/,ἐγώ,pronoun,metepe/myato,au)to\n,αὐτός,pronoun,*eu)rudi/kh,Εὐρυδίκη,proper,h(,ὁ,article,mh/thr,μήτηρ,noun,h(,ὁ,article,sh/,σός,adjective,kai\,καί,conjunction,w(/s,ὅς,pronoun,ge,γε,particle,dh\,δή,particle,le/gousin,λέγω,verb,oi(,ἕ,pronoun,paro/ntes,πάρειμι,verb,pa/ntes,πᾶς,adjective,*perdi/kkan,Περδίκκης,proper,me\n,μέν,particle,to\n,ὁ,article,a)delfo\n,ἀδελφός,adjective,to\n,ὁ,article,so\n,σός,adjective,katasth/sasa,καθίστημι,verb,ei)s,εἰς,preposition,ta\s,ὁ,article,xei=ras,χείρ,noun,ta\s,ὁ,article,*)ifikra/tous,Ἰφικράτης,proper,se\,σύ,pronoun,de\,δέ,particle,ei)s,εἰς,preposition,ta\,ὁ,article,μεταπέμπω,verb,go/nata,γόνυ,noun,ta\,ὁ,article,e)kei/nou,ἐκεῖνος,pronoun,qei=sa,τίθημι,verb,paidi/on,παιδίον,noun,o)/nta,εἰμί,verb,ei)=pen,εἶπον,verb,o(/ti,ὅστις,pronoun,*)amu/ntas,Ἀμύντης,proper,o(,ὁ,article,path\r,πατήρ,noun,tw=n,ὁ,article,paidi/wn,παίδιον,noun,tou/twn,οὗτος,pronoun,o(/t',ὅτε,conjunction,e)/zh,ζάω,verb,ui(o\n,υἱός,noun,e)poih/sato/,ποιέω,verb,se,σύ,pronoun,th=|,ὁ,article,de\,δέ,particle,*)aqhnai/wn,Ἀθήναια,proper,po/lei,πόλις,adjective,oi)kei/ws,οἰκεῖος,adjective,e)xrh/sato,χράω,verb,w(/ste,ὥστε,conjunction,sumbai/nei,soi,σύ,pronoun,kai\,καί,conjunction,i)di/a|,ἴδιος,adjective,tw=n,ὁ,article,pai/dwn,παῖς,adjective,tou/twn,οὗτος,pronoun,gegenh=sqai,γίγνομαι,verb,a)delfw=|,ἀδελφός,adjective,kai\,καί,conjunction,συμβαίνω,verb,dhmosi/a|,δημοσίᾳ,adverb,fi/lw|,φίλος,adjective,h(mi=n,ἐγώ,pronoun,ei)=nai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,meta\,μετά,preposition,tau=ta,οὗτος,pronoun,h)/dh,ἤδη,adverb,de/hsin,δέησις,noun,i)sxura\n,ἰσχυρός,adjective,e)poiei=to,ποιέω,verb,kai\,καί,conjunction,u(pe\r,ὑπέρ,preposition,u(mw=n,σύ,pronoun,kai\,καί,conjunction,u(pe\r,ὑπέρ,preposition,au(th=s,ἑαυτοῦ,pronoun,kai\,καί,conjunction,u(pe\r,ὑπέρ,preposition,th=s,ὁ,article,a)rxh=s,ἀρχή,noun,kai\,καί,conjunction,o(/lws,ὅλος,adjective,u(pe\r,ὑπέρ,preposition,th=s,ὁ,article,swthri/as,σωτηρία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)kou/sas,ἀκέω,verb,de\,δέ,particle,tau=ta,οὗτος,pronoun,*)ifikra/ths,Ἰφικράτης,proper,e)ch/lase,ἐξελαύνω,verb,*pausani/an,Παυσανίης,proper,e)k,ἐκ,preposition,*makedoni/as,Μακεδονία,proper,kai\,καί,conjunction,th\n,ὁ,article,dunastei/an,δυναστεία,noun,u(mi=n,σύ,pronoun,e)/swse,εἰσωθέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,meta\,μετά,preposition,tau=ta,οὗτος,pronoun,ei)=pon,εἶπον,verb,peri\,περί,preposition,*ptolemai/ou,Πτολεμαῖος,proper,o(\s,ὅς,pronoun,h)=n,εἰμί,verb,e)pi/tropos,ἐπίτροπος,adjective,kaqesthkw\s,καθίστημι,verb,tw=n,ὁ,article,pragma/twn,πρᾶγμα,noun,w(s,ὡς,conjunction,a)xa/riston,ἀχάριστος,adjective,kai\,καί,conjunction,deino\n,δεινός,adjective,e)/rgon,ἔργον,noun,diepra/cato,διαπράσσω,verb,dida/skwn,διδάσκω,verb,o(/ti,ὅστις,pronoun,prw=ton,πρότερος,adjective,me\n,μέν,particle,u(pe\r,ὑπέρ,preposition,*)amfipo/lews,a)nte/pratte,ἀντιπράσσω,verb,th=|,ὁ,article,po/lei,πόλις,adjective,kai\,καί,conjunction,pro\s,πρός,preposition,*qhbai/ous,Θηβαῖος,proper,diaferome/nwn,διαφέρω,verb,*)aqhnai/wn,Ἀθήναια,proper,summaxi/an,συμμαχία,noun,e)poih/sato,ποιέω,verb,kai\,καί,conjunction,pa/lin,πάλιν,adverb,w(s,ὡς,conjunction,*perdi/kkas,Περδίκκης,proper,ei)s,εἰς,preposition,th\n,ὁ,article,a)rxh\n,ἀρχή,noun,katasta\s,καθίστημι,verb,u(pe\r,ὑπέρ,preposition,*)amfipo/lews,Ἀμφίπολις,proper,e)pole/mhse,πολεμέω,verb,th=|,ὁ,article,po/lei,πόλις,adjective,,,,,,,,,,,,,,,,,,,,,,Ἀμφίπολις,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,th\n,ὁ,article,u(mete/ran,ὑμέτερος,adjective,h)dikhme/nwn,ἀδικέω,verb,o(/mws,ὅμως,conjunction,filanqrwpi/an,φιλανθρωπία,noun,diech/|ein,διέξειμι,verb,le/gwn,λέγω,verb,o(/ti,ὅστις,pronoun,kratou=ntes,κρατέω,verb,tw=|,ὁ,article,pole/mw|,πόλεμος,noun,*perdi/kkan,Περδίκκης,proper,*kallisqe/nous,,,h(goume/nou,ἡγέομαι,verb,a)noxa\s,ἀνοχή,noun,pro\s,πρός,preposition,au)to\n,αὐτός,pronoun,e)poih/sasqe,ποιέω,verb,a)ei/,ἀεί,adverb,tinos,τις,pronoun,prosdokw=ntes,προσδοκάω,verb,tw=n,ὁ,article,dikai/wn,teu/cesqai,τεύχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δίκαιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,th\n,ὁ,article,diabolh\n,διαβολή,noun,tau/thn,οὗτος,pronoun,e)peirw/mhn,πειράω,verb,lu/ein,λύω,verb,dida/skwn,διδάσκω,verb,o(/ti,ὅστις,pronoun,*kallisqe/nhn,Καλλισθένης,proper,o(,ὁ,article,dh=mos,δῆμος,noun,a)pe/kteinen,ἀποκτείνω,verb,ou),οὐ,adverb,dia\,διά,preposition,ta\s,ὁ,article,pro\s,πρός,preposition,*perdi/kkan,Περδίκκης,proper,a)noxa/s,ἀνοχή,noun,a)lla\,ἀλλά,adverb,di',διά,preposition,e(te/ras,ἕτερος,adjective,ai)ti/as,αἰτία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,pa/lin,πάλιν,adverb,ou)k,οὐ,adverb,w)/knoun,ὀκνέω,verb,kat',κατά,preposition,au)tou=,αὐτός,pronoun,le/gein,λέγω,verb,*fili/ppou,Φίλιππος,proper,e)pitimw=n,ἐπιτιμάω,verb,o(/ti,ὅστις,pronoun,th\n,ὁ,article,e)kdoxh\n,ἐκδοχή,noun,e)poih/sato,ποιέω,verb,tou=,ὁ,article,pro\s,πρός,preposition,th\n,ὁ,article,po/lin,πόλις,adjective,pole/mou,πόλεμος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
