word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/3/lemma/@_entry,word/3/lemma/@_POS,word/15/lemma/@_entry,word/15/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS
e)k,ἐκ,preposition,tw=nde,ὅδε,pronoun,dh\,δή,particle,toio/nd',e)mhxanh/sato,μηχανάομαι,verb,*ai)/gisqos,Αἴγισθος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τοιόσδε,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(\s,ὅς,pronoun,me\n,μέν,particle,gh=s,γῆ,noun,a)phlla/xqh,fuga\s,φυγάς,noun,*)agame/mnonos,Ἀγαμέμνων,proper,pai=s,πᾶς,adjective,xruso\n,χρυσός,noun,ei)=f',εἶπον,verb,o(\s,ὅς,pronoun,a)\n,ἄν,particle,kta/nh|,κτείνω,verb,h(mi=n,ἐγώ,pronoun,de\,δέ,particle,dh\,δή,particle,di/dwsin,*)hle/ktran,Ἠλέκτρη,proper,e)/xein,ἔχω,verb,ἀπαλλάσσω,verb,δίδωμι,verb,da/marta,δάμαρ,noun,pate/rwn,πατήρ,noun,me\n,μέν,particle,*mukhnai/wn,Μυκηναῖος,proper,a)/po,ἀπό,preposition,gegw=sin,γίγνομαι,verb,ou),οὐ,adverb,dh\,δή,particle,tou=to/,οὗτος,pronoun,g',γε,particle,e)cele/gxomai,ἐξελέγχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lamproi\,λαμπρός,adjective,ga\r,γάρ,particle,e)s,εἰς,preposition,ge/nos,ge,γε,particle,xrhma/twn,χρῆμα,adjective,de\,δέ,particle,dh\,δή,particle,pe/nhtes,πένης,noun,e)/nqen,ἔνθεν,adverb,hu(ge/nei',εὐγένεια,noun,a)po/llutai,ἀπόλλυμι,verb,w(s,ὡς,conjunction,a)sqenei=,ἀσθενέω,verb,dou\s,δίδωμι,verb,a)sqenh=,la/boi,λαμβάνω,verb,fo/bon,φόβος,noun,γένος,noun,ἀσθενής,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,ga/r,γάρ,particle,nin,νιν,pronoun,e)/sxen,a)ci/wm',ἀξίωμα,noun,e)/xwn,ἔχω,verb,a)nh/r,ἀνήρ,noun,eu(/dont',εὕδω,verb,a)\n,ἄν,particle,e)ch/geire,ἐξεγείρω,verb,to\n,ὁ,article,*)agame/mnonos,Ἀγαμέμνων,proper,fo/non,φόνος,noun,di/kh,δίκη,adjective,t',τε,particle,a)\n,h)=lqen,ἔρχομαι,verb,*ai)gi/sqw|,Αἴγισθος,proper,ἔχω,verb,ἄν,particle,to/te,τότε,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(\n,ὅς,pronoun,ou)/poq',οὔποτε,adverb,a(nh\r,ἀνήρ,noun,o(/de,su/noide/,σύνοιδα,verb,moi,ἐγώ,pronoun,*ku/pris,Κύπρις,proper,h)/|sxunen,αἰσχύνω,verb,eu)nh=|,εὐνή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parqe/nos,παρθένος,noun,d',δέ,particle,e)/t',ἔτι,adverb,e)sti\,dh/,δή,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai)sxu/nomai,αἰσχύνω,verb,ga\r,γάρ,particle,o)lbi/wn,ὄλβιος,adjective,a)ndrw=n,te/kna,τέκνον,noun,labw\n,λαμβάνω,verb,u(bri/zein,ὑβρίζω,verb,ou),οὐ,adverb,kata/cios,κάταξις,noun,gegw/s,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,ἀνήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ste/nw,στένω,verb,de\,δέ,particle,to\n,ὁ,article,lo/goisi,khdeu/ont',κηδεύω,verb,e)moi\,ἐγώ,pronoun,a)/qlion,ἄθλιος,adjective,*)ore/sthn,Ὀρέστης,proper,ei)/,εἰ,conjunction,pot',ποτέ,particle,ei)s,εἰς,preposition,*)/argos,Ἄργος,proper,molw\n,βλώσκω,verb,ga/mous,γάμος,adjective,a)delfh=s,ἀδελφή,noun,dustuxei=s,e)so/yetai,εἰσοράω,verb,,,,λόγος,noun,δυστυχέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/stis,ὅστις,pronoun,de/,δέ,particle,m',ἐγώ,pronoun,ei)=nai/,fhsi,φημί,verb,mw=ron,μωρός,adjective,ei),εἰ,conjunction,labw\n,λαμβάνω,verb,ne/an,νέα,adjective,e)s,εἰς,preposition,oi)/kous,οἶκος,noun,parqe/non,παρθένος,noun,mh\,μή,conjunction,qigga/nw,θιγγάνω,verb,gnw/mhs,γνώμη,noun,ponhroi=s,kano/sin,κανών,noun,a)nametrou/menos,ἀναμετρέω,verb,εἰμί,verb,πονηρός,adjective,to\,ὁ,article,sw=fron,σώφρων,noun,i)/stw,οἶδα,verb,kau)to\s,αὐτός,pronoun,au)=,αὖ,interjection,toiou=tos,τοιοῦτος,adjective,w)/n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,nu\c,νύξ,adjective,me/laina,μέλας,adjective,xruse/wn,a)/strwn,ἄστρον,noun,trofe/,τροφός,noun,e)n,ἐν,preposition,h(=|,ὅς,pronoun,to/d',ὅδε,pronoun,a)/ggos,ἄγγος,noun,tw=|d',ὅδε,pronoun,e)fedreu=on,ἐφεδρεύω,verb,ka/ra|,κάρα,noun,fe/rousa,φέρω,verb,phga\s,πηγάς,noun,potami/as,mete/rxomai,μετέρχομαι,verb,ou),οὐ,adverb,χρύσεος,adjective,προσαμάω,verb,dh/,δή,particle,ti,τις,pronoun,xrei/as,χρεία,noun,e)s,εἰς,preposition,toso/nd',τοσόσδε,adjective,a)figme/nh,ἀφίζω,verb,a)ll',ἀλλά,adverb,w(s,ὡς,conjunction,u(/brin,ὕβρις,noun,dei/cwmen,δείκνυμι,verb,*ai)gi/sqou,Αἴγισθος,proper,qeoi=s,θεός,noun,go/ous,γόος,noun,t',τε,particle,a)fi/hm',ἀφίημι,verb,ai)qe/r',αἰθήρ,noun,e)s,εἰς,preposition,me/gan,μέγας,adverb,patri/,πατήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,ga\r,γάρ,particle,panw/lhs,πανώλης,adjective,*tundari/s,mh/thr,μήτηρ,noun,e)mh/,ἐμός,adjective,e)ce/bale/,ἐκβάλλω,verb,m',ἐγώ,pronoun,oi)/kwn,οἶκος,noun,xa/rita,χάρις,noun,tiqeme/nh,τίθημι,verb,po/sei,πόσις,noun,,,,,,,,,,,,,,,,,Τυνδάρεος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tekou=sa,τίκτω,verb,d',δέ,particle,a)/llous,ἄλλος,adjective,pai=das,*ai)gi/sqw|,Αἴγισθος,proper,pa/ra,παρά,preposition,pa/rerg',πάρεργον,noun,*)ore/sthn,Ὀρέστης,proper,ka)me\,ἐγώ,pronoun,poiei=tai,ποιέω,verb,do/mwn,δόμος,noun,ti/,τίς,pronoun,ga\r,γάρ,particle,ta/d',ὅδε,pronoun,w)=,ὦ,interjection,du/sthn',e)mh\n,ἐμός,adjective,moxqei=s,μοχθέω,verb,παῖς,adjective,δύστηνος,adjective,xa/rin,χάρις,noun,po/nous,πόνος,noun,e)/xousa,ἔχω,verb,pro/sqen,πρόσθεν,adverb,eu)=,εὖ,adverb,teqramme/nh,τρέφω,verb,kai\,καί,conjunction,tau=t',οὗτος,pronoun,e)mou=,ἐγώ,pronoun,le/gontos,λέγω,verb,ou)k,οὐ,adverb,a)fi/stasai,ἀφίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw/,ἐγώ,pronoun,s',σύ,pronoun,i)/son,ἴσος,adjective,qeoi=sin,h(gou=mai,ἡγέομαι,verb,fi/lon,φίλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,θεός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,toi=s,ὁ,article,e)moi=s,ἐμός,adjective,ga\r,ou)k,οὐ,adverb,e)nu/brisas,ἐνυβρίζω,verb,kakoi=s,κακός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,γάρ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mega/lh,μέγας,adverb,de\,δέ,particle,qnhtoi=s,θνητός,adjective,moi=ra,sumfora=s,συμφορά,noun,kakh=s,κακός,adjective,i)atro\n,ἰατρός,noun,eu(rei=n,εὑρίσκω,verb,w(s,ὡς,conjunction,e)gw\,ἐγώ,pronoun,se\,σύ,pronoun,lamba/nw,λαμβάνω,verb,,,,,,,,,,,,,,,,,μοῖρα,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dei=,δέομαι,verb,dh/,δή,particle,me,ἐγώ,pronoun,ka)ke/leuston,ei)s,εἰς,preposition,o(/son,ὅσος,adjective,sqe/nw,σθένω,verb,mo/xqou,μόχθος,noun,'pikoufi/zousan,ἐπικουφίζω,verb,w(s,ὡς,conjunction,r(a=|on,ῥάιος,adjective,fe/rh|s,φέρω,verb,sunekkomi/zein,συνεκκομίζω,verb,soi,σύ,pronoun,po/nous,πόνος,noun,,,,,,,,ἀκέλευστος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(/lis,ἅλις,adverb,d',δέ,particle,e)/xeis,ἔχω,verb,ta)/cwqen,e)/rga,ἔργον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἔξωθεν,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta)n,ἐν,preposition,do/mois,δόμος,noun,d',δέ,particle,h(ma=s,xrew\n,χρεών,noun,e)ceutrepi/zein,ἐξευτρεπίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)sio/nti,εἴσειμι,verb,d',δέ,particle,e)rga/th|,ἐργάτης,noun,qu/raqen,h(du\,ἡδύς,adjective,ta)/ndon,ἔνδον,adverb,eu(ri/skein,εὑρίσκω,verb,kalw=s,καλός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,θύραθεν,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)/,εἰ,conjunction,toi,σύ,pronoun,dokei=,δοκέω,verb,soi,stei=xe,στείχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,ou),οὐ,adverb,pro/sw,phgai\,πηγή,noun,mela/qrwn,μέλαθρον,noun,tw=nd',ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πρόσω,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
